date,price,Change %
2018-01-29,2853.53,-0.67%
2018-01-30,2822.43,-1.09%
2018-01-31,2823.81,0.05%
2018-02-01,2821.98,-0.06%
2018-02-02,2762.13,-2.12%
2018-02-05,2648.94,-4.10%
2018-02-06,2695.14,1.74%
2018-02-07,2681.66,-0.50%
2018-02-08,2581,-3.75%
2018-02-09,2619.55,1.49%
2018-02-12,2656,1.39%
2018-02-13,2662.94,0.26%
2018-02-14,2698.63,1.34%
2018-02-15,2731.2,1.21%
2018-02-16,2732.22,0.04%
2018-02-20,2716.26,-0.58%
2018-02-21,2701.33,-0.55%
2018-02-22,2703.96,0.10%
2018-02-23,2747.3,1.60%
2018-02-26,2779.6,1.18%
2018-02-27,2744.28,-1.27%
2018-02-28,2713.83,-1.11%
2018-03-01,2677.67,-1.33%
2018-03-02,2691.25,0.51%
2018-03-05,2720.94,1.10%
2018-03-06,2728.12,0.26%
2018-03-07,2726.8,-0.05%
2018-03-08,2738.97,0.45%
2018-03-09,2786.57,1.74%
2018-03-12,2783.02,-0.13%
2018-03-13,2765.31,-0.64%
2018-03-14,2749.48,-0.57%
2018-03-15,2747.33,-0.08%
2018-03-16,2752.01,0.17%
2018-03-19,2712.92,-1.42%
2018-03-20,2716.94,0.15%
2018-03-21,2711.93,-0.18%
2018-03-22,2643.69,-2.52%
2018-03-23,2588.26,-2.10%
2018-03-26,2658.55,2.72%
2018-03-27,2612.62,-1.73%
2018-03-28,2605,-0.29%
2018-03-29,2640.87,1.38%
2018-04-02,2581.88,-2.23%
2018-04-03,2614.45,1.26%
2018-04-04,2644.69,1.16%
2018-04-05,2662.84,0.69%
2018-04-06,2604.47,-2.19%
2018-04-09,2613.16,0.33%
2018-04-10,2656.87,1.67%
2018-04-11,2642.19,-0.55%
2018-04-12,2663.99,0.83%
2018-04-13,2656.3,-0.29%
2018-04-16,2677.84,0.81%
2018-04-17,2706.39,1.07%
2018-04-18,2708.64,0.08%
2018-04-19,2693.13,-0.57%
2018-04-20,2670.14,-0.85%
2018-04-23,2670.29,0.01%
2018-04-24,2634.56,-1.34%
2018-04-25,2639.4,0.18%
2018-04-26,2666.94,1.04%
2018-04-27,2669.91,0.11%
2018-04-30,2648.05,-0.82%
2018-05-01,2654.8,0.25%
2018-05-02,2635.67,-0.72%
2018-05-03,2629.73,-0.23%
2018-05-04,2663.42,1.28%
2018-05-07,2672.63,0.35%
2018-05-08,2671.92,-0.03%
2018-05-09,2697.79,0.97%
2018-05-10,2723.07,0.94%
2018-05-11,2727.72,0.17%
2018-05-14,2730.13,0.09%
2018-05-15,2711.45,-0.68%
2018-05-16,2722.46,0.41%
2018-05-17,2720.13,-0.09%
2018-05-18,2712.97,-0.26%
2018-05-21,2733.01,0.74%
2018-05-22,2724.44,-0.31%
2018-05-23,2733.29,0.32%
2018-05-24,2727.76,-0.20%
2018-05-25,2721.33,-0.24%
2018-05-29,2689.86,-1.16%
2018-05-30,2724.01,1.27%
2018-05-31,2705.27,-0.69%
2018-06-01,2734.62,1.08%
2018-06-04,2746.87,0.45%
2018-06-05,2748.8,0.07%
2018-06-06,2772.35,0.86%
2018-06-07,2770.37,-0.07%
2018-06-08,2779.03,0.31%
2018-06-11,2782,0.11%
2018-06-12,2786.85,0.17%
2018-06-13,2775.63,-0.40%
2018-06-14,2782.49,0.25%
2018-06-15,2779.66,-0.10%
2018-06-18,2773.75,-0.21%
2018-06-19,2762.59,-0.40%
2018-06-20,2767.32,0.17%
2018-06-21,2749.76,-0.63%
2018-06-22,2754.88,0.19%
2018-06-25,2717.07,-1.37%
2018-06-26,2723.06,0.22%
2018-06-27,2699.63,-0.86%
2018-06-28,2716.31,0.62%
2018-06-29,2718.37,0.08%
2018-07-02,2726.71,0.31%
2018-07-03,2713.22,-0.49%
2018-07-05,2736.61,0.86%
2018-07-06,2759.82,0.85%
2018-07-09,2784.17,0.88%
2018-07-10,2793.84,0.35%
2018-07-11,2774.02,-0.71%
2018-07-12,2798.29,0.87%
2018-07-13,2801.31,0.11%
2018-07-16,2798.43,-0.10%
2018-07-17,2809.55,0.40%
2018-07-18,2815.62,0.22%
2018-07-19,2804.49,-0.40%
2018-07-20,2801.83,-0.09%
2018-07-23,2806.98,0.18%
2018-07-24,2820.4,0.48%
2018-07-25,2846.07,0.91%
2018-07-26,2837.44,-0.30%
2018-07-27,2818.82,-0.66%
2018-07-30,2802.6,-0.58%
2018-07-31,2816.29,0.49%
2018-08-01,2813.36,-0.10%
2018-08-02,2827.22,0.49%
2018-08-03,2840.35,0.46%
2018-08-06,2850.4,0.35%
2018-08-07,2858.45,0.28%
2018-08-08,2857.7,-0.03%
2018-08-09,2853.58,-0.14%
2018-08-10,2833.28,-0.71%
2018-08-13,2821.93,-0.40%
2018-08-14,2839.96,0.64%
2018-08-15,2818.37,-0.76%
2018-08-16,2840.69,0.79%
2018-08-17,2850.13,0.33%
2018-08-20,2857.05,0.24%
2018-08-21,2862.96,0.21%
2018-08-22,2861.82,-0.04%
2018-08-23,2856.98,-0.17%
2018-08-24,2874.69,0.62%
2018-08-27,2896.74,0.77%
2018-08-28,2897.52,0.03%
2018-08-29,2914.04,0.57%
2018-08-30,2901.13,-0.44%
2018-08-31,2901.52,0.01%
2018-09-04,2896.72,-0.17%
2018-09-05,2888.6,-0.28%
2018-09-06,2878.05,-0.37%
2018-09-07,2871.68,-0.22%
2018-09-10,2877.13,0.19%
2018-09-11,2887.89,0.37%
2018-09-12,2888.92,0.04%
2018-09-13,2904.18,0.53%
2018-09-14,2904.98,0.03%
2018-09-17,2888.8,-0.56%
2018-09-18,2904.31,0.54%
2018-09-19,2907.95,0.13%
2018-09-20,2930.75,0.78%
2018-09-21,2929.67,-0.04%
2018-09-24,2919.37,-0.35%
2018-09-25,2915.56,-0.13%
2018-09-26,2905.97,-0.33%
2018-09-27,2914,0.28%
2018-09-28,2913.98,0.00%
2018-10-01,2924.59,0.36%
2018-10-02,2923.43,-0.04%
2018-10-03,2925.51,0.07%
2018-10-04,2901.61,-0.82%
2018-10-05,2885.57,-0.55%
2018-10-08,2884.43,-0.04%
2018-10-09,2880.34,-0.14%
2018-10-10,2785.68,-3.29%
2018-10-11,2728.37,-2.06%
2018-10-12,2767.13,1.42%
2018-10-15,2750.79,-0.59%
2018-10-16,2809.92,2.15%
2018-10-17,2809.21,-0.03%
2018-10-18,2768.78,-1.44%
2018-10-19,2767.78,-0.04%
2018-10-22,2755.88,-0.43%
2018-10-23,2740.69,-0.55%
2018-10-24,2656.1,-3.09%
2018-10-25,2705.57,1.86%
2018-10-26,2658.69,-1.73%
2018-10-29,2641.25,-0.66%
2018-10-30,2682.63,1.57%
2018-10-31,2711.74,1.09%
2018-11-01,2740.37,1.06%
2018-11-02,2723.06,-0.63%
2018-11-05,2738.31,0.56%
2018-11-06,2755.45,0.63%
2018-11-07,2813.89,2.12%
2018-11-08,2806.83,-0.25%
2018-11-09,2781.01,-0.92%
2018-11-12,2726.22,-1.97%
2018-11-13,2722.18,-0.15%
2018-11-14,2701.58,-0.76%
2018-11-15,2730.2,1.06%
2018-11-16,2736.27,0.22%
2018-11-19,2690.73,-1.66%
2018-11-20,2641.89,-1.82%
2018-11-21,2649.93,0.30%
2018-11-23,2632.56,-0.66%
2018-11-26,2673.45,1.55%
2018-11-27,2682.17,0.33%
2018-11-28,2743.79,2.30%
2018-11-29,2737.76,-0.22%
2018-11-30,2760.17,0.82%
2018-12-03,2790.37,1.09%
2018-12-04,2700.06,-3.24%
2018-12-06,2695.95,-0.15%
2018-12-07,2633.08,-2.33%
2018-12-10,2637.72,0.18%
2018-12-11,2636.78,-0.04%
2018-12-12,2651.07,0.54%
2018-12-13,2650.54,-0.02%
2018-12-14,2599.95,-1.91%
2018-12-17,2545.94,-2.08%
2018-12-18,2546.16,0.01%
2018-12-19,2506.96,-1.54%
2018-12-20,2467.42,-1.58%
2018-12-21,2416.62,-2.06%
2018-12-24,2351.1,-2.71%
2018-12-26,2467.7,4.96%
2018-12-27,2488.83,0.86%
2018-12-28,2485.74,-0.12%
2018-12-31,2506.85,0.85%
2019-01-02,2510.03,0.13%
2019-01-03,2447.89,-2.48%
2019-01-04,2531.94,3.43%
2019-01-07,2549.69,0.70%
2019-01-08,2574.41,0.97%
2019-01-09,2584.96,0.41%
2019-01-10,2596.64,0.45%
2019-01-11,2596.26,-0.01%
2019-01-14,2582.61,-0.53%
2019-01-15,2610.3,1.07%
2019-01-16,2616.1,0.22%
2019-01-17,2635.96,0.76%
2019-01-18,2670.71,1.32%
2019-01-22,2632.9,-1.42%
2019-01-23,2638.7,0.22%
2019-01-24,2642.33,0.14%
2019-01-25,2664.76,0.85%
2019-01-28,2643.85,-0.78%
2019-01-29,2640,-0.15%
2019-01-30,2681.05,1.55%
2019-01-31,2704.1,0.86%
2019-02-01,2706.53,0.09%
2019-02-04,2724.87,0.68%
2019-02-05,2737.7,0.47%
2019-02-06,2731.61,-0.22%
2019-02-07,2706.05,-0.94%
2019-02-08,2707.88,0.07%
2019-02-11,2709.8,0.07%
2019-02-12,2744.73,1.29%
2019-02-13,2753.03,0.30%
2019-02-14,2745.73,-0.27%
2019-02-15,2775.6,1.09%
2019-02-19,2779.76,0.15%
2019-02-20,2784.7,0.18%
2019-02-21,2774.88,-0.35%
2019-02-22,2792.67,0.64%
2019-02-25,2796.11,0.12%
2019-02-26,2793.9,-0.08%
2019-02-27,2792.38,-0.05%
2019-02-28,2784.49,-0.28%
2019-03-01,2803.69,0.69%
2019-03-04,2792.81,-0.39%
2019-03-05,2789.65,-0.11%
2019-03-06,2771.45,-0.65%
2019-03-07,2748.93,-0.81%
2019-03-08,2743.07,-0.21%
2019-03-11,2783.3,1.47%
2019-03-12,2791.52,0.30%
2019-03-13,2810.92,0.69%
2019-03-14,2808.48,-0.09%
2019-03-15,2822.48,0.50%
2019-03-18,2832.94,0.37%
2019-03-19,2832.57,-0.01%
2019-03-20,2824.23,-0.29%
2019-03-21,2854.88,1.09%
2019-03-22,2800.71,-1.90%
2019-03-25,2798.36,-0.08%
2019-03-26,2818.46,0.72%
2019-03-27,2805.37,-0.46%
2019-03-28,2815.44,0.36%
2019-03-29,2834.4,0.67%
2019-04-01,2867.19,1.16%
2019-04-02,2867.24,0.00%
2019-04-03,2873.4,0.21%
2019-04-04,2879.39,0.21%
2019-04-05,2892.74,0.46%
2019-04-08,2895.77,0.10%
2019-04-09,2878.2,-0.61%
2019-04-10,2888.21,0.35%
2019-04-11,2888.32,0.00%
2019-04-12,2907.41,0.66%
2019-04-15,2905.58,-0.06%
2019-04-16,2907.06,0.05%
2019-04-17,2900.45,-0.23%
2019-04-18,2905.03,0.16%
2019-04-22,2907.97,0.10%
2019-04-23,2933.68,0.88%
2019-04-24,2927.25,-0.22%
2019-04-25,2926.17,-0.04%
2019-04-26,2939.88,0.47%
2019-04-29,2943.03,0.11%
2019-04-30,2945.83,0.10%
2019-05-01,2923.73,-0.75%
2019-05-02,2917.52,-0.21%
2019-05-03,2945.64,0.96%
2019-05-06,2932.47,-0.45%
2019-05-07,2884.05,-1.65%
2019-05-08,2879.42,-0.16%
2019-05-09,2870.72,-0.30%
2019-05-10,2881.4,0.37%
2019-05-13,2811.87,-2.41%
2019-05-14,2834.41,0.80%
2019-05-15,2850.96,0.58%
2019-05-16,2876.32,0.89%
2019-05-17,2859.53,-0.58%
2019-05-20,2840.23,-0.67%
2019-05-21,2864.36,0.85%
2019-05-22,2856.27,-0.28%
2019-05-23,2822.24,-1.19%
2019-05-24,2826.06,0.14%
2019-05-28,2802.39,-0.84%
2019-05-29,2783.02,-0.69%
2019-05-30,2788.86,0.21%
2019-05-31,2752.06,-1.32%
2019-06-03,2744.45,-0.28%
2019-06-04,2803.27,2.14%
2019-06-05,2826.15,0.82%
2019-06-06,2843.49,0.61%
2019-06-07,2873.34,1.05%
2019-06-10,2886.73,0.47%
2019-06-11,2885.72,-0.03%
2019-06-12,2879.84,-0.20%
2019-06-13,2891.64,0.41%
2019-06-14,2886.98,-0.16%
2019-06-17,2889.67,0.09%
2019-06-18,2917.75,0.97%
2019-06-19,2926.46,0.30%
2019-06-20,2954.18,0.95%
2019-06-21,2950.46,-0.13%
2019-06-24,2945.35,-0.17%
2019-06-25,2917.38,-0.95%
2019-06-26,2913.78,-0.12%
2019-06-27,2924.92,0.38%
2019-06-28,2941.76,0.58%
2019-07-01,2964.33,0.77%
2019-07-02,2973.01,0.29%
2019-07-03,2995.82,0.77%
2019-07-05,2990.41,-0.18%
2019-07-08,2975.95,-0.48%
2019-07-09,2979.63,0.12%
2019-07-10,2993.07,0.45%
2019-07-11,2999.91,0.23%
2019-07-12,3013.77,0.46%
