Date,Open,High,Low,Close,Adj Close,Volume
1998-01-02,43.0,43.0625,42.375,42.8125,13.617952,444000
1998-01-05,43.0625,43.125,42.0625,42.5,13.518538,564300
1998-01-06,42.125,42.1875,41.75,41.875,13.319738,253600
1998-01-07,41.875,41.875,40.875,41.5,13.200462,358100
1998-01-08,41.5625,41.5625,40.75,41.0,13.041415,325100
1998-01-09,40.9375,41.8125,40.9375,41.375,13.160693,306600
1998-01-12,41.125,41.8125,41.0,41.75,13.27998,268300
1998-01-13,41.75,41.75,41.1875,41.4375,13.180574,193300
1998-01-14,41.4375,41.4375,41.125,41.25,13.120935,139500
1998-01-15,41.1875,41.1875,40.25,40.3125,12.822742,155400
1998-01-16,40.625,40.8125,40.4375,40.5,12.882374,251100
1998-01-20,37.5,37.625,36.5,37.0625,11.788963,1051500
1998-01-21,36.875,36.875,35.75,36.8125,11.709439,1026300
1998-01-22,36.375,36.625,36.125,36.375,11.570284,492700
1998-01-23,36.125,36.375,35.625,36.0,11.451002,323500
1998-01-26,36.0625,36.25,35.5625,36.1875,11.510633,273000
1998-01-27,36.1875,36.4375,35.8125,36.25,11.530515,563700
1998-01-28,36.0625,36.5,36.0625,36.5,11.610044,284000
1998-01-29,36.5,37.0,36.375,36.75,11.689561,383800
1998-01-30,36.75,36.875,36.5625,36.625,11.649794,486500
1998-02-02,36.75,36.875,36.5,36.6875,11.669682,233000
1998-02-03,36.625,36.8125,36.375,36.625,11.649794,189200
1998-02-04,36.625,36.625,36.25,36.5,11.610044,557800
1998-02-05,36.9375,37.125,36.625,36.9375,11.749201,210000
1998-02-06,37.0,37.5625,36.75,37.5625,11.948001,251100
1998-02-09,37.4375,37.9375,37.4375,37.875,12.047399,271700
1998-02-10,37.8125,38.3125,37.8125,37.9375,12.06729,357200
1998-02-11,37.8125,37.875,37.625,37.75,12.007643,280600
1998-02-12,37.5,37.9375,37.375,37.8125,12.02753,496100
1998-02-13,37.625,37.875,37.4375,37.5,11.928124,181800
1998-02-17,37.4375,38.0,37.125,38.0,12.087165,360600
1998-02-18,38.0,38.25,37.9375,38.0,12.087165,267600
1998-02-19,38.0,38.1875,38.0,38.1875,12.146805,386300
1998-02-20,38.125,38.3125,37.8125,38.3125,12.186572,798600
1998-02-23,38.3125,38.625,38.0625,38.625,12.285968,347100
1998-02-24,38.4375,38.5,38.125,38.5,12.24621,228500
1998-02-25,38.5625,38.75,38.375,38.375,12.206451,342500
1998-02-26,38.25,38.4375,38.0625,38.1875,12.146805,152800
1998-02-27,38.125,38.484375,38.0625,38.4375,12.226326,218800
1998-03-02,38.1875,38.5,38.1875,38.4375,12.226326,219700
1998-03-03,38.4375,38.5,38.375,38.4375,12.226326,416300
1998-03-04,38.375,38.5,38.25,38.375,12.206451,146700
1998-03-05,38.1875,38.4375,38.125,38.3125,12.186572,293600
1998-03-06,37.375,38.125,37.375,38.125,12.331304,3544900
1998-03-09,38.0,38.0625,37.75,37.8125,12.230227,309000
1998-03-10,37.8125,38.25,37.75,38.125,12.331304,290000
1998-03-11,38.0625,38.875,38.0625,38.75,12.533463,543800
1998-03-12,38.75,38.75,38.4375,38.5625,12.472814,241700
1998-03-13,38.4375,38.75,38.375,38.6875,12.513245,425000
1998-03-16,38.6875,39.6875,38.625,39.5,12.776044,395400
1998-03-17,39.5,40.3125,39.5,40.3125,13.038843,351500
1998-03-18,40.125,41.0,40.125,40.875,13.220781,668800
1998-03-19,40.75,41.5,40.625,41.5,13.422937,431500
1998-03-20,41.75,42.4375,41.625,42.3125,13.685732,521300
1998-03-23,42.25,42.3125,41.8125,42.0625,13.604866,293400
1998-03-24,42.0,42.25,41.75,42.0625,13.604866,291300
1998-03-25,42.0,42.4375,41.875,42.4375,13.726164,222000
1998-03-26,42.375,42.375,41.875,41.9375,13.56444,452000
1998-03-27,41.6875,41.8125,41.0625,41.375,13.382493,412800
1998-03-30,41.375,41.8125,41.25,41.5,13.422937,366000
1998-03-31,41.25,42.25,41.125,42.125,13.625085,414900
1998-04-01,42.1875,42.1875,41.625,42.0,13.58465,200100
1998-04-02,41.875,42.1875,41.8125,42.1875,13.645302,386000
1998-04-03,42.1875,42.5625,42.0,42.5,13.746371,254700
1998-04-06,42.3125,42.375,42.0625,42.1875,13.645302,179800
1998-04-07,42.0625,42.0625,41.625,41.8125,13.524014,235300
1998-04-08,41.6875,41.875,41.5,41.875,13.544218,453200
1998-04-09,41.8125,41.875,41.3125,41.875,13.544218,731700
1998-04-13,42.0,42.0,41.625,41.8125,13.524014,796600
1998-04-14,41.6875,42.3125,41.5625,42.25,13.665518,526400
1998-04-15,42.125,42.5,42.0,42.3125,13.685732,357100
1998-04-16,42.0625,42.0625,41.75,41.9375,13.56444,325300
1998-04-17,41.9375,42.125,41.5625,42.125,13.625085,287900
1998-04-20,41.9375,41.9375,41.5625,41.6875,13.483578,149800
1998-04-21,41.5,41.5,41.0625,41.3125,13.362284,373900
1998-04-22,41.1875,41.25,41.0,41.0,13.261209,285400
1998-04-23,41.0625,41.3125,39.75,39.75,12.856903,387700
1998-04-24,39.75,40.5625,39.4375,39.875,12.897334,398800
1998-04-27,39.75,39.875,38.1875,39.5625,12.796256,128000
1998-04-28,39.625,39.6875,39.0625,39.25,12.695181,592600
1998-04-29,39.375,39.375,38.875,39.0625,12.634536,242900
1998-04-30,39.1875,39.875,39.1875,39.625,12.816474,442400
1998-05-01,39.6875,39.6875,39.25,39.3125,12.7154,258000
1998-05-04,39.4375,39.5,39.0,39.25,12.695181,175300
1998-05-05,39.0625,39.1875,38.5625,38.9375,12.594108,165800
1998-05-06,39.125,39.125,38.75,39.0,12.614323,135300
1998-05-07,38.875,39.0,38.875,39.0,12.614323,118300
1998-05-08,38.875,39.0625,38.625,38.8125,12.553679,163500
1998-05-11,38.8125,39.25,38.75,38.875,12.573892,288200
1998-05-12,38.875,38.9375,38.6875,38.9375,12.594108,100100
1998-05-13,38.8125,38.875,38.5,38.6875,12.513245,124900
1998-05-14,38.625,38.8125,38.5625,38.6875,12.513245,175900
1998-05-15,38.6875,38.875,38.5,38.5625,12.472814,225400
1998-05-18,38.375,38.5625,38.125,38.375,12.412169,134400
1998-05-19,38.3125,38.375,37.875,38.3125,12.391955,149200
1998-05-20,38.3125,38.9375,38.25,38.9375,12.594108,144600
1998-05-21,38.9375,39.1875,38.75,39.0,12.614323,96100
1998-05-22,38.875,39.125,38.5625,38.5625,12.472814,201900
1998-05-26,38.625,38.6875,38.1875,38.1875,12.351521,121600
1998-05-27,38.125,38.6875,37.625,38.25,12.371738,158600
1998-05-28,38.25,38.875,38.25,38.6875,12.513245,217500
1998-05-29,38.5625,39.125,38.5625,39.125,12.654754,163000
1998-06-01,39.0,40.6875,38.9375,40.5625,13.1197,190200
1998-06-02,40.3125,40.75,40.125,40.375,13.059054,175700
1998-06-03,40.25,40.875,40.1875,40.5,13.099486,105000
1998-06-04,40.3125,40.625,40.1875,40.3125,13.038843,133800
1998-06-05,40.25,40.875,40.25,40.875,13.220781,167700
1998-06-08,40.0625,40.125,39.75,39.8125,13.080322,1874800
1998-06-09,39.875,39.875,39.25,39.375,12.936587,261000
1998-06-10,39.4375,40.1875,39.375,40.125,13.182997,174600
1998-06-11,40.0,40.5,39.75,40.3125,13.244599,260500
1998-06-12,40.125,40.375,39.75,40.125,13.182997,275100
1998-06-15,40.0,40.125,39.6875,39.8125,13.080322,227000
1998-06-16,40.0,40.0625,39.75,39.8125,13.080322,283000
1998-06-17,39.8125,39.9375,39.4375,39.5625,12.998183,364200
1998-06-18,39.75,40.3125,39.625,40.1875,13.203525,308200
1998-06-19,40.1875,40.1875,39.5625,39.6875,13.039261,212700
1998-06-22,39.75,40.125,39.6875,39.6875,13.039261,121200
1998-06-23,39.8125,39.8125,39.5,39.75,13.059787,105600
1998-06-24,39.625,39.875,39.625,39.625,13.018719,353200
1998-06-25,40.0,40.0625,39.3125,39.375,12.936587,254300
1998-06-26,39.3125,39.625,39.125,39.4375,12.95712,213700
1998-06-29,39.625,40.125,39.3125,39.875,13.100859,197000
1998-06-30,39.5625,40.0625,39.5625,39.75,13.059787,227100
1998-07-01,40.0625,40.3125,39.6875,40.3125,13.244599,204800
1998-07-02,40.1875,40.375,39.9375,40.375,13.26513,107100
1998-07-06,40.25,40.4375,39.875,40.1875,13.203525,155100
1998-07-07,40.0625,40.375,40.0,40.25,13.22407,106000
1998-07-08,40.3125,40.4375,39.9375,40.3125,13.244599,99800
1998-07-09,40.125,40.25,40.0,40.125,13.182997,127900
1998-07-10,40.0,40.1875,39.375,39.875,13.100859,375900
1998-07-13,39.875,39.875,39.4375,39.4375,12.95712,91500
1998-07-14,39.4375,39.8125,39.3125,39.625,13.018719,188700
1998-07-15,39.375,39.75,39.125,39.5,12.977654,141600
1998-07-16,39.375,39.4375,39.125,39.3125,12.916053,299900
1998-07-17,39.3125,39.3125,38.875,39.3125,12.916053,154900
1998-07-20,39.1875,39.25,38.75,39.0625,12.833917,82600
1998-07-21,39.0,39.1875,38.625,39.0,12.813379,212100
1998-07-22,39.0,39.5,38.8125,39.5,12.977654,67900
1998-07-23,39.375,39.4375,38.75,39.0,12.813379,99100
1998-07-24,39.0,39.0,38.4375,38.875,12.772313,246700
1998-07-27,38.875,39.0,38.5,38.9375,12.792841,181200
1998-07-28,38.75,38.8125,38.1875,38.5,12.649104,114600
1998-07-29,38.5625,38.5625,38.1875,38.3125,12.587502,123500
1998-07-30,38.3125,38.9375,38.25,38.5,12.649104,190300
1998-07-31,38.625,38.625,37.625,37.8125,12.423227,185900
1998-08-03,38.0,38.3125,37.6875,38.3125,12.587502,121400
1998-08-04,38.0625,38.5,37.3125,37.375,12.279487,153100
1998-08-05,37.375,37.75,37.0,37.75,12.402691,167400
1998-08-06,37.625,37.75,37.25,37.625,12.361627,68600
1998-08-07,37.5,38.1875,37.3125,38.0625,12.505365,199900
1998-08-10,38.0625,38.125,37.8125,38.125,12.525897,130200
1998-08-11,37.75,38.0,37.5,37.875,12.443761,182500
1998-08-12,37.875,39.375,37.625,39.0625,12.833917,278900
1998-08-13,38.8125,39.375,38.375,38.5625,12.669641,191800
1998-08-14,38.5,39.0,38.4375,38.6875,12.71071,141600
1998-08-17,39.25,39.25,38.8125,39.125,12.854446,226200
1998-08-18,38.875,39.125,38.6875,39.0,12.813379,322300
1998-08-19,38.8125,39.0,38.5625,38.8125,12.751775,467200
1998-08-20,38.875,39.0,38.5625,38.75,12.731243,84600
1998-08-21,38.5,39.75,38.4375,39.5,12.977654,254800
1998-08-24,39.5625,40.0,39.4375,39.9375,13.12139,109200
1998-08-25,39.9375,40.0,39.4375,39.875,13.100859,240400
1998-08-26,39.6875,40.5,39.5,40.125,13.182997,299500
1998-08-27,39.875,40.125,39.4375,39.625,13.018719,122700
1998-08-28,39.625,39.6875,38.875,39.5,12.977654,174400
1998-08-31,39.4375,41.0,39.25,39.5625,12.998183,310300
1998-09-01,39.75,40.0,39.5,39.875,13.100859,353700
1998-09-02,39.75,39.75,38.75,39.0,12.813379,218100
1998-09-03,38.75,39.0625,38.4375,38.8125,12.751775,121800
1998-09-04,38.8125,39.0,38.5,39.0,12.813379,144600
1998-09-08,38.125,39.1875,38.0,39.1875,13.088077,1733500
1998-09-09,39.125,39.1875,38.5625,39.125,13.067205,100300
1998-09-10,38.875,39.1875,38.25,39.0,13.025459,142000
1998-09-11,38.9375,39.5,38.375,39.5,13.192459,258200
1998-09-14,39.5625,39.625,39.0625,39.5625,13.213324,155500
1998-09-15,39.4375,39.9375,39.3125,39.9375,13.33857,139900
1998-09-16,39.6875,40.375,39.5625,40.3125,13.463823,163500
1998-09-17,39.9375,40.0625,39.5,40.0,13.359447,137900
1998-09-18,40.0,40.625,39.875,40.3125,13.463823,303600
1998-09-21,40.0,40.4375,39.75,40.4375,13.505571,108200
1998-09-22,40.5,41.1875,40.5,41.1875,13.756063,406100
1998-09-23,41.1875,41.5,40.6875,41.375,13.818672,491400
1998-09-24,41.25,41.375,40.0,40.75,13.609936,152100
1998-09-25,40.5,41.4375,40.4375,40.8125,13.630808,270300
1998-09-28,41.375,41.375,40.8125,41.3125,13.7978,163600
1998-09-29,41.5,41.9375,41.375,41.875,13.985671,313400
1998-09-30,41.75,42.25,41.5625,41.9375,14.00655,189000
1998-10-01,42.4375,42.75,42.1875,42.5625,14.215282,256800
1998-10-02,42.4375,43.625,42.4375,43.25,14.444905,426200
1998-10-05,43.1875,43.9375,42.875,43.9375,14.674514,246100
1998-10-06,43.875,43.9375,43.3125,43.8125,14.632772,309300
1998-10-07,43.875,44.3125,42.875,43.4375,14.507524,541800
1998-10-08,43.1875,43.53125,42.5,43.1875,14.42403,366100
1998-10-09,43.0,43.0625,41.375,42.0,14.027418,343900
1998-10-12,41.5625,41.5625,39.6875,39.8125,13.296824,231700
1998-10-13,39.9375,40.5,39.75,40.125,13.401196,216300
1998-10-14,40.4375,41.625,40.375,41.0625,13.714308,326600
1998-10-15,40.8125,41.9375,40.8125,41.875,13.985671,388500
1998-10-16,41.875,41.875,40.875,40.875,13.651686,390200
1998-10-19,41.125,41.375,40.5,40.6875,13.589064,148000
1998-10-20,40.9375,41.25,39.75,39.875,13.317698,244300
1998-10-21,39.9375,40.0,39.375,39.8125,13.296824,191800
1998-10-22,39.875,40.25,39.625,40.0625,13.380327,136200
1998-10-23,40.0625,40.1875,39.0625,39.4375,13.171579,118600
1998-10-26,39.5625,39.6875,39.1875,39.5625,13.213324,93200
1998-10-27,39.875,39.875,39.3125,39.625,13.234199,215700
1998-10-28,39.8125,40.5,39.75,39.9375,13.33857,182200
1998-10-29,40.125,40.1875,39.5,39.875,13.317698,158900
1998-10-30,40.0,40.1875,39.625,39.9375,13.33857,476900
1998-11-02,39.9375,40.4375,39.9375,40.375,13.484686,308300
1998-11-03,40.3125,40.5,40.0625,40.5,13.526441,369400
1998-11-04,40.75,41.0,40.0625,40.375,13.484686,180400
1998-11-05,40.375,40.75,40.25,40.75,13.609936,193700
1998-11-06,40.75,40.75,40.25,40.75,13.609936,121900
1998-11-09,40.75,40.75,40.375,40.6875,13.589064,207700
1998-11-10,40.75,41.4375,40.625,41.3125,13.7978,303800
1998-11-11,41.375,41.4375,40.75,40.875,13.651686,282800
1998-11-12,40.625,41.125,40.625,40.9375,13.672559,134100
1998-11-13,40.875,41.1875,40.8125,41.1875,13.756063,95800
1998-11-16,41.25,41.6875,41.25,41.6875,13.923048,168500
1998-11-17,41.5,41.875,41.4375,41.625,13.902178,151500
1998-11-18,41.625,41.625,41.375,41.5,13.860432,68200
1998-11-19,41.5,41.5,40.875,41.1875,13.756063,207600
1998-11-20,41.3125,41.4375,40.875,41.4375,13.839555,124800
1998-11-23,41.375,41.625,41.0625,41.375,13.818672,137400
1998-11-24,41.4375,41.625,41.25,41.4375,13.839555,178100
1998-11-25,41.5,41.9375,41.3125,41.6875,13.923048,110500
1998-11-27,41.875,41.875,41.4375,41.6875,13.923048,115300
1998-11-30,41.6875,41.6875,41.0,41.1875,13.756063,289500
1998-12-01,41.1875,41.4375,41.0625,41.1875,13.756063,167500
1998-12-02,41.125,41.75,41.125,41.5,13.860432,483200
1998-12-03,41.3125,41.9375,41.3125,41.5,13.860432,145200
1998-12-04,41.5,42.25,41.5,42.0,14.027418,1946300
1998-12-07,41.25,42.0625,41.25,41.875,14.20036,861000
1998-12-08,41.6875,42.0,41.4375,41.75,14.157977,315800
1998-12-09,41.6875,41.9375,41.625,41.9375,14.221562,203800
1998-12-10,41.6875,41.8125,41.25,41.5625,14.094397,332000
1998-12-11,41.5625,42.0625,41.25,42.0,14.242755,296100
1998-12-14,41.75,41.875,41.4375,41.75,14.157977,347300
1998-12-15,41.625,41.75,41.375,41.6875,14.136786,455200
1998-12-16,41.75,42.0,41.375,42.0,14.242755,557300
1998-12-17,41.9375,42.8125,41.9375,42.8125,14.518291,798000
1998-12-18,42.0625,43.0625,42.0625,43.0625,14.603064,576400
1998-12-21,42.8125,43.1875,42.625,43.125,14.624268,184300
1998-12-22,43.0625,43.125,42.3125,42.5625,14.43351,275500
1998-12-23,42.4375,42.75,42.25,42.5625,14.43351,158900
1998-12-24,42.375,42.5,42.25,42.3125,14.348731,31000
1998-12-28,42.0625,42.6875,42.0625,42.375,14.369926,199500
1998-12-29,42.375,42.625,42.1875,42.5,14.412316,362000
1998-12-30,42.625,42.625,42.0625,42.375,14.369926,160200
1998-12-31,42.4375,42.6875,42.125,42.6875,14.475898,120400
1999-01-04,42.5625,42.9375,42.3125,42.6875,14.475898,323200
1999-01-05,42.625,42.6875,42.1875,42.3125,14.348731,105300
1999-01-06,42.4375,42.4375,41.9375,42.25,14.327532,126800
1999-01-07,41.875,42.125,41.625,41.875,14.20036,125600
1999-01-08,41.8125,41.8125,40.875,41.5,14.073206,219500
1999-01-11,41.25,41.5625,40.0625,40.625,13.776478,260400
1999-01-12,40.5,41.0,40.5,40.8125,13.840059,337600
1999-01-13,40.6875,41.0625,40.375,40.75,13.818858,199800
1999-01-14,40.5,40.5,40.0,40.1875,13.628107,202800
1999-01-15,40.3125,40.5,40.25,40.5,13.734085,189000
1999-01-19,39.9375,40.0625,39.8125,40.0625,13.585728,260200
1999-01-20,40.0,40.0,39.375,39.5,13.394974,319900
1999-01-21,39.375,39.75,39.3125,39.5625,13.416162,229500
1999-01-22,39.4375,39.875,39.4375,39.875,13.522141,228700
1999-01-25,40.0,40.3125,39.875,40.1875,13.628107,347800
1999-01-26,40.3125,40.5625,39.5,39.6875,13.458563,462600
1999-01-27,39.9375,39.9375,39.125,39.1875,13.288998,182400
1999-01-28,39.3125,39.8125,39.1875,39.5625,13.416162,326900
1999-01-29,39.6875,39.6875,38.75,39.25,13.310193,343000
1999-02-01,39.0,39.0,38.1875,38.4375,13.034672,367600
1999-02-02,38.25,38.5,38.0,38.3125,12.992281,234800
1999-02-03,38.375,38.375,37.9375,38.3125,12.992281,202900
1999-02-04,38.3125,38.3125,37.25,37.5625,12.737942,241100
1999-02-05,37.5625,37.75,37.4375,37.625,12.759131,221500
1999-02-08,37.875,38.0,37.375,37.625,12.759131,300200
1999-02-09,37.75,37.875,37.4375,37.5,12.716749,194900
1999-02-10,37.75,37.9375,37.3125,37.5625,12.737942,147200
1999-02-11,37.3125,37.5,37.0,37.3125,12.653162,91100
1999-02-12,37.4375,37.4375,36.5,36.625,12.42002,232500
1999-02-16,36.75,37.4375,36.75,37.0625,12.568385,172600
1999-02-17,37.125,38.125,37.0,37.5625,12.737942,214100
1999-02-18,37.5625,38.625,37.5,38.4375,13.034672,324000
1999-02-19,38.3125,38.375,37.5625,37.625,12.759131,330800
1999-02-22,37.5,38.0,37.5,37.8125,12.822721,273600
1999-02-23,37.625,37.75,37.3125,37.75,12.801528,295600
1999-02-24,37.9375,38.125,37.25,37.3125,12.653162,278800
1999-02-25,37.1875,37.5,36.75,37.0625,12.568385,214800
1999-02-26,37.125,37.4375,36.8125,37.3125,12.653162,294300
1999-03-01,37.1875,37.4375,37.0,37.3125,12.653162,233100
1999-03-02,37.375,38.0625,37.125,37.625,12.759131,276700
1999-03-03,37.5625,38.375,37.4375,38.125,12.928699,238300
1999-03-04,38.0625,39.0625,37.875,38.6875,13.119444,452600
1999-03-05,38.9375,39.625,38.9375,39.1875,13.288998,394400
1999-03-08,38.25,38.25,37.5625,38.25,13.184731,316000
1999-03-09,38.125,38.1875,37.1875,37.5,12.926207,242600
1999-03-10,37.375,37.625,36.9375,37.0625,12.775399,258300
1999-03-11,37.1875,37.75,37.0625,37.625,12.969291,240300
1999-03-12,37.625,38.1875,37.5625,38.125,13.141642,170200
1999-03-15,37.875,37.9375,37.4375,37.5625,12.94775,246400
1999-03-16,37.375,37.875,37.1875,37.6875,12.990839,123800
1999-03-17,37.4375,37.6875,37.3125,37.6875,12.990839,126700
1999-03-18,37.5,38.125,37.4375,38.0625,13.120099,170900
1999-03-19,38.0625,38.0625,37.3125,37.5,12.926207,293200
1999-03-22,37.4375,37.625,37.25,37.625,12.969291,82300
1999-03-23,37.5,37.625,36.9375,37.0625,12.775399,226700
1999-03-24,37.125,38.125,36.875,38.0625,13.120099,389700
1999-03-25,37.9375,37.9375,37.5625,37.875,13.05547,100700
1999-03-26,37.75,37.875,37.375,37.4375,12.904658,317800
1999-03-29,37.4375,37.625,37.25,37.375,12.883119,179000
1999-03-30,37.5625,37.5625,36.5625,36.5625,12.60305,353700
1999-03-31,37.0625,37.0625,36.1875,36.1875,12.473788,174300
1999-04-01,36.25,36.875,35.8125,36.625,12.624593,357900
1999-04-05,36.625,37.0,36.625,37.0,12.753853,229900
1999-04-06,37.0,37.0,36.125,36.3125,12.516876,170800
1999-04-07,36.25,36.5625,35.8125,36.125,12.452245,272100
1999-04-08,36.0625,36.875,36.0625,36.8125,12.689224,251500
1999-04-09,36.625,36.75,36.125,36.3125,12.516876,150200
1999-04-12,36.5625,36.75,36.3125,36.6875,12.646141,130500
1999-04-13,36.4375,36.5625,36.1875,36.375,12.53842,126200
1999-04-14,36.375,36.4375,36.0625,36.1875,12.473788,228500
1999-04-15,36.375,36.5,36.1875,36.25,12.49533,281600
1999-04-16,36.4375,36.625,36.1875,36.5,12.581501,291800
1999-04-19,36.625,37.5,36.625,37.375,12.883119,352600
1999-04-20,37.5,38.75,37.375,38.625,13.313996,403000
1999-04-21,38.6875,38.9375,38.375,38.9375,13.421714,538500
1999-04-22,38.9375,38.9375,38.25,38.5,13.270906,303400
1999-04-23,38.5,38.625,38.1875,38.3125,13.20628,148400
1999-04-26,38.3125,38.625,38.125,38.3125,13.20628,147300
1999-04-27,38.4375,38.5625,38.1875,38.1875,13.163183,209600
1999-04-28,38.125,38.6875,38.0,38.375,13.227814,367900
1999-04-29,38.4375,39.0,38.375,38.75,13.357079,359700
1999-04-30,38.9375,38.9375,38.5,38.6875,13.335535,478300
1999-05-03,38.5625,39.5,38.5,39.375,13.572515,268200
1999-05-04,39.375,39.375,39.0,39.125,13.486346,144600
1999-05-05,39.0,39.5,38.875,39.5,13.615607,264700
1999-05-06,39.125,39.3125,39.0,39.1875,13.507884,175600
1999-05-07,39.25,39.4375,38.875,39.25,13.529428,226800
1999-05-10,39.0625,39.8125,38.9375,39.4375,13.594059,104600
1999-05-11,39.1875,39.5625,38.9375,39.3125,13.550973,144000
1999-05-12,39.3125,39.4375,39.0,39.375,13.572515,186500
1999-05-13,39.375,39.9375,39.25,39.9375,13.766407,148900
1999-05-14,39.75,39.75,39.0,39.25,13.529428,182100
1999-05-17,39.3125,39.875,39.125,39.6875,13.680241,117800
1999-05-18,39.6875,39.8125,39.25,39.5,13.615607,161700
1999-05-19,39.6875,39.9375,39.625,39.8125,13.723321,118100
1999-05-20,39.75,39.9375,39.5,39.875,13.744864,432500
1999-05-21,39.6875,40.3125,39.6875,40.125,13.831042,290000
1999-05-24,40.0625,40.75,40.0625,40.375,13.917208,257800
1999-05-25,40.375,40.9375,40.375,40.6875,14.024933,178400
1999-05-26,40.6875,40.8125,40.3125,40.6875,14.024933,157200
1999-05-27,40.8125,40.8125,40.0,40.25,13.874133,284700
1999-05-28,40.1875,40.9375,40.0625,40.9375,14.11111,199200
1999-06-01,40.75,40.75,40.0625,40.3125,13.895672,192300
