Date,Open,High,Low,Close,Adj Close,Volume
2004-02-05,23.75,24.940001,23.25,24.700001,18.373217,27565200
2004-02-06,24.709999,24.940001,24.15,24.85,18.484795,5284400
2004-02-09,24.6,24.700001,24.0,24.469999,18.202129,3252900
2004-02-10,24.15,24.469999,24.049999,24.35,18.112869,1651600
2004-02-11,24.280001,24.5,24.15,24.25,18.038481,2010200
2004-02-12,24.190001,25.0,24.17,24.68,18.358335,1637500
2004-02-13,24.790001,24.84,24.280001,24.700001,18.373217,612000
2004-02-17,24.75,24.9,24.5,24.6,18.29883,592300
2004-02-18,24.6,25.4,24.35,25.4,18.893911,805700
2004-02-19,25.25,25.98,25.25,25.68,19.102194,1494600
2004-02-20,25.690001,25.690001,25.0,25.35,18.856728,742000
2004-02-23,25.389999,25.389999,24.35,24.549999,18.261635,1331500
2004-02-24,24.4,24.969999,24.209999,24.799999,18.447601,963600
2004-02-25,24.799999,25.0,24.700001,24.85,18.484795,321700
2004-02-26,24.85,25.27,24.6,25.24,18.774895,617200
2004-02-27,25.15,25.75,25.110001,25.74,19.146824,1569100
2004-03-01,25.74,26.190001,25.700001,25.799999,19.191458,851700
2004-03-02,25.950001,25.950001,25.1,25.940001,19.295601,595600
2004-03-03,25.700001,25.799999,25.35,25.48,18.953424,457000
2004-03-04,25.48,25.75,24.75,25.209999,18.752575,1060200
2004-03-05,25.02,25.639999,25.0,25.549999,19.005495,450200
2004-03-08,25.549999,25.65,25.17,25.48,18.953424,370100
2004-03-09,25.5,25.51,24.709999,25.0,18.596376,816200
2004-03-10,24.799999,24.85,24.4,24.65,18.336025,1034300
2004-03-11,24.15,24.65,24.15,24.200001,18.001291,2538500
2004-03-12,24.34,24.65,24.25,24.5,18.224459,1501700
2004-03-15,24.75,24.75,23.74,24.0,17.852516,1595900
2004-03-16,24.5,24.549999,24.18,24.23,18.023607,1525800
2004-03-17,24.200001,24.5,24.059999,24.07,17.904589,1051700
2004-03-18,24.07,24.1,23.709999,23.799999,17.703747,1006800
2004-03-19,23.75,23.84,23.4,23.74,17.659119,759200
2004-03-22,23.4,23.75,23.09,23.700001,17.629364,1018700
2004-03-23,23.75,24.0,23.51,24.0,17.852516,678300
2004-03-24,24.0,24.049999,23.77,23.799999,17.703747,510900
2004-03-25,23.65,24.059999,23.49,23.959999,17.82276,1499800
2004-03-26,23.870001,24.34,23.870001,24.1,17.926908,887500
2004-03-29,24.110001,24.440001,24.110001,24.370001,18.127754,823900
2004-03-30,24.200001,24.75,24.18,24.719999,18.388092,739300
2004-03-31,24.75,25.290001,24.6,25.15,18.70796,728500
2004-04-01,25.25,25.4,24.780001,25.25,18.782333,1568800
2004-04-02,25.360001,25.41,24.75,25.219999,18.760019,1166400
2004-04-05,25.049999,25.530001,24.9,25.51,18.975742,544200
2004-04-06,25.450001,26.0,25.25,25.940001,19.295601,697900
2004-04-07,25.75,25.860001,25.4,25.73,19.139383,444100
2004-04-08,25.84,26.26,25.700001,26.219999,19.503874,657400
2004-04-12,26.15,26.25,25.709999,25.879999,19.250967,804000
2004-04-13,25.98,26.16,25.15,25.25,18.782333,860800
2004-04-14,25.25,25.450001,24.969999,25.190001,18.737705,1518700
2004-04-15,25.299999,25.75,25.07,25.25,18.782333,1406600
2004-04-16,25.299999,25.639999,25.049999,25.540001,18.998056,272100
2004-04-19,25.450001,26.129999,25.450001,25.73,19.139383,627800
2004-04-20,25.700001,25.799999,25.4,25.549999,19.005495,926200
2004-04-21,25.5,25.58,25.0,25.200001,18.745144,980800
2004-04-22,25.35,25.440001,25.0,25.200001,18.745144,568200
2004-04-23,25.200001,25.219999,24.860001,25.030001,18.61869,355900
2004-04-26,24.85,25.0,24.65,24.9,18.52199,238900
2004-04-27,24.85,25.27,24.84,25.17,18.722826,171900
2004-04-28,25.25,25.25,24.92,25.0,18.596376,256100
2004-04-29,24.889999,24.950001,24.6,24.719999,18.388092,298200
2004-04-30,24.629999,25.0,24.34,24.360001,18.120302,608100
2004-05-03,24.559999,25.040001,24.450001,25.0,18.596376,514800
2004-05-04,24.950001,25.02,24.5,24.75,18.410408,953800
2004-05-05,24.9,25.0,24.6,24.690001,18.365772,304700
2004-05-06,24.700001,24.959999,24.290001,24.65,18.336025,319600
2004-05-07,24.5,24.799999,23.549999,24.1,17.926908,564500
2004-05-10,24.0,24.049999,23.48,24.0,17.852516,479000
2004-05-11,23.940001,24.49,23.719999,24.26,18.045925,418400
2004-05-12,24.65,24.719999,23.559999,24.4,18.150061,1549800
2004-05-13,24.25,25.280001,24.08,24.99,18.588938,753400
2004-05-14,24.99,25.15,24.85,25.0,18.596376,750400
2004-05-17,24.799999,24.799999,24.25,24.370001,18.127754,569600
2004-05-18,24.5,25.049999,24.41,24.84,18.477364,852100
2004-05-19,24.799999,25.0,24.639999,24.75,18.410408,434400
2004-05-20,24.75,25.0,24.700001,25.0,18.649122,546500
2004-05-21,24.99,25.0,24.879999,24.93,18.596907,469600
2004-05-24,25.049999,25.049999,24.82,25.0,18.649122,532500
2004-05-25,25.0,25.01,24.52,24.65,18.388031,1171200
2004-05-26,24.700001,24.84,24.379999,24.799999,18.499924,349200
2004-05-27,24.700001,24.99,24.549999,24.6,18.350733,615900
2004-05-28,24.65,25.1,24.450001,25.1,18.723717,283900
2004-06-01,25.0,25.290001,24.9,25.16,18.768478,939300
2004-06-02,25.41,25.49,25.15,25.4,18.947504,505900
2004-06-03,25.43,25.700001,25.290001,25.629999,19.119072,397700
2004-06-04,25.549999,25.85,25.450001,25.799999,19.245892,240100
2004-06-07,25.9,25.91,25.49,25.549999,19.059401,336400
2004-06-08,25.370001,25.6,25.24,25.58,19.081779,614300
2004-06-09,25.700001,25.9,25.48,25.52,19.037018,846300
2004-06-10,25.6,25.6,25.4,25.459999,18.992264,543700
2004-06-14,25.459999,25.459999,25.08,25.450001,18.984802,177900
2004-06-15,25.5,25.85,25.440001,25.68,19.156378,559400
2004-06-16,25.5,25.719999,25.48,25.530001,19.044474,192800
2004-06-17,25.5,25.790001,25.450001,25.780001,19.230972,282200
2004-06-18,25.65,25.719999,25.07,25.35,18.910206,801400
2004-06-21,25.41,25.440001,25.24,25.299999,18.872913,207700
2004-06-22,25.32,25.4,25.1,25.299999,18.872913,268200
2004-06-23,25.35,25.48,25.120001,25.280001,18.857988,183200
2004-06-24,25.1,25.799999,25.1,25.450001,18.984802,507100
2004-06-25,25.549999,25.99,25.440001,25.99,19.387625,2268900
2004-06-28,25.99,26.25,25.92,26.200001,19.544277,604400
2004-06-29,26.1,26.59,26.0,26.469999,19.745684,486600
2004-06-30,26.52,26.57,26.25,26.379999,19.678551,566700
2004-07-01,26.379999,26.41,26.18,26.299999,19.618872,461600
2004-07-02,26.25,26.360001,26.0,26.07,19.447294,489000
2004-07-06,26.059999,26.059999,25.709999,25.85,19.283188,246200
2004-07-07,25.82,26.0,25.799999,26.0,19.395081,416800
2004-07-08,26.0,26.0,25.799999,25.85,19.283188,224500
2004-07-09,25.92,25.98,25.709999,25.85,19.283188,155700
2004-07-12,25.9,26.0,25.799999,25.969999,19.372704,93700
2004-07-13,25.969999,26.030001,25.82,26.0,19.395081,545400
2004-07-14,26.0,26.0,25.51,25.780001,19.230972,203100
2004-07-15,25.629999,25.74,25.309999,25.469999,18.999716,292100
2004-07-16,25.48,25.610001,25.290001,25.48,19.007185,342200
2004-07-19,25.4,25.6,25.35,25.549999,19.059401,280600
2004-07-20,25.450001,25.549999,25.33,25.48,19.007185,647000
2004-07-21,25.540001,25.58,25.440001,25.440001,18.97735,740200
2004-07-22,25.4,25.4,24.690001,24.700001,18.425331,1169000
2004-07-23,24.65,24.65,24.16,24.299999,18.126936,1022700
