Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375,7.375,7.25,7.25,4.509812,20800
1994-02-23,7.125,7.125,6.75,6.9375,4.315422,31600
1994-02-24,6.9375,6.9375,6.8125,6.8125,4.237668,32000
1994-02-25,6.6875,6.6875,6.25,6.4375,4.004401,49800
1994-02-28,6.5,6.75,6.4375,6.625,4.121036,170400
1994-03-01,6.625,6.625,6.5,6.5625,4.082156,41600
1994-03-02,6.4375,6.5625,6.4375,6.5625,4.082156,67000
1994-03-03,6.625,6.625,6.5,6.5,4.04328,27800
1994-03-04,6.5,6.75,6.4375,6.75,4.19879,358200
1994-03-07,6.4375,6.8125,6.4375,6.75,4.19879,690800
1994-03-08,6.75,6.8125,6.75,6.8125,4.237668,515200
1994-03-09,6.8125,6.875,6.8125,6.875,4.276545,540400
1994-03-10,6.875,6.875,6.8125,6.875,4.276545,1832200
1994-03-11,6.9375,7.1875,6.9375,7.1875,4.470933,1895400
1994-03-14,7.1875,7.625,7.1875,7.5625,4.704199,1413800
1994-03-15,7.5625,7.6875,7.4375,7.4375,4.626443,1665200
1994-03-16,7.4375,7.4375,7.3125,7.4375,4.626443,717000
1994-03-17,7.4375,7.6875,7.4375,7.5625,4.720065,971200
1994-03-18,7.625,7.6875,7.625,7.625,4.759071,1178000
1994-03-21,7.625,7.6875,7.625,7.6875,4.798084,659400
1994-03-22,7.6875,7.875,7.6875,7.8125,4.8761,374000
1994-03-23,7.8125,7.9375,7.75,7.875,4.915108,430200
1994-03-24,7.8125,7.875,7.75,7.75,4.837093,747000
1994-03-25,7.8125,7.8125,7.625,7.6875,4.798084,370000
1994-03-28,7.6875,7.6875,7.625,7.625,4.759071,1116200
1994-03-29,7.625,7.6875,7.5,7.5,4.681057,595800
1994-03-30,7.5,7.5,7.3125,7.375,4.603037,653000
1994-03-31,7.375,7.4375,7.25,7.375,4.603037,448400
1994-04-04,7.125,7.375,7.125,7.375,4.603037,386600
1994-04-05,7.3125,7.6875,7.3125,7.625,4.759071,361600
1994-04-06,7.625,7.6875,7.375,7.375,4.603037,551400
1994-04-07,7.5,7.5,7.375,7.4375,4.642048,338400
1994-04-08,7.3125,7.5,7.3125,7.5,4.681057,166000
1994-04-11,7.5,7.625,7.25,7.25,4.525023,424800
1994-04-12,7.125,7.25,7.125,7.125,4.447003,602800
1994-04-13,7.125,7.3125,7.0,7.0,4.368986,504600
1994-04-14,7.0625,7.0625,6.9375,6.9375,4.329978,378200
1994-04-15,6.875,7.0625,6.875,6.875,4.290969,197600
1994-04-18,7.0,7.25,7.0,7.25,4.525023,184800
1994-04-19,7.1875,7.3125,7.1875,7.25,4.525023,122200
1994-04-20,7.3125,7.3125,7.125,7.125,4.447003,201400
1994-04-21,7.125,7.3125,6.875,6.875,4.290969,858200
1994-04-22,7.0,7.25,7.0,7.25,4.525023,411400
1994-04-25,7.1875,7.625,7.1875,7.625,4.759071,330600
1994-04-26,7.5625,7.5625,7.25,7.375,4.603037,313400
1994-04-28,7.3125,7.3125,7.125,7.3125,4.564031,161600
1994-04-29,7.25,7.3125,7.1875,7.25,4.525023,344600
1994-05-02,7.1875,7.3125,7.0625,7.1875,4.486012,135800
1994-05-03,7.25,7.4375,7.125,7.1875,4.486012,375200
1994-05-04,7.125,7.375,7.125,7.3125,4.564031,491800
1994-05-05,7.3125,7.3125,7.1875,7.25,4.525023,152800
1994-05-06,7.25,7.3125,7.25,7.25,4.525023,272800
1994-05-09,7.25,7.3125,7.25,7.25,4.525023,161600
1994-05-10,7.25,7.5,7.25,7.5,4.681057,308200
1994-05-11,7.5,7.6875,7.5,7.5625,4.720065,388600
1994-05-12,7.5,7.75,7.5,7.75,4.837093,155000
1994-05-13,7.6875,7.75,7.375,7.375,4.603037,105200
1994-05-16,7.375,7.5625,7.375,7.4375,4.642048,206800
1994-05-17,7.5,7.5625,7.4375,7.5,4.681057,422600
1994-05-18,7.5,7.5,7.4375,7.5,4.681057,130800
1994-05-19,7.4375,7.625,7.375,7.5625,4.720065,199400
1994-05-20,7.5,7.5625,7.375,7.375,4.603037,119600
1994-05-23,7.3125,7.375,7.25,7.25,4.525023,195600
1994-05-24,7.4375,7.5625,7.375,7.5625,4.720065,158200
1994-05-25,7.5,7.75,7.5,7.6875,4.798084,104800
1994-05-26,7.75,7.75,7.5625,7.75,4.837093,345800
1994-05-27,7.6875,7.8125,7.625,7.8125,4.8761,298000
1994-05-31,7.9375,8.25,7.875,8.0625,5.032136,456400
1994-06-01,8.0625,8.0625,7.875,7.875,4.915108,268200
1994-06-02,8.0,8.0625,7.8125,7.875,4.915108,81000
1994-06-03,7.8125,7.9375,7.625,7.75,4.837093,397400
1994-06-06,7.875,7.9375,7.8125,7.875,4.915108,75600
1994-06-07,7.75,7.9375,7.75,7.9375,4.954116,92800
1994-06-08,7.9375,7.9375,7.875,7.875,4.915108,107600
1994-06-09,7.8125,7.90625,7.8125,7.875,4.930761,187800
1994-06-10,7.875,7.875,7.6875,7.6875,4.813364,280600
1994-06-13,7.75,7.875,7.5625,7.875,4.930761,97600
1994-06-14,7.875,8.0625,7.8125,8.0625,5.048162,339800
1994-06-15,8.0,8.1875,8.0,8.1875,5.126428,305200
1994-06-16,8.125,8.5,8.0625,8.5,5.322091,393800
1994-06-17,8.5,8.5,8.25,8.25,5.165561,407200
1994-06-20,8.125,8.25,8.0625,8.125,5.087292,47800
1994-06-21,8.125,8.5,8.125,8.5,5.322091,556200
1994-06-22,8.375,8.625,8.375,8.5,5.322091,759200
1994-06-23,8.4375,8.5,8.4375,8.5,5.322091,553200
1994-06-24,8.4375,8.5,8.375,8.375,5.243825,1003800
1994-06-27,8.375,8.375,8.125,8.25,5.165561,295200
1994-06-28,8.1875,8.25,8.125,8.125,5.087292,165800
1994-06-29,8.125,8.125,8.0,8.0,5.009027,396200
1994-06-30,8.0,8.1875,8.0,8.1875,5.126428,453200
1994-07-01,8.1875,8.25,8.0625,8.125,5.087292,870200
1994-07-05,8.0625,8.25,8.0625,8.1875,5.126428,685600
1994-07-06,8.1875,8.25,8.125,8.125,5.087292,163800
1994-07-07,8.125,8.25,8.125,8.1875,5.126428,290600
1994-07-08,8.125,8.3125,8.125,8.25,5.165561,165000
1994-07-11,8.1875,8.3125,8.1875,8.25,5.165561,86800
1994-07-12,8.25,8.25,8.0625,8.0625,5.048162,390800
1994-07-13,8.0625,8.125,8.0,8.0625,5.048162,287000
1994-07-14,7.9375,8.125,7.9375,8.0625,5.048162,167600
1994-07-15,7.9375,8.0625,7.9375,8.0625,5.048162,78800
1994-07-18,8.0625,8.25,8.0,8.1875,5.126428,150600
1994-07-19,8.3125,8.5,8.3125,8.375,5.243825,743800
1994-07-20,8.375,8.5625,8.3125,8.5625,5.361229,1206000
1994-07-21,8.4375,8.5625,8.4375,8.5625,5.361229,544800
1994-07-22,8.5625,8.625,8.5,8.5625,5.361229,201400
1994-07-25,8.625,8.625,8.5,8.625,5.400358,71600
1994-07-26,8.75,8.8125,8.625,8.6875,5.439491,205400
1994-07-27,8.625,8.8125,8.625,8.6875,5.439491,244000
1994-07-28,8.625,8.625,8.5625,8.625,5.400358,122400
1994-07-29,8.625,8.6875,8.5625,8.6875,5.439491,102400
1994-08-01,8.625,8.6875,8.625,8.6875,5.439491,136800
1994-08-02,8.75,8.8125,8.6875,8.8125,5.517757,513400
1994-08-03,8.8125,8.8125,8.6875,8.8125,5.517757,709800
1994-08-04,8.25,8.25,7.625,7.9375,4.969893,1680600
1994-08-05,7.9375,7.9375,7.75,7.75,4.852498,373600
1994-08-08,7.8125,7.875,7.75,7.8125,4.891628,501400
1994-08-09,7.875,7.875,7.6875,7.75,4.852498,1031000
1994-08-10,7.75,7.75,7.625,7.6875,4.813364,1103200
1994-08-11,7.625,7.65625,7.5625,7.5625,4.735098,703800
1994-08-12,7.5625,7.6875,7.375,7.6875,4.813364,422800
1994-08-15,7.625,7.8125,7.625,7.8125,4.891628,173800
1994-08-16,7.8125,8.0625,7.75,8.0625,5.048162,280000
1994-08-17,8.0625,8.25,8.0,8.0625,5.048162,131800
1994-08-18,8.0,8.0625,8.0,8.0,5.009027,225800
1994-08-19,8.0625,8.375,8.0625,8.25,5.165561,166600
1994-08-22,8.125,8.1875,8.0625,8.125,5.087292,41000
1994-08-23,8.1875,8.1875,8.125,8.125,5.087292,186800
1994-08-24,8.125,8.125,7.9375,7.9375,4.969893,183200
1994-08-25,7.8125,7.8125,7.5625,7.6875,4.813364,178000
1994-08-26,7.625,7.6875,7.4375,7.625,4.774228,515200
1994-08-29,7.5625,7.6875,7.5625,7.6875,4.813364,45800
1994-08-30,7.5625,7.625,7.3125,7.5,4.695964,420800
1994-08-31,7.625,7.625,7.4375,7.5,4.695964,277200
1994-09-01,7.625,7.625,7.4375,7.4375,4.656832,142400
1994-09-02,7.4375,7.5,7.4375,7.4375,4.656832,117000
1994-09-06,7.4375,7.5,7.375,7.5,4.695964,226800
1994-09-07,7.5625,7.5625,7.375,7.375,4.617696,192600
1994-09-08,7.375,7.4375,7.375,7.375,4.617696,105600
1994-09-09,7.3125,7.4375,7.3125,7.3125,4.594138,1000800
1994-09-12,7.4375,7.4375,7.1875,7.3125,4.594138,419400
1994-09-13,7.4375,7.4375,7.375,7.4375,4.672671,97800
1994-09-14,7.375,7.4375,7.3125,7.375,4.633404,62600
1994-09-15,7.375,7.375,7.1875,7.1875,4.515606,956600
1994-09-16,7.25,7.25,7.1875,7.25,4.554873,245000
1994-09-19,7.25,7.25,7.1875,7.25,4.554873,134400
1994-09-20,7.4375,7.5625,7.4375,7.5625,4.751203,1914200
1994-09-21,7.5,7.5,7.375,7.4375,4.672671,471400
1994-09-22,7.375,7.5,7.25,7.25,4.554873,1111000
1994-09-23,7.3125,7.3125,7.1875,7.1875,4.515606,85200
1994-09-26,7.25,7.25,7.1875,7.25,4.554873,652400
1994-09-27,7.1875,7.3125,7.1875,7.3125,4.594138,158600
1994-09-28,7.3125,7.3125,7.25,7.25,4.554873,220200
1994-09-29,7.25,7.25,7.125,7.125,4.47634,242200
1994-09-30,7.1875,7.25,7.1875,7.1875,4.515606,36600
1994-10-03,7.25,7.3125,7.1875,7.1875,4.515606,319000
1994-10-04,7.1875,7.25,7.125,7.125,4.47634,307400
1994-10-05,7.1875,7.25,7.125,7.125,4.47634,162200
1994-10-06,7.1875,7.1875,7.125,7.1875,4.515606,35200
1994-10-07,7.125,7.125,7.0,7.125,4.47634,450600
1994-10-10,7.0625,7.1875,7.0625,7.1875,4.515606,42800
1994-10-11,7.1875,7.1875,7.125,7.125,4.47634,75200
1994-10-12,7.1875,7.1875,7.125,7.125,4.47634,113600
1994-10-13,7.125,7.375,7.125,7.3125,4.594138,2396400
1994-10-14,7.3125,7.6875,7.3125,7.6875,4.829736,275200
1994-10-17,7.6875,7.6875,7.5625,7.5625,4.751203,61400
1994-10-18,7.5625,7.625,7.5625,7.5625,4.751203,25200
1994-10-19,7.625,7.8125,7.625,7.6875,4.829736,167200
1994-10-20,7.625,7.625,7.5,7.5,4.711938,109400
1994-10-21,7.5,7.625,7.4375,7.5625,4.751203,195000
1994-10-24,7.5,7.9375,7.5,7.9375,4.986799,51200
1994-10-25,7.9375,8.0,7.375,7.625,4.790469,169000
1994-10-26,7.625,7.6875,7.5,7.6875,4.829736,62000
1994-10-27,7.75,7.75,7.4375,7.5,4.711938,134600
1994-10-28,7.5625,7.625,7.5,7.625,4.790469,91800
1994-10-31,7.625,7.6875,7.5625,7.625,4.790469,163000
1994-11-01,7.75,7.8125,7.625,7.6875,4.829736,358000
1994-11-02,7.6875,7.6875,7.4375,7.4375,4.672671,39600
1994-11-03,7.5,7.625,7.4375,7.5,4.711938,258800
1994-11-04,7.5,7.5625,7.4375,7.4375,4.672671,116000
1994-11-07,7.4375,7.4375,7.375,7.4375,4.672671,76600
1994-11-08,7.375,7.4375,7.25,7.375,4.633404,146200
1994-11-09,7.4375,7.4375,7.25,7.25,4.554873,236800
1994-11-10,7.3125,7.375,7.25,7.3125,4.594138,215400
1994-11-11,7.3125,7.3125,7.1875,7.25,4.554873,138000
1994-11-14,7.25,7.25,7.1875,7.25,4.554873,156000
1994-11-15,7.25,7.25,7.125,7.1875,4.515606,456000
