Date,Open,High,Low,Close,Adj Close,Volume
1993-06-03,14.875,15.0,14.5,14.6875,7.804477,56603000
1993-06-04,14.5625,14.6875,14.3125,14.3125,7.605214,12644400
1993-06-07,14.125,14.25,14.0,14.0625,7.472374,10043800
1993-06-08,14.0625,14.125,13.8125,13.875,7.372739,6974600
1993-06-09,13.9375,14.25,13.9375,14.125,7.505584,4043200
1993-06-10,14.0625,14.125,13.9375,14.0,7.439163,2605400
1993-06-11,14.0,14.1875,14.0,14.0,7.439163,2641600
1993-06-14,14.0625,14.125,13.875,13.875,7.372739,1806200
1993-06-15,14.0,14.0,13.875,13.9375,7.405949,2257600
1993-06-16,13.9375,14.0,13.875,14.0,7.439163,2391600
1993-06-17,14.0,14.125,13.9375,14.0,7.439163,2126800
1993-06-18,14.0,14.0,13.8125,13.8125,7.339534,2128600
1993-06-21,13.8125,13.8125,13.5625,13.6875,7.273105,2101000
1993-06-22,13.6875,13.875,13.6875,13.875,7.372739,1593600
1993-06-23,13.875,14.0,13.8125,13.8125,7.339534,1948000
1993-06-24,13.8125,14.0625,13.625,14.0625,7.472374,3305200
1993-06-25,14.25,14.3125,14.0625,14.25,7.571998,2468000
1993-06-28,14.1875,14.5,14.1875,14.5,7.704844,2522600
1993-06-29,14.4375,14.5,14.125,14.375,7.638421,1190800
1993-06-30,14.5,14.625,14.4375,14.5,7.704844,2553800
1993-07-01,14.6875,14.75,14.3125,14.75,7.837687,2857800
1993-07-02,14.4375,14.4375,14.3125,14.375,7.638421,1077200
1993-07-06,14.4375,14.5625,14.3125,14.3125,7.605214,1237600
1993-07-07,14.25,14.375,14.1875,14.25,7.571998,1667200
1993-07-08,14.3125,14.5,14.25,14.4375,7.671635,1588600
1993-07-09,14.5625,14.625,14.25,14.25,7.571998,1731200
1993-07-12,14.375,14.375,13.9375,14.125,7.505584,1738600
1993-07-13,14.1875,14.4375,14.1875,14.3125,7.605214,1305000
1993-07-14,14.3125,14.625,14.3125,14.625,7.771268,1805600
1993-07-15,14.625,14.6875,14.5625,14.6875,7.804477,1235400
1993-07-16,14.875,15.0625,14.75,14.9375,7.937322,2590200
1993-07-19,15.0,15.1875,14.9375,15.1875,8.07016,2590000
1993-07-20,15.75,15.75,15.3125,15.3125,8.13658,3977600
1993-07-21,15.4375,15.4375,14.9375,14.9375,7.937322,1779000
1993-07-22,15.0,15.0,14.75,14.8125,7.870898,1095200
1993-07-23,14.8125,15.0625,14.8125,14.9375,7.937322,1060400
1993-07-26,15.0,15.25,14.9375,15.25,8.103374,990000
1993-07-27,15.25,15.5625,15.25,15.25,8.103374,942200
1993-07-28,15.25,15.3125,15.125,15.1875,8.07016,346200
1993-07-29,15.0625,15.375,15.0,15.25,8.103374,1070400
1993-07-30,15.25,15.5625,15.25,15.5625,8.269426,1271200
1993-08-02,15.5625,15.6875,15.4375,15.5,8.236215,1062200
1993-08-03,15.5625,15.8125,15.5625,15.6875,8.335841,1316000
1993-08-04,15.75,15.875,15.5,15.625,8.302635,752200
1993-08-05,15.6875,15.6875,15.25,15.25,8.103374,910600
1993-08-06,15.4375,15.625,15.4375,15.5,8.236215,718200
1993-08-09,15.5,15.5625,15.375,15.5,8.236215,492000
1993-08-10,15.5,15.625,15.3125,15.3125,8.13658,1608600
1993-08-11,15.4375,15.4375,15.1875,15.25,8.103374,337400
1993-08-12,15.25,15.25,15.0,15.125,8.036953,496200
1993-08-13,15.1875,15.1875,15.0,15.0,7.970528,375200
1993-08-16,14.9375,15.0625,14.8125,14.875,7.904106,1067800
1993-08-17,14.875,15.125,14.875,15.0,7.970528,1069400
1993-08-18,15.0625,15.1875,15.0625,15.1875,8.07016,809800
1993-08-19,15.1875,15.625,15.1875,15.625,8.302635,861200
1993-08-20,15.5625,16.0,15.5625,16.0,8.5019,2957000
1993-08-23,16.0625,16.0625,15.875,16.0,8.5019,853000
1993-08-24,15.875,16.0625,15.875,15.9375,8.468685,759800
1993-08-25,15.875,16.0,15.875,15.875,8.435479,951200
1993-08-26,15.9375,16.0,15.75,16.0,8.5019,721200
1993-08-27,16.0,16.0625,15.9375,16.0,8.5019,316600
1993-08-30,15.875,15.9375,15.5625,15.625,8.302635,945800
1993-08-31,15.5,15.625,15.4375,15.5,8.236215,590000
1993-09-01,15.6875,15.9375,15.6875,15.9375,8.468685,355400
1993-09-02,15.875,16.0,15.75,15.8125,8.402269,682200
1993-09-03,15.8125,16.0625,15.8125,15.9375,8.468685,550400
1993-09-07,16.0625,16.375,16.0,16.125,8.568321,873000
1993-09-08,16.0,16.0,15.8125,15.875,8.435479,1367800
1993-09-09,15.75,16.0625,15.75,15.9375,8.51697,625400
1993-09-10,16.0,16.125,16.0,16.0625,8.583771,664600
1993-09-13,16.0625,16.125,15.9375,16.0,8.550371,344600
1993-09-14,16.0625,16.375,16.0,16.375,8.750772,453200
1993-09-15,16.125,16.125,15.9375,16.0625,8.583771,599200
1993-09-16,16.0,16.125,15.875,16.125,8.617176,403400
1993-09-17,16.0,16.125,15.875,16.125,8.617176,501600
1993-09-20,16.0625,16.0625,15.875,16.0,8.550371,567400
1993-09-21,15.9375,15.9375,15.6875,15.875,8.483573,816200
1993-09-22,15.875,16.0625,15.875,16.0,8.550371,945800
1993-09-23,15.875,16.1875,15.875,16.1875,8.650572,693600
1993-09-24,16.125,16.1875,16.0625,16.0625,8.583771,1074200
1993-09-27,16.1875,16.5625,16.1875,16.5,8.817573,1146000
1993-09-28,16.5,16.6875,16.375,16.625,8.884371,1109200
1993-09-29,16.5,16.625,16.1875,16.25,8.683974,607800
1993-09-30,16.3125,16.3125,15.875,15.875,8.483573,875400
1993-10-01,16.0,16.1875,15.875,16.1875,8.650572,404800
1993-10-04,16.1875,16.375,16.125,16.1875,8.650572,429400
1993-10-05,16.1875,16.5625,16.1875,16.5625,8.850969,414400
1993-10-06,16.5,16.5625,16.3125,16.5,8.817573,551200
1993-10-07,16.4375,16.625,16.4375,16.4375,8.784174,441000
1993-10-08,16.6875,16.75,16.375,16.5,8.817573,400400
1993-10-11,16.5625,16.6875,16.5,16.625,8.884371,280200
1993-10-12,16.625,16.875,16.625,16.625,8.884371,777600
1993-10-13,16.625,16.75,16.5625,16.6875,8.917771,240400
1993-10-14,16.75,17.125,16.75,17.0,9.084773,663200
1993-10-15,16.9375,16.9375,16.6875,16.8125,8.984569,576400
1993-10-18,16.875,16.9375,16.75,16.8125,8.984569,439800
1993-10-19,16.875,16.875,16.5,16.5,8.817573,537600
1993-10-20,16.375,16.625,15.875,16.25,8.683974,559000
1993-10-21,16.25,16.8125,16.1875,16.5,8.817573,1191400
1993-10-22,16.5625,16.8125,16.375,16.5625,8.850969,523400
1993-10-25,16.375,16.4375,16.0,16.125,8.617176,724400
1993-10-26,16.1875,16.1875,16.0,16.125,8.617176,488200
1993-10-27,16.1875,16.1875,15.75,15.75,8.416771,497800
1993-10-28,15.375,15.875,15.1875,15.75,8.416771,807600
1993-10-29,15.6875,15.6875,15.5625,15.6875,8.38337,807400
1993-11-01,15.625,16.0625,15.625,16.0,8.550371,184000
1993-11-02,15.9375,15.9375,15.5,15.625,8.349972,953600
1993-11-03,15.125,15.375,14.8125,15.1875,8.116175,1373800
1993-11-04,15.25,15.3125,15.0625,15.125,8.082772,814000
1993-11-05,15.25,15.25,15.0,15.0,8.015973,701000
1993-11-08,15.0,15.25,14.875,15.125,8.082772,978200
1993-11-09,15.375,15.375,15.1875,15.25,8.149573,1091400
1993-11-10,15.25,15.25,14.9375,15.0,8.015973,1181400
1993-11-11,15.0,15.0,14.8125,14.8125,7.915774,587400
1993-11-12,14.9375,14.9375,14.625,14.8125,7.915774,545000
1993-11-15,14.8125,14.8125,14.5625,14.6875,7.848976,1031600
1993-11-16,14.625,14.6875,14.4375,14.625,7.815574,803400
1993-11-17,14.5625,14.6875,14.5625,14.5625,7.782176,316800
1993-11-18,14.5625,14.8125,14.5,14.625,7.815574,1104200
1993-11-19,14.625,14.625,13.8125,14.3125,7.648576,1719000
1993-11-22,14.3125,14.375,14.0625,14.125,7.548376,470400
1993-11-23,14.25,14.4375,14.1875,14.375,7.681973,523400
1993-11-24,14.4375,14.9375,14.4375,14.8125,7.915774,474800
1993-11-26,14.9375,15.0,14.8125,14.875,7.949174,99800
1993-11-29,15.0,15.0625,14.875,14.875,7.949174,370800
1993-11-30,14.875,14.875,14.5,14.75,7.882371,399600
1993-12-01,14.875,14.9375,14.6875,14.8125,7.915774,335800
1993-12-02,14.625,14.8125,14.5625,14.8125,7.964169,235400
1993-12-03,14.75,14.8125,14.25,14.5,7.796144,770000
1993-12-06,14.375,14.5,14.25,14.375,7.728935,356400
1993-12-07,14.5,14.5625,14.0625,14.125,7.594518,894400
1993-12-08,14.125,14.6875,14.125,14.5625,7.829751,415800
1993-12-09,14.4375,14.5,14.375,14.5,7.796144,434000
1993-12-10,14.4375,14.4375,14.1875,14.3125,7.695332,521800
1993-12-13,14.3125,14.375,14.25,14.25,7.661729,850400
1993-12-14,14.3125,14.5,14.3125,14.3125,7.695332,673200
1993-12-15,14.3125,14.375,14.1875,14.3125,7.695332,821800
1993-12-16,14.1875,14.5,14.1875,14.4375,7.762544,407800
1993-12-17,14.5625,14.75,14.5,14.6875,7.896957,278000
1993-12-20,14.75,14.875,14.625,14.8125,7.964169,398200
1993-12-21,14.875,14.9375,14.8125,14.9375,8.031373,320200
1993-12-22,14.875,15.0,14.75,14.75,7.930557,392400
1993-12-23,14.75,14.9375,14.75,14.875,7.997769,759600
1993-12-27,14.8125,14.9375,14.6875,14.6875,7.896957,293400
1993-12-28,14.75,14.75,14.4375,14.75,7.930557,350800
1993-12-29,14.6875,15.0,14.6875,15.0,8.064975,436400
1993-12-30,14.9375,15.0625,14.8125,14.875,7.997769,299400
1993-12-31,14.9375,14.9375,14.75,14.75,7.930557,143200
1994-01-03,14.75,14.8125,14.5625,14.8125,7.964169,480800
1994-01-04,14.75,14.75,14.4375,14.625,7.863354,422400
1994-01-05,14.625,14.625,14.375,14.5625,7.829751,560600
1994-01-06,14.5,14.625,14.25,14.375,7.728935,522800
1994-01-07,14.3125,14.4375,14.125,14.3125,7.695332,395800
1994-01-10,14.25,14.4375,14.1875,14.375,7.728935,437600
1994-01-11,14.3125,14.3125,14.0625,14.1875,7.628124,425200
1994-01-12,14.25,14.375,14.125,14.3125,7.695332,619400
1994-01-13,14.3125,14.5625,14.3125,14.4375,7.762544,560000
1994-01-14,14.375,14.9375,14.375,14.8125,7.964169,490400
1994-01-17,14.375,14.75,14.1875,14.3125,7.695332,885400
