Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,17.375,18.0,17.375,17.375,14.712755,50000
1998-03-02,17.25,17.25,17.0,17.25,14.606902,75000
1998-03-03,17.125,17.125,16.75,17.125,14.501059,35000
1998-03-04,15.75,15.75,15.5,15.75,13.33674,60000
1998-03-05,16.125,16.125,16.125,16.125,13.654281,400
1998-03-06,16.125,16.375,16.125,16.125,13.654281,3600
1998-03-09,16.125,16.5,15.875,15.875,13.442585,3200
1998-03-10,15.875,16.875,15.875,16.25,13.760127,56800
1998-03-11,16.25,16.5,16.125,16.25,13.760127,10400
1998-03-12,16.25,16.375,16.125,16.375,13.865978,3800
1998-03-13,16.5,16.5,16.5,16.5,13.971823,1000
1998-03-16,16.5,16.5,16.125,16.125,13.654281,7700
1998-03-17,16.125,16.125,15.75,15.875,13.442585,28000
1998-03-18,15.875,16.125,15.75,16.125,13.654281,45700
1998-03-19,16.125,17.375,16.0,17.125,14.501059,383600
1998-03-20,17.25,17.75,17.25,17.75,15.030293,275600
1998-03-23,17.75,19.0,17.375,18.875,15.982922,398600
1998-03-24,18.875,19.875,18.875,19.75,16.723848,261800
1998-03-25,19.75,20.125,19.5,19.875,16.829693,135600
1998-03-26,19.875,19.875,19.25,19.625,16.618006,26300
1998-03-27,19.625,19.75,18.375,19.25,16.300463,62200
1998-03-30,19.25,19.875,19.25,19.875,16.829693,49500
1998-03-31,19.875,20.25,19.875,20.125,17.041389,79000
1998-04-01,20.125,20.625,20.0,20.5,17.358929,150100
1998-04-02,21.75,23.375,21.75,23.25,19.687569,140500
1998-04-03,23.25,26.125,21.75,24.75,20.957735,458700
1998-04-06,24.75,26.0,23.0,24.0,20.322651,105300
1998-04-07,24.0,24.0,22.125,22.125,18.734936,152800
1998-04-08,22.125,23.0,21.0,22.5,19.052486,45100
1998-04-09,22.5,23.0,22.25,23.0,19.475872,151400
1998-04-13,23.0,23.25,22.375,22.625,19.158329,85900
