Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,5.1875,5.15625,5.15625,2.214426,22400
1973-02-22,0.0,5.203125,5.171875,5.171875,2.221136,11200
1973-02-23,0.0,5.171875,5.125,5.140625,2.207717,52800
1973-02-26,0.0,5.125,5.125,5.125,2.201005,9600
1973-02-27,0.0,5.140625,5.125,5.125,2.201005,18400
1973-02-28,0.0,5.140625,5.125,5.125,2.201005,29600
1973-03-01,0.0,5.125,5.0625,5.0625,2.177509,24000
1973-03-02,0.0,5.0625,5.03125,5.03125,2.164068,36800
1973-03-05,0.0,5.046875,5.0,5.015625,2.157348,48000
1973-03-06,0.0,5.078125,5.015625,5.078125,2.18423,12800
1973-03-07,0.0,5.125,5.0625,5.125,2.204392,97600
1973-03-08,0.0,5.109375,5.09375,5.109375,2.197672,8000
1973-03-09,0.0,5.125,5.09375,5.09375,2.190951,100800
1973-03-12,0.0,5.09375,5.0625,5.0625,2.177509,57600
1973-03-13,0.0,5.03125,5.03125,5.03125,2.164068,114400
1973-03-14,0.0,5.125,5.0625,5.109375,2.197672,226400
1973-03-15,0.0,5.21875,5.125,5.1875,2.231275,74400
1973-03-16,0.0,5.1875,5.15625,5.1875,2.231275,116000
1973-03-19,0.0,5.234375,5.171875,5.234375,2.251438,53600
1973-03-20,0.0,5.28125,5.203125,5.25,2.258158,40000
1973-03-21,0.0,5.34375,5.265625,5.28125,2.271598,65600
1973-03-22,0.0,5.265625,5.125,5.125,2.204392,69600
1973-03-23,0.0,5.140625,5.109375,5.125,2.204392,20000
1973-03-26,0.0,5.21875,5.15625,5.1875,2.231275,28800
1973-03-27,0.0,5.1875,5.15625,5.171875,2.224554,12000
1973-03-28,0.0,5.3125,5.15625,5.3125,2.28504,38400
1973-03-29,0.0,5.53125,5.34375,5.53125,2.379132,516000
1973-03-30,0.0,5.5,5.4375,5.46875,2.352248,50400
1973-04-02,0.0,5.5,5.4375,5.5,2.365689,12000
1973-04-03,0.0,5.5625,5.46875,5.5625,2.392573,53600
1973-04-04,0.0,5.609375,5.53125,5.609375,2.412734,32800
1973-04-05,0.0,5.609375,5.546875,5.546875,2.385852,21600
1973-04-06,0.0,5.578125,5.375,5.375,2.311924,79200
1973-04-09,0.0,5.375,5.34375,5.375,2.311924,48000
1973-04-10,0.0,5.375,5.296875,5.296875,2.27832,125600
1973-04-11,0.0,5.265625,5.0,5.0,2.150626,34400
1973-04-12,0.0,5.109375,5.015625,5.109375,2.197672,92800
1973-04-13,0.0,5.109375,5.078125,5.09375,2.190951,13600
1973-04-16,0.0,5.109375,5.078125,5.078125,2.18423,26400
1973-04-17,0.0,5.09375,5.078125,5.078125,2.18423,7200
1973-04-18,0.0,5.0625,5.0,5.015625,2.157348,31200
1973-04-19,0.0,5.015625,5.0,5.015625,2.157348,18400
1973-04-23,0.0,5.015625,5.0,5.0,2.150626,29600
1973-04-24,0.0,5.03125,5.0,5.0,2.150626,40800
1973-04-25,0.0,4.96875,4.796875,4.796875,2.063258,52800
1973-04-26,0.0,4.75,4.625,4.671875,2.009492,48800
1973-04-27,0.0,4.71875,4.6875,4.6875,2.016213,68000
