Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.625,4.625,4.625,4.625,1.701174,99200
1973-02-22,4.640625,4.640625,4.640625,4.640625,1.706921,47200
1973-02-23,4.625,4.625,4.625,4.625,1.701174,133600
1973-02-26,4.625,4.625,4.625,4.625,1.701174,24000
1973-02-27,4.625,4.625,4.625,4.625,1.701174,41600
1973-02-28,4.625,4.625,4.625,4.625,1.701174,66400
1973-03-01,4.65625,4.65625,4.65625,4.65625,1.712668,93600
1973-03-02,4.671875,4.671875,4.671875,4.671875,1.718415,26400
1973-03-05,4.734375,4.734375,4.734375,4.734375,1.741405,68000
1973-03-06,4.875,4.875,4.875,4.875,1.793129,76800
1973-03-07,4.875,4.875,4.875,4.875,1.793129,51200
1973-03-08,4.90625,4.90625,4.90625,4.90625,1.804623,84800
1973-03-09,4.90625,4.90625,4.90625,4.90625,1.804623,78400
1973-03-12,4.890625,4.890625,4.890625,4.890625,1.798876,73600
1973-03-13,4.90625,4.90625,4.90625,4.90625,1.804623,47200
1973-03-14,4.921875,4.921875,4.921875,4.921875,1.81037,50400
1973-03-15,4.90625,4.90625,4.90625,4.90625,1.804623,70400
1973-03-16,4.890625,4.890625,4.890625,4.890625,1.798876,44800
1973-03-19,4.84375,4.84375,4.84375,4.84375,1.781634,28000
1973-03-20,4.75,4.75,4.75,4.75,1.74715,68800
1973-03-21,4.6875,4.6875,4.6875,4.6875,1.724163,94400
1973-03-22,4.609375,4.609375,4.609375,4.609375,1.695426,55200
1973-03-23,4.609375,4.609375,4.609375,4.609375,1.695426,117600
1973-03-26,4.59375,4.59375,4.59375,4.59375,1.68968,9600
1973-03-27,4.59375,4.59375,4.59375,4.59375,1.68968,15200
1973-03-28,4.65625,4.65625,4.65625,4.65625,1.712668,141600
1973-03-29,4.71875,4.71875,4.71875,4.71875,1.735657,120000
1973-03-30,4.71875,4.71875,4.71875,4.71875,1.735657,85600
1973-04-02,4.6875,4.6875,4.6875,4.6875,1.724163,52800
1973-04-03,4.65625,4.65625,4.65625,4.65625,1.712668,23200
1973-04-04,4.625,4.625,4.625,4.625,1.701174,78400
1973-04-05,4.609375,4.609375,4.609375,4.609375,1.695426,78400
1973-04-06,4.609375,4.609375,4.609375,4.609375,1.695426,36000
1973-04-09,4.609375,4.609375,4.609375,4.609375,1.695426,28000
1973-04-10,4.71875,4.71875,4.71875,4.71875,1.735657,88800
1973-04-11,4.75,4.75,4.75,4.75,1.74715,144000
1973-04-12,4.8125,4.8125,4.8125,4.8125,1.770141,140800
1973-04-13,4.8125,4.8125,4.8125,4.8125,1.770141,13600
1973-04-16,4.8125,4.8125,4.8125,4.8125,1.770141,40000
1973-04-17,4.6875,4.6875,4.6875,4.6875,1.724163,92800
1973-04-18,4.671875,4.671875,4.671875,4.671875,1.718415,25600
1973-04-19,4.6875,4.6875,4.6875,4.6875,1.724163,39200
1973-04-23,4.625,4.625,4.625,4.625,1.701174,48000
1973-04-24,4.59375,4.59375,4.59375,4.59375,1.68968,134400
1973-04-25,4.5625,4.5625,4.5625,4.5625,1.678185,59200
1973-04-26,4.5625,4.5625,4.5625,4.5625,1.678185,33600
1973-04-27,4.53125,4.53125,4.53125,4.53125,1.66669,36800
1973-04-30,4.46875,4.46875,4.46875,4.46875,1.643701,91200
1973-05-01,4.4375,4.4375,4.4375,4.4375,1.632208,295200
1973-05-02,4.453125,4.453125,4.453125,4.453125,1.637954,61600
1973-05-03,0.0,4.5,4.4375,4.4375,1.632208,56000
1973-05-04,0.0,4.546875,4.484375,4.484375,1.649448,43200
1973-05-07,0.0,4.5625,4.5,4.5,1.655197,42400
1973-05-08,0.0,4.578125,4.515625,4.515625,1.660943,28800
1973-05-09,0.0,4.703125,4.640625,4.640625,1.706921,58400
1973-05-10,0.0,4.8125,4.75,4.75,1.74715,70400
1973-05-11,0.0,4.828125,4.765625,4.765625,1.752899,26400
1973-05-14,0.0,4.65625,4.59375,4.59375,1.68968,151200
1973-05-15,0.0,4.640625,4.578125,4.578125,1.683932,163200
1973-05-16,0.0,4.734375,4.671875,4.671875,1.718415,75200
1973-05-17,0.0,4.734375,4.671875,4.671875,1.718415,27200
1973-05-18,0.0,4.6875,4.625,4.625,1.701174,59200
1973-05-21,0.0,4.671875,4.609375,4.609375,1.695426,60800
1973-05-22,0.0,4.71875,4.65625,4.65625,1.712668,95200
1973-05-23,0.0,4.734375,4.671875,4.671875,1.718415,34400
1973-05-24,0.0,4.84375,4.78125,4.78125,1.758646,60000
1973-05-25,0.0,4.90625,4.84375,4.84375,1.781634,111200
1973-05-29,0.0,4.9375,4.875,4.875,1.793129,144800
1973-05-30,0.0,4.859375,4.796875,4.796875,1.764393,90400
1973-05-31,0.0,4.859375,4.796875,4.796875,1.764393,36000
1973-06-01,0.0,4.859375,4.796875,4.796875,1.764393,47200
1973-06-04,0.0,4.640625,4.578125,4.578125,1.683932,119200
1973-06-05,0.0,4.5625,4.5,4.5,1.655197,101600
1973-06-06,0.0,4.5,4.4375,4.4375,1.632208,32000
1973-06-07,0.0,4.53125,4.46875,4.46875,1.643701,31200
1973-06-08,0.0,4.546875,4.484375,4.484375,1.649448,98400
1973-06-11,0.0,4.5625,4.5,4.5,1.655197,58400
1973-06-12,0.0,4.609375,4.546875,4.546875,1.672437,148800
1973-06-13,0.0,4.625,4.5625,4.5625,1.678185,40800
1973-06-14,0.0,4.65625,4.59375,4.59375,1.68968,53600
1973-06-15,0.0,4.609375,4.546875,4.546875,1.672437,43200
1973-06-18,0.0,4.53125,4.46875,4.46875,1.643701,31200
1973-06-19,0.0,4.484375,4.421875,4.421875,1.62646,83200
1973-06-20,0.0,4.453125,4.390625,4.390625,1.614965,30400
1973-06-21,0.0,4.4375,4.375,4.375,1.609218,78400
1973-06-22,0.0,4.4375,4.375,4.375,1.609218,58400
1973-06-25,0.0,4.359375,4.296875,4.296875,1.580481,46400
1973-06-26,0.0,4.390625,4.328125,4.328125,1.591977,44000
1973-06-27,0.0,4.375,4.3125,4.3125,1.586231,90400
1973-06-28,0.0,4.328125,4.265625,4.265625,1.568988,57600
1973-06-29,0.0,4.34375,4.28125,4.28125,1.574736,160000
1973-07-02,0.0,4.375,4.3125,4.3125,1.586231,24800
1973-07-03,0.0,4.359375,4.296875,4.296875,1.580481,44800
1973-07-05,0.0,4.34375,4.28125,4.28125,1.574736,24800
1973-07-06,0.0,4.34375,4.28125,4.28125,1.574736,37600
1973-07-09,0.0,4.375,4.3125,4.3125,1.586231,42400
1973-07-10,0.0,4.40625,4.34375,4.34375,1.597724,32800
1973-07-11,0.0,4.421875,4.359375,4.359375,1.603471,12000
1973-07-12,0.0,4.40625,4.34375,4.34375,1.597724,24000
1973-07-13,0.0,4.4375,4.375,4.375,1.609218,59200
1973-07-16,0.0,4.46875,4.40625,4.40625,1.620713,16800
1973-07-17,0.0,4.5,4.4375,4.4375,1.632208,110400
1973-07-18,0.0,4.625,4.5625,4.5625,1.678185,128800
1973-07-19,0.0,4.921875,4.859375,4.859375,1.787382,157600
1973-07-20,0.0,5.046875,4.984375,4.984375,1.833359,341600
1973-07-23,0.0,5.0,4.9375,4.9375,1.816118,110400
1973-07-24,0.0,4.96875,4.90625,4.90625,1.804623,100800
1973-07-25,0.0,4.96875,4.90625,4.90625,1.804623,46400
1973-07-26,0.0,4.96875,4.90625,4.90625,1.804623,82400
1973-07-27,0.0,4.9375,4.875,4.875,1.793129,61600
1973-07-30,0.0,4.90625,4.84375,4.84375,1.781634,25600
1973-07-31,0.0,4.90625,4.84375,4.84375,1.781634,31200
1973-08-01,0.0,4.84375,4.78125,4.78125,1.758646,47200
1973-08-02,0.0,4.765625,4.703125,4.703125,1.72991,80800
1973-08-03,0.0,4.765625,4.703125,4.703125,1.72991,48000
1973-08-06,0.0,4.75,4.6875,4.6875,1.724163,41600
1973-08-07,0.0,4.75,4.6875,4.6875,1.724163,3200
1973-08-08,0.0,4.703125,4.640625,4.640625,1.706921,72800
1973-08-09,0.0,4.75,4.6875,4.6875,1.724163,29600
1973-08-10,0.0,4.765625,4.703125,4.703125,1.72991,32800
1973-08-13,0.0,4.75,4.6875,4.6875,1.724163,19200
1973-08-14,0.0,4.75,4.6875,4.6875,1.724163,53600
1973-08-15,0.0,4.734375,4.671875,4.671875,1.718415,24800
1973-08-16,0.0,4.734375,4.671875,4.671875,1.718415,44800
1973-08-17,0.0,4.78125,4.71875,4.71875,1.735657,29600
1973-08-20,0.0,4.78125,4.71875,4.71875,1.735657,58400
1973-08-21,0.0,4.78125,4.71875,4.71875,1.735657,22400
1973-08-22,0.0,4.71875,4.65625,4.65625,1.712668,64000
1973-08-23,0.0,4.71875,4.65625,4.65625,1.712668,6400
1973-08-24,0.0,4.734375,4.671875,4.671875,1.718415,17600
1973-08-27,0.0,4.75,4.6875,4.6875,1.724163,57600
1973-08-28,0.0,4.8125,4.75,4.75,1.74715,51200
1973-08-29,0.0,4.875,4.8125,4.8125,1.770141,153600
1973-08-30,0.0,4.8125,4.75,4.75,1.74715,50400
1973-08-31,0.0,4.84375,4.78125,4.78125,1.758646,24800
1973-09-04,0.0,4.859375,4.796875,4.796875,1.764393,53600
1973-09-05,0.0,4.828125,4.765625,4.765625,1.752899,66400
1973-09-06,0.0,4.84375,4.78125,4.78125,1.758646,153600
1973-09-07,0.0,4.90625,4.84375,4.84375,1.781634,160800
1973-09-10,0.0,4.9375,4.875,4.875,1.793129,107200
1973-09-11,0.0,4.875,4.8125,4.8125,1.770141,51200
1973-09-12,0.0,4.859375,4.796875,4.796875,1.764393,20800
1973-09-13,0.0,4.875,4.8125,4.8125,1.770141,57600
1973-09-14,0.0,4.875,4.8125,4.8125,1.770141,4800
1973-09-17,0.0,4.90625,4.84375,4.84375,1.781634,64800
1973-09-18,0.0,4.9375,4.875,4.875,1.793129,71200
1973-09-19,0.0,5.0,4.9375,4.9375,1.816118,122400
1973-09-20,0.0,4.984375,4.921875,4.921875,1.81037,65600
1973-09-21,0.0,4.96875,4.90625,4.90625,1.804623,73600
1973-09-24,0.0,5.03125,4.96875,4.96875,1.827612,111200
1973-09-25,0.0,5.0,4.9375,4.9375,1.816118,23200
1973-09-26,0.0,5.0,4.9375,4.9375,1.816118,73600
1973-09-27,0.0,4.96875,4.90625,4.90625,1.804623,48000
1973-09-28,0.0,4.96875,4.90625,4.90625,1.804623,90400
1973-10-01,0.0,4.96875,4.90625,4.90625,1.804623,29600
