Date,Open,High,Low,Close,Adj Close,Volume
1971-02-08,3.96875,3.96875,3.927083,3.9375,1.533561,180000
1971-02-09,3.9375,3.989583,3.885417,3.916667,1.525447,240000
1971-02-10,3.916667,3.9375,3.854167,3.854167,1.501105,514800
1971-02-11,3.864583,3.90625,3.864583,3.875,1.509218,309600
1971-02-12,3.916667,3.96875,3.916667,3.9375,1.533561,211200
1971-02-16,3.9375,3.989583,3.895833,3.9375,1.533561,202800
1971-02-17,3.9375,3.9375,3.885417,3.885417,1.513277,148800
1971-02-18,3.9375,4.0,3.9375,3.9375,1.533561,410400
1971-02-19,3.9375,3.9375,3.84375,3.84375,1.497048,289200
1971-02-22,3.822917,3.822917,3.729167,3.739583,1.456478,656400
1971-02-23,3.739583,3.822917,3.71875,3.802083,1.480821,271200
1971-02-24,3.822917,3.854167,3.822917,3.822917,1.488933,481200
1971-02-25,3.833333,3.895833,3.833333,3.875,1.509218,175200
1971-02-26,3.875,3.90625,3.875,3.90625,1.52139,272400
1971-03-01,3.90625,3.916667,3.885417,3.916667,1.525447,152400
1971-03-02,3.927083,3.96875,3.927083,3.958333,1.541674,189600
1971-03-03,3.958333,3.979167,3.927083,3.927083,1.529504,254400
1971-03-04,3.927083,3.947917,3.895833,3.947917,1.537619,135600
1971-03-05,3.96875,4.041667,3.96875,4.020833,1.566018,448800
1971-03-08,4.03125,4.083333,4.03125,4.072917,1.586303,198000
1971-03-09,4.052083,4.052083,3.979167,3.989583,1.553847,194400
1971-03-10,3.989583,4.0,3.885417,3.895833,1.517332,484800
1971-03-11,3.885417,3.96875,3.885417,3.9375,1.533561,1666800
1971-03-12,3.9375,3.958333,3.927083,3.958333,1.541674,403200
1971-03-15,3.958333,3.989583,3.9375,3.9375,1.533561,222000
1971-03-16,3.9375,3.989583,3.927083,3.958333,1.541674,200400
1971-03-17,3.958333,4.0625,3.958333,3.96875,1.545732,382800
1971-03-18,3.96875,4.03125,3.96875,3.96875,1.545732,273600
1971-03-19,3.96875,4.0,3.927083,3.979167,1.549789,267600
1971-03-22,3.979167,4.020833,3.9375,3.989583,1.553847,127200
1971-03-23,3.989583,4.010417,3.958333,3.979167,1.549789,166800
1971-03-24,3.96875,3.96875,3.927083,3.958333,1.541674,208800
1971-03-25,3.947917,3.947917,3.916667,3.916667,1.525447,183600
1971-03-26,3.916667,3.979167,3.916667,3.979167,1.549789,224400
1971-03-29,3.979167,3.979167,3.916667,3.927083,1.529504,175200
1971-03-30,3.916667,3.916667,3.90625,3.90625,1.52139,194400
1971-03-31,3.927083,3.979167,3.927083,3.96875,1.545732,165600
1971-04-01,3.96875,3.989583,3.9375,3.989583,1.553847,162000
1971-04-02,3.989583,4.0,3.958333,3.979167,1.549789,164400
1971-04-05,3.979167,4.020833,3.9375,4.0,1.557904,451200
1971-04-06,4.0,4.09375,3.989583,4.072917,1.586303,412800
1971-04-07,4.114583,4.197917,4.114583,4.177083,1.626873,320400
1971-04-08,4.177083,4.197917,4.177083,4.177083,1.626873,193200
1971-04-12,4.177083,4.260417,4.166667,4.260417,1.65933,727200
1971-04-13,4.260417,4.333333,4.260417,4.322917,1.683672,423600
1971-04-14,4.322917,4.4375,4.291667,4.302083,1.675559,416400
1971-04-15,4.322917,4.375,4.322917,4.34375,1.691785,226800
1971-04-16,4.34375,4.375,4.291667,4.333333,1.687729,154800
1971-04-19,4.333333,4.416667,4.333333,4.395833,1.71207,212400
1971-04-20,4.395833,4.40625,4.364583,4.40625,1.716127,196800
1971-04-21,4.40625,4.479167,4.385417,4.458333,1.736413,115200
1971-04-22,4.458333,4.479167,4.427083,4.427083,1.724241,174000
1971-04-23,4.427083,4.447917,4.395833,4.40625,1.716127,154800
1971-04-26,4.40625,4.447917,4.34375,4.354167,1.695843,132000
1971-04-27,4.354167,4.447917,4.354167,4.40625,1.716127,219600
