Date,Open,High,Low,Close,Adj Close,Volume
2005-01-21,16.0,16.200001,15.5,16.0,13.113117,22145000
2005-01-24,16.049999,16.08,16.0,16.0,13.113117,3509900
2005-01-25,16.0,16.01,15.5,15.65,12.826267,2995500
2005-01-26,15.55,15.63,15.5,15.59,12.777092,1467500
2005-01-27,15.59,15.85,15.1,15.78,12.932811,858000
2005-01-28,15.8,16.02,15.78,16.0,13.113117,697300
2005-01-31,16.049999,16.26,16.02,16.129999,13.219661,1641900
2005-02-01,16.129999,16.280001,16.0,16.200001,13.277029,838100
2005-02-02,16.200001,16.34,16.16,16.200001,13.277029,759200
2005-02-03,16.209999,16.209999,15.99,16.01,13.121314,729500
2005-02-04,16.040001,16.07,16.0,16.040001,13.1459,926600
2005-02-07,16.030001,16.1,15.75,15.75,12.908226,1128300
2005-02-08,15.75,16.0,15.71,15.8,12.949204,274900
2005-02-09,15.83,15.94,15.68,15.79,12.94101,410500
2005-02-10,15.7,15.71,15.5,15.58,12.768895,551600
2005-02-11,15.52,15.74,15.25,15.57,12.760698,842000
2005-02-14,15.3,15.65,15.1,15.6,12.78529,652500
2005-02-15,15.57,16.0,15.55,15.94,13.063941,438400
2005-02-16,15.95,16.139999,15.81,16.1,13.195076,514800
2005-02-17,16.15,16.700001,16.110001,16.5,13.522905,928500
2005-02-18,16.57,16.799999,16.4,16.74,13.719598,2403100
2005-02-22,16.52,16.790001,16.370001,16.450001,13.481925,782700
2005-02-23,16.4,16.75,16.35,16.6,13.60486,474500
2005-02-24,16.51,16.75,16.450001,16.75,13.727798,482900
2005-02-25,16.75,17.27,16.75,17.27,14.153974,1240600
2005-02-28,17.25,17.25,16.549999,16.700001,13.686825,993300
2005-03-01,16.68,16.68,16.120001,16.16,13.244247,916800
2005-03-02,16.549999,16.709999,16.049999,16.360001,13.408159,1275400
2005-03-03,16.5,16.700001,16.25,16.25,13.318013,836400
2005-03-04,16.4,16.76,16.35,16.51,13.531099,1138700
2005-03-07,16.68,17.16,16.67,17.09,14.006448,1395900
2005-03-08,17.450001,17.450001,17.200001,17.25,14.137582,1201500
2005-03-09,17.5,18.24,17.360001,17.950001,14.711279,1465300
2005-03-10,17.950001,18.09,17.389999,17.9,14.670304,966700
2005-03-11,18.049999,18.08,17.9,18.0,14.752257,722300
2005-03-14,18.030001,18.16,17.42,17.85,14.629322,1093100
2005-03-15,17.98,18.25,17.52,17.65,14.465405,687800
2005-03-16,17.450001,17.700001,17.18,17.32,14.194949,726300
2005-03-17,17.219999,17.5,17.219999,17.389999,14.252318,301200
2005-03-18,17.35,17.4,17.17,17.26,14.145774,383200
2005-03-21,17.26,17.35,16.76,16.950001,13.891711,394800
2005-03-22,17.07,17.139999,16.99,16.99,13.924492,282500
2005-03-23,17.0,17.299999,16.700001,16.9,13.850736,766900
2005-03-24,18.15,18.65,17.75,18.09,14.826017,2373600
2005-03-28,18.299999,18.34,17.780001,17.83,14.612927,732200
2005-03-29,17.780001,18.0,17.4,17.41,14.26871,457300
2005-03-30,17.469999,17.85,17.450001,17.700001,14.506387,522800
2005-03-31,17.700001,18.200001,17.700001,17.99,14.744062,1568500
2005-04-01,17.99,18.16,17.5,18.1,14.834218,472000
2005-04-04,18.02,18.049999,17.16,17.389999,14.252318,317800
2005-04-05,17.389999,17.43,17.15,17.33,14.203147,294300
2005-04-06,17.4,17.48,17.200001,17.25,14.137582,339900
2005-04-07,17.25,17.389999,17.129999,17.280001,14.162169,148700
2005-04-08,17.18,17.18,17.02,17.02,13.94908,256800
2005-04-11,17.049999,17.139999,16.98,17.08,13.998251,198600
2005-04-12,17.07,17.309999,16.719999,17.309999,14.186753,353500
2005-04-13,17.309999,17.309999,16.790001,16.809999,13.776969,307000
2005-04-14,16.799999,16.870001,16.129999,16.18,13.260637,393000
2005-04-15,16.17,16.17,15.53,15.65,12.826267,367600
2005-04-18,15.0,15.36,14.95,15.3,12.539416,887200
2005-04-19,15.5,15.6,15.35,15.6,12.78529,583900
2005-04-20,15.63,15.69,15.05,15.1,12.375505,186800
2005-04-21,15.2,15.38,15.07,15.24,12.490247,980800
2005-04-22,15.15,15.21,14.7,15.0,12.29355,858800
2005-04-25,15.05,15.27,15.0,15.27,12.514833,438900
2005-04-26,15.27,15.32,14.75,14.78,12.113245,408600
2005-04-27,14.78,14.78,14.2,14.3,11.719848,496200
2005-04-28,14.32,14.41,14.06,14.1,11.555932,445600
2005-04-29,14.5,14.7,14.29,14.55,11.924743,874600
2005-05-02,14.6,15.12,14.6,15.12,12.391897,862700
2005-05-03,15.02,15.35,15.02,15.12,12.391897,353400
2005-05-04,15.15,15.21,15.0,15.21,12.465658,573700
2005-05-05,15.22,15.57,15.16,15.5,12.703329,517700
2005-05-06,15.55,15.77,15.41,15.47,12.678742,335500
2005-05-09,15.5,16.0,15.5,15.91,13.039356,839900
2005-05-10,15.75,16.200001,14.7,15.15,12.416486,1417000
2005-05-11,15.14,15.24,15.0,15.09,12.367309,816500
2005-05-12,15.07,15.28,14.68,14.85,12.170611,770900
2005-05-13,14.85,14.9,14.25,14.26,11.687067,420000
2005-05-16,14.3,14.51,14.06,14.06,11.523152,592700
2005-05-17,14.08,14.16,13.54,14.16,11.605109,805600
2005-05-18,14.21,14.81,14.08,14.64,11.998504,640000
2005-05-19,15.45,15.45,15.11,15.28,12.523023,698600
2005-05-20,15.4,15.67,15.25,15.55,12.74431,381100
2005-05-23,15.6,16.299999,15.51,16.25,13.318013,756600
2005-05-24,16.25,16.25,15.8,16.1,13.195076,604300
2005-05-25,16.02,16.110001,15.78,15.94,13.063941,336200
2005-05-26,16.040001,16.040001,15.41,15.62,12.801679,330900
2005-05-27,15.6,15.63,15.2,15.53,12.72792,297500
2005-05-31,15.52,15.53,15.32,15.48,12.686941,261900
2005-06-01,15.5,15.94,15.5,15.76,12.916421,457000
2005-06-02,15.7,15.95,15.64,15.95,13.072142,333500
2005-06-03,15.9,15.9,15.8,15.88,13.014769,195900
2005-06-06,15.87,15.87,15.8,15.85,12.990181,295100
2005-06-07,15.9,15.9,15.69,15.82,12.965595,247100
2005-06-08,15.81,15.81,15.74,15.79,12.94101,575200
2005-06-09,15.8,15.84,15.75,15.8,12.949204,492300
2005-06-10,15.8,15.8,15.74,15.8,12.949204,236700
2005-06-13,15.75,15.78,15.54,15.64,12.818072,149600
2005-06-14,15.6,15.8,15.55,15.7,12.867248,528500
2005-06-15,15.76,15.87,15.72,15.87,13.006576,1340000
2005-06-16,15.87,16.379999,15.87,16.299999,13.358988,633500
2005-06-17,16.35,16.35,15.4,15.65,12.826267,354400
2005-06-20,15.64,15.75,15.2,15.38,12.604985,248200
2005-06-21,15.35,15.6,15.25,15.47,12.678742,191100
2005-06-22,15.52,15.86,15.52,15.86,12.998378,277900
2005-06-23,15.85,15.9,15.57,15.78,12.932811,235400
2005-06-24,15.75,15.85,15.65,15.84,12.981987,481100
2005-06-27,15.84,15.84,15.5,15.67,12.842655,145700
2005-06-28,15.56,15.76,15.56,15.72,12.883639,468700
2005-06-29,15.73,15.86,15.65,15.8,12.949204,713200
2005-06-30,15.8,15.96,15.8,15.89,13.022966,788200
2005-07-01,15.94,16.0,15.89,15.97,13.088532,237100
2005-07-05,15.92,16.059999,15.88,16.040001,13.1459,244000
2005-07-06,16.02,16.23,15.97,16.219999,13.293425,333500
2005-07-07,16.030001,16.110001,15.88,16.1,13.195076,311100
2005-07-08,16.1,16.25,15.92,16.23,13.30162,1252400
2005-07-11,16.4,17.01,16.4,16.940001,13.883516,766000
2005-07-12,17.1,17.5,17.0,17.42,14.276907,1072800
2005-07-13,17.41,17.85,17.4,17.780001,14.57195,676900
2005-07-14,17.879999,17.889999,17.549999,17.77,14.563758,353300
2005-07-15,17.77,17.98,17.76,17.860001,14.637521,281700
2005-07-18,17.15,17.790001,17.15,17.690001,14.498188,480900
2005-07-19,17.84,18.09,17.66,17.98,14.735865,499400
2005-07-20,17.950001,18.469999,17.77,18.42,15.096481,1111800
2005-07-21,18.5,18.700001,18.23,18.530001,15.186629,600400
2005-07-22,18.5,18.5,18.360001,18.42,15.096481,139000
2005-07-25,18.4,18.549999,18.379999,18.4,15.080081,1887400
2005-07-26,18.4,18.469999,18.209999,18.4,15.080081,408800
2005-07-27,18.4,18.85,18.4,18.790001,15.399723,331000
2005-07-28,18.700001,18.780001,18.559999,18.700001,15.325956,219700
2005-07-29,18.700001,18.82,18.5,18.82,15.424307,197300
2005-08-01,18.870001,18.870001,18.629999,18.809999,15.416109,199200
2005-08-02,18.799999,18.98,18.799999,18.879999,15.506454,251200
2005-08-03,18.879999,19.0,18.57,18.59,15.26827,530700
2005-08-04,18.6,18.6,18.33,18.440001,15.145076,1220900
2005-08-05,18.48,18.49,18.26,18.440001,15.145076,61700
2005-08-08,18.49,18.559999,18.299999,18.42,15.128651,92700
2005-08-09,19.25,19.299999,18.719999,19.01,15.613224,910100
2005-08-10,19.25,19.280001,19.02,19.120001,15.703568,270500
2005-08-11,19.049999,19.629999,19.049999,19.58,16.081371,320700
2005-08-12,19.48,19.610001,19.299999,19.610001,16.106009,343100
2005-08-15,19.620001,19.889999,19.5,19.74,16.212791,223800
2005-08-16,19.610001,19.77,19.549999,19.6,16.097799,742100
2005-08-17,19.58,19.58,19.32,19.440001,15.966393,445000
2005-08-18,19.41,19.440001,19.139999,19.23,15.793912,331800
2005-08-19,19.23,19.23,19.059999,19.209999,15.77749,180500
2005-08-22,19.209999,19.719999,19.110001,19.459999,15.982817,582200
2005-08-23,19.549999,20.059999,19.549999,20.059999,16.475601,468100
2005-08-24,19.93,19.969999,19.709999,19.75,16.220999,437900
2005-08-25,19.790001,19.85,18.790001,19.15,15.728207,633400
2005-08-26,19.15,19.379999,18.73,18.83,15.465383,307300
2005-08-29,18.67,18.700001,18.01,18.610001,15.284699,387600
2005-08-30,18.6,18.67,18.26,18.41,15.120438,273300
2005-08-31,18.41,18.549999,18.049999,18.43,15.136857,451000
2005-09-01,18.5,18.799999,18.35,18.65,15.317545,433400
2005-09-02,18.65,18.700001,18.450001,18.59,15.26827,115900
2005-09-06,18.66,18.74,18.48,18.66,15.325763,190400
2005-09-07,18.6,19.030001,18.59,18.82,15.457174,230200
2005-09-08,18.870001,19.049999,18.83,18.889999,15.514662,211300
2005-09-09,18.9,19.049999,18.700001,19.030001,15.629661,108100
2005-09-12,19.1,19.26,18.77,19.23,15.793912,144600
2005-09-13,19.23,19.33,19.07,19.26,15.818546,219300
2005-09-14,19.15,19.34,19.059999,19.129999,15.711786,885000
2005-09-15,19.129999,19.139999,18.34,18.48,15.177921,540500
2005-09-16,18.51,18.629999,18.35,18.42,15.128651,114400
2005-09-19,18.459999,18.459999,17.870001,18.15,14.906894,210300
2005-09-20,18.1,18.1,17.65,17.68,14.520875,684900
2005-09-21,17.57,17.58,16.950001,17.110001,14.052724,259500
2005-09-22,17.110001,17.209999,16.65,17.1,14.044515,413500
2005-09-23,17.02,17.530001,16.959999,17.35,14.249839,554600
2005-09-26,17.450001,17.450001,17.030001,17.110001,14.052724,296100
2005-09-27,17.049999,17.139999,16.57,16.950001,13.921315,288900
2005-09-28,16.959999,17.059999,16.74,16.860001,13.847396,319100
2005-09-29,16.9,17.040001,16.690001,17.030001,13.987021,174800
2005-09-30,17.030001,17.52,16.950001,17.25,14.16771,232700
2005-10-03,17.299999,17.34,16.690001,16.77,13.773474,207900
2005-10-04,16.719999,17.18,16.700001,16.92,13.896672,96600
2005-10-05,16.92,16.92,16.65,16.860001,13.847396,186000
2005-10-06,16.860001,16.860001,16.51,16.700001,13.71599,309100
2005-10-07,16.68,17.18,16.68,17.030001,13.987021,141300
2005-10-10,17.08,17.08,16.57,16.68,13.699556,111800
2005-10-11,16.68,17.18,16.68,16.85,13.839178,251400
2005-10-12,16.809999,16.870001,16.67,16.68,13.732157,159400
2005-10-13,16.68,16.870001,16.6,16.709999,13.756858,152300
2005-10-14,16.700001,17.120001,16.469999,16.93,13.937975,138400
2005-10-17,16.93,16.93,16.66,16.68,13.732157,137100
2005-10-18,16.700001,16.74,16.52,16.6,13.666294,159800
2005-10-19,16.610001,16.83,16.49,16.620001,13.682762,146500
2005-10-20,16.620001,16.709999,16.32,16.35,13.460477,288400
2005-10-21,16.450001,16.48,16.299999,16.309999,13.42754,205200
2005-10-24,16.370001,16.809999,16.32,16.66,13.715691,336100
2005-10-25,16.75,16.77,16.4,16.5,13.58397,173200
2005-10-26,16.450001,16.75,16.4,16.48,13.567502,216300
2005-10-27,16.469999,16.5,16.25,16.26,13.386378,67200
2005-10-28,16.42,17.25,16.42,17.25,14.20142,252600
2005-10-31,17.4,17.639999,17.34,17.639999,14.522493,278600
2005-11-01,17.620001,17.860001,17.309999,17.799999,14.654216,234500
2005-11-02,17.83,18.219999,17.75,18.219999,14.999993,408900
2005-11-03,18.209999,18.4,17.889999,17.92,14.753016,191100
2005-11-04,17.92,18.16,17.67,18.120001,14.917665,133700
2005-11-07,18.200001,18.5,17.75,18.299999,15.065853,228400
2005-11-08,18.299999,18.299999,17.629999,17.75,14.613054,207100
2005-11-09,17.6,17.6,15.58,16.57,13.6416,1067800
2005-11-10,16.6,16.74,16.200001,16.299999,13.419314,1589500
2005-11-11,17.49,17.799999,17.33,17.549999,14.448404,985700
2005-11-14,17.25,17.290001,16.85,17.01,14.003832,2238300
2005-11-15,17.049999,17.35,16.92,17.15,14.119096,687900
2005-11-16,17.139999,17.200001,16.75,17.1,14.077934,815900
2005-11-17,17.120001,17.35,16.969999,17.09,14.069697,544100
2005-11-18,17.09,17.25,16.98,17.01,14.003832,244800
2005-11-21,17.0,17.02,16.860001,16.889999,13.905044,176200
2005-11-22,16.98,17.42,16.98,17.16,14.127323,827900
2005-11-23,17.18,17.4,17.15,17.370001,14.300215,670400
2005-11-25,17.370001,17.52,17.309999,17.52,14.423706,302500
2005-11-28,17.559999,17.58,17.35,17.42,14.341372,232300
2005-11-29,17.5,17.620001,17.280001,17.41,14.333142,525100
2005-11-30,17.450001,17.530001,17.16,17.299999,14.242582,552800
2005-12-01,17.4,17.5,17.33,17.49,14.399006,410600
2005-12-02,17.4,17.5,17.33,17.4,14.324906,291800
2005-12-05,17.4,17.59,17.17,17.5,14.407237,279100
2005-12-06,17.610001,17.75,17.5,17.65,14.530727,295500
2005-12-07,17.700001,17.75,17.360001,17.4,14.324906,381900
2005-12-08,17.51,17.530001,17.1,17.200001,14.160256,674400
2005-12-09,17.200001,17.34,17.07,17.1,14.077934,533400
2005-12-12,17.219999,17.6,17.15,17.450001,14.366076,769400
2005-12-13,18.75,18.9,18.379999,18.790001,15.469254,3479500
2005-12-14,18.9,18.99,18.5,18.700001,15.395164,1961800
2005-12-15,18.75,18.950001,18.58,18.879999,15.543349,1818700
2005-12-16,18.9,19.379999,18.860001,19.290001,15.880896,987800
2005-12-19,19.440001,19.690001,19.309999,19.639999,16.169027,972000
2005-12-20,19.75,19.75,19.27,19.33,15.913822,275700
2005-12-21,19.34,19.51,18.969999,19.15,15.765635,288500
2005-12-22,19.190001,19.23,19.02,19.09,15.716239,251400
2005-12-23,19.129999,19.5,19.129999,19.389999,15.963217,280600
2005-12-27,19.379999,19.76,19.33,19.35,15.930291,232400
2005-12-28,19.450001,19.450001,18.84,19.299999,15.889123,580100
2005-12-29,19.299999,19.58,19.040001,19.18,15.790336,236800
2005-12-30,19.040001,19.190001,18.82,19.120001,15.740934,279400
2006-01-03,19.35,19.84,18.9,19.77,16.276066,651700
2006-01-04,19.77,19.950001,19.450001,19.799999,16.300756,216800
2006-01-05,19.799999,19.959999,19.450001,19.77,16.276066,611800
2006-01-06,19.83,19.889999,19.629999,19.73,16.24313,218700
2006-01-09,19.74,19.74,19.219999,19.379999,15.954988,560500
2006-01-10,19.280001,19.639999,19.27,19.5,16.053782,303800
2006-01-11,19.41,19.51,19.25,19.27,15.897036,170200
2006-01-12,19.27,19.290001,18.9,19.02,15.690793,227800
2006-01-13,19.09,19.4,19.040001,19.139999,15.789785,211300
2006-01-17,19.25,20.120001,19.120001,20.049999,16.540508,1104200
2006-01-18,20.0,20.23,19.58,19.809999,16.34251,1366400
2006-01-19,19.9,20.1,19.83,20.0,16.499258,471000
2006-01-20,20.0,20.0,19.540001,19.620001,16.185774,210000
2006-01-23,19.6,19.860001,19.469999,19.73,16.276516,585000
2006-01-24,19.799999,20.309999,19.75,20.290001,16.738503,355600
2006-01-25,20.290001,20.52,20.15,20.34,16.779741,662900
2006-01-26,20.35,20.51,20.219999,20.35,16.788,358400
2006-01-27,20.59,20.6,20.17,20.280001,16.730251,191900
2006-01-30,20.379999,20.49,19.85,20.16,16.631256,392500
2006-01-31,20.15,20.48,20.120001,20.469999,16.886988,242900
2006-02-01,20.35,20.49,20.16,20.18,16.647758,419100
2006-02-02,20.209999,20.5,19.9,20.02,16.515757,470800
2006-02-03,19.93,20.26,19.5,20.219999,16.680754,533000
2006-02-06,20.25,20.74,20.16,20.620001,17.010735,650400
2006-02-07,20.620001,20.620001,20.120001,20.32,16.763245,515900
2006-02-08,20.33,20.33,20.15,20.24,16.697258,304800
2006-02-09,20.200001,20.65,20.200001,20.32,16.763245,331400
2006-02-10,20.35,20.65,20.049999,20.629999,17.018986,206600
2006-02-13,20.58,20.58,20.129999,20.190001,16.656004,224800
2006-02-14,20.18,20.219999,19.549999,20.219999,16.680754,686600
2006-02-15,20.26,21.629999,20.26,21.15,17.447964,1193900
2006-02-16,22.0,22.0,20.25,20.68,17.060232,1232100
2006-02-17,20.620001,21.309999,20.299999,21.219999,17.505716,721400
2006-02-21,21.450001,21.559999,21.1,21.379999,17.637699,299100
2006-02-22,21.379999,21.57,21.219999,21.57,17.794451,400400
2006-02-23,21.700001,21.719999,21.34,21.59,17.810951,414200
2006-02-24,21.57,21.719999,21.379999,21.51,17.744957,505000
2006-02-27,21.6,21.959999,21.57,21.860001,18.033695,488100
2006-02-28,21.84,21.85,21.35,21.4,17.654209,330600
2006-03-01,21.450001,21.469999,21.09,21.389999,17.645952,307900
2006-03-02,21.35,21.969999,21.01,21.9,18.066694,271700
2006-03-03,21.75,21.91,21.59,21.73,17.926443,366500
2006-03-06,21.700001,21.700001,20.870001,20.98,17.307726,288700
2006-03-07,21.35,21.360001,20.370001,20.49,16.903488,586800
2006-03-08,20.379999,20.58,20.08,20.35,16.788,676700
2006-03-09,20.450001,20.549999,20.23,20.299999,16.746752,256400
2006-03-10,20.299999,20.67,20.200001,20.620001,17.010735,98600
2006-03-13,20.65,21.0,20.309999,20.870001,17.216978,315600
2006-03-14,20.780001,20.84,20.58,20.73,17.10148,111600
2006-03-15,20.799999,21.559999,20.799999,21.5,17.736698,391500
2006-03-16,21.5,21.75,21.139999,21.690001,17.89345,406600
2006-03-17,21.700001,21.700001,20.860001,21.02,17.340725,248900
2006-03-20,21.15,21.68,20.92,21.040001,17.357218,436900
2006-03-21,21.120001,21.459999,21.0,21.02,17.340725,269300
2006-03-22,21.09,21.389999,20.99,21.370001,17.629461,289800
2006-03-23,21.25,21.309999,20.860001,20.860001,17.208725,453700
2006-03-24,20.9,21.07,20.540001,20.59,16.985989,128200
2006-03-27,20.58,20.889999,20.51,20.799999,17.159233,383200
2006-03-28,20.719999,20.959999,19.9,20.16,16.631256,635400
2006-03-29,20.299999,20.530001,20.190001,20.43,16.853996,176400
2006-03-30,20.43,20.85,20.26,20.84,17.192226,245000
2006-03-31,20.84,21.120001,20.57,20.969999,17.299473,363400
2006-04-03,20.98,21.200001,20.5,20.58,16.977739,351200
2006-04-04,20.58,21.059999,20.459999,21.01,17.332472,338400
2006-04-05,21.01,21.1,20.440001,20.540001,16.944736,736400
2006-04-06,20.540001,20.6,20.16,20.190001,16.656004,484100
2006-04-07,20.18,20.290001,20.0,20.030001,16.524014,354400
2006-04-10,20.110001,20.25,19.99,20.040001,16.532257,190700
2006-04-11,20.370001,20.469999,19.85,19.940001,16.482666,324200
2006-04-12,20.0,20.35,19.99,20.24,16.730646,239500
2006-04-13,20.15,20.27,20.030001,20.24,16.730646,163900
2006-04-17,20.24,20.610001,20.15,20.440001,16.895967,601700
2006-04-18,20.549999,20.98,20.549999,20.879999,17.25967,479400
2006-04-19,20.950001,21.5,20.950001,21.49,17.763908,602000
2006-04-20,21.49,21.59,21.110001,21.5,17.772182,213300
2006-04-21,21.5,21.92,21.35,21.790001,18.011896,263700
2006-04-24,21.790001,21.98,21.610001,21.98,18.168951,202200
2006-04-25,21.98,21.98,21.58,21.700001,17.937506,363600
2006-04-26,21.690001,21.860001,21.620001,21.809999,18.028433,179700
2006-04-27,21.780001,22.33,21.57,22.110001,18.276409,547200
2006-04-28,22.0,22.219999,21.77,21.950001,18.144154,374400
2006-05-01,22.049999,22.15,21.74,22.01,18.193748,392600
2006-05-02,22.01,22.26,22.01,22.08,18.251616,450300
2006-05-03,22.139999,22.73,22.139999,22.51,18.60705,747500
2006-05-04,22.51,22.690001,22.33,22.440001,18.549198,651700
2006-05-05,22.5,22.709999,22.459999,22.5,18.598785,501600
2006-05-08,22.530001,22.75,22.360001,22.73,18.788906,441600
2006-05-09,22.65,22.709999,22.15,22.42,18.53266,421700
2006-05-10,21.200001,21.719999,21.15,21.27,17.582052,6175500
2006-05-11,21.290001,21.67,21.290001,21.540001,17.805244,3782400
2006-05-12,21.540001,21.549999,20.530001,20.82,17.210083,2374500
2006-05-15,21.0,21.0,20.34,20.73,17.135681,1587900
2006-05-16,20.85,21.23,20.799999,21.059999,17.408463,1404400
2006-05-17,21.0,21.08,20.370001,20.4,16.8629,1446900
2006-05-18,20.4,20.790001,20.15,20.27,16.755444,1784400
2006-05-19,20.5,20.719999,20.209999,20.6,17.028221,1897900
2006-05-22,20.6,20.6,19.370001,19.809999,16.3752,1806500
2006-05-23,19.9,20.16,19.75,19.809999,16.3752,1221900
2006-05-24,19.82,19.91,18.92,19.16,15.837904,2008800
2006-05-25,19.25,19.67,19.25,19.58,16.185081,1493700
2006-05-26,19.639999,19.870001,19.43,19.610001,16.209875,1038600
2006-05-30,19.549999,19.549999,19.0,19.030001,15.730442,898800
2006-05-31,19.9,19.9,19.6,19.709999,16.29254,1789200
2006-06-01,19.969999,20.35,19.75,20.209999,16.705839,1401100
2006-06-02,20.25,20.51,20.15,20.459999,16.912506,963200
2006-06-05,20.459999,20.459999,19.870001,19.99,16.524,552200
2006-06-06,20.09,20.23,19.540001,19.879999,16.433064,1017500
2006-06-07,19.9,19.959999,19.110001,19.129999,15.813105,768300
2006-06-08,19.700001,19.700001,18.5,19.139999,15.821369,1930200
2006-06-09,19.120001,19.32,18.860001,18.91,15.631252,974200
2006-06-12,18.950001,19.1,18.59,18.66,15.424598,501200
2006-06-13,18.639999,18.99,18.610001,18.84,15.573385,829000
2006-06-14,18.85,19.07,18.82,18.98,15.68911,688800
2006-06-15,19.09,19.870001,19.0,19.700001,16.284275,1118100
2006-06-16,19.690001,19.799999,19.309999,19.700001,16.284275,904800
2006-06-19,19.74,19.799999,19.15,19.25,15.912292,383400
2006-06-20,19.290001,19.620001,19.200001,19.200001,15.87096,931600
2006-06-21,19.17,19.77,19.15,19.57,16.176809,597100
2006-06-22,19.58,19.92,19.459999,19.870001,16.424797,960000
2006-06-23,19.879999,20.120001,19.6,19.99,16.524,859600
2006-06-26,20.09,20.200001,19.889999,19.98,16.515722,441600
2006-06-27,20.1,20.290001,19.75,20.0,16.532259,536300
2006-06-28,20.1,20.129999,19.75,20.0,16.532259,328000
2006-06-29,20.209999,20.42,19.99,20.389999,16.854633,820700
2006-06-30,20.42,20.57,20.17,20.42,16.879435,1518500
2006-07-03,20.43,20.66,20.43,20.58,17.011694,459100
2006-07-05,20.48,20.639999,20.110001,20.469999,16.920753,451800
2006-07-06,20.48,20.57,20.23,20.389999,16.854633,471200
2006-07-07,20.440001,20.530001,20.18,20.43,16.887705,577900
2006-07-10,20.639999,20.700001,20.459999,20.620001,17.044754,650100
2006-07-11,20.58,20.700001,20.35,20.5,16.945566,559800
2006-07-12,20.469999,20.530001,20.08,20.139999,16.680527,501600
2006-07-13,20.07,20.15,19.610001,19.65,16.274694,561700
2006-07-14,19.65,19.700001,19.41,19.51,16.158747,666000
2006-07-17,19.440001,19.6,19.0,19.25,15.943399,705200
2006-07-18,19.299999,19.459999,18.799999,19.0,15.736353,724000
2006-07-19,19.09,19.719999,19.09,19.49,16.142179,1005000
2006-07-20,19.540001,19.65,19.370001,19.379999,16.051081,497000
2006-07-21,19.35,19.35,18.799999,18.85,15.61212,509500
2006-07-24,18.870001,19.57,18.719999,19.43,16.092497,1633100
2006-07-25,19.58,19.73,19.389999,19.58,16.216724,606400
2006-07-26,19.540001,19.549999,19.15,19.440001,16.100771,360700
2006-07-27,19.450001,19.58,18.780001,18.809999,15.578982,964300
2006-07-28,18.83,19.360001,18.809999,19.200001,15.901994,789100
2006-07-31,19.200001,19.209999,18.92,19.209999,15.910275,427500
2006-08-01,18.25,18.26,16.799999,17.25,14.286947,3965600
2006-08-02,17.25,18.02,17.25,17.73,14.684498,1277300
2006-08-03,17.59,17.65,17.299999,17.35,14.369771,1126500
2006-08-04,17.5,17.719999,17.450001,17.700001,14.659656,701900
2006-08-07,17.700001,17.9,17.610001,17.889999,14.817013,636500
2006-08-08,17.9,18.440001,17.9,18.370001,15.214569,1167400
2006-08-09,18.469999,18.5,18.129999,18.200001,15.073764,1300600
2006-08-10,18.18,18.379999,17.99,18.35,15.198005,695400
2006-08-11,18.290001,18.370001,17.85,18.0,14.908113,639400
2006-08-14,18.200001,18.379999,17.92,17.99,14.899839,577900
2006-08-15,18.17,18.469999,18.049999,18.41,15.247697,646400
2006-08-16,18.41,18.700001,18.41,18.58,15.38849,644500
2006-08-17,18.620001,19.120001,18.59,19.0,15.736353,931900
2006-08-18,19.0,19.07,18.610001,19.059999,15.786039,397500
2006-08-21,18.950001,18.950001,18.549999,18.6,15.405053,693500
2006-08-22,18.5,18.700001,18.5,18.690001,15.479597,361900
2006-08-23,18.629999,18.700001,18.290001,18.370001,15.214569,447900
2006-08-24,18.34,18.450001,18.24,18.290001,15.148309,1334600
2006-08-25,18.25,18.379999,18.23,18.24,15.106895,174000
2006-08-28,18.190001,18.43,18.190001,18.389999,15.231128,290800
