Date,Open,High,Low,Close,Adj Close,Volume
1992-06-05,1.652146,1.689695,1.652146,1.652146,1.160236,14561059
1992-06-08,1.652146,1.689695,1.652146,1.652146,1.160236,1306967
1992-06-09,1.652146,1.652146,1.577049,1.577049,1.107499,1942140
1992-06-10,1.577049,1.633372,1.577049,1.577049,1.107499,666466
1992-06-11,1.577049,1.577049,1.501951,1.501951,1.05476,1383534
1992-06-12,1.501951,1.558274,1.501951,1.501951,1.05476,502679
1992-06-15,1.501951,1.558274,1.501951,1.558274,1.094314,209727
1992-06-16,1.520726,1.577049,1.501951,1.520726,1.067945,340890
1992-06-17,1.520726,1.577049,1.520726,1.520726,1.067945,523985
1992-06-18,1.501951,1.577049,1.501951,1.501951,1.05476,323579
1992-06-19,1.501951,1.577049,1.501951,1.501951,1.05476,986716
1992-06-22,1.501951,1.5395,1.501951,1.501951,1.05476,630513
1992-06-23,1.501951,1.5395,1.501951,1.501951,1.05476,332235
1992-06-24,1.5395,1.5395,1.501951,1.501951,1.05476,302273
1992-06-25,1.501951,1.5395,1.501951,1.501951,1.05476,351543
1992-06-26,1.501951,1.5395,1.501951,1.5395,1.081129,424115
1992-06-29,1.520726,1.5395,1.501951,1.501951,1.05476,215719
1992-06-30,1.5395,1.5395,1.501951,1.5395,1.081129,191085
1992-07-01,1.501951,1.577049,1.501951,1.5395,1.081129,289623
1992-07-02,1.577049,1.577049,1.501951,1.501951,1.05476,518659
1992-07-06,1.501951,1.5395,1.501951,1.5395,1.081129,95875
1992-07-07,1.501951,1.5395,1.501951,1.501951,1.05476,229701
1992-07-08,1.501951,1.501951,1.426854,1.426854,1.002023,450081
1992-07-09,1.426854,1.483177,1.389305,1.389305,0.975653,96541
1992-07-10,1.389305,1.464402,1.389305,1.389305,0.975653,177103
1992-07-13,1.408079,1.464402,1.389305,1.464402,1.028391,150471
1992-07-14,1.426854,1.501951,1.389305,1.464402,1.028391,383501
1992-07-15,1.5395,1.5395,1.464402,1.5395,1.081129,95875
1992-07-16,1.464402,1.501951,1.464402,1.501951,1.05476,15313
1992-07-17,1.464402,1.5395,1.464402,1.5395,1.081129,169779
1992-07-20,1.520726,1.5395,1.464402,1.5395,1.081129,217717
1992-07-21,1.464402,1.5395,1.464402,1.464402,1.028391,45940
1992-07-22,1.464402,1.5395,1.464402,1.464402,1.028391,58590
1992-07-23,1.501951,1.5395,1.501951,1.501951,1.05476,65248
1992-07-24,1.501951,1.5395,1.426854,1.501951,1.05476,151137
1992-07-27,1.426854,1.445628,1.426854,1.445628,1.015207,234362
1992-07-28,1.501951,1.501951,1.426854,1.501951,1.05476,259662
1992-07-29,1.426854,1.577049,1.426854,1.577049,1.107499,263657
1992-07-30,1.501951,1.614598,1.501951,1.5395,1.081129,547288
1992-07-31,1.558274,1.633372,1.558274,1.577049,1.107499,396817
1992-08-03,1.614598,1.614598,1.577049,1.577049,1.107499,89883
1992-08-04,1.577049,1.614598,1.558274,1.558274,1.094314,116515
1992-08-05,1.558274,1.614598,1.5395,1.614598,1.133868,165784
1992-08-06,1.595823,1.595823,1.558274,1.558274,1.094314,268983
1992-08-07,1.5395,1.595823,1.5395,1.5395,1.081129,316255
1992-08-10,1.5395,1.577049,1.5395,1.577049,1.107499,146476
1992-08-11,1.558274,1.595823,1.5395,1.5395,1.081129,49269
1992-08-12,1.5395,1.595823,1.5395,1.5395,1.081129,1646525
1992-08-13,1.5395,1.5395,1.5395,1.5395,1.081129,128500
1992-08-14,1.5395,1.614598,1.5395,1.614598,1.133868,344885
1992-08-17,1.577049,1.614598,1.5395,1.5395,1.081129,83891
1992-08-18,1.5395,1.5395,1.5395,1.5395,1.081129,65914
1992-08-19,1.5395,1.614598,1.464402,1.501951,1.05476,458071
1992-08-20,1.501951,1.5395,1.426854,1.501951,1.05476,336895
1992-08-21,1.501951,1.501951,1.426854,1.464402,1.028391,253670
1992-08-24,1.501951,1.501951,1.464402,1.464402,1.028391,19308
1992-08-25,1.501951,1.501951,1.501951,1.501951,1.05476,1332
1992-08-26,1.426854,1.445628,1.426854,1.426854,1.002023,94544
1992-08-27,1.501951,1.501951,1.426854,1.501951,1.05476,189753
1992-08-28,1.483177,1.5395,1.464402,1.5395,1.081129,251007
