Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,52.75,53.5,49.5,49.799999,44.805233,2350800
2019-03-21,49.990002,50.0,48.200001,48.98,44.067474,1764700
2019-03-22,48.799999,49.950001,48.16,48.599998,43.725586,844700
2019-03-25,48.599998,49.400002,48.0,49.150002,44.220432,440900
2019-03-26,49.0,49.75,48.18,48.849998,43.950516,504700
2019-03-27,49.0,50.779999,49.0,50.099998,45.075138,1788600
2019-03-28,50.900002,51.0,49.915001,50.849998,45.749928,585400
2019-03-29,49.52,52.48,49.18,51.630001,46.451691,1769000
2019-04-01,52.299999,54.389999,51.25,53.5,48.134132,19663400
2019-04-02,55.119999,57.389999,54.299999,56.25,50.608318,17414200
2019-04-03,57.080002,57.200001,55.509998,56.880001,51.175133,15066200
2019-04-04,57.200001,60.52,57.099998,59.709999,53.721291,13309200
2019-04-05,58.389999,58.98,56.27,57.240002,51.499027,17000800
2019-04-08,56.5,58.389999,56.27,57.150002,51.418056,10764600
2019-04-09,56.799999,57.200001,56.080002,56.27,50.626316,9179900
2019-04-10,55.990002,56.41,55.099998,55.709999,50.122482,9081900
2019-04-11,55.700001,56.209999,54.830002,54.889999,49.384724,7346100
2019-04-12,55.93,58.330002,55.93,58.299999,52.452713,9281700
2019-04-15,58.57,58.849998,57.290001,57.779999,51.984863,5727300
2019-04-16,58.709999,58.990002,57.84,58.5,52.632652,6681600
2019-04-17,58.950001,59.049999,58.200001,58.32,52.470703,6420700
2019-04-18,58.360001,58.610001,57.549999,57.77,51.975876,5178800
2019-04-22,57.48,58.41,57.259998,57.889999,52.083836,4401700
2019-04-23,57.290001,57.84,57.0,57.639999,51.85891,5687200
2019-04-24,57.490002,57.889999,55.865002,55.98,50.365398,5431300
2019-04-25,55.759998,55.98,54.82,55.330002,49.780594,6260500
2019-04-26,55.299999,55.599998,54.950001,55.25,49.708614,4009800
2019-04-29,55.049999,55.685001,54.799999,55.5,49.93354,5935200
2019-04-30,55.759998,57.205002,55.599998,56.73,51.040176,6454100
2019-05-01,56.82,57.48,55.880001,56.130001,50.500355,7644400
2019-05-02,55.540001,56.490002,52.029999,52.700001,47.414379,13932700
2019-05-03,53.200001,53.349998,51.720001,53.299999,47.954201,7401700
2019-05-06,52.150002,54.029999,51.700001,53.459999,48.098145,6089500
2019-05-07,52.860001,53.325001,52.650002,52.950001,47.639301,7330800
2019-05-08,53.330002,53.395,52.310001,52.48,47.216438,5390700
2019-05-09,52.259998,53.139999,51.549999,52.93,47.621307,4579700
2019-05-10,52.939999,53.714001,52.490002,53.07,47.747261,4758100
2019-05-13,52.279999,52.549999,50.759998,50.950001,45.839893,4213100
2019-05-14,51.330002,53.0,50.84,52.48,47.216438,4204500
2019-05-15,51.98,53.325001,51.669998,52.950001,47.639301,2928700
2019-05-16,53.290001,53.549999,52.73,52.98,47.666286,3689700
2019-05-17,52.34,52.52,50.66,50.799999,45.704937,4440800
2019-05-20,50.400002,50.540001,49.919998,50.080002,45.057148,5168400
2019-05-21,50.279999,51.189999,50.02,50.630001,45.551991,4968400
2019-05-22,50.459999,50.610001,49.965,50.209999,45.17411,3019100
2019-05-23,49.5,49.860001,48.209999,48.709999,43.824554,4919200
2019-05-24,49.389999,49.575001,48.439999,49.200001,44.265408,2918900
