Date,Open,High,Low,Close,Adj Close,Volume
2004-07-13,14.0,14.1,13.49,13.5,6.421966,14964100
2004-07-14,13.5,13.55,12.91,13.44,6.393425,2801000
2004-07-15,13.45,13.85,13.35,13.84,6.583703,1276200
2004-07-16,13.87,13.9,13.51,13.83,6.578947,1488200
2004-07-19,13.8,13.8,13.35,13.52,6.431479,966200
2004-07-20,13.52,13.93,13.41,13.93,6.626518,719300
2004-07-21,13.94,13.94,13.5,13.6,6.469538,472300
2004-07-22,13.6,13.65,13.33,13.6,6.469538,218500
2004-07-23,13.4,13.62,13.4,13.56,6.450508,268500
2004-07-26,13.5,13.5,13.05,13.2,6.279255,236200
2004-07-27,13.2,13.2,12.4,12.75,6.065191,2668000
2004-07-28,12.85,13.12,12.84,13.03,6.198385,1028100
2004-07-29,13.1,13.78,13.1,13.78,6.555161,1015700
2004-07-30,13.72,13.9,13.55,13.9,6.612247,623000
2004-08-02,13.8,13.8,13.55,13.7,6.517106,329400
2004-08-03,13.7,14.08,13.7,13.94,6.631274,1557100
2004-08-04,14.04,14.04,13.88,13.9,6.612247,156300
2004-08-05,13.94,14.0,13.86,13.89,6.607489,188100
2004-08-06,13.82,14.0,13.7,13.8,6.564676,276300
2004-08-09,13.8,13.8,13.5,13.7,6.517106,212100
2004-08-10,13.7,13.85,13.65,13.79,6.559918,272400
2004-08-11,13.8,13.88,13.6,13.7,6.517106,166800
2004-08-12,13.65,13.75,13.58,13.63,6.483806,284700
2004-08-13,13.68,13.7,13.35,13.4,6.374395,104900
2004-08-16,13.4,13.55,13.4,13.48,6.412454,86400
2004-08-17,13.4,13.65,13.25,13.45,6.39818,161100
2004-08-18,13.52,13.64,13.35,13.61,6.474292,43000
2004-08-19,13.6,13.6,12.75,13.3,6.326826,124100
2004-08-20,13.25,13.64,13.1,13.64,6.488564,112300
2004-08-23,13.7,13.91,13.6,13.85,6.588462,442900
2004-08-24,13.75,13.8,13.45,13.8,6.564676,607400
2004-08-25,13.8,13.89,13.51,13.8,6.564676,307300
2004-08-26,13.9,13.9,13.7,13.7,6.517106,104300
2004-08-27,13.75,14.08,13.75,14.04,6.678844,880600
2004-08-30,14.0,14.15,13.9,14.02,6.66933,265000
2004-08-31,13.95,14.25,13.95,14.25,6.778742,401800
2004-09-01,14.25,14.59,14.25,14.45,6.87388,421400
2004-09-02,14.5,14.5,14.15,14.3,6.802527,273800
2004-09-03,14.05,14.2,13.75,14.0,6.659816,310100
2004-09-07,14.0,14.05,13.65,13.87,6.597976,329000
2004-09-08,13.77,13.87,13.7,13.79,6.559918,178000
2004-09-09,13.69,13.95,13.69,13.78,6.555161,163500
2004-09-10,14.15,14.37,13.9,14.37,6.835826,1073900
2004-09-13,14.3,14.5,14.27,14.35,6.826312,394400
2004-09-14,14.44,14.9,14.28,14.83,7.054647,500500
2004-09-15,15.0,15.37,14.9,15.22,7.240173,1045100
2004-09-16,15.22,15.5,15.22,15.48,7.363853,531000
2004-09-17,15.4,15.4,15.1,15.2,7.230658,270400
2004-09-20,15.2,15.48,15.15,15.25,7.254441,185700
2004-09-21,15.33,15.53,15.22,15.4,7.325798,241000
2004-09-22,15.25,15.35,14.8,15.11,7.187844,351900
2004-09-23,15.01,15.2,14.88,14.97,7.121246,181000
2004-09-24,15.05,15.2,14.85,15.04,7.154547,215900
2004-09-27,15.0,15.02,14.65,14.88,7.078434,344400
2004-09-28,14.8,15.25,14.62,15.25,7.254441,223500
2004-09-29,15.35,15.4,14.95,15.05,7.159302,757800
2004-09-30,15.05,15.11,14.7,14.7,6.992807,1354500
2004-10-01,14.8,14.85,14.25,14.6,6.945238,733500
2004-10-04,14.95,15.0,14.74,14.98,7.126004,319200
2004-10-05,14.9,15.47,14.66,15.32,7.287742,590600
2004-10-06,15.27,16.01,15.27,15.9,7.563647,808600
2004-10-07,15.97,16.15,15.55,15.91,7.568405,897900
2004-10-08,15.85,16.200001,15.8,15.95,7.587431,537700
2004-10-11,16.0,16.25,15.87,16.0,7.611217,400500
2004-10-12,16.07,16.35,15.75,15.96,7.592191,618900
2004-10-13,16.049999,16.190001,16.0,16.16,7.687331,207400
2004-10-14,16.0,16.09,15.77,15.89,7.558892,387600
2004-10-15,15.89,16.190001,15.89,15.98,7.601705,285700
2004-10-18,16.0,16.26,15.9,15.9,7.563647,389800
2004-10-19,16.0,16.6,15.5,15.59,7.416181,682700
2004-10-20,15.69,15.7,15.42,15.61,7.425694,389700
2004-10-21,15.55,15.91,15.51,15.78,7.506564,124400
2004-10-22,15.71,16.0,15.6,15.85,7.539863,296500
2004-10-25,15.95,15.95,15.72,15.93,7.577919,131900
2004-10-26,15.94,15.95,15.63,15.88,7.554136,289500
2004-10-27,15.92,15.98,15.75,15.94,7.582674,301800
2004-10-28,15.98,15.99,15.78,15.93,7.577919,172300
2004-10-29,15.96,16.4,15.94,16.4,7.801499,545700
2004-11-01,16.450001,16.99,16.16,16.799999,7.991778,288600
