Date,Open,High,Low,Close,Adj Close,Volume
1985-07-22,0.0,5.625,5.25,5.625,4.209025,59400
1985-07-23,0.0,5.8125,5.5625,5.625,4.209025,20800
1985-07-24,0.0,5.5625,5.375,5.5,4.115493,32600
1985-07-25,0.0,5.5625,5.5,5.5625,4.162261,16600
1985-07-26,0.0,5.5625,5.4375,5.5,4.115493,10400
1985-07-29,0.0,5.5,5.3125,5.4375,4.068724,25000
1985-07-30,0.0,5.4375,5.375,5.375,4.021958,10400
1985-07-31,0.0,5.375,5.3125,5.375,4.021958,12800
1985-08-01,0.0,5.375,5.1875,5.375,4.021958,31800
1985-08-02,0.0,5.3125,5.1875,5.25,3.928422,13000
1985-08-05,0.0,5.25,5.1875,5.25,3.928422,1200
1985-08-06,0.0,5.25,5.125,5.1875,3.881658,28600
1985-08-07,5.1875,5.1875,5.1875,5.1875,3.881658,0
1985-08-08,0.0,5.1875,5.125,5.125,3.834893,600
1985-08-09,0.0,5.1875,5.1875,5.1875,3.881658,400
1985-08-12,0.0,5.0625,4.9375,5.0625,3.788125,3800
1985-08-13,0.0,5.125,5.0625,5.125,3.834893,4400
1985-08-14,0.0,5.0625,5.0625,5.0625,3.788125,1400
1985-08-15,0.0,5.0,5.0,5.0,3.741358,1600
1985-08-16,0.0,4.9375,4.9375,4.9375,3.694589,800
1985-08-19,0.0,4.875,4.875,4.875,3.647823,5200
1985-08-20,0.0,4.9375,4.8125,4.9375,3.694589,3000
1985-08-21,0.0,4.875,4.8125,4.8125,3.601054,3400
1985-08-22,0.0,4.875,4.75,4.8125,3.601054,1600
1985-08-23,0.0,4.875,4.8125,4.8125,3.601054,21800
1985-08-26,4.8125,4.8125,4.8125,4.8125,3.601054,0
1985-08-27,0.0,4.75,4.625,4.625,3.460756,9200
1985-08-28,0.0,4.6875,4.5625,4.6875,3.507522,12400
1985-08-29,0.0,4.875,4.6875,4.875,3.647823,7200
1985-08-30,0.0,5.0,4.9375,5.0,3.741358,8400
1985-09-03,0.0,5.0625,5.0,5.0,3.741358,10200
1985-09-04,0.0,4.9375,4.9375,4.9375,3.694589,800
1985-09-05,0.0,4.9375,4.8125,4.9375,3.694589,11400
1985-09-06,0.0,5.0,4.9375,5.0,3.741358,9800
1985-09-09,0.0,4.9375,4.9375,4.9375,3.694589,200
1985-09-10,0.0,4.9375,4.875,4.9375,3.694589,9800
1985-09-11,0.0,5.0,4.875,4.875,3.647823,5200
1985-09-12,0.0,5.0,4.875,4.875,3.647823,5200
1985-09-13,0.0,5.0,4.875,4.875,3.647823,7400
1985-09-16,0.0,4.8125,4.75,4.8125,3.601054,2600
1985-09-17,0.0,4.875,4.75,4.75,3.55429,4800
1985-09-18,0.0,4.6875,4.6875,4.6875,3.507522,800
1985-09-19,0.0,4.6875,4.6875,4.6875,3.507522,3200
1985-09-20,0.0,5.0,4.6875,5.0,3.741358,14200
1985-09-23,0.0,5.0625,5.0,5.0625,3.788125,3200
1985-09-24,0.0,5.0,5.0,5.0,3.741358,58000
1985-09-25,0.0,4.875,4.8125,4.875,3.647823,8000
1985-09-26,0.0,4.8125,4.8125,4.8125,3.601054,1400
1985-09-30,0.0,4.75,4.6875,4.6875,3.507522,5600
1985-10-01,0.0,4.75,4.75,4.75,3.55429,200
1985-10-02,0.0,4.75,4.75,4.75,3.55429,3000
1985-10-03,0.0,4.8125,4.75,4.75,3.55429,3800
1985-10-04,4.75,4.75,4.75,4.75,3.55429,0
1985-10-07,0.0,4.75,4.6875,4.6875,3.507522,4800
1985-10-08,0.0,4.8125,4.75,4.8125,3.601054,2000
1985-10-09,0.0,4.9375,4.8125,4.9375,3.694589,2800
1985-10-10,0.0,4.8125,4.75,4.75,3.55429,3200
1985-10-11,0.0,4.75,4.6875,4.75,3.55429,800
1985-10-14,0.0,4.9375,4.8125,4.9375,3.694589,2200
1985-10-15,0.0,4.875,4.875,4.875,3.647823,800
1985-10-16,0.0,4.9375,4.875,4.875,3.647823,2000
1985-10-17,0.0,4.8125,4.8125,4.8125,3.601054,1400
