Date,Open,High,Low,Close,Adj Close,Volume
2005-04-14,12.08,12.2,10.81,11.74,11.74,1898500
2005-04-15,11.65,11.7,10.23,10.25,10.25,282300
2005-04-18,10.5,10.82,10.4,10.5,10.5,53400
2005-04-19,11.0,11.0,10.56,10.58,10.58,137400
2005-04-20,10.55,10.7,10.5,10.6,10.6,8600
2005-04-21,10.6,10.63,10.5,10.5,10.5,34000
2005-04-22,10.76,10.97,10.5,10.52,10.52,23100
2005-04-25,10.66,10.75,10.51,10.55,10.55,69300
2005-04-26,10.51,10.65,10.5,10.5,10.5,33200
2005-04-27,10.5,10.54,9.61,9.79,9.79,68000
2005-04-28,9.67,10.16,9.67,9.9,9.9,37600
2005-04-29,10.0,10.3,10.0,10.0,10.0,20400
2005-05-02,9.88,10.1,9.87,9.91,9.91,15700
2005-05-03,9.98,10.1,9.9,10.0,10.0,21400
2005-05-04,10.0,10.1,9.9,10.1,10.1,15800
2005-05-05,10.01,10.09,9.9,9.9,9.9,15200
2005-05-06,9.9,10.0,9.9,10.0,10.0,18100
2005-05-09,10.09,10.1,9.9,9.9,9.9,43100
2005-05-10,10.47,11.75,10.1,11.39,11.39,129300
2005-05-11,11.41,11.75,11.3,11.47,11.47,64700
2005-05-12,11.5,11.7,10.95,11.31,11.31,56400
2005-05-13,11.59,11.66,11.36,11.63,11.63,29100
2005-05-16,11.6,12.9,11.51,12.57,12.57,303100
2005-05-17,12.74,14.74,12.43,13.95,13.95,197700
2005-05-18,14.23,14.3,13.65,13.99,13.99,235700
2005-05-19,14.0,14.03,13.93,13.99,13.99,31400
2005-05-20,14.0,14.04,13.79,13.88,13.88,41200
2005-05-23,14.0,14.02,13.37,14.0,14.0,99200
2005-05-24,14.03,14.2,13.9,14.0,14.0,85000
2005-05-25,13.85,14.15,13.5,14.05,14.05,56400
2005-05-26,13.95,14.6,13.95,14.01,14.01,57000
2005-05-27,14.22,14.25,14.0,14.2,14.2,17700
2005-05-31,14.32,14.32,13.69,14.0,14.0,828000
2005-06-01,14.25,14.26,13.58,13.91,13.91,22200
2005-06-02,13.84,13.84,13.5,13.56,13.56,51400
2005-06-03,13.54,13.81,13.5,13.74,13.74,26000
2005-06-06,13.84,14.0,13.75,14.0,14.0,39500
2005-06-07,14.05,14.59,14.02,14.59,14.59,43500
2005-06-08,14.58,15.08,14.58,14.9,14.9,76000
2005-06-09,14.9,15.29,14.46,14.89,14.89,102000
2005-06-10,14.96,15.58,14.65,15.08,15.08,31500
2005-06-13,15.59,15.99,15.2,15.4,15.4,49600
2005-06-14,15.9,15.9,14.95,15.08,15.08,54000
2005-06-15,14.92,15.5,14.92,15.39,15.39,31700
2005-06-16,15.4,15.5,15.07,15.25,15.25,32300
2005-06-17,15.5,15.5,15.0,15.2,15.2,38500
2005-06-20,15.3,15.3,14.9,15.01,15.01,33000
2005-06-21,14.95,15.0,14.01,14.44,14.44,47500
2005-06-22,14.25,14.26,13.23,13.53,13.53,43500
2005-06-23,13.28,13.45,12.5,12.73,12.73,22000
2005-06-24,12.48,12.98,12.0,12.0,12.0,216900
2005-06-27,12.16,12.2,11.51,11.95,11.95,33500
2005-06-28,12.25,12.52,11.95,12.5,12.5,17400
2005-06-29,12.65,12.65,12.25,12.37,12.37,58700
2005-06-30,12.33,12.5,12.24,12.4,12.4,25100
2005-07-01,12.4,12.5,12.4,12.44,12.44,72600
2005-07-05,12.5,12.53,12.3,12.52,12.52,10700
2005-07-06,12.55,12.55,11.91,12.18,12.18,85300
2005-07-07,12.05,12.05,11.79,11.79,11.79,11200
2005-07-08,11.74,12.04,11.55,12.04,12.04,25800
2005-07-11,12.0,12.5,11.75,12.35,12.35,42200
2005-07-12,12.2,12.3,11.75,11.98,11.98,13900
