Date,Open,High,Low,Close,Adj Close,Volume
2012-03-30,7.5,8.24,7.06,7.34,7.34,5048600
2012-04-02,7.65,8.2,7.4,7.81,7.81,495500
2012-04-03,7.75,7.8,7.5,7.64,7.64,316600
2012-04-04,7.77,7.77,7.31,7.45,7.45,165100
2012-04-05,7.48,7.55,7.37,7.43,7.43,104300
2012-04-09,7.89,7.89,6.62,6.98,6.98,123300
2012-04-10,7.09,7.23,6.97,7.07,7.07,247300
2012-04-11,7.25,7.53,7.0,7.13,7.13,161900
2012-04-12,7.56,7.56,7.08,7.3,7.3,41700
2012-04-13,7.69,7.69,7.0,7.1,7.1,92200
2012-04-16,7.15,7.16,6.73,7.16,7.16,70200
2012-04-17,7.15,7.15,6.8,7.0,7.0,108600
2012-04-18,6.96,7.3,6.82,7.29,7.29,54300
2012-04-19,7.21,7.29,7.0,7.04,7.04,23100
2012-04-20,7.05,7.19,7.02,7.02,7.02,32500
2012-04-23,7.0,7.2,6.85,6.98,6.98,15600
2012-04-24,7.09,7.12,6.84,6.91,6.91,86000
2012-04-25,6.94,6.96,6.84,6.88,6.88,21400
2012-04-26,6.9,6.9,6.8,6.86,6.86,15000
2012-04-27,6.84,6.85,6.75,6.75,6.75,24000
2012-04-30,7.2,7.45,7.09,7.28,7.28,259800
2012-05-01,7.5,8.1,7.18,7.92,7.92,362400
2012-05-02,8.0,8.0,7.75,8.0,8.0,66000
2012-05-03,8.09,9.57,7.95,8.82,8.82,278900
2012-05-04,8.79,9.45,7.57,8.36,8.36,171100
2012-05-07,8.37,8.4,7.73,8.34,8.34,87500
2012-05-08,8.3,8.71,8.04,8.48,8.48,87300
2012-05-09,8.61,8.89,8.22,8.65,8.65,116900
2012-05-10,8.94,8.94,8.3,8.6,8.6,81000
2012-05-11,8.74,8.74,8.37,8.43,8.43,40900
2012-05-14,8.4,8.64,8.09,8.22,8.22,85000
2012-05-15,8.27,8.53,8.22,8.4,8.4,20800
2012-05-16,8.33,8.47,8.17,8.32,8.32,15000
2012-05-17,8.41,8.45,8.13,8.41,8.41,43500
2012-05-18,8.32,8.4,7.75,7.99,7.99,41000
2012-05-21,8.06,8.41,8.0,8.1,8.1,56600
2012-05-22,8.49,8.49,7.81,7.99,7.99,33200
2012-05-23,8.34,8.34,7.75,7.9,7.9,30900
2012-05-24,7.8,7.88,7.6,7.85,7.85,55800
2012-05-25,7.82,7.86,7.7,7.79,7.79,34500
2012-05-29,7.7,8.07,7.7,7.8,7.8,32400
2012-05-30,7.79,7.81,7.0,7.01,7.01,69700
2012-05-31,7.12,7.45,6.85,6.9,6.9,43000
