Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,343.66156,792528
2000-08-14,419.0,420.0,384.0,384.0,314.204865,80228
2000-08-15,389.0,396.0,384.0,388.0,317.477814,48422
2000-08-16,386.0,418.0,386.0,396.0,324.023773,42166
2000-08-17,392.0,400.0,382.0,384.0,314.204865,47247
2000-08-18,401.0,460.0,396.0,458.0,374.754761,60400
2000-08-21,482.0,520.0,446.0,486.0,397.665558,66547
2000-08-22,492.0,502.0,432.0,432.0,353.48053,33878
2000-08-23,434.0,440.0,408.0,416.0,340.388611,17925
2000-08-24,414.0,418.0,386.0,386.0,315.841278,18441
2000-08-25,402.0,414.0,388.0,412.0,337.115601,20113
2000-08-28,429.0,433.5,400.0,420.0,343.66156,19491
2000-08-29,430.0,432.0,404.0,428.0,350.207611,22728
2000-08-30,427.0,470.0,424.0,454.0,371.481842,19891
2000-08-31,482.0,528.0,476.0,518.0,423.849304,87397
2000-09-01,516.0,520.0,480.0,504.0,412.393921,27738
2000-09-05,506.0,520.0,496.0,498.0,407.484467,23025
2000-09-06,516.0,520.0,488.0,496.0,405.8479,20559
2000-09-07,512.0,512.0,428.0,460.0,376.391266,23959
2000-09-08,456.5,464.0,440.0,448.0,366.572418,15956
2000-09-11,442.0,448.0,432.0,444.0,363.299469,34547
2000-09-12,435.0,442.0,412.0,416.0,340.388611,33853
2000-09-13,408.0,420.0,396.0,400.0,327.296783,10363
2000-09-14,444.0,444.0,400.0,406.0,332.206238,8109
2000-09-15,402.0,416.0,400.0,402.0,328.933228,3600
2000-09-18,420.0,424.0,382.0,386.0,315.841278,18659
2000-09-19,419.0,420.0,344.0,360.0,294.567047,48038
2000-09-20,368.0,370.0,312.0,332.0,271.656311,24103
2000-09-21,330.0,344.0,326.0,340.0,278.20224,25247
2000-09-22,307.0,346.0,302.0,338.0,276.565704,8456
2000-09-25,340.0,346.0,300.0,302.0,247.109085,21066
2000-09-26,316.0,318.0,288.0,296.0,242.199585,19634
2000-09-27,301.0,302.0,276.0,299.0,244.654343,16756
2000-09-28,296.0,344.0,292.0,320.0,261.837433,22041
2000-09-29,323.0,324.0,279.0,284.0,232.380768,19125
2000-10-02,300.0,301.0,268.0,272.0,222.561798,6888
2000-10-03,275.0,284.0,248.0,254.0,207.833466,10128
2000-10-04,256.0,258.0,216.0,228.0,186.559158,14600
2000-10-05,222.0,260.0,208.0,210.0,171.83078,15178
2000-10-06,222.5,224.0,190.0,195.0,159.557129,11413
2000-10-09,210.0,214.0,185.0,198.0,162.011887,10650
2000-10-10,202.0,204.0,176.0,182.0,148.920029,13291
2000-10-11,168.0,184.0,130.0,132.0,108.007935,42488
2000-10-12,163.0,168.0,144.0,166.0,135.828156,37297
2000-10-13,182.0,252.0,177.0,242.0,198.014526,42863
2000-10-16,260.0,262.0,236.0,260.0,212.742874,38531
2000-10-17,272.0,274.0,244.0,250.0,204.560471,11047
2000-10-18,248.0,268.0,190.0,258.0,211.106415,19303
2000-10-19,272.0,298.0,216.0,221.0,180.831451,25997
2000-10-20,240.0,240.0,224.0,234.0,191.468582,21797
2000-10-23,236.0,269.0,228.0,264.0,216.015869,17800
2000-10-24,265.5,272.0,260.0,270.0,220.925323,19788
2000-10-25,267.5,272.0,252.0,272.0,222.561798,13225
2000-10-26,271.0,308.0,270.0,290.0,237.290131,8788
2000-10-27,291.5,292.0,276.0,288.0,235.653671,3381
