Date,Open,High,Low,Close,Adj Close,Volume
2005-07-21,48.220001,49.200001,47.84,48.040001,31.640831,109200
2005-07-22,49.240002,49.799999,47.900002,49.720001,32.747334,56800
2005-07-25,49.799999,49.799999,48.299999,48.48,31.930635,39600
2005-07-26,48.700001,48.700001,47.5,48.0,31.614491,102450
2005-07-27,48.0,48.240002,47.299999,48.139999,31.70669,98100
2005-07-28,48.200001,48.240002,47.82,48.099998,31.680353,93600
2005-07-29,48.200001,48.700001,47.700001,48.68,32.062355,60700
2005-08-01,48.459999,49.0,48.200001,48.700001,32.075531,164950
2005-08-02,52.0,52.0,47.279999,48.099998,31.680353,299700
2005-08-03,48.540001,48.540001,47.52,47.700001,31.416891,147750
2005-08-04,47.540001,47.779999,46.700001,47.200001,31.087574,141200
2005-08-05,47.380001,47.380001,46.299999,46.740002,30.784603,207050
2005-08-08,47.0,47.299999,42.52,45.0,29.63858,6384200
2005-08-09,46.540001,47.700001,45.040001,47.700001,31.416891,4870350
2005-08-10,48.380001,49.040001,47.34,47.400002,31.219307,2559000
2005-08-11,47.16,47.560001,45.560001,45.740002,30.125965,1705150
2005-08-12,45.459999,45.5,43.0,44.599998,29.375128,1688950
2005-08-15,45.0,45.16,42.599998,42.880001,28.24227,1489850
2005-08-16,42.580002,43.200001,41.380001,42.900002,28.255445,2345600
2005-08-17,42.360001,43.98,42.299999,43.380001,28.571596,1120650
2005-08-18,42.580002,44.0,42.580002,43.5,28.650625,1339950
2005-08-19,43.220001,43.799999,43.080002,43.299999,28.518894,736700
2005-08-22,43.400002,43.599998,42.400002,43.200001,28.453037,1630650
2005-08-23,42.759998,43.279999,42.419998,42.900002,28.255445,1077250
2005-08-24,42.599998,43.560001,42.439999,43.200001,28.453037,1159600
2005-08-25,42.860001,44.619999,42.860001,44.32,29.190708,789650
2005-08-26,44.279999,45.060001,43.799999,44.220001,29.124842,539950
2005-08-29,44.099998,45.0,43.799999,44.68,29.427818,465050
2005-08-30,44.080002,45.0,44.0,44.799999,29.506847,606100
2005-08-31,44.540001,44.860001,44.0,44.52,29.322426,826950
2005-09-01,44.279999,44.880001,44.119999,44.439999,29.269743,740500
2005-09-02,44.380001,45.259998,43.439999,44.740002,29.467339,918500
2005-09-06,43.380001,45.099998,43.380001,44.18,29.098495,1242250
2005-09-07,43.900002,45.18,43.82,44.560001,29.348776,683450
2005-09-08,44.34,45.939999,44.040001,44.900002,29.57272,640200
2005-09-09,44.0,44.700001,43.5,44.119999,29.058977,1995900
2005-09-12,43.900002,45.580002,43.900002,44.200001,29.11167,1010650
2005-09-13,44.68,44.82,44.0,44.139999,29.072144,748300
2005-09-14,43.880001,44.279999,43.5,43.639999,28.742838,727350
2005-09-15,43.459999,43.700001,42.099998,42.82,28.202759,1261450
2005-09-16,42.5,42.919998,41.5,42.0,27.662672,951900
2005-09-19,41.599998,42.619999,41.52,42.099998,27.728531,1082050
2005-09-20,42.139999,42.139999,41.52,41.880001,27.583639,665300
2005-09-21,42.880001,43.0,37.220001,41.299999,27.201622,896600
