Date,Open,High,Low,Close,Adj Close,Volume
2001-01-16,3.75,3.75,3.75,3.75,3.590019,3200
2001-01-17,3.75,3.75,3.75,3.75,3.590019,122800
2001-01-18,3.875,4.125,3.875,4.125,3.94902,167200
2001-01-19,4.1875,4.28125,4.1875,4.28125,4.098603,59600
2001-01-22,4.25,4.625,4.25,4.5625,4.367856,146800
2001-01-23,4.5,4.78125,4.5,4.6875,4.487522,76000
2001-01-24,4.625,4.625,4.5625,4.5625,4.367856,560000
2001-01-25,4.65625,4.6875,4.625,4.6875,4.487522,143200
2001-01-26,4.625,4.640625,4.625,4.625,4.42769,82000
2001-01-29,4.63,4.6875,4.6,4.675,4.475557,262000
2001-01-30,4.675,4.675,4.5875,4.65,4.451622,339200
2001-01-31,4.675,4.7625,4.675,4.6875,4.487522,326000
2001-02-01,4.75,5.3,4.69,5.225,5.002092,2556800
2001-02-02,5.1875,5.25,5.15,5.2075,4.985338,795600
2001-02-05,5.2125,5.3625,4.98,4.9925,4.779511,644800
2001-02-06,4.975,5.005,4.9375,4.9375,4.726857,1338800
2001-02-07,4.925,5.0,4.9125,5.0,4.78669,1350400
2001-02-08,5.0,5.04,4.875,4.875,4.667022,578800
2001-02-09,4.875,4.9375,4.875,4.9375,4.726857,441600
2001-02-12,4.9375,4.9375,4.825,4.825,4.619157,327200
2001-02-13,4.825,4.885,4.8125,4.8125,4.607192,648800
2001-02-14,4.8125,4.8125,4.7675,4.77,4.566502,135600
2001-02-15,4.775,4.7875,4.575,4.575,4.379822,454400
2001-02-16,4.525,4.525,4.35,4.5175,4.324772,427200
2001-02-20,4.5175,4.5375,4.4525,4.5225,4.329564,1000400
2001-02-21,4.5225,4.5225,4.475,4.52,4.327168,443600
2001-02-22,4.52,4.535,4.475,4.5075,4.315201,623600
2001-02-23,4.525,4.675,4.5,4.6125,4.415721,1222800
2001-02-26,4.625,4.78,4.625,4.75,4.547357,1182400
2001-02-27,4.75,4.75,4.725,4.725,4.523425,690000
2001-02-28,4.725,4.75,4.7125,4.75,4.547357,326000
2001-03-01,4.725,4.725,4.675,4.675,4.475557,155200
2001-03-02,4.6875,4.7025,4.675,4.69,4.489914,836800
2001-03-05,4.6875,4.7625,4.6875,4.7525,4.549748,402800
2001-03-06,4.7525,4.775,4.7,4.7,4.499492,610000
2001-03-07,4.7,4.7475,4.7,4.7475,4.544962,89600
2001-03-08,4.745,4.745,4.7,4.7,4.499492,211600
2001-03-09,4.7,4.7025,4.675,4.695,4.494701,269600
2001-03-12,4.695,4.725,4.6625,4.675,4.475557,106400
2001-03-13,4.7125,4.7125,4.6125,4.6125,4.415721,671600
2001-03-14,4.6125,4.6375,4.4675,4.475,4.284089,455600
2001-03-15,4.45,4.45,4.2875,4.3575,4.171601,1160400
2001-03-16,4.3875,4.45,4.3375,4.3375,4.152455,402800
2001-03-19,4.2875,4.4375,4.2875,4.3,4.116553,1173600
2001-03-20,4.3125,4.39,4.25,4.275,4.09262,222000
2001-03-21,4.275,4.3,4.0625,4.1625,3.984919,135200
2001-03-22,4.3125,4.4625,4.25,4.4625,4.272121,2125600
2001-03-23,4.475,4.575,4.475,4.575,4.379822,757600
2001-03-26,4.6125,4.625,4.57,4.625,4.42769,207600
2001-03-27,4.6,4.6125,4.5325,4.5875,4.391789,435200
2001-03-28,4.575,4.6,4.4625,4.4625,4.272121,420800
2001-03-29,4.45,4.45,4.325,4.325,4.140486,535200
2001-03-30,4.325,4.625,4.325,4.625,4.42769,1308800
2001-04-02,4.6,4.6,4.425,4.45,4.260155,685600
2001-04-03,4.45,4.5,4.3625,4.5,4.308022,192800
2001-04-04,4.4625,4.5,4.4375,4.4975,4.30563,606000
2001-04-05,4.5,4.53,4.4825,4.53,4.336742,629200
2001-04-06,4.5175,4.735,4.5,4.7125,4.511457,476000
2001-04-09,4.715,4.74,4.6125,4.6525,4.454016,113600
2001-04-10,4.6775,4.775,4.6775,4.7625,4.559323,954400
2001-04-11,4.875,5.225,4.875,5.225,5.002092,1570000
2001-04-12,5.1675,5.5875,5.1675,5.5875,5.349126,689200
2001-04-16,5.575,5.575,5.365,5.375,5.145693,368000
2001-04-17,5.35,5.4375,5.265,5.375,5.145693,581200
2001-04-18,5.25,5.3525,5.25,5.32,5.09304,285200
2001-04-19,5.295,5.32,5.1625,5.31,5.083464,121600
2001-04-20,5.35,5.45,5.2375,5.25,5.026026,1139600
2001-04-23,5.275,5.275,5.2125,5.225,5.002092,946400
2001-04-24,5.22,5.2325,5.1875,5.225,5.002092,626000
2001-04-25,5.225,5.2875,5.225,5.2625,5.037991,326000
2001-04-26,5.265,5.2875,5.2275,5.245,5.02124,469200
2001-04-27,5.2475,5.2525,5.23,5.25,5.026026,549200
2001-04-30,5.2,5.4,5.1875,5.2875,5.061926,946800
