Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,1.903891,1.827735,1.827735,0.544576,15757
1980-03-18,0.0,1.865813,1.789658,1.789658,0.533231,14444
1980-03-19,0.0,1.884852,1.808696,1.808696,0.538903,15757
1980-03-20,1.808696,1.808696,1.808696,1.808696,0.538903,0
1980-03-21,0.0,1.884852,1.808696,1.808696,0.538903,5252
1980-03-24,0.0,1.884852,1.808696,1.808696,0.538903,3939
1980-03-25,0.0,1.865813,1.789658,1.789658,0.533231,17070
1980-03-26,0.0,1.865813,1.789658,1.789658,0.533231,5252
1980-03-27,0.0,1.808696,1.732541,1.732541,0.516213,17070
1980-03-28,0.0,1.808696,1.732541,1.732541,0.516213,1313
1980-03-31,0.0,1.999086,1.92293,1.92293,0.57294,61716
1980-04-01,0.0,2.208514,2.132358,2.132358,0.635339,126058
1980-04-02,0.0,2.170436,2.09428,2.09428,0.623993,32828
1980-04-03,0.0,2.113319,2.037163,2.037163,0.606976,40706
1980-04-07,0.0,1.961008,1.884852,1.884852,0.561594,68281
1980-04-08,0.0,1.941969,1.865813,1.865813,0.555922,1313
1980-04-09,0.0,1.961008,1.884852,1.884852,0.561594,3939
1980-04-10,0.0,1.961008,1.884852,1.884852,0.561594,2626
1980-04-11,0.0,1.961008,1.884852,1.884852,0.561594,2626
1980-04-14,0.0,1.903891,1.827735,1.827735,0.544576,17070
1980-04-15,0.0,1.884852,1.808696,1.808696,0.538903,24949
1980-04-16,1.808696,1.808696,1.808696,1.808696,0.538903,0
1980-04-17,0.0,1.865813,1.789658,1.789658,0.533231,5252
1980-04-18,0.0,1.865813,1.789658,1.789658,0.533231,10505
1980-04-21,0.0,1.865813,1.789658,1.789658,0.533231,2626
1980-04-22,0.0,1.865813,1.789658,1.789658,0.533231,15757
1980-04-23,0.0,1.865813,1.789658,1.789658,0.533231,21010
1980-04-24,0.0,1.827735,1.75158,1.75158,0.521886,28888
1980-04-25,0.0,1.827735,1.75158,1.75158,0.521886,1313
1980-04-28,0.0,1.827735,1.75158,1.75158,0.521886,15757
1980-04-29,0.0,1.827735,1.75158,1.75158,0.521886,60403
1980-04-30,0.0,1.827735,1.75158,1.75158,0.521886,5252
1980-05-01,0.0,1.827735,1.75158,1.75158,0.521886,23636
1980-05-02,0.0,1.827735,1.75158,1.75158,0.521886,7879
1980-05-05,0.0,1.846774,1.770619,1.770619,0.527558,123431
1980-05-06,0.0,1.846774,1.770619,1.770619,0.527558,15757
1980-05-07,1.770619,1.770619,1.770619,1.770619,0.527558,0
1980-05-08,0.0,1.846774,1.770619,1.770619,0.527558,26262
1980-05-09,0.0,1.865813,1.789658,1.789658,0.533231,17070
1980-05-12,0.0,1.884852,1.808696,1.808696,0.538903,11818
1980-05-13,0.0,1.92293,1.846774,1.846774,0.550249,28888
1980-05-14,0.0,1.92293,1.846774,1.846774,0.550249,7879
1980-05-15,0.0,1.941969,1.865813,1.865813,0.555922,11818
1980-05-16,0.0,1.941969,1.865813,1.865813,0.555922,24949
1980-05-19,0.0,1.941969,1.865813,1.865813,0.555922,5252
1980-05-20,0.0,1.941969,1.865813,1.865813,0.555922,22323
1980-05-21,0.0,1.941969,1.865813,1.865813,0.555922,17070
1980-05-22,0.0,1.941969,1.865813,1.865813,0.555922,1313
1980-05-23,1.865813,1.865813,1.865813,1.865813,0.555922,0
1980-05-27,0.0,1.961008,1.884852,1.884852,0.561594,27575
1980-05-28,0.0,1.980047,1.903891,1.903891,0.567267,52524
1980-05-29,0.0,1.999086,1.92293,1.92293,0.57294,22323
1980-05-30,0.0,2.037163,1.961008,1.961008,0.584285,26262
1980-06-02,0.0,2.037163,1.961008,1.961008,0.584285,10505
1980-06-03,0.0,2.037163,1.961008,1.961008,0.584285,48585
1980-06-04,1.961008,1.961008,1.961008,1.961008,0.584285,0
1980-06-05,0.0,2.075241,1.999086,1.999086,0.595631,32828
1980-06-06,0.0,2.09428,2.018124,2.018124,0.601303,3939
1980-06-09,0.0,2.09428,2.018124,2.018124,0.601303,6566
1980-06-10,0.0,2.09428,2.018124,2.018124,0.601303,6566
1980-06-11,0.0,2.113319,2.037163,2.037163,0.606976,3939
1980-06-12,0.0,2.151397,2.075241,2.075241,0.618321,21010
1980-06-13,0.0,2.170436,2.09428,2.09428,0.623993,2626
1980-06-16,0.0,2.170436,2.09428,2.09428,0.623993,3939
1980-06-17,0.0,2.170436,2.09428,2.09428,0.623993,10505
1980-06-18,0.0,2.170436,2.09428,2.09428,0.623993,13131
1980-06-19,0.0,2.170436,2.09428,2.09428,0.623993,13131
1980-06-20,0.0,2.170436,2.09428,2.09428,0.623993,1313
1980-06-23,0.0,2.189475,2.113319,2.113319,0.629667,14444
1980-06-24,0.0,2.189475,2.113319,2.113319,0.629667,3939
1980-06-25,0.0,2.246591,2.170436,2.170436,0.646685,53837
1980-06-26,0.0,2.303708,2.227552,2.227552,0.663702,51211
1980-06-27,0.0,2.379864,2.303708,2.303708,0.686393,22323
1980-06-30,0.0,2.43698,2.360825,2.360825,0.703411,39393
1980-07-01,0.0,2.43698,2.360825,2.360825,0.703411,40706
1980-07-02,0.0,2.456019,2.379864,2.379864,0.709084,11818
1980-07-03,0.0,2.456019,2.379864,2.379864,0.709084,27575
1980-07-07,0.0,2.43698,2.379864,2.379864,0.709084,9192
1980-07-08,0.0,2.417942,2.379864,2.379864,0.709084,23636
1980-07-09,0.0,2.43698,2.379864,2.379864,0.709084,2626
1980-07-10,0.0,2.43698,2.379864,2.379864,0.709084,30201
1980-07-11,0.0,2.43698,2.379864,2.379864,0.709084,17070
1980-07-14,0.0,2.417942,2.379864,2.379864,0.709084,11818
1980-07-15,0.0,2.417942,2.379864,2.379864,0.709084,1313
1980-07-16,0.0,2.417942,2.379864,2.379864,0.709084,13131
1980-07-17,0.0,2.417942,2.379864,2.379864,0.709084,17070
1980-07-18,0.0,2.417942,2.379864,2.379864,0.709084,5252
1980-07-21,0.0,2.417942,2.379864,2.379864,0.709084,9192
1980-07-22,0.0,2.417942,2.379864,2.379864,0.709084,21010
1980-07-23,0.0,2.417942,2.379864,2.379864,0.709084,11818
1980-07-24,0.0,2.417942,2.379864,2.379864,0.709084,3939
1980-07-25,0.0,2.43698,2.398903,2.398903,0.714757,52524
1980-07-28,0.0,2.43698,2.417942,2.417942,0.720429,14444
1980-07-29,0.0,2.43698,2.417942,2.417942,0.720429,24949
1980-07-30,2.417942,2.417942,2.417942,2.417942,0.720429,0
1980-07-31,0.0,2.43698,2.417942,2.417942,0.720429,5252
1980-08-01,0.0,2.43698,2.417942,2.417942,0.720429,13131
1980-08-04,0.0,2.43698,2.417942,2.417942,0.720429,7879
1980-08-05,0.0,2.43698,2.417942,2.417942,0.720429,2626
1980-08-06,0.0,2.43698,2.417942,2.417942,0.720429,15757
1980-08-07,0.0,2.43698,2.417942,2.417942,0.720429,13131
1980-08-08,0.0,2.43698,2.417942,2.417942,0.720429,2626
1980-08-11,0.0,2.43698,2.417942,2.417942,0.720429,9192
1980-08-12,0.0,2.43698,2.379864,2.379864,0.709084,32828
1980-08-13,0.0,2.398903,2.341786,2.341786,0.697738,11818
1980-08-14,0.0,2.360825,2.303708,2.303708,0.686393,30201
1980-08-15,0.0,2.341786,2.284669,2.284669,0.68072,10505
1980-08-18,0.0,2.341786,2.284669,2.284669,0.68072,6566
1980-08-19,0.0,2.26563,2.208514,2.208514,0.65803,38080
1980-08-20,0.0,2.26563,2.208514,2.208514,0.65803,1313
1980-08-21,0.0,2.26563,2.208514,2.208514,0.65803,2626
