Date,Open,High,Low,Close,Adj Close,Volume
1995-12-15,24.0,24.875,24.0,24.875,14.627167,1283000
1995-12-18,24.875,25.0625,24.25,24.4375,14.369905,2710200
1995-12-19,24.4375,24.4375,23.75,23.9375,14.075898,1096600
1995-12-20,23.9375,24.6875,23.9375,24.5625,14.443411,3904000
1995-12-21,24.5,24.6875,24.0625,24.25,14.259647,3891400
1995-12-22,24.375,24.5625,24.25,24.375,14.333156,2170200
1995-12-26,24.375,24.375,24.1875,24.3125,14.296401,935600
1995-12-27,24.25,24.3125,24.0625,24.0625,14.149399,1391400
1995-12-28,23.9375,24.25,23.875,24.0625,14.149399,1983000
1995-12-29,23.9375,24.1875,23.6875,24.1875,14.222903,1028000
1996-01-02,24.0625,24.375,23.875,24.25,14.259647,1641200
1996-01-03,24.1875,24.375,24.125,24.1875,14.222903,2544000
1996-01-04,24.0,24.5,24.0,24.4375,14.369905,2348200
1996-01-05,24.4375,24.5,24.1875,24.375,14.333156,3229000
1996-01-08,24.625,24.9375,24.5,24.9375,14.663926,1086400
1996-01-09,24.9375,24.9375,24.625,24.820313,14.595007,4461400
1996-01-10,24.5625,24.6875,23.9375,24.125,14.18615,1805000
1996-01-11,24.375,24.4375,24.125,24.375,14.333156,2521600
1996-01-12,24.875,24.875,24.3125,24.8125,14.590416,1359200
1996-01-15,24.9375,25.25,24.875,25.25,14.847681,945600
1996-01-16,25.6875,25.6875,25.3125,25.375,14.921182,1892000
1996-01-17,25.125,25.3125,25.0625,25.0625,14.737416,1104800
1996-01-18,24.9375,25.25,24.6875,25.125,14.774174,1987200
1996-01-19,24.9375,25.125,24.875,25.0,14.700668,1019200
1996-01-22,24.875,25.0,24.75,25.0,14.700668,1224000
1996-01-23,25.25,25.5,25.1875,25.4375,14.957934,2034400
1996-01-24,25.375,25.4375,25.1875,25.25,14.847681,2159600
1996-01-25,25.125,25.4375,24.75,24.875,14.627167,2170000
1996-01-26,24.75,25.1875,24.5625,25.1875,14.81092,1425600
1996-01-29,25.0,25.125,24.8125,25.0,14.700668,412800
1996-01-30,24.875,25.0,24.6875,24.8125,14.590416,635200
1996-01-31,24.75,25.0625,24.625,25.0625,14.737416,1502800
1996-02-01,25.3125,25.3125,25.125,25.1875,14.81092,1231400
1996-02-02,25.0625,25.0625,24.6875,25.0,14.700668,917200
1996-02-05,24.75,25.0625,24.75,25.0,14.700668,702000
1996-02-06,25.0,25.1875,24.9375,25.125,14.774174,726800
1996-02-07,25.125,25.25,24.9375,25.1875,14.81092,1627800
1996-02-08,25.1875,25.625,25.125,25.625,15.06819,1513200
1996-02-09,25.625,25.8125,25.3125,25.375,14.921182,1344800
1996-02-12,25.375,25.8125,25.375,25.75,15.141688,904400
1996-02-13,25.4375,26.125,25.4375,25.9375,15.251945,1055600
1996-02-14,25.8125,26.1875,25.8125,26.0,15.2887,717000
1996-02-15,25.8125,26.125,25.8125,25.875,15.215196,691800
1996-02-16,25.75,25.8125,25.3125,25.4375,14.957934,1504200
1996-02-20,25.0,25.625,24.9375,25.4375,14.957934,1628200
1996-02-21,25.25,26.0625,25.25,25.6875,15.104939,997800
1996-02-22,25.5,26.25,25.5,26.1875,15.398952,1141000
1996-02-23,26.25,26.5625,26.1875,26.375,15.509205,1193800
1996-02-26,26.375,26.5,26.125,26.5,15.58271,748200
1996-02-27,26.4375,26.4375,26.1875,26.3125,15.472452,782200
1996-02-28,26.125,26.4375,25.875,25.875,15.331728,732000
1996-02-29,25.75,26.25,25.6875,25.75,15.257665,1416000
1996-03-01,25.75,26.375,25.625,26.1875,15.516897,714600
1996-03-04,26.5625,26.875,26.25,26.375,15.627995,1050600
1996-03-05,26.375,26.4375,26.0,26.25,15.553926,1455600
1996-03-06,26.25,26.3125,26.0,26.25,15.553926,613400
1996-03-07,26.1875,26.25,26.0,26.0625,15.442829,1108000
1996-03-08,25.125,25.5,24.5,25.125,14.887331,1946400
1996-03-11,24.9375,25.1875,24.4375,24.75,14.665133,850600
1996-03-12,24.375,24.5,23.9375,24.25,14.368867,1167800
1996-03-13,24.1875,24.4375,24.1875,24.25,14.368867,925400
1996-03-14,24.1875,24.5,24.1875,24.25,14.368867,1018600
1996-03-15,24.25,24.3125,23.4375,23.5625,13.961503,1836000
1996-03-18,23.8125,24.375,23.8125,24.3125,14.40589,1970200
1996-03-19,24.4375,25.125,24.4375,25.0,14.813264,1821600
1996-03-20,25.0,25.25,24.875,25.125,14.887331,976800
1996-03-21,25.125,25.25,24.9375,25.1875,14.924361,842000
1996-03-22,25.3125,25.375,25.0,25.0,14.813264,622800
1996-03-25,25.0625,25.5,24.9375,25.0625,14.850299,839400
1996-03-26,24.875,25.125,24.875,25.0,14.813264,997600
1996-03-27,24.8125,25.0625,24.8125,24.9375,14.776227,788600
1996-03-28,24.8125,24.875,24.3125,24.3125,14.40589,899600
1996-03-29,24.3125,24.5625,24.0,24.5,14.516997,1288000
1996-04-01,24.6875,24.75,24.5625,24.75,14.665133,643600
1996-04-02,24.8125,24.8125,24.375,24.625,14.591069,1291000
1996-04-03,24.625,24.75,24.4375,24.5625,14.554034,894000
1996-04-04,24.4375,24.4375,24.125,24.4375,14.479968,633800
1996-04-08,23.875,24.25,23.8125,24.0625,14.257769,635600
1996-04-09,24.0625,24.125,23.25,23.5625,13.961503,1143800
1996-04-10,23.5,23.5,23.0625,23.125,13.702272,727200
1996-04-11,23.0625,23.0625,22.25,22.75,13.480073,1861000
1996-04-12,22.8125,23.25,22.75,23.25,13.776336,1644200
1996-04-15,23.25,23.5625,23.25,23.375,13.850401,502000
1996-04-16,23.375,23.375,22.8125,22.8125,13.5171,999200
1996-04-17,22.8125,23.5625,22.75,23.375,13.850401,1801800
1996-04-18,23.3125,24.25,23.3125,24.0625,14.257769,1567800
1996-04-19,23.9375,24.3125,23.875,24.0,14.220738,1171600
1996-04-22,24.0,24.1875,24.0,24.125,14.294801,831600
1996-04-23,24.0,24.0625,23.625,23.75,14.072605,614200
1996-04-24,23.8125,23.875,23.625,23.6875,14.035571,796200
1996-04-25,23.5625,23.5625,23.3125,23.4375,13.887441,1177400
1996-04-26,23.4375,23.5,23.1875,23.25,13.776336,355400
1996-04-29,23.125,23.6875,23.0625,23.5625,13.961503,1096200
1996-04-30,24.0,24.625,23.9375,24.1875,14.331838,1286400
1996-05-01,24.375,24.4375,24.125,24.25,14.368867,320000
1996-05-02,24.375,24.375,23.9375,24.0,14.220738,593800
1996-05-03,24.0,24.125,23.75,23.75,14.072605,848400
1996-05-06,23.75,23.9375,23.5625,23.625,13.998536,720400
1996-05-07,23.6875,23.6875,23.25,23.25,13.776336,768200
1996-05-08,23.125,23.625,23.125,23.3125,13.813372,898200
1996-05-09,23.375,23.5,23.125,23.375,13.850401,676600
1996-05-10,23.5,23.6875,23.4375,23.6875,14.035571,1130800
1996-05-13,23.625,24.5,23.5625,24.5,14.516997,427800
1996-05-14,24.4375,24.5,24.0,24.25,14.368867,844200
1996-05-15,24.25,24.875,24.1875,24.6875,14.628098,574400
1996-05-16,24.6875,24.875,24.5625,24.625,14.591069,376800
1996-05-17,24.75,25.25,24.75,25.25,14.961403,777200
1996-05-20,25.375,25.6875,25.125,25.1875,14.924361,395400
1996-05-21,25.125,25.6875,25.125,25.625,15.183596,317200
1996-05-22,25.5625,25.8125,25.1875,25.8125,15.294703,1730800
1996-05-23,25.8125,25.875,25.5625,25.8125,15.294703,1167400
1996-05-24,25.8125,26.0,25.75,25.9375,15.368761,428200
1996-05-28,25.875,26.0,25.75,25.875,15.331728,488800
1996-05-29,25.5625,25.8125,25.5625,25.75,15.376516,1513000
1996-05-30,25.75,26.0,25.75,25.875,15.451156,472400
1996-05-31,25.9375,25.9375,25.75,25.875,15.451156,557400
1996-06-03,25.8125,25.9375,25.75,25.875,15.451156,437800
1996-06-04,25.875,25.875,25.75,25.8125,15.413847,323800
1996-06-05,25.75,26.5,25.75,26.4375,15.787053,855400
1996-06-06,26.5625,26.6875,26.375,26.5,15.824384,378000
1996-06-07,26.125,26.3125,25.9375,26.3125,15.712412,1567200
1996-06-10,26.4375,26.8125,26.25,26.5625,15.861697,337600
1996-06-11,26.1875,26.3125,26.0625,26.3125,15.712412,445200
1996-06-12,26.375,26.5625,26.125,26.5,15.824384,556800
1996-06-13,26.4375,26.75,26.4375,26.5,15.824384,364600
1996-06-14,26.5,26.6875,26.5,26.5625,15.861697,409400
1996-06-17,26.625,26.6875,26.5,26.5625,15.861697,507000
1996-06-18,26.75,27.1875,26.6875,26.6875,15.936345,1038600
1996-06-19,26.6875,26.75,26.5,26.5625,15.861697,341800
1996-06-20,26.625,26.75,26.5,26.625,15.899019,243800
1996-06-21,26.25,26.6875,26.125,26.6875,15.936345,859600
1996-06-24,26.75,27.0625,26.625,27.0625,16.160271,208600
1996-06-25,27.125,27.125,26.5,26.8125,16.010992,547200
1996-06-26,26.5625,26.75,26.5625,26.625,15.899019,551200
1996-06-27,26.5,26.5625,26.4375,26.5,15.824384,642200
1996-06-28,26.5,26.625,26.4375,26.625,15.899019,367000
1996-07-01,26.8125,27.375,26.75,27.3125,16.309553,649000
1996-07-02,27.1875,27.375,27.0,27.375,16.346872,270600
1996-07-03,27.25,27.375,27.0625,27.125,16.19759,490400
1996-07-05,26.9375,27.0625,26.3125,26.5,15.824384,329000
1996-07-08,26.5625,26.875,26.375,26.4375,15.787053,1235800
1996-07-09,26.4375,26.5625,26.1875,26.1875,15.63777,286400
1996-07-10,26.1875,26.625,26.1875,26.5,15.824384,449400
1996-07-11,26.5625,26.5625,25.8125,26.0625,15.563124,423600
1996-07-12,25.9375,26.4375,25.75,26.125,15.600446,792600
1996-07-15,26.0625,26.0625,25.3125,25.5,15.227227,924400
1996-07-16,25.5625,25.9375,25.3125,25.875,15.451156,640800
1996-07-17,26.125,26.75,25.875,26.75,15.973661,1165800
1996-07-18,26.75,26.875,26.5,26.8125,16.010992,1084800
1996-07-19,26.8125,26.8125,26.625,26.8125,16.010992,394400
1996-07-22,26.6875,26.6875,26.1875,26.1875,15.63777,485200
1996-07-23,26.4375,26.5,25.6875,25.6875,15.339195,500400
1996-07-24,25.25,25.9375,25.25,25.8125,15.413847,548400
1996-07-25,25.8125,25.875,25.375,25.375,15.152592,521600
1996-07-26,25.375,25.625,25.375,25.4375,15.189907,342600
1996-07-29,25.4375,25.5,25.375,25.375,15.152592,213000
1996-07-30,25.4375,26.25,25.375,26.25,15.675091,374600
1996-07-31,26.1875,26.625,26.125,26.4375,15.787053,522000
1996-08-01,26.5,26.6875,26.0625,26.5625,15.861697,336000
1996-08-02,26.6875,27.25,26.4375,27.0625,16.160271,239800
1996-08-05,27.125,27.4375,26.875,26.9375,16.085625,459800
1996-08-06,26.9375,27.0625,26.6875,27.0625,16.160271,230000
1996-08-07,27.3125,27.5,26.8125,26.8125,16.010992,332800
1996-08-08,26.8125,27.0625,26.6875,26.875,16.0483,316600
1996-08-09,27.0,27.25,26.6875,26.9375,16.085625,146400
1996-08-12,26.8125,27.0625,26.3125,27.0625,16.160271,187800
1996-08-13,27.0,27.0625,26.6875,27.0,16.122952,153200
1996-08-14,26.75,26.75,26.3125,26.75,15.973661,411400
1996-08-15,26.75,26.875,26.625,26.8125,16.010992,282000
1996-08-16,26.9375,26.9375,26.8125,26.8125,16.010992,203400
1996-08-19,26.9375,27.0625,26.875,27.0625,16.160271,567600
1996-08-20,27.1875,27.1875,26.9375,27.0,16.122952,223800
1996-08-21,27.0,27.0625,26.75,27.0625,16.160271,266000
1996-08-22,27.0,27.25,26.9375,27.0,16.122952,770000
1996-08-23,27.0,27.25,27.0,27.125,16.19759,461800
1996-08-26,27.0625,27.1875,26.9375,27.0625,16.160271,311000
1996-08-27,27.0625,27.1875,27.0,27.0,16.122952,280200
1996-08-28,26.875,27.0625,26.75,26.75,16.092871,299800
1996-08-29,26.4375,26.8125,26.4375,26.75,16.092871,802400
1996-08-30,26.75,26.75,26.375,26.375,15.867271,334800
1996-09-03,25.5625,26.1875,25.5,25.875,15.566462,660600
1996-09-04,25.875,26.3125,25.875,26.25,15.792069,291600
1996-09-05,26.375,26.4375,26.25,26.375,15.867271,248600
1996-09-06,26.1875,26.75,26.0625,26.5,15.942474,229400
1996-09-09,26.625,26.8125,26.5,26.75,16.092871,271200
