Date,Open,High,Low,Close,Adj Close,Volume
1971-02-08,4.349748,4.389472,4.310025,4.349748,0.894842,133422
1971-02-09,4.349748,4.429196,4.310025,4.429196,0.911186,174329
1971-02-10,4.36961,4.36961,4.290163,4.36961,0.898928,241669
1971-02-11,4.36961,4.449058,4.290163,4.449058,0.915272,274395
1971-02-12,4.449058,4.488782,4.409334,4.449058,0.915272,256773
1971-02-16,4.449058,4.528505,4.449058,4.528505,0.931616,228453
1971-02-17,4.528505,4.548367,4.488782,4.548367,0.935702,166777
1971-02-18,4.548367,4.568229,4.508643,4.568229,0.939789,152931
1971-02-19,4.548367,4.548367,4.46892,4.508643,0.92753,212719
1971-02-22,4.46892,4.46892,4.389472,4.449058,0.915272,306492
1971-02-23,4.449058,4.46892,4.409334,4.449058,0.915272,215237
1971-02-24,4.449058,4.548367,4.449058,4.548367,0.935702,139715
1971-02-25,4.568229,4.607953,4.568229,4.568229,0.939789,168036
1971-02-26,4.568229,4.588091,4.488782,4.508643,0.92753,96919
1971-03-01,4.488782,4.488782,4.429196,4.488782,0.923445,101325
1971-03-02,4.46892,4.46892,4.449058,4.449058,0.915272,77410
1971-03-03,4.449058,4.46892,4.429196,4.429196,0.911186,95031
1971-03-04,4.429196,4.449058,4.36961,4.449058,0.915272,89367
1971-03-05,4.429196,4.429196,4.290163,4.36961,0.898928,91885
1971-03-08,4.36961,4.36961,4.310025,4.349748,0.894842,106989
1971-03-09,4.349748,4.429196,4.349748,4.349748,0.894842,88109
1971-03-10,4.349748,4.36961,4.290163,4.329887,0.890756,144120
1971-03-11,4.329887,4.528505,4.290163,4.449058,0.915272,223418
1971-03-12,4.449058,4.46892,4.429196,4.449058,0.915272,77410
1971-03-15,4.449058,4.508643,4.449058,4.508643,0.92753,70487
1971-03-16,4.508643,4.528505,4.429196,4.449058,0.915272,189433
1971-03-17,4.449058,4.449058,4.36961,4.449058,0.915272,107618
1971-03-18,4.449058,4.46892,4.36961,4.409334,0.907101,140344
1971-03-19,4.409334,4.409334,4.250439,4.250439,0.874412,115800
1971-03-22,4.250439,4.349748,4.230577,4.310025,0.88667,97549
1971-03-23,4.310025,4.349748,4.290163,4.329887,0.890756,65452
1971-03-24,4.329887,4.389472,4.310025,4.329887,0.890756,120205
1971-03-25,4.310025,4.310025,4.290163,4.290163,0.882584,113912
1971-03-26,4.290163,4.310025,4.250439,4.290163,0.882584,98807
1971-03-29,4.290163,4.329887,4.250439,4.270301,0.878498,89997
1971-03-30,4.230577,4.230577,4.190854,4.210715,0.86624,157966
1971-03-31,4.210715,4.250439,4.210715,4.210715,0.86624,52236
1971-04-01,4.230577,4.270301,4.230577,4.230577,0.870326,101954
1971-04-02,4.230577,4.250439,4.210715,4.210715,0.86624,118317
1971-04-05,4.210715,4.230577,4.170992,4.190854,0.862154,92514
1971-04-06,4.190854,4.290163,4.170992,4.290163,0.882584,132792
1971-04-07,4.290163,4.329887,4.250439,4.310025,0.88667,116429
1971-04-08,4.310025,4.349748,4.290163,4.349748,0.894842,69857
1971-04-12,4.349748,4.449058,4.310025,4.409334,0.907101,202650
1971-04-13,4.488782,4.508643,4.488782,4.488782,0.923445,152302
1971-04-14,4.528505,4.727124,4.528505,4.707262,0.968391,414110
1971-04-15,4.707262,4.766848,4.707262,4.746986,0.976563,271248
1971-04-16,4.746986,4.766848,4.707262,4.746986,0.976563,168665
1971-04-19,4.746986,4.826433,4.707262,4.806571,0.988821,174958
1971-04-20,4.6874,4.6874,4.588091,4.588091,0.943874,241669
