Date,Open,High,Low,Close,Adj Close,Volume
2014-06-19,26.15,27.4,26.059999,26.700001,26.401814,32013900
2014-06-20,26.700001,27.450001,26.700001,26.950001,26.649023,3840000
2014-06-23,27.25,27.25,26.52,26.74,26.441368,1526300
2014-06-24,26.57,27.08,26.450001,26.76,26.461142,1102900
2014-06-25,26.57,27.09,26.51,26.9,26.599577,921100
2014-06-26,26.790001,27.24,26.77,26.940001,26.639133,1034900
2014-06-27,26.98,27.23,26.700001,26.98,26.678684,1097700
2014-06-30,27.18,27.18,26.67,26.98,26.678684,694500
2014-07-01,27.200001,27.200001,26.709999,26.74,26.441368,999600
2014-07-02,26.620001,27.09,26.620001,26.77,26.471031,1401700
2014-07-03,26.66,27.1,26.66,26.950001,26.649023,467900
2014-07-07,26.959999,27.0,26.66,26.940001,26.639133,264600
2014-07-08,26.940001,26.950001,26.625999,26.860001,26.560026,445300
2014-07-09,26.82,26.959999,26.73,26.879999,26.579803,224400
2014-07-10,26.5,26.870001,26.139999,26.66,26.362261,470200
2014-07-11,26.66,26.940001,26.549999,26.68,26.382036,484500
2014-07-14,26.5,26.700001,25.5,26.08,25.78874,2140600
2014-07-15,25.969999,26.120001,25.75,26.0,25.709633,530900
2014-07-16,26.07,26.9,26.0,26.049999,25.759073,276400
2014-07-17,26.0,26.209999,25.950001,26.040001,25.749187,276900
2014-07-18,25.799999,26.08,25.799999,26.049999,25.759073,402900
2014-07-21,25.790001,26.049999,25.440001,25.799999,25.511864,1044900
2014-07-22,26.02,26.02,25.290001,25.6,25.314098,1213800
2014-07-23,25.6,25.940001,25.134001,25.77,25.482201,1004100
2014-07-24,25.51,25.83,25.292,25.68,25.393206,579700
2014-07-25,25.49,26.1,25.209999,26.049999,25.759073,706800
2014-07-28,25.92,26.25,25.530001,26.129999,25.838181,306100
2014-07-29,26.25,26.299999,25.950001,25.959999,25.670078,237300
2014-07-30,26.200001,26.200001,25.51,25.99,25.699745,220700
2014-07-31,25.66,25.98,25.18,25.309999,25.027336,367600
2014-08-01,25.059999,25.434999,24.83,25.0,24.720798,400700
2014-08-04,25.049999,25.540001,24.93,25.459999,25.175661,192200
2014-08-05,25.379999,25.559999,24.959999,25.1,24.819683,208500
2014-08-06,25.0,25.487,24.73,25.209999,24.928452,128700
2014-08-07,25.41,25.540001,25.059999,25.4,25.116333,109500
2014-08-08,24.059999,25.65,24.059999,25.51,25.225103,187300
2014-08-11,24.059999,25.870001,24.059999,25.83,25.541531,152300
2014-08-12,25.950001,26.370001,25.68,26.17,25.877733,550300
2014-08-13,26.219999,26.35,25.280001,25.42,25.13611,975300
2014-08-14,25.610001,25.91,25.41,25.57,25.284433,312600
2014-08-15,25.43,25.559999,25.25,25.450001,25.165773,540400
2014-08-18,25.379999,25.815001,25.059999,25.43,25.145998,639600
2014-08-19,25.43,25.9,25.110001,25.76,25.472313,543900
2014-08-20,25.5,26.58,25.5,25.950001,25.660191,866100
2014-08-21,25.73,26.09,25.33,25.530001,25.244881,279000
2014-08-22,25.440001,25.893,25.290001,25.389999,25.106443,452500
2014-08-25,25.34,25.559999,25.1,25.209999,24.928452,502100
2014-08-26,25.059999,25.77,24.85,25.33,25.047115,883600
2014-08-27,25.27,25.700001,25.059999,25.219999,24.938341,468900
2014-08-28,24.07,25.35,24.07,25.01,24.73069,358200
2014-08-29,25.01,25.25,24.51,25.01,24.73069,501700
2014-09-02,25.040001,25.51,24.99,25.01,24.73069,214700
2014-09-03,25.08,25.450001,24.83,25.389999,25.106443,199900
2014-09-04,25.4,25.4,24.799999,24.889999,24.612026,288600
2014-09-05,24.83,25.110001,24.76,24.879999,24.602139,656800
2014-09-08,24.77,24.903,24.570999,24.68,24.404373,243000
2014-09-09,24.700001,24.700001,23.99,24.4,24.127501,603100
2014-09-10,24.52,24.700001,24.129999,24.49,24.216494,929100
2014-09-11,24.52,24.809999,24.34,24.799999,24.523031,202500
2014-09-12,24.860001,24.860001,24.35,24.469999,24.196716,304600
2014-09-15,24.42,24.610001,24.25,24.48,24.206606,128600
2014-09-16,24.35,24.67,24.299999,24.4,24.127501,89800
2014-09-17,24.379999,24.584999,24.129999,24.219999,23.949511,114600
2014-09-18,24.25,24.49,24.040001,24.25,23.979174,355200
2014-09-19,24.41,24.41,24.059999,24.18,23.909956,252700
2014-09-22,23.889999,24.184999,23.84,24.030001,23.761631,254100
2014-09-23,23.870001,24.17,23.700001,23.719999,23.455093,339200
2014-09-24,23.75,23.985001,23.719999,23.83,23.563868,213600
2014-09-25,24.0,24.059999,23.4,23.6,23.336435,199900
2014-09-26,23.66,23.799999,23.559999,23.709999,23.445204,153700
2014-09-29,23.559999,23.73,23.459999,23.66,23.395765,306000
2014-09-30,23.66,23.66,23.08,23.35,23.089228,408600
2014-10-01,23.32,23.48,23.01,23.299999,23.039783,335200
2014-10-02,23.34,23.34,22.780001,22.93,22.673916,347000
2014-10-03,23.129999,23.35,22.879999,23.26,23.000233,379300
2014-10-06,23.26,23.469999,22.120001,22.440001,22.18939,582300
2014-10-07,22.299999,22.370001,20.99,21.040001,20.805027,1049300
2014-10-08,21.129999,22.65,21.049999,22.610001,22.357492,1348500
2014-10-09,22.66,22.66,21.84,22.209999,21.961958,408900
2014-10-10,22.200001,22.540001,21.472,21.959999,21.714748,495000
2014-10-13,22.4,23.4,22.09,22.65,22.397043,667100
2014-10-14,22.83,23.75,22.620001,22.959999,22.703583,978500
2014-10-15,22.82,23.280001,22.5,22.959999,22.703583,632800
2014-10-16,22.58,23.42,22.58,22.959999,22.703583,303000
2014-10-17,23.07,23.155001,22.889999,22.99,22.733246,323300
2014-10-20,22.860001,23.040001,22.51,22.969999,22.713469,154200
2014-10-21,23.0,23.27,22.790001,23.040001,22.78269,455300
2014-10-22,23.15,23.6,22.870001,23.209999,22.950788,255400
2014-10-23,23.43,24.120001,22.940001,23.74,23.474873,401500
2014-10-24,23.84,24.01,23.34,23.719999,23.455093,249100
2014-10-27,23.559999,23.6,22.68,22.690001,22.436598,416800
2014-10-28,22.719999,23.469999,22.5,23.440001,23.178223,381000
2014-10-29,23.540001,24.290001,23.01,24.040001,23.771519,294200
2014-10-30,24.0,24.51,23.700001,24.41,24.137386,219700
2014-10-31,24.75,25.969999,24.5,25.540001,25.254768,374400
2014-11-03,25.540001,25.540001,24.4,24.610001,24.335155,508300
2014-11-04,24.43,24.450001,23.766001,24.0,23.731966,124900
2014-11-05,24.030001,24.959999,24.030001,24.76,24.483479,345900
2014-11-06,24.66,25.08,23.665001,24.23,23.959396,357800
2014-11-07,24.129999,24.41,23.639999,23.799999,23.534201,337500
2014-11-10,24.280001,25.049999,23.639999,23.74,23.474873,209000
2014-11-11,23.950001,24.379999,23.57,24.08,23.811075,391800
2014-11-12,24.32,25.389999,23.969999,25.110001,24.829571,467500
2014-11-13,25.0,25.5,24.67,24.959999,24.681246,383500
2014-11-14,25.040001,25.43,24.4,24.92,24.641693,459200
2014-11-17,25.0,25.23,24.5,24.82,24.54281,429600
2014-11-18,24.85,25.799999,24.846001,25.34,25.057005,422500
2014-11-19,25.200001,25.75,24.959999,25.5,25.215214,420200
2014-11-20,25.51,25.950001,25.299999,25.870001,25.581083,679900
2014-11-21,26.0,26.0,25.65,25.74,25.452536,395000
2014-11-24,25.610001,25.639999,25.09,25.51,25.225103,800500
2014-11-25,25.6,25.6,25.195999,25.4,25.116333,463000
2014-11-26,25.370001,25.73,25.33,25.6,25.314098,206000
2014-11-28,25.620001,25.620001,25.379999,25.43,25.145998,233300
2014-12-01,25.450001,25.6,25.0,25.08,24.799906,429600
2014-12-02,25.209999,25.468,25.040001,25.200001,24.918568,298900
2014-12-03,25.32,25.440001,24.950001,25.1,24.819683,389200
2014-12-04,25.16,25.23,24.280001,24.91,24.631804,495900
2014-12-05,24.75,25.629999,24.52,25.309999,25.027336,664600
2014-12-08,25.459999,25.950001,25.02,25.860001,25.571196,451600
2014-12-09,25.41,26.950001,25.41,26.5,26.204046,937200
2014-12-10,26.42,26.549999,26.02,26.120001,25.828293,745700
2014-12-11,26.379999,26.58,26.0,26.32,26.026056,257600
2014-12-12,26.299999,26.66,25.51,25.58,25.294319,889500
2014-12-15,25.799999,26.379999,25.299999,25.450001,25.165773,387400
2014-12-16,25.27,25.32,24.700001,24.959999,24.681246,1905700
2014-12-17,24.889999,25.24,24.75,24.969999,24.691132,219200
2014-12-18,25.040001,25.389999,25.0,25.32,25.037226,537200
2014-12-19,25.299999,25.889999,24.99,25.040001,24.760355,435300
2014-12-22,25.15,26.0,25.049999,25.969999,25.679966,493000
2014-12-23,26.0,26.799999,25.950001,26.690001,26.391926,394600
2014-12-24,26.719999,26.799999,26.459999,26.549999,26.253487,43800
2014-12-26,26.27,26.75,26.209999,26.49,26.194157,101100
2014-12-29,26.559999,26.74,26.26,26.49,26.194157,84000
2014-12-30,26.469999,26.719999,26.26,26.540001,26.243599,85200
2014-12-31,26.700001,26.700001,26.35,26.43,26.134829,126900
2015-01-02,26.620001,26.799999,26.33,26.6,26.302933,823300
2015-01-05,26.33,26.58,25.77,25.959999,25.670078,340000
2015-01-06,25.879999,25.879999,24.93,25.610001,25.323988,533200
2015-01-07,25.799999,26.66,25.475,26.48,26.184269,457100
2015-01-08,26.530001,27.200001,26.23,26.950001,26.649023,434100
2015-01-09,26.85,27.0,26.58,26.83,26.530361,230500
2015-01-12,26.73,26.940001,26.370001,26.43,26.134829,233100
2015-01-13,26.09,26.91,26.09,26.82,26.520473,320800
2015-01-14,26.370001,27.059999,26.059999,26.35,26.055723,522700
2015-01-15,26.309999,26.92,25.389999,25.450001,25.165773,371700
2015-01-16,25.51,26.25,25.51,25.99,25.699745,257000
2015-01-20,25.91,26.309999,25.530001,25.66,25.37343,436400
2015-01-21,25.620001,25.940001,25.4,25.66,25.37343,149300
2015-01-22,25.74,25.879999,25.370001,25.559999,25.274546,389300
2015-01-23,25.559999,26.1,25.51,25.870001,25.581083,184100
2015-01-26,25.790001,25.92,25.48,25.83,25.541531,145200
2015-01-27,25.610001,26.461,25.610001,26.41,26.115051,471300
2015-01-28,26.620001,27.08,26.27,26.73,26.431479,530600
2015-01-29,26.75,26.75,25.290001,26.299999,26.006281,310800
2015-01-30,26.049999,26.559999,25.955,26.25,25.956837,170600
2015-02-02,26.18,26.74,25.85,26.370001,26.0755,313100
2015-02-03,26.58,26.655001,26.33,26.41,26.115051,159400
2015-02-04,26.209999,26.5,25.959999,26.440001,26.144718,321900
2015-02-05,26.440001,26.530001,26.1,26.48,26.184269,117000
2015-02-06,26.389999,26.5,26.344999,26.43,26.134829,151200
2015-02-09,26.41,26.780001,26.325001,26.540001,26.243599,228400
2015-02-10,26.52,26.889999,26.32,26.74,26.441368,330800
2015-02-11,26.65,27.0,26.17,26.959999,26.658911,245100
2015-02-12,26.42,27.389999,26.42,26.809999,26.510584,1588400
2015-02-13,26.200001,26.5,25.67,26.139999,25.848068,1231000
2015-02-17,25.73,26.200001,25.690001,26.030001,25.739298,671900
2015-02-18,26.0,26.299999,25.940001,26.1,25.808514,616800
2015-02-19,26.16,26.43,25.969999,26.200001,25.907398,1044600
2015-02-20,26.280001,26.5,26.0,26.35,26.055723,269600
2015-02-23,26.360001,26.450001,26.030001,26.370001,26.0755,197500
2015-02-24,26.290001,26.59,26.290001,26.5,26.204046,484200
2015-02-25,26.370001,26.68,26.164,26.52,26.223824,740900
2015-02-26,26.5,26.59,26.440001,26.549999,26.253487,521800
2015-02-27,26.5,26.74,26.34,26.65,26.352373,291100
2015-03-02,26.700001,27.200001,26.59,27.139999,26.836899,1180700
2015-03-03,27.0,27.065001,26.51,26.799999,26.500694,315000
2015-03-04,26.790001,26.790001,26.280001,26.35,26.055723,594200
2015-03-05,26.24,26.559999,26.120001,26.309999,26.016169,193400
2015-03-06,26.24,26.26,25.705,25.879999,25.590971,466300
2015-03-09,25.959999,26.190001,25.709999,26.02,25.729408,283500
2015-03-10,25.950001,25.950001,25.68,25.790001,25.50198,479000
2015-03-11,25.92,25.98,25.26,25.620001,25.333876,580700
2015-03-12,25.709999,26.129999,25.629999,26.049999,25.759073,306700
2015-03-13,26.120001,26.17,25.49,25.9,25.610748,314700
2015-03-16,25.91,26.440001,25.629999,26.389999,26.095274,236700
2015-03-17,26.25,26.52,26.1,26.42,26.124939,252800
2015-03-18,26.34,26.809999,26.233,26.799999,26.500694,196300
2015-03-19,26.780001,27.190001,26.645,27.030001,26.728128,609600
2015-03-20,27.18,27.25,26.9,27.25,26.945673,281300
2015-03-23,27.25,27.5,27.15,27.34,27.034668,451100
2015-03-24,27.379999,27.440001,26.940001,27.02,26.718241,171100
2015-03-25,27.129999,27.129999,26.68,26.85,26.550137,274400
2015-03-26,26.790001,27.110001,26.629999,26.93,26.629246,162500
2015-03-27,26.879999,26.9,26.549999,26.74,26.441368,306600
