Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,21.25,21.299999,20.27,21.1,21.1,10933700
2017-05-15,21.01,22.299999,21.01,22.02,22.02,3487300
2017-05-16,22.190001,22.41,22.049999,22.1,22.1,1289300
2017-05-17,22.15,22.51,21.67,22.1,22.1,1583700
2017-05-18,22.190001,23.629999,21.98,22.5,22.5,4075200
2017-05-19,22.559999,23.49,22.32,22.719999,22.719999,1248600
2017-05-22,22.799999,23.09,22.52,22.889999,22.889999,383100
2017-05-23,22.99,23.610001,22.65,23.450001,23.450001,704000
2017-05-24,23.540001,23.593,23.01,23.35,23.35,408800
2017-05-25,23.42,23.82,22.309999,22.51,22.51,1080700
2017-05-26,22.549999,23.24,22.355,23.030001,23.030001,721100
2017-05-30,23.0,23.290001,22.59,22.950001,22.950001,843100
2017-05-31,22.969999,23.18,22.67,22.93,22.93,484400
2017-06-01,22.91,23.434999,22.809999,22.93,22.93,486400
2017-06-02,22.889999,23.1,22.6,22.65,22.65,546600
2017-06-05,22.610001,22.91,21.92,22.629999,22.629999,422200
2017-06-06,21.83,22.709999,21.83,22.290001,22.290001,1089500
2017-06-07,22.4,22.790001,21.57,21.76,21.76,733500
2017-06-08,21.75,21.93,21.610001,21.65,21.65,432600
2017-06-09,21.68,22.82,21.68,22.49,22.49,565900
2017-06-12,22.459999,23.58,21.889999,23.030001,23.030001,826200
2017-06-13,22.99,24.24,22.799999,23.49,23.49,927300
2017-06-14,23.57,23.709999,22.549999,23.25,23.25,1988500
2017-06-15,23.08,24.549999,22.77,22.99,22.99,1510300
2017-06-16,23.0,24.0,23.0,23.92,23.92,2465600
2017-06-19,24.059999,24.209999,23.540001,23.92,23.92,460200
2017-06-20,23.719999,23.719999,22.209999,22.620001,22.620001,1043700
2017-06-21,22.540001,22.745001,20.629999,20.719999,20.719999,1275400
2017-06-22,20.719999,21.07,19.91,21.059999,21.059999,1321900
2017-06-23,21.030001,21.105,20.24,20.469999,20.469999,3690400
2017-06-26,20.42,21.049999,20.08,20.5,20.5,790800
2017-06-27,20.559999,21.629999,20.42,21.290001,21.290001,1029100
2017-06-28,21.280001,21.639999,21.139999,21.27,21.27,737600
2017-06-29,21.33,21.540001,21.040001,21.43,21.43,796200
2017-06-30,21.540001,21.74,21.24,21.610001,21.610001,250800
2017-07-03,21.75,22.4,21.389999,22.34,22.34,396500
2017-07-05,22.379999,22.41,21.76,21.82,21.82,765800
2017-07-06,21.610001,21.610001,20.895,20.969999,20.969999,1184400
2017-07-07,20.99,21.219999,20.58,20.67,20.67,953900
2017-07-10,20.629999,21.48,20.549999,21.34,21.34,826900
2017-07-11,21.23,21.799999,21.02,21.73,21.73,656100
2017-07-12,21.780001,22.34,21.73,22.129999,22.129999,1091800
2017-07-13,22.110001,22.26,21.860001,22.059999,22.059999,1577700
2017-07-14,22.129999,22.290001,21.99,22.08,22.08,211300
2017-07-17,22.059999,23.120001,21.923,22.969999,22.969999,1357100
2017-07-18,22.83,23.209999,22.809999,23.040001,23.040001,962700
2017-07-19,23.030001,23.42,23.0,23.42,23.42,742400
2017-07-20,23.41,23.620001,23.0,23.549999,23.549999,454400
2017-07-21,23.440001,23.690001,22.82,23.01,23.01,1163200
2017-07-24,22.93,23.15,22.709999,23.139999,23.139999,724400
2017-07-25,23.280001,23.559999,22.99,23.450001,23.450001,1832300
2017-07-26,23.6,23.6,22.639999,22.82,22.82,781200
2017-07-27,22.809999,23.25,22.745001,23.23,23.23,314200
2017-07-28,23.08,23.219999,22.879999,23.09,23.09,260800
2017-07-31,23.23,23.23,22.91,22.959999,22.959999,536900
2017-08-01,23.0,23.0,22.389999,22.5,22.5,998200
2017-08-02,22.5,23.129999,22.5,23.02,23.02,1444100
2017-08-03,23.83,23.997,22.959999,23.26,23.26,2650300
2017-08-04,23.459999,24.08,23.290001,24.07,24.07,809600
2017-08-07,24.09,24.34,23.74,24.040001,24.040001,1039100
2017-08-08,24.059999,24.290001,23.73,24.129999,24.129999,626700
2017-08-09,24.040001,24.063999,23.48,23.6,23.6,296800
2017-08-10,23.389999,23.389999,22.52,22.66,22.66,1247900
2017-08-11,22.280001,22.91,22.280001,22.68,22.68,605300
2017-08-14,22.889999,23.190001,22.16,22.59,22.59,970300
2017-08-15,22.690001,22.799999,22.549999,22.690001,22.690001,1061900
2017-08-16,22.799999,22.870001,22.59,22.75,22.75,536300
2017-08-17,22.6,22.809999,21.98,22.0,22.0,417900
2017-08-18,21.91,22.18,21.76,21.969999,21.969999,506400
2017-08-21,22.66,22.9,22.135,22.389999,22.389999,714000
2017-08-22,22.52,22.85,22.4,22.780001,22.780001,245100
2017-08-23,22.58,23.065001,22.58,22.959999,22.959999,612400
2017-08-24,22.98,22.98,22.635,22.700001,22.700001,230300
2017-08-25,22.82,23.040001,22.709999,22.98,22.98,572300
