Date,Open,High,Low,Close,Adj Close,Volume
1995-08-25,6.725,6.825,6.725,6.8,3.458727,3541000
1995-08-28,6.775,6.775,6.65,6.7,3.407863,1418500
1995-08-29,6.75,6.775,6.625,6.7,3.407863,879000
1995-08-30,6.7,6.725,6.675,6.725,3.42058,436500
1995-08-31,6.725,6.725,6.65,6.7,3.407863,606500
1995-09-01,6.7,6.725,6.675,6.725,3.42058,217000
1995-09-05,6.7,6.725,6.675,6.7,3.407863,385500
1995-09-06,6.675,6.7,6.65,6.675,3.395148,247000
1995-09-07,6.675,6.675,6.6,6.625,3.369716,738000
1995-09-08,6.575,6.6,6.275,6.275,3.191693,946000
1995-09-11,6.3,6.525,6.3,6.425,3.267988,434000
1995-09-12,6.55,6.675,6.55,6.65,3.382431,817500
1995-09-13,6.75,6.775,6.65,6.675,3.395148,542500
1995-09-14,6.675,6.7,6.65,6.7,3.407863,154500
1995-09-15,6.675,6.7,6.675,6.7,3.407863,218500
1995-09-18,6.675,6.725,6.65,6.725,3.42058,422500
1995-09-19,6.7,6.7,6.65,6.675,3.395148,116500
1995-09-20,6.65,6.65,6.525,6.55,3.331568,124500
1995-09-21,6.6,6.625,6.55,6.6,3.356999,157000
1995-09-22,6.55,6.55,6.45,6.45,3.280703,94500
1995-09-25,6.5,6.5,6.425,6.425,3.267988,53000
1995-09-26,6.55,6.6,6.525,6.525,3.318852,266500
1995-09-27,6.5,6.525,6.5,6.5,3.306136,95000
1995-09-28,6.55,6.625,6.55,6.6,3.356999,205000
1995-09-29,6.8,6.925,6.8,6.9,3.50959,1303000
1995-10-02,7.0,7.125,7.0,7.025,3.57317,570000
1995-10-03,7.05,7.075,7.0,7.05,3.585886,165000
1995-10-04,7.025,7.025,6.975,6.975,3.54774,108500
1995-10-05,7.0,7.025,6.975,7.025,3.57317,70500
1995-10-06,7.025,7.025,6.95,6.975,3.54774,277000
1995-10-09,6.95,7.0,6.925,6.925,3.522305,77000
1995-10-10,6.925,6.925,6.8,6.825,3.471443,80000
1995-10-11,6.825,6.9,6.825,6.825,3.471443,80500
1995-10-12,6.875,7.05,6.875,7.025,3.57317,170000
1995-10-13,7.15,7.275,7.15,7.25,3.687613,201000
1995-10-16,7.3,7.425,7.3,7.375,3.751194,130000
1995-10-17,7.35,7.35,7.275,7.275,3.70033,154500
1995-10-18,7.275,7.475,7.275,7.375,3.751194,169000
1995-10-19,7.425,7.525,7.425,7.525,3.827487,130500
1995-10-20,7.575,7.7,7.575,7.65,3.891068,212500
1995-10-23,7.675,7.675,7.65,7.675,3.903783,66000
1995-10-24,7.625,7.625,7.55,7.55,3.840203,71500
1995-10-25,7.55,7.55,7.525,7.525,3.827487,284500
1995-10-26,7.525,7.55,7.425,7.45,3.78934,96000
1995-10-27,7.425,7.45,7.4,7.45,3.78934,25000
1995-10-30,7.425,7.475,7.425,7.425,3.776624,18500
1995-10-31,7.55,7.65,7.55,7.65,3.891068,208000
1995-11-01,7.625,7.625,7.475,7.5,3.814772,107000
1995-11-02,7.525,7.65,7.525,7.6,3.865636,291000
