Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,5.12963,5.018519,5.037037,1.178945,62775
1980-03-18,0.0,5.111111,5.037037,5.074074,1.187613,64125
1980-03-19,0.0,5.166667,5.111111,5.148148,1.204951,40500
1980-03-20,0.0,5.148148,5.092593,5.111111,1.196282,18900
1980-03-21,0.0,5.222222,5.111111,5.222222,1.222288,97200
1980-03-24,0.0,5.185185,5.092593,5.092593,1.191948,90450
1980-03-25,0.0,5.111111,5.055556,5.074074,1.187613,72225
1980-03-26,0.0,5.148148,5.037037,5.111111,1.196282,31725
1980-03-27,0.0,5.092593,4.925926,5.074074,1.187613,62100
1980-03-28,0.0,5.074074,4.925926,5.018519,1.174611,84375
1980-03-31,0.0,5.185185,5.074074,5.166667,1.209285,55350
1980-04-01,0.0,5.259259,5.074074,5.111111,1.196282,126225
1980-04-02,0.0,5.296296,5.148148,5.296296,1.239626,58725
1980-04-03,0.0,5.555556,5.407407,5.5,1.287304,311175
1980-04-07,0.0,5.62963,5.481481,5.537037,1.295972,115425
1980-04-08,0.0,5.5,5.444444,5.444444,1.274301,218025
1980-04-09,0.0,5.407407,5.259259,5.37037,1.256963,181575
1980-04-10,0.0,5.518519,5.37037,5.481481,1.282969,191700
1980-04-11,0.0,5.592593,5.462963,5.481481,1.282969,112050
1980-04-14,0.0,5.481481,5.425926,5.462963,1.278635,18900
1980-04-15,0.0,5.425926,5.333333,5.333333,1.248295,63450
1980-04-16,0.0,5.425926,5.37037,5.425926,1.269966,30375
1980-04-17,0.0,5.388889,5.314815,5.333333,1.248295,43875
1980-04-18,0.0,5.388889,5.296296,5.296296,1.239626,27675
1980-04-21,0.0,5.277778,5.111111,5.166667,1.209285,83700
1980-04-22,0.0,5.333333,5.111111,5.333333,1.248295,122850
1980-04-23,0.0,5.333333,5.203704,5.333333,1.248295,132300
1980-04-24,0.0,5.333333,5.222222,5.296296,1.239626,209250
1980-04-25,0.0,5.277778,5.203704,5.222222,1.222288,21600
1980-04-28,0.0,5.37037,5.277778,5.333333,1.248295,141750
1980-04-29,0.0,5.37037,5.314815,5.351852,1.252629,45225
1980-04-30,0.0,5.425926,5.296296,5.407407,1.265632,85050
1980-05-01,0.0,5.537037,5.425926,5.5,1.287304,48600
1980-05-02,0.0,5.592593,5.462963,5.555556,1.300307,49950
1980-05-05,0.0,5.851852,5.62963,5.851852,1.369657,621675
1980-05-06,0.0,5.962963,5.759259,5.759259,1.347984,143775
1980-05-07,0.0,5.925926,5.759259,5.851852,1.369657,483975
1980-05-08,0.0,5.907407,5.796296,5.833333,1.365323,36450
1980-05-09,0.0,5.796296,5.722222,5.796296,1.356654,24975
1980-05-12,0.0,5.796296,5.648148,5.777778,1.352319,27000
1980-05-13,0.0,5.833333,5.722222,5.759259,1.347984,40500
1980-05-14,0.0,5.851852,5.777778,5.777778,1.352319,61425
1980-05-15,0.0,5.814815,5.722222,5.759259,1.347984,37125
1980-05-16,0.0,5.759259,5.703704,5.740741,1.343651,11475
1980-05-19,0.0,5.925926,5.740741,5.87037,1.373991,51300
1980-05-20,0.0,5.87037,5.759259,5.759259,1.347984,85725
1980-05-21,0.0,5.777778,5.685185,5.722222,1.339317,40500
1980-05-22,0.0,5.814815,5.666667,5.777778,1.352319,143775
1980-05-23,0.0,5.888889,5.796296,5.851852,1.369657,113400
1980-05-27,0.0,5.851852,5.796296,5.796296,1.356654,57375
1980-05-28,0.0,5.888889,5.814815,5.888889,1.378326,135000
1980-05-29,0.0,5.907407,5.722222,5.814815,1.360988,108675
1980-05-30,0.0,5.796296,5.685185,5.796296,1.356654,80325
1980-06-02,0.0,5.87037,5.722222,5.759259,1.347984,107325
1980-06-03,0.0,5.814815,5.740741,5.796296,1.356654,101250
1980-06-04,0.0,5.944444,5.777778,5.944444,1.391329,143100
1980-06-05,0.0,6.0,5.925926,5.925926,1.386994,95850
1980-06-06,0.0,6.222222,5.907407,6.222222,1.456343,205875
1980-06-09,0.0,6.055556,5.888889,5.925926,1.386994,150525
1980-06-10,0.0,6.037037,5.87037,6.018519,1.408666,110700
1980-06-11,0.0,6.259259,5.962963,6.12963,1.434672,140400
1980-06-12,0.0,6.111111,5.962963,6.111111,1.430337,178200
1980-06-13,0.0,6.37037,6.111111,6.37037,1.491018,196425
1980-06-16,0.0,6.296296,6.111111,6.148148,1.439007,298350
1980-06-17,0.0,6.148148,6.074074,6.148148,1.439007,344250
1980-06-18,0.0,6.148148,5.981481,6.018519,1.408666,129600
1980-06-19,0.0,5.981481,5.759259,5.814815,1.360988,83025
1980-06-20,0.0,5.851852,5.740741,5.777778,1.352319,207225
1980-06-23,0.0,5.87037,5.685185,5.759259,1.347984,557550
1980-06-24,0.0,5.925926,5.777778,5.925926,1.386994,174150
1980-06-25,0.0,5.962963,5.87037,5.944444,1.391329,294300
1980-06-26,0.0,5.962963,5.907407,5.925926,1.386994,791775
1980-06-27,0.0,5.962963,5.907407,5.944444,1.391329,104625
1980-06-30,0.0,5.962963,5.814815,5.925926,1.386994,85050
1980-07-01,0.0,5.944444,5.87037,5.925926,1.386994,89100
1980-07-02,0.0,5.944444,5.888889,5.944444,1.391329,89100
1980-07-03,0.0,5.962963,5.925926,5.962963,1.395663,550125
1980-07-07,0.0,6.0,5.925926,5.962963,1.395663,144450
1980-07-08,0.0,6.0,5.907407,5.962963,1.395663,148500
1980-07-09,0.0,6.055556,5.944444,5.944444,1.391329,89100
1980-07-10,0.0,6.055556,5.925926,6.0,1.404332,39150
1980-07-11,0.0,6.055556,6.0,6.018519,1.408666,33750
1980-07-14,0.0,6.222222,6.0,6.222222,1.456343,90450
1980-07-15,0.0,6.240741,6.12963,6.148148,1.439007,289575
1980-07-16,0.0,6.240741,6.074074,6.240741,1.460679,103950
1980-07-17,0.0,6.277778,6.222222,6.277778,1.469346,58725
1980-07-18,0.0,6.333333,6.259259,6.333333,1.48235,127575
1980-07-21,0.0,6.648148,6.314815,6.648148,1.556035,816750
1980-07-22,0.0,6.648148,6.407407,6.407407,1.499687,253800
1980-07-23,0.0,6.37037,6.222222,6.240741,1.460679,112050
1980-07-24,0.0,6.296296,6.259259,6.277778,1.469346,43875
1980-07-25,0.0,6.277778,6.166667,6.203704,1.45201,182925
1980-07-28,0.0,6.222222,6.148148,6.148148,1.439007,29025
