Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,2.53925,2.501798,2.501798,0.824218,685877
1980-03-18,0.0,2.486817,2.479326,2.479326,0.816815,383824
1980-03-19,0.0,2.479326,2.456855,2.464346,0.81188,470602
1980-03-20,0.0,2.464346,2.381951,2.389442,0.787203,522334
1980-03-21,0.0,2.404422,2.389442,2.396932,0.789671,420538
1980-03-24,0.0,2.396932,2.374461,2.381951,0.784735,400512
1980-03-25,0.0,2.411913,2.374461,2.396932,0.789671,145186
1980-03-26,0.0,2.441874,2.389442,2.419403,0.797073,423875
1980-03-27,0.0,2.426894,2.389442,2.419403,0.797073,275352
1980-03-28,0.0,2.426894,2.396932,2.426894,0.799541,317072
1980-03-31,0.0,2.411913,2.381951,2.411913,0.794606,91784
1980-04-01,0.0,2.449365,2.411913,2.441874,0.804476,290371
1980-04-02,0.0,2.456855,2.426894,2.426894,0.799541,540691
1980-04-03,0.0,2.434384,2.404422,2.426894,0.799541,215275
1980-04-07,0.0,2.426894,2.36697,2.36697,0.779799,659176
1980-04-08,0.0,2.381951,2.36697,2.374461,0.782267,116816
1980-04-09,0.0,2.381951,2.329518,2.337009,0.769928,136842
1980-04-10,0.0,2.351989,2.344499,2.344499,0.772396,525672
1980-04-11,0.0,2.351989,2.262105,2.262105,0.745251,380486
1980-04-14,0.0,2.299557,2.262105,2.292066,0.755122,664182
1980-04-15,0.0,2.314537,2.284576,2.284576,0.752655,343773
1980-04-16,0.0,2.337009,2.299557,2.322028,0.764993,365467
1980-04-17,0.0,2.351989,2.314537,2.329518,0.767461,488958
1980-04-18,0.0,2.36697,2.329518,2.337009,0.769928,392168
1980-04-21,0.0,2.329518,2.277085,2.277085,0.750187,979586
1980-04-22,0.0,2.307047,2.284576,2.307047,0.760058,669189
1980-04-23,0.0,2.307047,2.262105,2.284576,0.752655,1425155
1980-04-24,0.0,2.36697,2.269595,2.344499,0.772396,942872
1980-04-25,0.0,2.35948,2.322028,2.344499,0.772396,370474
1980-04-28,0.0,2.441874,2.35948,2.426894,0.799541,283696
1980-04-29,0.0,2.531759,2.434384,2.531759,0.834089,138510
1980-04-30,0.0,2.531759,2.486817,2.486817,0.819283,113478
1980-05-01,0.0,2.501798,2.464346,2.471836,0.814347,135173
1980-05-02,0.0,2.486817,2.456855,2.471836,0.814347,61746
1980-05-05,0.0,2.471836,2.434384,2.449365,0.806944,452245
1980-05-06,0.0,2.501798,2.434384,2.479326,0.816815,267008
1980-05-07,0.0,2.509288,2.471836,2.471836,0.814347,180230
1980-05-08,0.0,2.464346,2.426894,2.441874,0.804476,310397
1980-05-09,0.0,2.464346,2.434384,2.449365,0.806944,163542
1980-05-12,0.0,2.479326,2.449365,2.471836,0.814347,267008
1980-05-13,0.0,2.516779,2.456855,2.509288,0.826686,1017968
1980-05-14,0.0,2.629135,2.524269,2.629135,0.866169,325416
1980-05-15,0.0,2.704039,2.636625,2.689058,0.885911,348779
1980-05-16,0.0,2.689058,2.651606,2.666587,0.878508,166880
1980-05-19,0.0,2.666587,2.651606,2.651606,0.873573,714246
1980-05-20,0.0,2.681568,2.651606,2.659096,0.876041,171886
1980-05-21,0.0,2.666587,2.651606,2.666587,0.878508,46726
1980-05-22,0.0,2.689058,2.666587,2.666587,0.878508,213606
1980-05-23,0.0,2.689058,2.666587,2.681568,0.883443,160205
1980-05-27,0.0,2.696548,2.666587,2.689058,0.885911,282027
1980-05-28,0.0,2.674077,2.644116,2.674077,0.880976,73427
1980-05-29,0.0,2.689058,2.651606,2.651606,0.873573,98459
1980-05-30,0.0,2.651606,2.606663,2.651606,0.873573,255326
1980-06-02,0.0,2.689058,2.636625,2.681568,0.883443,981254
1980-06-03,0.0,2.689058,2.659096,2.689058,0.885911,170218
1980-06-04,0.0,2.696548,2.666587,2.689058,0.885911,632475
1980-06-05,0.0,2.689058,2.674077,2.689058,0.885911,350448
1980-06-06,0.0,2.696548,2.681568,2.696548,0.888379,231963
1980-06-09,0.0,2.636625,2.621644,2.629135,0.866169,186906
1980-06-10,0.0,2.636625,2.614154,2.636625,0.868637,267008
1980-06-11,0.0,2.651606,2.621644,2.651606,0.873573,1570341
1980-06-12,0.0,2.651606,2.636625,2.651606,0.873573,1516939
1980-06-13,0.0,2.659096,2.636625,2.636625,0.868637,83440
1980-06-16,0.0,2.696548,2.651606,2.696548,0.888379,382155
1980-06-17,0.0,2.748981,2.696548,2.734,0.900717,275352
1980-06-18,0.0,2.741491,2.71902,2.741491,0.903186,113478
1980-06-19,0.0,2.741491,2.72651,2.734,0.900717,83440
1980-06-20,0.0,2.748981,2.741491,2.741491,0.903186,208600
1980-06-23,0.0,2.748981,2.72651,2.741491,0.903186,58408
1980-06-24,0.0,2.763962,2.711529,2.756472,0.908121,358792
1980-06-25,0.0,2.801414,2.763962,2.778943,0.915524,116816
1980-06-26,0.0,2.801414,2.778943,2.801414,0.922927,811037
1980-06-27,0.0,2.801414,2.786433,2.793924,0.92046,101797
1980-06-30,0.0,2.801414,2.734,2.734,0.900717,524003
1980-07-01,0.0,2.793924,2.748981,2.793924,0.92046,148523
1980-07-02,0.0,2.808905,2.756472,2.801414,0.922927,1266619
1980-07-03,0.0,2.876318,2.786433,2.876318,0.947604,226957
1980-07-07,0.0,2.90628,2.891299,2.89879,0.955008,248651
1980-07-08,0.0,2.928751,2.891299,2.921261,0.962411,602437
1980-07-09,0.0,2.936242,2.891299,2.891299,0.95254,762642
1980-07-10,0.0,2.90628,2.831376,2.846357,0.937733,408856
1980-07-11,0.0,2.868828,2.846357,2.853847,0.940201,191912
1980-07-14,0.0,2.861337,2.846357,2.846357,0.937733,545698
1980-07-15,0.0,2.846357,2.816395,2.831376,0.932798,290371
1980-07-16,0.0,2.823885,2.734,2.748981,0.905653,225288
1980-07-17,0.0,2.838866,2.763962,2.838866,0.935266,288702
1980-07-18,0.0,2.91377,2.876318,2.876318,0.947604,1388442
1980-07-21,0.0,2.936242,2.891299,2.891299,0.95254,133504
1980-07-22,0.0,2.921261,2.876318,2.891299,0.95254,215275
1980-07-23,0.0,2.891299,2.853847,2.891299,0.95254,518997
