Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,2.75,2.59375,2.614583,1.005473,61200
1980-03-18,0.0,2.625,2.510417,2.625,1.009479,106800
1980-03-19,0.0,2.666667,2.645833,2.645833,1.017491,122400
1980-03-20,0.0,2.625,2.520833,2.614583,1.005473,76800
1980-03-21,0.0,2.604167,2.5,2.604167,1.001467,43200
1980-03-24,0.0,2.614583,2.541667,2.552083,0.981437,62400
1980-03-25,0.0,2.541667,2.364583,2.364583,0.909332,82800
1980-03-26,0.0,2.5,2.385417,2.4375,0.937373,99600
1980-03-27,0.0,2.375,2.145833,2.229167,0.857256,183600
1980-03-28,0.0,2.333333,2.25,2.291667,0.881291,193200
1980-03-31,0.0,2.354167,2.291667,2.291667,0.881291,111600
1980-04-01,0.0,2.322917,2.270833,2.291667,0.881291,70800
1980-04-02,0.0,2.5,2.3125,2.479167,0.953397,86400
1980-04-03,0.0,2.489583,2.416667,2.416667,0.929362,31200
1980-04-07,0.0,2.4375,2.385417,2.416667,0.929362,21600
1980-04-08,0.0,2.395833,2.333333,2.364583,0.909332,157200
1980-04-09,0.0,2.479167,2.375,2.479167,0.953397,63600
1980-04-10,0.0,2.5625,2.5,2.541667,0.977432,62400
1980-04-11,0.0,2.5625,2.541667,2.552083,0.981437,10800
1980-04-14,0.0,2.583333,2.458333,2.458333,0.945385,27600
1980-04-15,0.0,2.510417,2.479167,2.479167,0.953397,36000
1980-04-16,0.0,2.53125,2.479167,2.489583,0.957402,64800
1980-04-17,0.0,2.46875,2.427083,2.4375,0.937373,79200
1980-04-18,0.0,2.479167,2.416667,2.416667,0.929362,21600
1980-04-21,0.0,2.395833,2.270833,2.291667,0.881291,45600
1980-04-22,0.0,2.395833,2.333333,2.354167,0.905326,66000
1980-04-23,0.0,2.479167,2.354167,2.4375,0.937373,87600
1980-04-24,0.0,2.46875,2.427083,2.427083,0.933368,16800
1980-04-25,0.0,2.46875,2.416667,2.447917,0.941379,19200
1980-04-28,0.0,2.583333,2.46875,2.552083,0.981437,85200
1980-04-29,0.0,2.572917,2.541667,2.572917,0.98945,36000
1980-04-30,0.0,2.572917,2.479167,2.541667,0.977432,46800
1980-05-01,0.0,2.541667,2.520833,2.520833,0.96942,15600
1980-05-02,0.0,2.520833,2.458333,2.458333,0.945385,31200
1980-05-05,0.0,2.5,2.458333,2.479167,0.953397,50400
1980-05-06,0.0,2.541667,2.479167,2.5,0.961408,66000
1980-05-07,0.0,2.520833,2.5,2.520833,0.96942,27600
1980-05-08,0.0,2.583333,2.541667,2.5625,0.985444,49200
1980-05-09,0.0,2.635417,2.572917,2.572917,0.98945,38400
1980-05-12,0.0,2.677083,2.53125,2.666667,1.025503,70800
1980-05-13,0.0,2.833333,2.666667,2.833333,1.089596,86400
1980-05-14,0.0,2.895833,2.791667,2.791667,1.073573,75600
1980-05-15,0.0,2.833333,2.770833,2.8125,1.081584,54000
1980-05-16,0.0,2.822917,2.802083,2.822917,1.08559,18000
1980-05-19,0.0,2.802083,2.729167,2.75,1.057549,21600
