Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.595625,9.74325,9.448,9.713725,3.44575,180779
1982-01-04,9.595625,9.713725,9.448,9.50705,3.372434,80864
1982-01-05,9.359425,9.448,9.27085,9.27085,3.288646,152413
1982-01-06,9.15275,9.3299,8.9756,9.0937,3.225807,364098
1982-01-07,9.0937,9.182275,8.9756,9.15275,3.246752,362405
1982-01-08,8.9756,9.03465,8.91655,8.9756,3.18391,270533
1982-01-11,8.7394,8.9756,8.473675,8.473675,3.005867,453853
1982-01-12,8.591775,8.709875,8.44415,8.709875,3.089653,175699
1982-01-13,8.6213,8.7394,8.5032,8.591775,3.047759,154953
1982-01-14,8.532725,8.56225,8.473675,8.56225,3.037285,262913
1982-01-15,8.5032,8.56225,8.414625,8.56225,3.037285,393734
1982-01-18,8.5032,8.56225,8.44415,8.56225,3.037285,83827
1982-01-19,8.532725,8.650825,8.3851,8.44415,2.995393,574090
1982-01-20,8.267,8.473675,8.0308,8.08985,2.869712,791279
1982-01-21,7.883175,8.178425,7.5584,7.587925,2.691665,296782
1982-01-22,7.587925,7.73555,7.4403,7.4403,2.639296,690940
1982-01-25,7.233625,7.351725,7.086,7.26315,2.576458,483489
1982-01-26,7.38125,7.49935,7.26315,7.3222,2.597403,330652
1982-01-27,7.528875,7.6765,7.351725,7.646975,2.71261,201948
1982-01-28,8.0308,8.32605,7.706025,8.32605,2.953497,270957
1982-01-29,8.267,8.414625,8.08985,8.3851,2.974444,206181
1982-02-01,8.0308,8.20795,7.85365,7.9127,2.806871,266300
1982-02-02,8.0308,8.1489,7.9127,8.08985,2.869712,202371
1982-02-03,8.0308,8.08985,7.97175,7.97175,2.827817,37680
1982-02-04,7.9127,7.97175,7.85365,7.942225,2.817343,347163
1982-02-05,8.119375,8.237475,8.001275,8.119375,2.880185,174852
1982-02-08,8.060325,8.20795,7.9127,7.97175,2.827817,85521
1982-02-09,7.942225,8.001275,7.85365,7.9127,2.806871,120237
1982-02-10,8.060325,8.1489,7.942225,8.001275,2.838291,80864
1982-02-11,7.97175,8.0308,7.9127,8.0308,2.848763,76207
1982-02-12,8.08985,8.1489,8.001275,8.060325,2.859238,234547
1982-02-16,7.942225,8.001275,7.85365,7.942225,2.817343,246825
1982-02-17,8.060325,8.119375,8.001275,8.060325,2.859238,215919
1982-02-18,8.08985,8.1489,8.0308,8.060325,2.859238,185859
1982-02-19,7.942225,8.0308,7.824125,7.85365,2.785923,530483
1982-02-22,7.9127,8.0308,7.7946,7.7946,2.764977,106689
1982-02-23,7.7946,7.883175,7.706025,7.883175,2.796396,127434
1982-02-24,7.706025,7.7946,7.587925,7.7946,2.764977,372989
1982-02-25,7.7946,7.85365,7.73555,7.765075,2.754502,265876
1982-02-26,7.706025,7.765075,7.646975,7.6765,2.723083,163844
1982-03-01,7.292675,7.61745,6.938375,7.292675,2.58693,578323
1982-03-02,6.997425,7.2041,6.79075,6.8498,2.429828,591025
1982-03-03,6.6136,6.7317,6.465975,6.6136,2.363975,327688
1982-03-04,6.55455,6.67265,6.43645,6.67265,2.385082,160034
1982-03-05,6.7317,6.79075,6.643125,6.79075,2.427295,295089
1982-03-08,6.8498,7.02695,6.643125,6.67265,2.385082,144793
1982-03-09,6.8498,7.02695,6.643125,6.9679,2.490616,116850
1982-03-10,6.90885,6.9679,6.8498,6.879325,2.458956,108383
1982-03-11,6.8498,6.90885,6.761225,6.820275,2.437849,72396
1982-03-12,6.79075,6.8498,6.702175,6.761225,2.416743,213378
1982-03-15,6.8498,6.9679,6.7317,6.90885,2.46951,127011
1982-03-16,6.9679,7.02695,6.879325,6.9679,2.490616,168078
1982-03-17,6.938375,6.9679,6.90885,6.90885,2.46951,147756
1982-03-18,6.9679,7.02695,6.90885,6.9679,2.490616,726503
1982-03-19,6.9679,7.056475,6.8498,7.02695,2.511724,487299
1982-03-22,7.056475,7.086,6.997425,7.056475,2.522276,499153
1982-03-23,7.115525,7.14505,7.056475,7.086,2.53283,374259
1982-03-24,7.115525,7.174575,7.056475,7.115525,2.543382,110500
1982-03-25,7.056475,7.14505,6.9679,7.056475,2.522276,110500
1982-03-26,7.086,7.115525,7.02695,7.02695,2.511724,27519
1982-03-29,7.02695,7.086,6.938375,6.938375,2.480061,135902
1982-03-30,6.938375,6.997425,6.879325,6.938375,2.480061,115157
1982-03-31,6.90885,6.997425,6.820275,6.820275,2.437849,83827
1982-04-01,6.938375,7.02695,6.820275,7.02695,2.511724,196867
1982-04-02,7.056475,7.086,6.997425,7.086,2.53283,226926
1982-04-05,6.997425,7.02695,6.9679,6.9679,2.490616,111346
1982-04-06,6.879325,6.9679,6.79075,6.938375,2.480061,142252
1982-04-07,6.997425,7.056475,6.938375,7.056475,2.522276,422947
1982-04-08,6.997425,7.056475,6.938375,7.02695,2.511724,203218
1982-04-12,7.086,7.2041,6.9679,7.174575,2.56449,119390
1982-04-13,7.38125,7.646975,7.086,7.49935,2.680579,444962
1982-04-14,7.410775,7.528875,7.292675,7.292675,2.606704,138019
1982-04-15,7.469825,7.5584,7.38125,7.528875,2.691132,248095
1982-04-16,7.61745,7.6765,7.528875,7.6765,2.743898,134208
1982-04-19,7.587925,7.706025,7.4403,7.646975,2.733345,119814
1982-04-20,7.61745,7.646975,7.5584,7.587925,2.71224,123624
1982-04-21,7.469825,7.61745,7.3222,7.469825,2.670024,188823
1982-04-22,7.528875,7.5584,7.469825,7.469825,2.670024,462743
1982-04-23,7.49935,7.528875,7.469825,7.49935,2.680579,334462
1982-04-26,7.587925,7.646975,7.49935,7.61745,2.722793,293819
1982-04-27,7.587925,7.6765,7.49935,7.49935,2.680579,293819
1982-04-28,7.49935,7.5584,7.4403,7.4403,2.659471,67316
1982-04-29,7.292675,7.469825,7.115525,7.14505,2.553936,121931
1982-04-30,7.174575,7.233625,7.086,7.115525,2.543382,240898
1982-05-03,7.174575,7.2041,7.115525,7.2041,2.575044,66469
1982-05-04,7.14505,7.2041,7.086,7.2041,2.575044,142676
1982-05-05,7.14505,7.2041,7.086,7.115525,2.543382,200677
1982-05-06,7.233625,7.3222,7.115525,7.292675,2.606704,142676
1982-05-07,7.38125,7.4403,7.292675,7.410775,2.648918,97798
1982-05-10,7.410775,7.469825,7.351725,7.351725,2.62781,129128
1982-05-11,7.3222,7.410775,7.233625,7.351725,2.62781,209145
1982-05-12,7.233625,7.351725,7.086,7.115525,2.543382,218882
1982-05-13,6.997425,7.056475,6.938375,6.9679,2.490616,205758
1982-05-14,6.9679,6.997425,6.90885,6.90885,2.46951,195174
