Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.0,4.070313,4.023438,4.046875,0.943467,456000
1972-06-02,4.054688,4.09375,4.054688,4.09375,0.954395,640000
1972-06-05,4.085938,4.085938,4.023438,4.039063,0.941646,464000
1972-06-06,4.039063,4.039063,4.0,4.0,0.932539,796800
1972-06-07,4.0,4.054688,3.992188,4.046875,0.943467,584000
1972-06-08,4.046875,4.0625,3.992188,4.0,0.932539,726400
1972-06-09,4.007813,4.054688,4.007813,4.046875,0.943467,296000
1972-06-12,4.046875,4.078125,4.015625,4.039063,0.941646,473600
1972-06-13,4.046875,4.09375,4.046875,4.078125,0.950753,478400
1972-06-14,4.09375,4.179688,4.09375,4.164063,0.970787,795200
1972-06-15,4.1875,4.234375,4.1875,4.1875,0.976251,836800
1972-06-16,4.1875,4.195313,4.125,4.140625,0.965324,267200
1972-06-19,4.140625,4.164063,4.0625,4.109375,0.958038,1001600
1972-06-20,4.125,4.164063,4.125,4.164063,0.970787,345600
1972-06-21,4.164063,4.179688,4.117188,4.125,0.961681,556800
1972-06-22,4.125,4.164063,4.109375,4.15625,0.968966,321600
1972-06-23,4.15625,4.179688,4.15625,4.171875,0.972609,212800
1972-06-26,4.171875,4.21875,4.132813,4.21875,0.983537,278400
1972-06-27,4.21875,4.242188,4.171875,4.195313,0.978073,268800
1972-06-28,4.179688,4.179688,4.109375,4.125,0.961681,433600
1972-06-29,4.125,4.148438,4.101563,4.101563,0.956217,313600
1972-06-30,4.109375,4.171875,4.109375,4.15625,0.968966,404800
1972-07-03,4.15625,4.210938,4.148438,4.203125,0.979894,240000
1972-07-05,4.234375,4.28125,4.234375,4.25,0.990823,734400
1972-07-06,4.304688,4.351563,4.304688,4.328125,1.009036,809600
1972-07-07,4.335938,4.429688,4.335938,4.429688,1.032714,595200
1972-07-10,4.429688,4.4375,4.375,4.382813,1.021786,316800
1972-07-11,4.382813,4.429688,4.382813,4.398438,1.025428,232000
1972-07-12,4.40625,4.476563,4.40625,4.4375,1.034535,1132800
1972-07-13,4.4375,4.484375,4.390625,4.4375,1.034535,790400
1972-07-14,4.445313,4.53125,4.445313,4.515625,1.05275,950400
1972-07-17,4.515625,4.515625,4.4375,4.4375,1.034535,187200
1972-07-18,4.414063,4.414063,4.390625,4.40625,1.02725,385600
1972-07-19,4.40625,4.515625,4.40625,4.453125,1.038178,636800
1972-07-20,4.453125,4.5,4.453125,4.5,1.049106,326400
1972-07-21,4.515625,4.570313,4.515625,4.570313,1.065499,340800
1972-07-24,4.570313,4.703125,4.5625,4.648438,1.083712,811200
1972-07-25,4.648438,4.695313,4.609375,4.609375,1.074606,312000
1972-07-26,4.6875,4.742188,4.6875,4.726563,1.101926,816000
1972-07-27,4.726563,4.757813,4.6875,4.726563,1.101926,422400
1972-07-28,4.726563,4.734375,4.71875,4.71875,1.100105,208000
