Date,Open,High,Low,Close,Adj Close,Volume
1993-10-13,5.48418,5.50967,5.40764,5.45868,4.393582,5536
1993-10-14,5.42186,5.42186,5.24282,5.31956,4.281603,8120
1993-10-15,5.31956,5.3451,5.26835,5.29396,4.260999,6153
1993-10-18,5.29396,5.42186,5.29396,5.39627,4.343343,10292
1993-10-19,5.31956,5.60084,5.31956,5.54972,4.466854,8490
1993-10-20,5.54972,5.54972,5.47299,5.49859,4.425701,6785
1993-10-21,5.49859,5.52413,5.47299,5.49859,4.425701,5678
1993-10-22,5.49859,5.49859,5.31956,5.31956,4.281603,8065
1993-10-25,5.26835,5.29396,5.24282,5.24282,4.219834,11835
1993-10-26,5.26835,5.31956,5.24282,5.26835,4.240386,9219
1993-10-27,5.26835,5.39627,5.26835,5.39627,4.343343,4945
1993-10-28,5.39627,5.49859,5.3451,5.4474,4.384498,14113
1993-10-29,5.4474,5.4474,5.3451,5.37069,4.322757,10527
1993-11-01,5.31956,5.4474,5.31956,5.4474,4.384498,4532
1993-11-02,5.42186,5.42186,5.3451,5.37069,4.322757,3948
1993-11-03,5.37069,5.42186,5.26835,5.29396,4.260999,8384
1993-11-04,5.26835,5.26835,5.06378,5.08938,4.096337,4874
1993-11-05,5.03819,5.08938,4.98709,5.08938,4.096337,6933
1993-11-08,5.08938,5.08938,5.01266,5.01266,4.034588,3129
1993-11-09,5.06378,5.11493,5.01266,5.03819,4.055135,4433
1993-11-10,5.06378,5.26835,5.06378,5.21723,4.199241,8843
1993-11-11,5.16611,5.19165,5.11493,5.16611,4.158094,6432
1993-11-12,5.16611,5.21723,5.14052,5.19165,4.178652,6176
1993-11-15,5.14052,5.16611,5.03819,5.08938,4.096337,5315
1993-11-16,5.06378,5.08938,5.01266,5.06378,4.075731,3036
1993-11-17,5.03819,5.03819,4.88476,4.9359,3.972805,7856
1993-11-18,4.9359,4.9359,4.80804,4.83361,3.890471,10380
1993-11-19,4.83361,4.83361,4.75692,4.80804,3.869894,6525
1993-11-22,4.75692,4.78245,4.6546,4.70573,3.787544,5461
1993-11-23,4.70573,4.9615,4.68019,4.85917,3.911046,10592
1993-11-24,4.88476,4.9359,4.85917,4.85917,3.911046,8637
1993-11-26,4.88476,4.91035,4.85917,4.91035,3.952241,2099
1993-11-29,4.91035,4.9359,4.70573,4.70573,3.787544,5378
1993-11-30,4.73133,4.9615,4.70573,4.9615,3.993408,4823
1993-12-01,5.08938,5.19165,4.98709,5.11493,4.116902,6883
1993-12-02,5.16611,5.29396,5.14052,5.29396,4.260999,14424
1993-12-03,5.29396,5.29396,5.21723,5.26835,4.240386,11729
1993-12-06,5.21723,5.21723,5.06378,5.08938,4.096337,6055
1993-12-07,5.06378,5.11493,5.01266,5.11493,4.116902,10148
1993-12-08,5.3451,5.52413,5.3451,5.49859,4.425701,26868
1993-12-09,5.47299,5.77987,5.47299,5.67757,4.569757,10053
1993-12-10,5.62643,5.67757,5.52413,5.67757,4.569757,15086
1993-12-13,5.65202,5.75429,5.62643,5.75429,4.63151,10912
1993-12-14,5.75429,5.8566,5.72876,5.8566,4.713856,9838
1993-12-15,5.83105,5.83105,5.65202,5.65202,4.549192,7475
1993-12-16,5.67757,5.75429,5.67757,5.70317,4.590365,5249
1993-12-17,5.72876,5.75429,5.67757,5.67757,4.569757,6178
1993-12-20,5.66628,5.6919,5.46119,5.48684,4.416244,4828
1993-12-21,5.5381,5.71756,5.43556,5.6919,4.581295,4331
1993-12-22,5.66628,5.74322,5.64066,5.74322,4.6226,5943
1993-12-23,5.71756,5.82014,5.6919,5.76888,4.643251,7428
1993-12-27,5.76888,5.82014,5.74322,5.82014,4.68451,2492
1993-12-28,5.79451,5.94833,5.79451,5.89705,4.74641,7798
