Date,Open,High,Low,Close,Adj Close,Volume
2004-11-05,12.75,17.610001,12.75,17.49,15.535285,8150300
2004-11-08,17.129999,18.879999,16.5,18.700001,16.610058,1113400
2004-11-09,18.74,19.6,17.32,18.57,16.494581,521600
2004-11-10,18.35,21.24,18.02,20.15,17.898005,709500
2004-11-11,20.700001,24.41,20.370001,21.0,18.653006,1757100
2004-11-12,22.15,22.5,21.0,21.4,19.008308,580900
2004-11-15,21.65,23.1,20.59,21.610001,19.194826,638900
2004-11-16,22.190001,22.469999,20.950001,22.200001,19.718893,457500
2004-11-17,21.799999,23.25,21.799999,22.0,19.541245,442500
2004-11-18,21.809999,21.99,20.51,20.84,18.510891,273900
2004-11-19,20.799999,21.75,19.49,21.5,19.097126,597300
2004-11-22,21.129999,22.99,21.08,22.219999,19.736666,290400
2004-11-23,22.85,22.85,20.65,21.190001,18.821775,436800
2004-11-24,21.5,21.559999,20.25,21.049999,18.697422,182600
2004-11-26,21.15,21.25,20.9,21.0,18.653006,61100
2004-11-29,21.700001,21.75,19.709999,20.23,17.969065,317800
2004-11-30,20.43,20.76,19.51,19.6,17.40947,282900
2004-12-01,19.889999,20.1,19.25,20.040001,17.800303,317000
2004-12-02,20.0,22.469999,20.0,21.639999,19.221472,486600
2004-12-03,21.65,22.870001,21.08,21.440001,19.043831,222000
2004-12-06,21.66,22.07,20.440001,20.5,18.208889,147000
2004-12-07,20.99,21.0,18.540001,19.440001,17.267351,414200
2004-12-08,19.4,19.68,18.700001,19.4,17.231825,82500
2004-12-09,19.450001,20.4,18.85,20.0,17.764772,142900
2004-12-10,20.200001,20.84,20.049999,20.41,18.128952,209100
2004-12-13,20.16,20.370001,19.25,19.4,17.231825,66500
2004-12-14,19.4,19.9,17.950001,18.290001,16.24588,319600
2004-12-15,18.25,18.379999,17.049999,17.209999,15.286582,511400
2004-12-16,17.030001,17.25,15.67,16.09,14.291758,339100
2004-12-17,16.24,16.959999,15.72,15.93,14.14964,485700
2004-12-20,16.25,16.85,15.85,16.120001,14.318403,134400
2004-12-21,16.049999,17.459999,16.049999,16.969999,15.0734,123500
2004-12-22,17.15,17.15,16.75,16.940001,15.046757,50100
2004-12-23,16.99,17.32,16.860001,17.190001,15.268821,106800
2004-12-27,17.190001,17.309999,16.32,16.98,15.082292,58400
2004-12-28,17.049999,17.049999,16.5,16.91,15.020114,48200
2004-12-29,16.75,17.200001,16.549999,16.76,14.886872,86500
2004-12-30,16.940001,17.18,16.809999,17.18,15.259935,27600
2004-12-31,17.129999,17.129999,16.709999,17.01,15.108936,47500
2005-01-03,16.75,17.15,15.94,15.95,14.167403,87400
2005-01-04,16.15,16.27,15.3,15.56,13.820989,178100
2005-01-05,15.42,16.41,15.29,15.6,13.856521,121500
2005-01-06,15.5,15.73,15.12,15.28,13.572285,44000
2005-01-07,15.25,16.18,15.22,15.5,13.767694,55000
2005-01-10,15.5,16.0,15.06,15.5,13.767694,39300
2005-01-11,15.5,16.01,15.39,15.92,14.140753,128500
2005-01-12,15.8,15.93,15.41,15.88,14.105226,45200
2005-01-13,15.5,15.74,14.97,15.08,13.394632,54100
2005-01-14,14.95,15.33,14.95,15.2,13.501225,35500
2005-01-18,15.35,15.45,14.94,14.99,13.314692,64200
2005-01-19,15.1,15.1,14.75,14.93,13.2614,19400
2005-01-20,14.7,14.87,14.4,14.68,13.039338,70900
2005-01-21,14.46,14.77,13.61,14.54,12.914986,111200
2005-01-24,14.15,15.27,14.1,14.1,12.524161,32900
2005-01-25,14.22,14.49,14.1,14.4,12.790633,78800
2005-01-26,14.58,14.63,14.15,14.35,12.74622,33700
2005-01-27,14.25,14.5,14.16,14.22,12.630751,19100
2005-01-28,14.15,14.4,14.15,14.23,12.639628,29700
2005-01-31,14.1,14.41,13.87,13.98,12.417571,71500
2005-02-01,13.86,14.25,13.85,13.96,12.39981,87500
2005-02-02,13.95,13.97,13.62,13.82,12.275452,34800
2005-02-03,13.6,13.6,12.09,12.09,10.738802,256200
2005-02-04,11.99,12.45,10.83,11.5,10.214743,778700
2005-02-07,11.25,12.15,11.25,11.4,10.125915,227800
2005-02-08,11.31,11.9,11.25,11.35,10.081504,216400
2005-02-09,12.6,12.88,11.42,11.97,10.632215,451900
2005-02-10,12.79,13.0,12.4,12.5,11.102977,221300
2005-02-11,12.73,12.73,12.4,12.48,11.085216,89300
2005-02-14,12.55,12.55,12.04,12.2,10.836511,83800
2005-02-15,12.1,13.32,12.1,13.05,11.591513,213300
2005-02-16,13.45,13.75,13.2,13.7,12.168865,101700
2005-02-17,13.88,14.05,12.79,12.94,11.493804,149500
2005-02-18,13.13,13.68,13.12,13.16,11.689218,57200
2005-02-22,13.3,13.3,12.85,13.0,11.547098,95600
2005-02-23,13.14,13.14,12.81,12.81,11.378336,25600
2005-02-24,12.75,12.81,12.21,12.64,11.227336,72700
2005-02-25,12.45,12.6,12.05,12.48,11.085216,59000
2005-02-28,12.57,12.57,11.8,11.82,10.498978,84500
2005-03-01,12.15,12.15,11.95,12.0,10.658858,78200
2005-03-02,12.0,12.01,11.88,12.0,10.658858,44100
2005-03-03,11.79,11.99,11.39,11.43,10.152564,96700
2005-03-04,11.35,11.6,11.35,11.43,10.152564,33600
2005-03-07,11.5,11.56,11.33,11.4,10.125915,22400
2005-03-08,11.34,11.69,10.93,11.11,9.868333,65300
2005-03-09,10.98,11.08,10.66,11.06,9.823915,79800
2005-03-10,11.06,11.42,11.06,11.22,9.966036,70100
2005-03-11,11.13,11.45,10.72,11.04,9.806152,41600
2005-03-14,11.0,11.25,10.94,11.2,9.94827,113700
2005-03-15,11.31,11.31,10.9,10.99,9.761739,64600
2005-03-16,10.89,11.18,10.86,11.0,9.770622,178700
2005-03-17,11.0,11.17,10.86,10.95,9.726208,43900
2005-03-18,10.82,11.15,10.82,10.94,9.71733,49400
2005-03-21,10.92,11.09,10.6,10.7,9.504154,56400
2005-03-22,10.59,11.1,10.58,10.92,9.699562,29400
2005-03-23,10.77,10.86,10.39,10.5,9.326503,38500
2005-03-24,10.48,10.58,10.28,10.41,9.246561,70400
2005-03-28,10.26,10.44,10.02,10.26,9.113326,81200
2005-03-29,10.2,10.38,9.75,9.88,8.775796,47000
2005-03-30,9.7,9.91,9.18,9.64,8.562621,176400
2005-03-31,9.51,11.45,9.51,11.17,9.921625,438300
2005-04-01,12.09,12.99,11.88,12.93,11.48492,344000
2005-04-04,13.03,13.03,12.1,12.76,11.33392,93900
2005-04-05,12.79,12.8,12.14,12.14,10.783213,110200
2005-04-06,12.09,12.25,11.98,12.0,10.658858,90100
2005-04-07,12.1,12.18,11.75,12.04,10.69439,81900
2005-04-08,12.0,12.13,11.94,11.96,10.62333,153800
2005-04-11,12.0,12.72,12.0,12.25,10.880921,70700
2005-04-12,12.25,12.69,12.1,12.56,11.156274,99100
2005-04-13,12.5,13.37,12.5,13.02,11.564865,162200
2005-04-14,13.28,13.93,12.99,13.6,12.080044,171100
2005-04-15,13.61,13.61,13.3,13.52,12.008983,131100
2005-04-18,13.82,14.35,13.42,13.84,12.293222,217300
2005-04-19,14.15,14.15,13.81,13.87,12.319865,152000
2005-04-20,13.8,13.8,13.21,13.21,11.733629,117900
2005-04-21,13.22,13.68,13.2,13.6,12.080044,155600
2005-04-22,13.59,13.59,12.76,12.76,11.33392,963100
2005-04-25,12.85,13.0,12.27,12.45,11.058568,192600
2005-04-26,12.49,12.5,12.0,12.05,10.703272,237200
2005-04-27,12.02,12.22,11.86,12.1,10.747685,157100
