Date,Open,High,Low,Close,Adj Close,Volume
1971-02-08,6.273438,6.34375,6.25,6.34375,1.394964,387200
1971-02-09,6.34375,6.375,6.320313,6.351563,1.396682,316800
1971-02-10,6.351563,6.375,6.289063,6.359375,1.3984,484800
1971-02-11,6.359375,6.40625,6.3125,6.40625,1.415147,219200
1971-02-12,6.40625,6.46875,6.398438,6.46875,1.428953,96000
1971-02-16,6.46875,6.515625,6.460938,6.5,1.435857,217600
1971-02-17,6.5,6.507813,6.453125,6.492188,1.434131,283200
1971-02-18,6.492188,6.5,6.4375,6.476563,1.43068,395200
1971-02-19,6.476563,6.492188,6.421875,6.484375,1.432406,182400
1971-02-22,6.453125,6.453125,6.320313,6.34375,1.401341,838400
1971-02-23,6.335938,6.335938,6.273438,6.320313,1.396164,305600
1971-02-24,6.320313,6.359375,6.28125,6.359375,1.404791,216000
1971-02-25,6.359375,6.421875,6.28125,6.40625,1.415147,531200
1971-02-26,6.40625,6.492188,6.375,6.484375,1.432406,451200
1971-03-01,6.484375,6.5,6.4375,6.5,1.435857,294400
1971-03-02,6.5,6.53125,6.476563,6.53125,1.44276,211200
1971-03-03,6.53125,6.546875,6.484375,6.507813,1.437583,564800
1971-03-04,6.507813,6.554688,6.5,6.523438,1.441035,206400
1971-03-05,6.523438,6.554688,6.523438,6.546875,1.446211,268800
1971-03-08,6.546875,6.578125,6.523438,6.570313,1.45139,240000
1971-03-09,6.570313,6.671875,6.5625,6.640625,1.466922,334400
1971-03-10,6.65625,6.6875,6.65625,6.6875,1.477276,264000
1971-03-11,6.6875,6.71875,6.65625,6.71875,1.484179,236800
1971-03-12,6.71875,6.796875,6.65625,6.796875,1.501437,212800
1971-03-15,6.796875,7.046875,6.796875,7.046875,1.556662,243200
1971-03-16,7.046875,7.125,7.015625,7.109375,1.570469,630400
1971-03-17,7.078125,7.078125,7.03125,7.0625,1.560113,313600
1971-03-18,7.0625,7.171875,7.0625,7.140625,1.577371,446400
1971-03-19,7.171875,7.226563,7.171875,7.226563,1.596354,216000
1971-03-22,7.203125,7.203125,7.09375,7.125,1.573921,161600
1971-03-23,7.125,7.148438,7.0,7.015625,1.549759,174400
1971-03-24,6.96875,6.96875,6.867188,6.882813,1.520421,305600
1971-03-25,6.882813,7.0,6.859375,6.992188,1.544582,286400
1971-03-26,6.992188,7.0625,6.960938,7.0,1.546307,270400
1971-03-29,7.0,7.046875,6.953125,6.992188,1.544582,267200
1971-03-30,6.992188,7.023438,6.945313,7.007813,1.548034,187200
1971-03-31,7.015625,7.117188,7.015625,7.046875,1.556662,345600
1971-04-01,7.046875,7.109375,7.015625,7.109375,1.570469,161600
1971-04-02,7.109375,7.15625,7.085938,7.125,1.573921,252800
1971-04-05,7.125,7.125,7.023438,7.054688,1.558388,163200
1971-04-06,7.054688,7.171875,7.023438,7.164063,1.582549,289600
1971-04-07,7.164063,7.195313,7.125,7.15625,1.580823,158400
1971-04-08,7.15625,7.171875,7.0625,7.085938,1.565291,107200
1971-04-12,7.085938,7.125,7.078125,7.078125,1.563565,132800
1971-04-13,7.078125,7.109375,7.023438,7.078125,1.563565,265600
1971-04-14,7.078125,7.171875,7.0625,7.171875,1.584275,385600
1971-04-15,7.148438,7.148438,7.015625,7.015625,1.549759,312000
1971-04-16,7.015625,7.101563,7.0,7.085938,1.565291,222400
1971-04-19,7.085938,7.226563,7.085938,7.21875,1.59463,376000
