Date,Open,High,Low,Close,Adj Close,Volume
1971-02-08,1.357639,1.359375,1.347222,1.354167,0.310019,777600
1971-02-09,1.354167,1.368056,1.352431,1.361111,0.311609,2318400
1971-02-10,1.364583,1.390625,1.364583,1.390625,0.318366,1245600
1971-02-11,1.390625,1.397569,1.381944,1.388889,0.317968,849600
1971-02-12,1.388889,1.388889,1.368056,1.375,0.314788,568800
1971-02-16,1.375,1.385417,1.354167,1.361111,0.311609,1310400
1971-02-17,1.361111,1.373264,1.361111,1.364583,0.312404,734400
1971-02-18,1.364583,1.371528,1.359375,1.366319,0.312801,3016800
1971-02-19,1.366319,1.366319,1.347222,1.348958,0.308827,518400
1971-02-22,1.348958,1.348958,1.324653,1.324653,0.303262,1404000
1971-02-23,1.324653,1.336806,1.315972,1.336806,0.306045,1209600
1971-02-24,1.336806,1.338542,1.3125,1.322917,0.302865,1461600
1971-02-25,1.322917,1.336806,1.319444,1.336806,0.306045,1886400
1971-02-26,1.336806,1.336806,1.326389,1.336806,0.306045,1432800
1971-03-01,1.336806,1.342014,1.329861,1.338542,0.306442,1000800
1971-03-02,1.338542,1.338542,1.322917,1.326389,0.305403,1008000
1971-03-03,1.326389,1.333333,1.319444,1.322917,0.304603,1958400
1971-03-04,1.324653,1.329861,1.324653,1.329861,0.306202,1231200
1971-03-05,1.329861,1.336806,1.326389,1.326389,0.305403,2044800
1971-03-08,1.326389,1.342014,1.319444,1.324653,0.305003,2541600
1971-03-09,1.324653,1.326389,1.319444,1.319444,0.303803,1497600
1971-03-10,1.319444,1.329861,1.319444,1.319444,0.303803,914400
1971-03-11,1.319444,1.331597,1.3125,1.322917,0.304603,1634400
1971-03-12,1.324653,1.331597,1.324653,1.331597,0.306602,928800
1971-03-15,1.331597,1.354167,1.331597,1.354167,0.311798,2469600
1971-03-16,1.364583,1.387153,1.364583,1.375,0.316595,2628000
1971-03-17,1.375,1.385417,1.371528,1.378472,0.317395,748800
1971-03-18,1.378472,1.385417,1.371528,1.385417,0.318994,1036800
1971-03-19,1.385417,1.387153,1.375,1.380208,0.317794,1317600
1971-03-22,1.380208,1.390625,1.380208,1.390625,0.320193,720000
1971-03-23,1.390625,1.397569,1.383681,1.388889,0.319793,1303200
1971-03-24,1.388889,1.388889,1.368056,1.378472,0.317395,1382400
1971-03-25,1.378472,1.381944,1.364583,1.373264,0.316196,1382400
1971-03-26,1.373264,1.375,1.347222,1.361111,0.313397,1000800
1971-03-29,1.361111,1.369792,1.361111,1.369792,0.315396,1216800
1971-03-30,1.373264,1.40625,1.373264,1.402778,0.322991,1144800
1971-03-31,1.402778,1.409722,1.388889,1.390625,0.320193,1000800
1971-04-01,1.390625,1.402778,1.387153,1.397569,0.321792,770400
1971-04-02,1.397569,1.409722,1.395833,1.409722,0.32459,4989600
1971-04-05,1.409722,1.434028,1.397569,1.402778,0.322991,1360800
1971-04-06,1.402778,1.416667,1.392361,1.40625,0.323791,727200
1971-04-07,1.40625,1.413194,1.388889,1.394097,0.320993,2023200
1971-04-08,1.390625,1.390625,1.361111,1.378472,0.317395,972000
1971-04-12,1.378472,1.392361,1.378472,1.388889,0.319793,1188000
1971-04-13,1.388889,1.401042,1.388889,1.401042,0.322592,655200
1971-04-14,1.401042,1.423611,1.395833,1.420139,0.326989,1000800
1971-04-15,1.420139,1.425347,1.399306,1.399306,0.322192,1360800
1971-04-16,1.399306,1.414931,1.388889,1.407986,0.324191,1022400
1971-04-19,1.413194,1.416667,1.413194,1.416667,0.326189,1130400
1971-04-20,1.416667,1.420139,1.395833,1.397569,0.321792,849600
1971-04-21,1.397569,1.402778,1.392361,1.399306,0.322192,1288800
1971-04-22,1.399306,1.399306,1.388889,1.397569,0.321792,856800
1971-04-23,1.397569,1.399306,1.381944,1.387153,0.319394,2152800
1971-04-26,1.387153,1.395833,1.375,1.381944,0.318194,1274400
1971-04-27,1.381944,1.413194,1.378472,1.409722,0.32459,777600
1971-04-28,1.409722,1.4375,1.399306,1.409722,0.32459,1461600
1971-04-29,1.409722,1.430556,1.390625,1.430556,0.329387,1108800
1971-04-30,1.430556,1.451389,1.430556,1.440972,0.331786,1346400
1971-05-03,1.440972,1.475694,1.440972,1.46875,0.338182,1058400
1971-05-04,1.482639,1.5,1.482639,1.496528,0.344577,900000
1971-05-05,1.496528,1.496528,1.482639,1.496528,0.344577,748800
1971-05-06,1.5,1.534722,1.5,1.526042,0.351373,2433600
1971-05-07,1.526042,1.532986,1.517361,1.517361,0.349374,936000
1971-05-10,1.517361,1.526042,1.493056,1.517361,0.349374,1476000
1971-05-11,1.520833,1.534722,1.520833,1.527778,0.351773,1224000
1971-05-12,1.527778,1.532986,1.517361,1.53125,0.352572,734400
1971-05-13,1.53125,1.53125,1.517361,1.519097,0.349774,403200
