Date,Open,High,Low,Close,Adj Close,Volume
2007-11-15,23.0,28.450001,22.059999,26.1,24.229773,11770500
2007-11-16,25.98,25.98,23.6,24.959999,23.171453,1242900
2007-11-19,24.709999,25.75,24.530001,25.75,23.904848,469500
2007-11-20,25.42,29.209999,25.26,27.32,25.36235,522200
2007-11-21,27.0,27.129999,25.940001,26.65,24.740358,167500
2007-11-23,27.299999,28.33,26.82,27.4,25.436617,100700
2007-11-26,27.99,29.49,27.530001,27.799999,25.807953,438300
2007-11-27,28.23,28.75,26.280001,26.98,25.046715,305800
2007-11-28,27.120001,27.620001,26.68,27.299999,25.343782,273600
2007-11-29,26.610001,27.99,26.6,27.299999,25.343782,110600
2007-11-30,27.6,28.700001,27.1,27.65,25.668705,524000
2007-12-03,27.700001,28.200001,27.4,27.969999,25.965773,83600
2007-12-04,27.709999,29.75,27.24,29.35,27.246885,387400
2007-12-05,32.68,32.68,28.889999,29.280001,27.1819,207200
2007-12-06,29.0,29.42,28.440001,28.91,26.838417,97700
2007-12-07,29.059999,29.1,28.5,28.879999,26.810564,82500
2007-12-10,28.59,29.950001,28.59,29.0,26.921963,177900
2007-12-11,28.99,29.4,28.25,29.0,26.921963,236200
2007-12-12,29.360001,29.360001,28.299999,28.48,26.439224,64700
2007-12-13,27.93,29.0,27.93,28.940001,26.866264,78000
2007-12-14,28.83,28.940001,28.33,28.719999,26.662031,118200
2007-12-17,27.940001,29.059999,27.67,27.98,25.97505,128600
2007-12-18,28.0,28.799999,28.0,28.5,26.457794,132400
2007-12-19,28.559999,29.35,28.559999,28.950001,26.875544,197600
2007-12-20,28.950001,29.01,28.889999,28.889999,26.819849,197800
2007-12-21,29.5,34.330002,29.4,33.720001,31.303761,498600
2007-12-24,33.599998,34.400002,32.549999,33.919998,31.48941,142000
2007-12-26,33.919998,36.0,33.799999,34.349998,31.888599,228300
2007-12-27,34.349998,37.189999,33.799999,36.549999,33.930962,194600
2007-12-28,36.450001,38.27,36.0,37.32,34.64579,165900
2007-12-31,37.450001,38.400002,36.0,38.400002,35.648388,136200
2008-01-02,37.82,37.950001,33.119999,33.849998,31.424427,442900
2008-01-03,33.849998,33.849998,30.559999,30.790001,28.5837,395900
2008-01-04,28.74,31.0,28.110001,30.15,27.989559,354100
