<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,5.59037,5.715997,5.59037,5.602933,2.975121,227858
1977-01-04,5.577808,5.577808,5.477307,5.477307,2.908416,164177
1977-01-05,5.489869,5.602933,5.489869,5.502432,2.921757,193033
1977-01-06,5.502432,5.527557,5.464744,5.464744,2.901743,139302
1977-01-07,5.464744,5.502432,5.389368,5.389368,2.861722,119402
1977-01-10,5.389368,5.401931,5.288867,5.326555,2.828367,235818
1977-01-11,5.30143,5.30143,5.188366,5.188366,2.754988,201988
1977-01-12,5.175804,5.175804,5.06274,5.125553,2.721636,184078
1977-01-13,5.175804,5.200929,5.175804,5.175804,2.748318,241789
1977-01-14,5.175804,5.251179,5.138116,5.238617,2.781673,761186
1977-01-17,5.238617,5.263742,5.226054,5.251179,2.788343,672630
1977-01-18,5.251179,5.276305,5.251179,5.263742,2.795012,222883
1977-01-19,5.263742,5.35168,5.263742,5.35168,2.841707,94526
1977-01-20,5.376806,5.439619,5.376806,5.376806,2.85505,176118
1977-01-21,5.376806,5.414494,5.364243,5.389368,2.861722,1066656
1977-01-24,5.389368,5.427056,5.35168,5.376806,2.85505,511437
1977-01-25,5.376806,5.376806,5.226054,5.226054,2.775002,317410
1977-01-26,5.226054,5.276305,5.200929,5.226054,2.775002,117412
1977-01-27,5.150678,5.150678,5.025052,5.050177,2.68161,254724
1977-01-28,5.075303,5.150678,5.075303,5.125553,2.721636,112437
1977-01-31,5.125553,5.125553,4.987364,5.050177,2.68161,202983
1977-02-01,5.050177,5.100428,5.037615,5.075303,2.694953,81591
1977-02-02,5.075303,5.11299,5.012489,5.012489,2.661599,538303
1977-02-03,5.012489,5.025052,4.987364,4.987364,2.648259,126367
1977-02-04,4.987364,4.987364,4.798925,4.82405,2.561539,359200
1977-02-07,4.82405,4.82405,4.648173,4.648173,2.468149,299499
1977-02-08,4.648173,4.748674,4.648173,4.710986,2.501504,422881
1977-02-09,4.710986,4.710986,4.623048,4.623048,2.454808,14925
1977-02-10,4.623048,4.648173,4.58536,4.58536,2.434798,269649
1977-02-11,4.58536,4.623048,4.58536,4.623048,2.454808,292534
1977-02-14,4.623048,4.673298,4.58536,4.673298,2.481491,306464
1977-02-15,4.673298,4.685861,4.648173,4.648173,2.468149,502482
1977-02-16,4.648173,4.698424,4.648173,4.673298,2.481491,328355
1977-02-17,4.648173,4.648173,4.58536,4.597923,2.441468,142287
1977-02-18,4.572797,4.572797,4.371795,4.509984,2.394773,305469
1977-02-22,4.509984,4.522547,4.472296,4.497422,2.388102,133332
1977-02-23,4.497422,4.497422,4.459734,4.472296,2.374761,69651
1977-02-24,4.459734,4.459734,4.384358,4.396921,2.334737,154227
1977-02-25,4.396921,4.447171,4.371795,4.447171,2.36142,309450
1977-02-28,4.434608,4.434608,4.422046,4.434608,2.354748,140297
1977-03-01,4.434608,4.560235,4.434608,4.560235,2.421456,340295
1977-03-02,4.560235,4.597923,4.547672,4.560235,2.421456,327360
1977-03-03,4.572797,4.748674,4.572797,4.723549,2.508175,267659
1977-03-04,4.723549,4.736112,4.685861,4.736112,2.514846,217908
1977-03-07,4.748674,4.798925,4.748674,4.798925,2.548198,143282
1977-03-08,4.798925,4.798925,4.723549,4.736112,2.514846,295519
1977-03-09,4.698424,4.698424,4.623048,4.635611,2.461481,114427
1977-03-10,4.635611,4.673298,4.560235,4.673298,2.481491,264674
1977-03-11,4.673298,4.698424,4.660736,4.660736,2.474822,92536
1977-03-14,4.673298,4.798925,4.673298,4.773799,2.534857,175123
1977-03-15,4.798925,4.874301,4.798925,4.836613,2.568211,298504
1977-03-16,4.836613,4.886863,4.836613,4.874301,2.588222,240794
1977-03-17,4.874301,4.949676,4.861738,4.924551,2.614905,266664
1977-03-18,4.924551,4.974802,4.924551,4.924551,2.614905,200993
1977-03-21,4.924551,4.937114,4.849175,4.861738,2.58155,324375
1977-03-22,4.861738,4.874301,4.798925,4.874301,2.599507,175123
1977-03-23,4.874301,4.874301,4.698424,4.710986,2.51241,193033
1977-03-24,4.710986,4.773799,4.623048,4.648173,2.478911,309450
1977-03-25,4.648173,4.648173,4.597923,4.623048,2.465511,163182
1977-03-28,4.610485,4.610485,4.572797,4.58536,2.445414,188058
1977-03-29,4.58536,4.648173,4.58536,4.58536,2.445414,239799
1977-03-30,4.58536,4.660736,4.58536,4.58536,2.445414,210943
1977-03-31,4.58536,4.648173,4.58536,4.623048,2.465511,67661
1977-04-01,4.623048,4.673298,4.597923,4.673298,2.49231,163182
1977-04-04,4.673298,4.698424,4.597923,4.597923,2.452112,119402
1977-04-05,4.597923,4.623048,4.58536,4.623048,2.465511,130347
1977-04-06,4.623048,4.623048,4.58536,4.58536,2.445414,171143
1977-04-07,4.58536,4.597923,4.572797,4.572797,2.438713,92536
1977-04-11,4.572797,4.58536,4.522547,4.522547,2.411913,433826
1977-04-12,4.522547,4.522547,4.472296,4.484859,2.391815,153232
1977-04-13,4.484859,4.497422,4.472296,4.497422,2.398514,90546
1977-04-14,4.522547,4.648173,4.522547,4.635611,2.472212,573128
1977-04-15,4.635611,4.648173,4.610485,4.635611,2.472212,115422
1977-04-18,4.635611,4.635611,4.58536,4.635611,2.472212,140297
1977-04-19,4.623048,4.623048,4.522547,4.522547,2.411913,121392
1977-04-20,4.522547,4.572797,4.484859,4.509984,2.405213,364175
1977-04-21,4.509984,4.509984,4.384358,4.396921,2.344916,152237
1977-04-22,4.396921,4.396921,4.221044,4.246169,2.264519,239799
1977-04-25,4.258732,4.334107,4.258732,4.283857,2.284619,167162
1977-04-26,4.283857,4.308982,4.246169,4.246169,2.264519,121392
1977-04-27,4.246169,4.371795,4.246169,4.371795,2.331516,214923
1977-04-28,4.371795,4.384358,4.321545,4.321545,2.304717,329350
1977-04-29,4.321545,4.371795,4.321545,4.359233,2.324816,107462
1977-05-02,4.359233,4.396921,4.34667,4.396921,2.344916,205968
1977-05-03,4.396921,4.396921,4.334107,4.334107,2.311418,420891
1977-05-04,4.334107,4.409483,4.321545,4.359233,2.324816,1386055
1977-05-05,4.359233,4.447171,4.359233,4.447171,2.371715,394026
