Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,0.5625,0.5375,0.5375,0.2644,104000
1980-03-18,0.0,0.55625,0.53125,0.53125,0.261326,30000
1980-03-19,0.0,0.56875,0.54375,0.54375,0.267475,100000
1980-03-20,0.0,0.56875,0.54375,0.54375,0.267475,38000
1980-03-21,0.0,0.56875,0.54375,0.54375,0.267475,54000
1980-03-24,0.0,0.56875,0.54375,0.54375,0.267475,40000
1980-03-25,0.0,0.55,0.525,0.525,0.258252,72000
1980-03-26,0.0,0.55,0.525,0.525,0.258252,6000
1980-03-27,0.0,0.5,0.475,0.475,0.233656,136000
1980-03-28,0.0,0.5125,0.4875,0.4875,0.239805,94000
1980-03-31,0.0,0.5125,0.4875,0.4875,0.239805,88000
1980-04-01,0.0,0.51875,0.49375,0.49375,0.242879,36000
1980-04-02,0.0,0.525,0.5,0.5,0.245954,74000
1980-04-03,0.0,0.51875,0.49375,0.49375,0.242879,28000
1980-04-07,0.0,0.5,0.475,0.475,0.233656,84000
1980-04-08,0.0,0.5,0.475,0.475,0.233656,32000
1980-04-09,0.0,0.50625,0.48125,0.48125,0.236731,14000
1980-04-10,0.0,0.5125,0.4875,0.4875,0.239805,24000
1980-04-11,0.0,0.5125,0.4875,0.4875,0.239805,80000
1980-04-14,0.0,0.5125,0.4875,0.4875,0.239805,46000
1980-04-15,0.0,0.49375,0.46875,0.46875,0.230582,46000
1980-04-16,0.0,0.5,0.475,0.475,0.233656,34000
1980-04-17,0.0,0.5125,0.4875,0.4875,0.239805,152000
1980-04-18,0.0,0.525,0.5,0.5,0.245954,22000
1980-04-21,0.0,0.5125,0.4875,0.4875,0.239805,8000
1980-04-22,0.0,0.5125,0.4875,0.4875,0.239805,10000
1980-04-23,0.0,0.5375,0.5125,0.5125,0.252103,84000
1980-04-24,0.0,0.54375,0.51875,0.51875,0.255177,34000
1980-04-25,0.0,0.54375,0.51875,0.51875,0.255177,14000
1980-04-28,0.0,0.5625,0.5375,0.5375,0.2644,128000
1980-04-29,0.0,0.5625,0.5375,0.5375,0.2644,32000
1980-04-30,0.0,0.56875,0.54375,0.54375,0.267475,4000
