Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.375,6.458333,6.375,6.375,0.464395,61800
1980-01-03,6.375,6.458333,6.375,6.416667,0.46743,82500
1980-01-04,6.416667,6.458333,6.375,6.458333,0.470465,41100
1980-01-07,6.458333,6.458333,6.375,6.458333,0.470465,36600
1980-01-08,6.458333,6.5,6.375,6.416667,0.46743,46200
1980-01-09,6.416667,6.458333,6.333333,6.375,0.464395,288300
1980-01-10,6.375,6.416667,6.333333,6.375,0.464395,35100
1980-01-11,6.375,6.416667,6.333333,6.333333,0.461359,59400
1980-01-14,6.333333,6.416667,6.333333,6.333333,0.461359,52500
1980-01-15,6.333333,6.375,6.333333,6.333333,0.461359,62100
1980-01-16,6.333333,6.375,6.333333,6.375,0.464395,72900
1980-01-17,6.375,6.416667,6.291667,6.333333,0.461359,218700
1980-01-18,6.333333,6.333333,6.166667,6.208333,0.452253,157200
1980-01-21,6.208333,6.25,6.0,6.041667,0.440113,132900
1980-01-22,6.041667,6.166667,6.0,6.083333,0.443148,86100
1980-01-23,6.083333,6.166667,6.083333,6.083333,0.443148,46200
1980-01-24,6.083333,6.125,6.041667,6.041667,0.440113,83400
1980-01-25,6.041667,6.083333,5.958333,6.0,0.437077,239700
1980-01-28,6.0,6.125,6.0,6.0,0.437077,127200
1980-01-29,6.0,6.125,6.0,6.083333,0.443148,80100
1980-01-30,6.083333,6.083333,5.875,5.916667,0.431007,314700
1980-01-31,5.916667,5.958333,5.916667,5.958333,0.434042,62100
1980-02-01,5.958333,6.0,5.916667,5.958333,0.434042,55500
1980-02-04,5.958333,6.041667,5.958333,6.041667,0.440113,220200
1980-02-05,6.0,6.0,5.875,5.916667,0.431007,178500
1980-02-06,5.916667,5.958333,5.875,5.958333,0.434042,54900
1980-02-07,5.958333,6.0,5.916667,5.958333,0.434042,142200
1980-02-08,5.958333,6.083333,5.916667,6.0,0.437077,129600
1980-02-11,6.0,6.0,5.833333,5.875,0.427972,115500
1980-02-12,5.875,5.875,5.583333,5.666667,0.412795,169500
1980-02-13,5.666667,5.791667,5.666667,5.708333,0.41583,289200
1980-02-14,5.708333,5.75,5.666667,5.708333,0.41583,57600
1980-02-15,5.708333,5.708333,5.625,5.666667,0.412795,161700
1980-02-19,5.666667,5.666667,5.5,5.5,0.400654,209100
1980-02-20,5.5,5.541667,5.416667,5.5,0.400654,179700
1980-02-21,5.5,5.583333,5.458333,5.541667,0.40369,145500
1980-02-22,5.541667,5.541667,5.416667,5.541667,0.40369,150900
1980-02-25,5.375,5.375,5.25,5.375,0.404945,112200
1980-02-26,5.375,5.416667,5.333333,5.375,0.404945,88800
1980-02-27,5.375,5.375,5.333333,5.333333,0.401806,183900
1980-02-28,5.333333,5.375,5.291667,5.291667,0.398667,99900
1980-02-29,5.291667,5.666667,5.291667,5.666667,0.426919,98700
1980-03-03,5.666667,5.666667,5.416667,5.541667,0.417502,88500
1980-03-04,5.416667,5.416667,5.291667,5.416667,0.408084,112200
1980-03-05,5.416667,5.458333,5.25,5.291667,0.398667,174600
1980-03-06,5.291667,5.291667,5.166667,5.25,0.395528,97800
1980-03-07,5.25,5.291667,5.166667,5.25,0.395528,103800
1980-03-10,5.333333,5.5,5.333333,5.458333,0.411223,98100
1980-03-11,5.458333,5.666667,5.458333,5.625,0.42378,83400
1980-03-12,5.625,5.708333,5.416667,5.5,0.414362,237000
1980-03-13,5.458333,5.458333,5.375,5.416667,0.408084,88800
1980-03-14,5.416667,5.541667,5.291667,5.416667,0.408084,113400
1980-03-17,5.416667,5.5,5.333333,5.416667,0.408084,69300
1980-03-18,5.416667,5.541667,5.333333,5.416667,0.408084,82200
1980-03-19,5.416667,5.541667,5.375,5.5,0.414362,122700
1980-03-20,5.5,5.541667,5.416667,5.416667,0.408084,58800
1980-03-21,5.416667,5.541667,5.416667,5.5,0.414362,57900
1980-03-24,5.458333,5.458333,5.333333,5.375,0.404945,87900
1980-03-25,5.375,5.416667,5.291667,5.291667,0.398667,64200
1980-03-26,5.291667,5.375,5.291667,5.333333,0.401806,63000
1980-03-27,5.333333,5.333333,5.166667,5.25,0.395528,180600
1980-03-28,5.291667,5.416667,5.291667,5.291667,0.398667,76500
1980-03-31,5.375,5.541667,5.375,5.541667,0.417502,139500
1980-04-01,5.541667,5.666667,5.458333,5.666667,0.426919,161400
1980-04-02,5.666667,5.75,5.583333,5.708333,0.430058,117000
1980-04-03,5.708333,5.833333,5.708333,5.833333,0.439475,89100
1980-04-07,5.833333,5.875,5.791667,5.833333,0.439475,53700
1980-04-08,5.833333,5.916667,5.833333,5.833333,0.439475,53100
1980-04-09,5.833333,6.041667,5.833333,6.0,0.452032,310500
1980-04-10,6.041667,6.125,6.041667,6.083333,0.45831,229500
1980-04-11,6.083333,6.083333,6.0,6.083333,0.45831,55800
1980-04-14,6.083333,6.125,5.875,6.0,0.452032,123300
1980-04-15,6.0,6.0,5.916667,5.916667,0.445754,61200
1980-04-16,6.0,6.291667,6.0,6.25,0.470867,345000
1980-04-17,6.25,6.291667,6.208333,6.291667,0.474005,85500
1980-04-18,6.291667,6.333333,6.25,6.333333,0.477145,208800
1980-04-21,6.333333,6.458333,6.291667,6.291667,0.474005,343200
1980-04-22,6.291667,6.458333,6.291667,6.458333,0.486562,186300
1980-04-23,6.5,6.625,6.5,6.583333,0.495979,300900
1980-04-24,6.583333,6.833333,6.583333,6.708333,0.505397,407100
1980-04-25,6.666667,6.666667,6.583333,6.625,0.499118,86100
1980-04-28,6.625,6.708333,6.625,6.625,0.499118,74100
1980-04-29,6.625,6.666667,6.625,6.625,0.499118,81900
1980-04-30,6.625,6.666667,6.625,6.666667,0.502258,52200
1980-05-01,6.666667,6.708333,6.625,6.625,0.499118,162900
1980-05-02,6.625,6.666667,6.541667,6.583333,0.495979,114000
1980-05-05,6.583333,6.666667,6.541667,6.625,0.499118,1952100
1980-05-06,6.625,6.625,6.583333,6.583333,0.495979,441900
1980-05-07,6.666667,6.791667,6.666667,6.75,0.508536,80400
1980-05-08,6.791667,6.833333,6.791667,6.833333,0.514814,588300
1980-05-09,6.833333,6.875,6.791667,6.791667,0.511675,627000
1980-05-12,6.791667,6.833333,6.791667,6.833333,0.514814,220800
1980-05-13,6.833333,6.916667,6.791667,6.875,0.517953,253500
