Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,5.382716,5.234568,5.234568,2.550032,44550
1980-03-18,0.0,5.333333,5.259259,5.308642,2.586117,34425
1980-03-19,0.0,5.283951,5.234568,5.283951,2.574088,9113
1980-03-20,0.0,5.234568,5.234568,5.234568,2.550032,7088
1980-03-21,0.0,5.259259,5.185185,5.259259,2.562061,24300
1980-03-24,0.0,5.259259,5.160494,5.209877,2.538003,43538
1980-03-25,0.0,5.234568,5.08642,5.08642,2.477861,61763
1980-03-26,0.0,5.185185,5.08642,5.160494,2.513946,81000
1980-03-27,0.0,5.08642,4.938272,4.938272,2.40569,74419
1980-03-28,0.0,4.987654,4.938272,4.962963,2.417719,31388
1980-03-31,0.0,5.061728,5.012346,5.061728,2.465832,30881
1980-04-01,0.0,5.08642,4.888889,4.888889,2.381633,266288
1980-04-02,0.0,4.888889,4.839506,4.888889,2.381633,2531
1980-04-03,0.0,5.111111,4.938272,5.111111,2.48989,80494
1980-04-07,0.0,5.135802,5.061728,5.135802,2.501916,64800
1980-04-08,0.0,5.333333,5.08642,5.333333,2.598146,181744
1980-04-09,0.0,5.358025,5.259259,5.333333,2.598146,33919
1980-04-10,0.0,5.333333,5.283951,5.308642,2.586117,22781
1980-04-11,0.0,5.308642,5.160494,5.160494,2.513946,34425
1980-04-14,0.0,5.160494,5.135802,5.135802,2.501916,15694
1980-04-15,0.0,5.135802,5.135802,5.135802,2.501916,21263
1980-04-16,0.0,5.160494,5.061728,5.061728,2.465832,22781
1980-04-17,0.0,5.061728,4.938272,4.938272,2.40569,268819
1980-04-18,0.0,5.037037,5.012346,5.012346,2.441776,10631
1980-04-21,0.0,5.037037,4.938272,4.938272,2.40569,12656
1980-04-22,0.0,5.037037,4.938272,5.037037,2.453803,16706
1980-04-23,0.0,5.259259,5.135802,5.259259,2.562061,62775
1980-04-24,0.0,5.259259,5.209877,5.234568,2.550032,4050
1980-04-25,0.0,5.209877,5.135802,5.135802,2.501916,11644
1980-04-28,0.0,5.209877,5.135802,5.135802,2.501916,151369
1980-04-29,0.0,5.111111,5.111111,5.111111,2.48989,2025
1980-04-30,0.0,5.08642,5.037037,5.061728,2.465832,17719
1980-05-01,0.0,5.111111,5.037037,5.08642,2.477861,9113
1980-05-02,0.0,5.061728,4.938272,4.938272,2.40569,23288
1980-05-05,0.0,4.962963,4.938272,4.938272,2.40569,13669
1980-05-06,0.0,4.962963,4.91358,4.938272,2.40569,31894
1980-05-07,0.0,4.888889,4.839506,4.864198,2.369606,82013
1980-05-08,0.0,4.839506,4.740741,4.839506,2.357577,329569
1980-05-09,0.0,4.839506,4.740741,4.740741,2.309464,11644
1980-05-12,0.0,4.790123,4.716049,4.790123,2.333519,18731
1980-05-13,0.0,4.790123,4.740741,4.790123,2.333519,4556
1980-05-14,0.0,4.888889,4.765432,4.888889,2.381633,23288
1980-05-15,0.0,4.888889,4.839506,4.839506,2.357577,28350
1980-05-16,0.0,4.91358,4.839506,4.888889,2.381633,53156
1980-05-19,0.0,4.790123,4.740741,4.790123,2.333519,85556
1980-05-20,0.0,4.790123,4.765432,4.765432,2.32149,8100
1980-05-21,0.0,4.888889,4.765432,4.888889,2.381633,39994
1980-05-22,0.0,5.185185,4.938272,5.135802,2.501916,33413
1980-05-23,0.0,5.135802,5.012346,5.012346,2.441776,32906
1980-05-27,0.0,5.037037,4.938272,5.037037,2.453803,42525
1980-05-28,0.0,5.08642,4.962963,5.012346,2.441776,153394
1980-05-29,0.0,5.135802,4.962963,5.135802,2.501916,84038
1980-05-30,0.0,5.135802,5.037037,5.037037,2.453803,39994
1980-06-02,0.0,5.08642,5.037037,5.037037,2.453803,7088
1980-06-03,0.0,5.08642,5.037037,5.037037,2.453803,3038
1980-06-04,0.0,5.135802,5.037037,5.135802,2.501916,13163
1980-06-05,0.0,5.283951,5.209877,5.283951,2.574088,27844
1980-06-06,0.0,5.234568,5.185185,5.234568,2.550032,7088
1980-06-09,0.0,5.333333,5.209877,5.234568,2.550032,33413
1980-06-10,0.0,5.283951,5.185185,5.185185,2.525974,33413
1980-06-11,0.0,5.283951,5.08642,5.135802,2.501916,68850
1980-06-12,0.0,5.185185,5.08642,5.08642,2.477861,30375
1980-06-13,0.0,5.08642,5.061728,5.061728,2.465832,26831
1980-06-16,0.0,5.135802,5.061728,5.111111,2.48989,53156
1980-06-17,0.0,5.209877,5.111111,5.160494,2.513946,20756
1980-06-18,0.0,5.185185,5.135802,5.185185,2.525974,19744
