Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.921875,0.921875,0.921875,0.921875,0.508233,59200
1973-02-22,0.929688,0.929688,0.929688,0.929688,0.51254,49600
1973-02-23,0.890625,0.890625,0.890625,0.890625,0.491004,92800
1973-02-26,0.921875,0.921875,0.921875,0.921875,0.508233,73600
1973-02-27,0.875,0.875,0.875,0.875,0.482391,131200
1973-02-28,0.914063,0.914063,0.914063,0.914063,0.503926,57600
1973-03-01,0.875,0.875,0.875,0.875,0.482391,68800
1973-03-02,0.882813,0.882813,0.882813,0.882813,0.486698,182400
1973-03-05,0.875,0.875,0.875,0.875,0.482391,44800
1973-03-06,0.890625,0.890625,0.890625,0.890625,0.491004,41600
1973-03-07,0.984375,0.984375,0.984375,0.984375,0.54269,148800
1973-03-08,0.976563,0.976563,0.976563,0.976563,0.538383,35200
1973-03-09,0.960938,0.960938,0.960938,0.960938,0.529768,59200
1973-03-12,0.9375,0.9375,0.9375,0.9375,0.516847,38400
1973-03-13,0.96875,0.96875,0.96875,0.96875,0.534075,134400
1973-03-14,0.953125,0.953125,0.953125,0.953125,0.525461,51200
1973-03-15,0.929688,0.929688,0.929688,0.929688,0.51254,41600
1973-03-16,0.9375,0.9375,0.9375,0.9375,0.516847,54400
1973-03-19,0.929688,0.929688,0.929688,0.929688,0.51254,46400
1973-03-20,0.921875,0.921875,0.921875,0.921875,0.508233,14400
1973-03-21,0.898438,0.898438,0.898438,0.898438,0.495312,62400
1973-03-22,0.882813,0.882813,0.882813,0.882813,0.486698,112000
1973-03-23,0.9375,0.9375,0.9375,0.9375,0.516847,97600
1973-03-26,0.953125,0.953125,0.953125,0.953125,0.525461,139200
1973-03-27,0.96875,0.96875,0.96875,0.96875,0.534075,67200
1973-03-28,0.96875,0.96875,0.96875,0.96875,0.534075,91200
1973-03-29,0.96875,0.96875,0.96875,0.96875,0.534075,51200
1973-03-30,0.960938,0.960938,0.960938,0.960938,0.529768,48000
1973-04-02,0.945313,0.945313,0.945313,0.945313,0.521154,40000
1973-04-03,0.921875,0.921875,0.921875,0.921875,0.508233,67200
1973-04-04,0.914063,0.914063,0.914063,0.914063,0.503926,46400
1973-04-05,0.882813,0.882813,0.882813,0.882813,0.486698,20800
1973-04-06,0.890625,0.890625,0.890625,0.890625,0.491004,134400
1973-04-09,0.898438,0.898438,0.898438,0.898438,0.495312,96000
1973-04-10,0.9375,0.9375,0.9375,0.9375,0.516847,145600
1973-04-11,0.898438,0.898438,0.898438,0.898438,0.495312,137600
1973-04-12,0.9375,0.9375,0.9375,0.9375,0.516847,145600
1973-04-13,0.984375,0.984375,0.984375,0.984375,0.54269,92800
1973-04-16,1.0,1.0,1.0,1.0,0.551303,112000
1973-04-17,0.96875,0.96875,0.96875,0.96875,0.534075,120000
1973-04-18,0.945313,0.945313,0.945313,0.945313,0.521154,116800
1973-04-19,0.9375,0.9375,0.9375,0.9375,0.516847,73600
1973-04-23,0.9375,0.9375,0.9375,0.9375,0.516847,99200
1973-04-24,0.851563,0.851563,0.851563,0.851563,0.46947,171200
1973-04-25,0.78125,0.78125,0.78125,0.78125,0.430706,136000
1973-04-26,0.796875,0.796875,0.796875,0.796875,0.43932,96000
1973-04-27,0.789063,0.789063,0.789063,0.789063,0.435013,84800
1973-04-30,0.789063,0.789063,0.789063,0.789063,0.435013,161600
1973-05-01,0.804688,0.804688,0.804688,0.804688,0.443627,86400
1973-05-02,0.890625,0.890625,0.890625,0.890625,0.491004,184000
1973-05-03,0.0,0.90625,0.835938,0.90625,0.499619,142400
1973-05-04,0.0,0.914063,0.875,0.875,0.482391,153600
1973-05-07,0.0,0.890625,0.867188,0.882813,0.486698,38400
1973-05-08,0.0,0.890625,0.867188,0.875,0.482391,80000
1973-05-09,0.0,0.898438,0.882813,0.890625,0.491004,57600
1973-05-10,0.0,0.875,0.859375,0.859375,0.473776,80000
1973-05-11,0.0,0.90625,0.859375,0.882813,0.486698,182400
1973-05-14,0.0,0.882813,0.851563,0.851563,0.46947,65600
1973-05-15,0.0,0.859375,0.820313,0.84375,0.465162,112000
