Date,Open,High,Low,Close,Adj Close,Volume
1991-12-17,10.0,11.75,10.0,11.625,10.122731,15815400
1991-12-18,11.5,11.625,11.375,11.5,10.013886,2662600
1991-12-19,11.375,11.5,11.125,11.25,9.796195,1017600
1991-12-20,11.5,11.625,11.25,11.5,10.013886,513800
1991-12-23,11.375,11.875,11.375,11.875,10.34043,493200
1991-12-24,11.875,12.125,11.625,12.0,10.449279,492400
1991-12-26,11.875,13.75,11.875,13.5,11.755433,582600
1991-12-27,13.5,13.625,12.875,13.5,11.755433,720800
1991-12-30,13.375,15.375,13.375,14.25,12.408508,1435000
1991-12-31,14.5,14.875,14.25,14.875,12.952747,440800
1992-01-02,14.5,14.75,13.875,14.25,12.408508,1389600
1992-01-03,14.25,15.25,14.25,15.125,13.170439,353800
1992-01-06,15.125,15.5,14.875,15.5,13.496977,442800
1992-01-07,15.375,15.375,14.875,15.0,13.061596,666200
1992-01-08,14.75,15.375,14.625,15.0,13.061596,975000
1992-01-09,15.125,15.125,14.5,14.5,12.626209,376800
1992-01-10,14.75,14.875,14.5,14.875,12.952747,426600
1992-01-13,15.0,15.25,14.625,15.25,13.279285,62600
1992-01-14,15.25,15.3125,14.875,15.125,13.170439,56800
1992-01-15,15.0,15.25,14.875,15.0,13.061596,251600
1992-01-16,14.875,15.125,14.375,14.75,12.843901,801000
1992-01-17,14.5,14.625,14.25,14.375,12.517361,288400
1992-01-20,14.375,14.625,13.625,13.625,11.864278,242800
1992-01-21,13.5,13.625,12.125,13.5,11.755433,823200
1992-01-22,13.375,13.875,13.375,13.75,11.973125,171400
1992-01-23,14.25,14.875,14.0,14.75,12.843901,578800
1992-01-24,15.0,15.625,14.625,15.5,13.496977,591600
1992-01-27,15.375,15.75,15.375,15.5,13.496977,484800
1992-01-28,15.75,15.75,15.375,15.625,13.605824,556200
1992-01-29,15.75,16.25,15.625,15.875,13.82352,410000
1992-01-30,15.625,16.0,15.625,15.9375,13.877938,195000
1992-01-31,15.75,16.25,15.75,16.0,13.932361,194600
1992-02-03,16.0,16.25,16.0,16.25,14.150055,70600
1992-02-04,16.25,16.625,16.0,16.375,14.258903,494600
1992-02-05,16.375,16.5,16.25,16.25,14.150055,196400
1992-02-06,16.25,16.5,16.25,16.5,14.367751,524000
1992-02-07,16.5,16.625,16.25,16.625,14.476598,183600
1992-02-10,16.625,16.875,16.375,16.875,14.694294,125000
1992-02-11,16.875,17.125,16.0,16.625,14.476598,517400
1992-02-12,16.75,16.875,16.5,16.625,14.476598,153800
1992-02-13,16.9375,17.0,16.375,16.5,14.367751,292800
1992-02-14,16.375,16.5,16.125,16.25,14.150055,234400
1992-02-18,16.25,16.5,16.125,16.375,14.258903,171800
1992-02-19,16.5,16.5,15.875,16.0,13.932361,278200
1992-02-20,16.25,16.75,16.0,16.375,14.258903,613600
1992-02-21,16.75,17.875,16.625,17.75,15.456216,600800
1992-02-24,17.75,17.75,16.625,16.625,14.476598,348800
1992-02-25,16.75,16.75,15.625,16.125,14.041213,304600
1992-02-26,15.875,16.375,15.875,16.25,14.150055,104800
1992-02-27,16.25,16.25,15.375,15.75,13.714673,199400
1992-02-28,15.375,15.75,15.375,15.75,13.714673,106200
1992-03-02,15.75,15.75,15.0,15.25,13.279285,503600
1992-03-03,15.0,15.25,14.625,14.875,12.952747,274000
1992-03-04,14.75,14.75,14.375,14.6875,12.789478,810200
1992-03-05,14.625,15.625,14.625,15.125,13.170439,378400
1992-03-06,15.125,15.25,14.75,14.75,12.843901,163800
1992-03-09,15.125,15.25,14.75,15.125,13.170439,108400
1992-03-10,15.25,15.75,15.125,15.75,13.714673,144200
1992-03-11,15.75,15.75,15.0625,15.375,13.388126,189600
1992-03-12,15.25,15.5,15.125,15.5,13.496977,78200
1992-03-13,15.25,15.5,15.25,15.25,13.279285,47200
1992-03-16,15.5,15.5,15.0,15.375,13.388126,51400
1992-03-17,15.375,15.375,14.875,15.25,13.279285,164000
1992-03-18,15.125,15.125,14.625,14.875,12.952747,250800
1992-03-19,14.875,14.875,14.625,14.75,12.843901,131400
1992-03-20,14.875,15.5,14.6875,15.3125,13.33371,89400
1992-03-23,15.375,15.75,15.125,15.5,13.496977,239200
1992-03-24,15.375,15.75,15.375,15.75,13.714673,141000
1992-03-25,15.75,15.75,15.375,15.6875,13.660251,9200
1992-03-26,15.75,16.5,15.6875,16.375,14.258903,101800
1992-03-27,16.375,16.375,16.125,16.375,14.258903,88200
1992-03-30,16.25,16.375,16.25,16.375,14.258903,74400
1992-03-31,16.375,16.6875,16.25,16.375,14.258903,85000
1992-04-01,16.25,16.625,16.25,16.5,14.367751,123800
1992-04-02,16.625,16.625,15.875,15.875,13.82352,75600
1992-04-03,15.875,16.125,15.5,15.5,13.496977,60200
1992-04-06,15.5,15.875,15.5,15.5,13.496977,38800
1992-04-07,15.5,15.875,15.25,15.25,13.279285,102000
1992-04-08,15.0,15.125,14.375,14.75,12.843901,241800
1992-04-09,15.0,15.0,14.625,15.0,13.061596,370600
1992-04-10,15.125,15.75,15.125,15.625,13.605824,50400
1992-04-13,15.75,16.375,15.5,16.375,14.258903,104200
1992-04-14,16.375,16.875,16.375,16.625,14.476598,111400
1992-04-15,17.0,17.5,16.75,17.5,15.238519,184000
1992-04-16,17.5,17.5,16.25,16.25,14.150055,211200
1992-04-20,16.25,16.5,15.25,15.75,13.714673,146000
1992-04-21,15.5,15.75,15.5,15.6875,13.660251,73000
1992-04-22,15.875,15.875,15.625,15.625,13.605824,91000
1992-04-23,15.875,15.875,15.125,15.375,13.388126,142600
1992-04-24,15.375,15.375,14.75,15.0,13.061596,129600
1992-04-27,15.125,15.125,13.375,14.0,12.19082,549200
1992-04-28,13.75,14.0,13.75,13.75,11.973125,181000
1992-04-29,14.0,14.625,13.75,14.5,12.626209,212200
1992-04-30,14.75,15.75,14.625,15.625,13.605824,274200
1992-05-01,15.625,15.625,15.25,15.25,13.279285,30600
1992-05-04,15.25,15.625,15.25,15.25,13.279285,6400
1992-05-05,15.625,15.625,15.25,15.5,13.496977,1600
1992-05-06,15.625,15.625,15.25,15.25,13.279285,13600
1992-05-07,15.25,15.625,15.25,15.25,13.279285,11600
1992-05-08,15.125,15.5,15.125,15.125,13.170439,480800
1992-05-11,15.125,15.5,15.125,15.375,13.388126,192800
1992-05-12,15.125,15.375,15.125,15.125,13.170439,49800
1992-05-13,15.125,15.375,15.125,15.125,13.170439,25200
1992-05-14,15.125,15.375,15.125,15.375,13.388126,156200
1992-05-15,15.25,15.25,14.5,14.875,12.952747,895400
1992-05-18,14.875,14.875,14.375,14.5625,12.680629,121000
1992-05-19,14.75,14.75,14.5,14.75,12.843901,54200
1992-05-20,14.75,14.75,14.3125,14.375,12.517361,38800
1992-05-21,14.125,14.125,13.5,14.0625,12.245244,273600
1992-05-22,14.25,14.25,14.0,14.1875,12.35409,41000
1992-05-26,14.1875,14.25,13.875,14.0,12.19082,347200
1992-05-27,13.875,14.125,13.875,14.0,12.19082,83200
1992-05-28,14.125,14.125,14.0,14.125,12.299666,50800
1992-05-29,14.25,14.4375,13.75,14.0,12.19082,160400
1992-06-01,14.125,14.125,13.25,13.625,11.864278,132600
1992-06-02,13.5,13.875,13.5,13.6875,11.918702,303600
1992-06-03,13.75,13.75,13.625,13.6875,11.918702,200400
1992-06-04,13.625,14.125,13.625,14.125,12.299666,515000
1992-06-05,14.125,14.125,13.75,13.75,11.973125,44800
1992-06-08,14.125,14.375,13.875,14.25,12.408508,54400
1992-06-09,14.25,14.375,13.6875,13.875,12.08197,208200
1992-06-10,13.875,13.875,13.375,13.4375,11.701007,63000
1992-06-11,13.125,13.5,12.375,12.875,11.211199,904200
1992-06-12,12.875,13.125,12.625,13.0,11.320047,91600
1992-06-15,13.125,13.125,12.75,12.75,11.102355,517400
1992-06-16,12.875,13.0,12.375,12.625,10.993506,828800
1992-06-17,12.625,12.625,12.25,12.25,10.666965,364000
1992-06-18,12.375,12.375,11.9375,11.9375,10.394846,749000
1992-06-19,12.375,13.0,12.0,13.0,11.320047,564200
1992-06-22,12.875,13.0,12.625,12.875,11.211199,49600
1992-06-23,13.25,13.75,13.0,13.5,11.755433,404800
1992-06-24,13.625,14.0,13.5,14.0,12.19082,150400
1992-06-25,14.0,14.0,13.75,13.75,11.973125,154400
1992-06-26,13.75,14.0,13.75,14.0,12.19082,54000
1992-06-29,13.875,14.875,13.875,14.75,12.843901,202200
1992-06-30,15.0,16.0,15.0,16.0,13.932361,351200
1992-07-01,15.875,16.625,15.625,16.125,14.041213,665600
1992-07-02,16.125,16.375,15.125,15.125,13.170439,332000
1992-07-06,15.125,15.375,14.75,14.75,12.843901,78600
1992-07-07,14.9375,15.0,14.375,14.5,12.626209,255800
1992-07-08,14.25,14.75,14.25,14.75,12.843901,122200
1992-07-09,14.875,15.625,14.625,15.625,13.605824,85000
1992-07-10,15.625,15.875,15.625,15.75,13.714673,56800
1992-07-13,16.0,16.125,15.625,16.0,13.932361,67000
1992-07-14,15.75,16.125,15.75,16.125,14.041213,30800
1992-07-15,16.125,16.125,15.875,16.0,13.932361,92600
1992-07-16,16.125,16.125,15.875,16.0,13.932361,27600
1992-07-17,15.875,16.0,15.25,15.5,13.496977,101000
1992-07-20,15.5,15.875,15.25,15.5,13.496977,53600
1992-07-21,15.875,16.75,15.75,16.4375,14.313331,142800
1992-07-22,16.625,16.625,16.125,16.3125,14.204484,297800
1992-07-23,16.25,16.625,16.25,16.5,14.367751,321200
1992-07-24,16.375,16.625,16.375,16.625,14.476598,294800
1992-07-27,16.375,16.625,16.375,16.5,14.367751,35600
1992-07-28,16.375,16.625,16.375,16.4375,14.313331,44000
1992-07-29,16.625,16.625,16.125,16.375,14.258903,106200
1992-07-30,16.125,16.5,15.375,15.5,13.496977,327200
1992-07-31,15.75,15.875,15.4375,15.875,13.82352,54000
1992-08-03,15.875,15.875,15.5,15.625,13.605824,15800
1992-08-04,15.75,15.875,15.5,15.6875,13.660251,91800
1992-08-05,15.875,15.875,15.75,15.875,13.82352,14600
1992-08-06,15.625,15.875,15.5,15.5,13.496977,104800
