Date,Open,High,Low,Close,Adj Close,Volume
2012-04-12,33.25,34.209999,32.0,34.0,26.121126,654700
2012-04-13,34.0,37.450001,33.91,37.0,28.425932,1685000
2012-04-16,37.0,37.0,35.990002,36.549999,28.080204,550200
2012-04-17,36.400002,36.75,36.0,36.0,27.657663,179600
2012-04-18,36.0,36.439999,34.5,36.0,27.657663,207100
2012-04-19,36.0,37.220001,35.799999,36.0,27.657663,598100
2012-04-20,36.099998,37.0,36.099998,36.32,27.903502,149700
2012-04-23,36.240002,36.240002,35.419998,35.68,27.411816,95700
2012-04-24,36.0,36.0,34.68,34.75,26.697323,124500
2012-04-25,34.799999,35.5,34.5,34.75,26.697323,266200
2012-04-26,34.610001,34.990002,34.439999,34.950001,26.850975,183900
2012-04-27,35.25,35.25,33.970001,34.110001,26.205639,536000
2012-04-30,34.34,34.900002,34.0,34.049999,26.159533,4105700
2012-05-01,33.740002,34.099998,32.580002,32.759998,25.168472,6878600
2012-05-02,32.599998,32.669998,31.629999,32.0,24.584587,11287600
2012-05-03,31.93,31.98,31.049999,31.389999,24.11595,11800000
2012-05-04,30.85,31.09,30.120001,30.16,23.170977,10881000
2012-05-07,30.1,30.549999,29.25,29.35,22.548679,12257200
2012-05-08,29.09,30.41,28.75,30.1,23.124872,14601300
2012-05-09,29.809999,32.889999,29.73,32.490002,24.961042,13990000
2012-05-10,33.049999,33.349998,31.52,32.48,24.953356,8862000
2012-05-11,31.73,32.150002,31.4,31.83,24.453974,4460100
2012-05-14,31.190001,31.58,30.77,31.32,24.062166,6398200
2012-05-15,31.35,32.32,31.059999,31.67,24.331055,6362800
2012-05-16,31.459999,32.389999,31.25,32.099998,24.661409,6118600
2012-05-17,31.889999,32.0,31.200001,31.26,24.016068,5850500
2012-05-18,31.43,31.690001,30.99,31.379999,24.108265,7940800
2012-05-21,31.23,32.34,30.950001,32.189999,24.730555,5480100
2012-05-22,31.879999,32.27,31.33,31.629999,24.300327,5415000
2012-05-23,31.35,31.49,30.879999,31.41,24.13131,5268900
2012-05-24,31.42,31.440001,30.75,31.129999,23.916199,4210400
2012-05-25,31.01,31.41,30.83,31.299999,24.046799,3217900
2012-05-29,31.280001,31.719999,30.860001,31.01,23.823999,3979600
2012-05-30,30.790001,30.83,30.18,30.440001,23.386087,6000600
2012-05-31,30.26,30.35,29.719999,30.030001,23.071096,8098000
2012-06-01,29.5,30.17,29.379999,29.92,22.986588,5701700
2012-06-04,29.299999,30.190001,29.25,29.530001,22.686964,4844900
2012-06-05,29.370001,30.1,29.32,29.9,22.971226,4046500
2012-06-06,30.030001,32.0,29.82,31.530001,24.223501,8609400
2012-06-07,32.07,32.75,31.74,31.83,24.453974,7694300
2012-06-08,31.66,32.349998,31.51,32.119999,24.676777,4302100
2012-06-11,32.450001,33.049999,32.23,32.599998,25.045546,5999000
2012-06-12,32.560001,33.740002,32.490002,33.490002,25.729309,6809900
2012-06-13,33.27,33.490002,32.540001,32.77,25.176155,2876200
2012-06-14,32.77,33.639999,32.310001,33.529999,25.760033,4460000
2012-06-15,33.599998,34.91,33.380001,34.900002,26.812572,9892400
2012-06-18,34.380001,34.5,33.830002,33.860001,26.013565,4254400
2012-06-19,34.060001,34.529999,33.73,33.860001,26.013565,4873500
2012-06-20,33.790001,34.849998,33.48,34.66,26.628181,4628400
2012-06-21,34.700001,34.759998,33.060001,33.48,25.721626,3489900
2012-06-22,33.650002,34.709999,33.029999,34.16,26.244055,4359500
2012-06-25,33.689999,33.689999,32.759998,32.869999,25.252983,3518600
2012-06-26,32.810001,33.98,32.400002,32.580002,25.03018,3274700
2012-06-27,32.610001,33.400002,31.42,31.889999,24.500076,3615600
2012-06-28,31.540001,32.400002,31.290001,32.310001,24.822758,3115900
2012-06-29,32.779999,33.380001,32.650002,33.240002,25.537243,4599500
2012-07-02,33.59,34.32,33.369999,34.0,26.121126,3868500
2012-07-03,34.02,34.630001,33.830002,34.240002,26.305511,3647400
2012-07-05,33.830002,34.240002,33.540001,33.799999,25.967466,2711300
2012-07-06,33.400002,33.68,32.919998,33.369999,25.63711,1907800
2012-07-09,33.080002,33.759998,32.650002,33.25,25.544924,2264600
2012-07-10,33.470001,33.470001,32.5,32.68,25.107008,2972900
2012-07-11,32.66,33.639999,32.349998,33.48,25.721626,2583000
2012-07-12,33.150002,33.189999,32.549999,33.009998,25.360533,3505600
2012-07-13,33.610001,35.080002,33.509998,34.939999,26.843292,4801300
2012-07-16,34.689999,36.119999,34.560001,36.099998,27.734491,4895700
2012-07-17,36.16,36.799999,35.860001,36.689999,28.187761,3604100
2012-07-18,36.650002,37.669998,36.59,37.099998,28.50275,2839200
2012-07-19,36.919998,37.0,35.5,35.599998,27.49859,3758600
2012-07-20,35.18,35.439999,34.91,35.32,27.282307,3290000
2012-07-23,34.790001,35.279999,34.5,35.02,27.050583,3245900
2012-07-24,35.25,35.419998,34.610001,35.23,27.212791,2351600
2012-07-25,35.599998,35.889999,34.869999,35.400002,27.34411,3551300
2012-07-26,35.759998,36.060001,35.59,35.959999,27.776669,2951300
2012-07-27,36.23,36.91,35.900002,36.52,28.209229,6158600
2012-07-30,36.860001,37.650002,36.830002,37.650002,29.082073,2830300
2012-07-31,37.740002,38.360001,37.509998,37.599998,29.043455,6958400
2012-08-01,39.080002,40.18,37.779999,38.27,29.560984,6639700
2012-08-02,37.939999,39.07,37.84,38.299999,29.584154,4434800
2012-08-03,38.599998,39.849998,38.599998,39.669998,30.642393,4516000
2012-08-06,39.939999,40.349998,39.77,40.07,30.951359,3405100
2012-08-07,40.389999,40.830002,39.59,39.77,30.719639,4636800
2012-08-08,39.599998,40.200001,39.459999,40.150002,31.013153,4002600
2012-08-09,39.900002,40.599998,39.880001,40.32,31.144468,2888200
2012-08-10,40.259998,40.43,39.75,40.0,30.897297,2107700
2012-08-13,39.860001,40.349998,39.77,40.150002,31.013153,2213500
2012-08-14,40.189999,40.450001,39.799999,39.93,30.843233,2533900
2012-08-15,40.540001,40.66,39.93,40.360001,31.175375,4009400
2012-08-16,40.529999,41.259998,40.369999,41.18,31.808771,3862100
2012-08-17,41.619999,42.93,41.470001,42.77,33.036926,5536300
2012-08-20,42.869999,43.450001,42.75,43.07,33.268665,3809500
2012-08-21,43.380001,43.380001,41.490002,41.549999,32.094566,4469400
2012-08-22,41.360001,41.529999,40.419998,41.48,32.040493,4384500
2012-08-23,41.48,41.630001,41.049999,41.330002,31.924623,1996300
2012-08-24,41.150002,41.540001,40.740002,41.360001,31.947803,2562300
2012-08-27,41.43,42.389999,40.970001,41.07,31.723803,3779200
2012-08-28,40.900002,42.470001,40.900002,41.959999,32.411266,3770300
2012-08-29,41.900002,42.389999,41.650002,41.98,32.426704,2674300
2012-08-30,41.790001,42.700001,41.619999,42.48,32.812943,2523800
2012-08-31,42.700001,43.0,41.099998,42.0,32.442165,5791200
2012-09-04,42.07,42.450001,41.48,42.41,32.758854,2620700
2012-09-05,42.490002,42.580002,41.43,41.740002,32.241329,2881800
2012-09-06,42.16,43.740002,42.16,43.419998,33.539013,4222200
2012-09-07,43.48,44.310001,43.360001,44.259998,34.187862,3458100
2012-09-10,43.93,44.849998,43.93,44.540001,34.404129,4417300
2012-09-11,44.639999,46.099998,44.459999,45.59,35.215195,6304700
2012-09-12,46.139999,47.41,46.040001,46.279999,35.748165,5269800
2012-09-13,46.299999,46.849998,45.369999,46.639999,36.026249,5292000
2012-09-14,47.16,48.220001,46.009998,46.73,36.095768,6718600
2012-09-17,46.169998,46.970001,46.0,46.139999,35.640022,4833400
2012-09-18,45.529999,45.779999,44.439999,45.52,35.161118,6108200
2012-09-19,45.529999,46.599998,45.509998,45.57,35.199749,3505400
2012-09-20,45.389999,46.310001,45.169998,45.779999,35.361965,3233500
2012-09-21,46.040001,47.09,46.040001,46.82,36.165287,5960500
2012-09-24,46.689999,46.919998,46.259998,46.740002,36.103493,2453800
2012-09-25,47.0,47.299999,45.959999,45.98,35.516445,2912200
2012-09-26,45.689999,46.330002,45.23,45.529999,35.168846,3626000
2012-09-27,45.799999,46.740002,45.68,46.529999,35.941273,3180100
2012-09-28,46.43,46.529999,46.02,46.369999,35.81768,3253700
2012-10-01,46.599998,47.02,46.259998,46.560001,35.964451,2785500
2012-10-02,46.68,46.959999,46.27,46.419998,35.8563,2911900
2012-10-03,46.27,46.41,45.0,45.16,34.883041,5392000
2012-10-04,45.59,45.66,45.080002,45.389999,35.060707,6196000
2012-10-05,45.869999,47.68,45.759998,46.02,35.547344,7658200
2012-10-08,45.959999,46.57,45.560001,45.93,35.477814,3414600
2012-10-09,46.16,46.75,46.060001,46.09,35.601398,3667800
2012-10-10,46.02,46.330002,44.689999,45.150002,34.875328,5564600
2012-10-11,45.380001,45.650002,44.57,44.599998,34.642307,4600600
2012-10-12,44.330002,44.619999,42.450001,43.919998,34.114128,6634300
2012-10-15,43.849998,44.43,43.41,44.380001,34.471405,2722000
2012-10-16,44.77,46.790001,44.599998,46.490002,36.110336,5742000
2012-10-17,46.549999,47.220001,46.310001,46.650002,36.2346,2842000
2012-10-18,46.619999,46.630001,45.389999,45.560001,35.387962,3402300
2012-10-19,45.529999,46.09,44.549999,44.639999,34.673374,3002400
2012-10-22,44.73,45.73,44.73,45.580002,35.403503,3421700
2012-10-23,44.91,45.080002,43.93,44.919998,34.890854,4079100
2012-10-24,45.0,45.650002,44.66,44.779999,34.782116,3478700
2012-10-25,45.139999,45.450001,44.549999,45.029999,34.976295,2903900
2012-10-26,45.57,47.619999,44.82,47.5,36.894829,6123800
2012-10-31,47.82,48.400002,46.639999,47.16,36.630737,4791200
2012-11-01,47.0,47.650002,46.389999,47.380001,36.801617,4291500
2012-11-02,48.009998,48.150002,46.07,46.209999,35.892845,2826000
2012-11-05,46.23,47.900002,46.23,47.759998,37.096786,3024100
2012-11-06,48.0,51.0,47.860001,50.040001,38.867737,8220800
2012-11-07,49.23,50.080002,48.75,49.459999,38.417229,6708500
2012-11-08,49.34,49.970001,48.939999,49.0,38.05994,3699100
2012-11-09,48.110001,48.560001,47.169998,47.41,36.824928,5424200
2012-11-12,47.43,48.110001,47.279999,47.349998,36.778316,2699200
2012-11-13,47.0,47.759998,46.560001,46.860001,36.39772,3129100
2012-11-14,47.169998,47.459999,45.709999,45.759998,35.543312,3542400
2012-11-15,45.529999,46.189999,44.939999,45.34,35.217083,3805000
2012-11-16,45.560001,45.919998,44.950001,45.77,35.551086,4591900
2012-11-19,46.400002,48.25,46.380001,48.119999,37.376408,4339700
2012-11-20,48.189999,49.07,47.869999,49.060001,38.106537,3492900
2012-11-21,49.32,49.650002,48.84,49.389999,38.362846,3805700
2012-11-23,49.580002,50.0,49.41,49.82,38.696854,1698700
2012-11-26,49.549999,49.98,49.07,49.560001,38.4949,2943300
2012-11-27,49.509998,50.419998,49.009998,50.060001,38.883266,4638900
2012-11-28,49.66,51.27,49.25,51.0,39.613396,5404800
2012-11-29,51.200001,51.66,50.830002,51.560001,40.048363,3951100
2012-11-30,51.68,52.529999,51.450001,52.369999,40.677505,5323100
2012-12-03,52.650002,52.759998,51.02,51.560001,40.048363,5670000
2012-12-04,51.48,52.240002,51.48,51.560001,40.048363,3726600
2012-12-05,51.450001,51.950001,50.27,50.689999,39.372604,3332400
2012-12-06,50.689999,51.209999,50.299999,50.970001,39.590088,3405700
2012-12-07,51.189999,52.75,51.060001,52.34,40.654205,4854900
