Date,Open,High,Low,Close,Adj Close,Volume
1998-02-12,7.333333,7.833333,7.333333,7.5,7.422421,3903750
1998-02-13,7.583333,7.666667,7.416667,7.5,7.422421,504000
1998-02-17,7.75,7.916667,7.75,7.833333,7.752306,132600
1998-02-18,7.916667,8.333333,7.875,8.333333,8.247134,140700
1998-02-19,8.416667,8.666667,8.166667,8.166667,8.082191,235050
1998-02-20,8.083333,8.166667,7.583333,7.791667,7.711071,204750
1998-02-23,7.833333,7.916667,7.625,7.916667,7.834778,60600
1998-02-24,7.875,7.916667,7.541667,7.666667,7.587364,261300
1998-02-25,7.75,7.75,7.5,7.666667,7.587364,129000
1998-02-26,7.583333,8.083333,7.583333,7.958333,7.876012,87000
1998-02-27,7.958333,8.0,7.833333,7.958333,7.876012,29100
1998-03-02,7.916667,8.0,7.916667,7.958333,7.876012,151050
1998-03-03,8.0,8.333333,7.916667,8.333333,8.247134,71850
1998-03-04,8.25,8.333333,7.916667,8.166667,8.082191,31050
1998-03-05,8.083333,8.083333,7.833333,8.041667,7.958485,51600
1998-03-06,8.041667,8.083333,7.916667,8.083333,7.999722,15000
1998-03-09,8.083333,8.25,7.916667,7.916667,7.834778,30600
1998-03-10,7.916667,8.083333,7.666667,7.916667,7.834778,208050
1998-03-11,7.916667,8.25,7.916667,7.958333,7.876012,77400
1998-03-12,8.0,8.333333,7.916667,8.291667,8.205897,100950
1998-03-13,8.416667,8.833333,8.416667,8.666667,8.57702,163950
1998-03-16,8.666667,8.666667,8.416667,8.5,8.412077,191700
1998-03-17,8.416667,8.416667,8.166667,8.166667,8.082191,31950
1998-03-18,8.166667,8.416667,8.166667,8.25,8.164662,26250
1998-03-19,8.416667,8.416667,8.25,8.416667,8.329605,112200
1998-03-20,8.333333,8.666667,8.333333,8.625,8.535784,29100
1998-03-23,9.166667,10.166667,9.0,10.0,9.896561,497850
1998-03-24,10.166667,10.333333,9.583333,9.666667,9.566674,100050
