Date,Open,High,Low,Close,Adj Close,Volume
1993-10-29,19.25,19.375,19.25,19.25,4.339152,1381000
1993-11-01,19.25,19.375,19.25,19.375,4.367331,136800
1993-11-02,19.25,19.375,18.625,18.75,4.226447,182600
1993-11-03,18.5,19.0,18.375,18.875,4.254623,146300
1993-11-04,18.75,18.875,18.75,18.75,4.226447,48300
1993-11-05,18.75,18.875,18.75,18.75,4.226447,13900
1993-11-08,18.75,18.875,18.75,18.875,4.254623,22800
1993-11-09,18.875,19.0,18.75,18.75,4.226447,10600
1993-11-10,18.875,19.0,18.875,18.875,4.254623,143900
1993-11-11,18.875,18.875,18.875,18.875,4.254623,29800
1993-11-12,18.875,19.0,18.875,19.0,4.2828,10500
1993-11-15,18.75,18.75,18.375,18.5,4.170094,181600
1993-11-16,18.375,18.5,18.375,18.375,4.14192,33400
1993-11-17,18.5,18.5,18.25,18.25,4.113743,73900
1993-11-18,18.25,18.25,17.625,17.625,3.972859,75900
1993-11-19,17.0,17.125,16.375,16.875,3.803802,126700
1993-11-22,16.625,16.875,16.5,16.875,3.803802,32100
1993-11-23,16.75,17.125,16.75,17.125,3.860155,20300
1993-11-24,16.875,17.125,16.875,16.875,3.803802,9800
1993-11-26,17.0,17.0,17.0,17.0,3.83198,2500
1993-11-29,17.125,17.125,16.875,17.125,3.860155,48100
1993-11-30,17.125,17.25,16.875,17.125,3.860155,38500
1993-12-01,17.125,17.125,17.0,17.0,3.83198,12700
1993-12-02,17.0,17.125,16.875,17.125,3.860155,14800
1993-12-03,17.125,17.625,17.125,17.5,3.944685,19600
1993-12-06,17.5,17.5,17.25,17.5,3.944685,6000
1993-12-07,17.5,17.5,17.0,17.25,3.888331,25100
1993-12-08,17.25,17.25,16.875,17.125,3.860155,8500
1993-12-09,17.25,17.25,16.625,16.875,3.803802,10600
1993-12-10,16.875,16.875,16.75,16.875,3.803802,9500
1993-12-13,16.625,16.625,16.375,16.5,3.719275,69000
1993-12-14,16.625,17.0,16.5,16.75,3.775626,18000
1993-12-15,16.625,16.875,16.5,16.625,3.747451,36100
1993-12-16,16.625,16.625,16.5,16.5,3.719275,7900
1993-12-17,16.5,16.625,16.375,16.5,3.719275,9600
1993-12-20,16.5,16.5,15.75,16.0,3.606569,58500
1993-12-21,15.75,16.25,15.75,16.125,3.634747,54400
1993-12-22,16.25,16.5,16.25,16.5,3.719275,21800
1993-12-23,16.75,16.75,16.5,16.625,3.747451,12200
1993-12-27,16.75,16.875,16.75,16.75,3.775626,35500
1993-12-28,16.875,16.875,16.75,16.75,3.775626,49500
1993-12-29,16.75,16.875,16.625,16.625,3.747451,23600
