Date,Open,High,Low,Close,Adj Close,Volume
1998-07-01,16.833332,17.125,16.625,17.0,11.41594,20818650
1998-07-02,17.041668,17.166668,17.0,17.125,11.499881,3037200
1998-07-06,17.125,17.333332,17.0,17.25,11.583821,1737750
1998-07-07,17.333332,17.333332,17.0,17.0,11.41594,1077000
1998-07-08,17.083332,17.166668,17.0,17.125,11.499881,1180500
1998-07-09,17.083332,17.291668,17.0,17.25,11.583821,1443900
1998-07-10,17.333332,17.625,17.208332,17.208332,11.555837,1117350
1998-07-13,17.166668,17.208332,17.0,17.166668,11.527861,790800
1998-07-14,17.166668,17.25,17.041668,17.041668,11.443923,1276350
1998-07-15,17.0,17.333332,17.0,17.333332,11.639782,863400
1998-07-16,17.166668,17.291668,17.0,17.125,11.499881,1084500
1998-07-17,17.0,17.416668,16.916668,17.333332,11.639782,1201650
1998-07-20,17.333332,18.25,17.333332,18.25,12.255348,995550
1998-07-21,18.25,18.291668,17.5,17.708332,11.891601,784650
1998-07-22,17.5,17.666668,16.958332,17.083332,11.471895,1497900
1998-07-23,17.166668,17.208332,16.5,17.0,11.41594,1248300
1998-07-24,17.166668,17.375,17.083332,17.333332,11.639782,1009800
1998-07-27,17.333332,17.541668,17.166668,17.25,11.583821,843600
1998-07-28,17.291668,17.375,16.666668,16.666668,11.192095,2081850
1998-07-29,16.666668,16.833332,16.333332,16.416668,11.024216,1331400
1998-07-30,16.541668,16.666668,16.333332,16.666668,11.192095,1982400
1998-07-31,16.666668,17.083332,16.583332,16.666668,11.192095,1093650
1998-08-03,16.666668,16.666668,16.208332,16.25,10.912295,1009050
1998-08-04,16.208332,16.208332,15.25,15.333333,10.29673,1245900
1998-08-05,15.166667,15.416667,14.625,14.625,9.821064,654150
1998-08-06,14.708333,14.791667,14.583333,14.583333,9.793084,589200
1998-08-07,14.666667,15.083333,14.583333,14.75,9.905003,1100250
1998-08-10,14.75,15.958333,14.666667,15.416667,10.352689,321750
1998-08-11,15.166667,15.166667,14.666667,14.666667,9.849046,334050
1998-08-12,15.166667,15.166667,14.625,14.666667,9.849046,513600
1998-08-13,14.666667,14.708333,14.5,14.5,9.737123,969000
1998-08-14,15.0,15.0,14.625,14.666667,9.849046,229350
1998-08-17,14.833333,14.916667,14.666667,14.666667,9.849046,319950
1998-08-18,14.666667,14.708333,14.583333,14.666667,9.849046,211950
1998-08-19,14.75,14.833333,14.625,14.625,9.821064,97800
1998-08-20,14.791667,14.916667,14.625,14.666667,9.849046,378750
1998-08-21,14.583333,14.583333,13.416667,13.666667,9.177521,514050
1998-08-24,13.75,14.0,13.75,13.791667,9.26146,274050
1998-08-25,13.958333,14.458333,13.833333,13.875,9.317427,280950
1998-08-26,13.833333,14.0,13.75,13.958333,9.373382,63600
1998-08-27,13.833333,13.833333,12.583333,12.583333,8.450036,367200
1998-08-28,12.666667,13.166667,11.166667,11.25,7.554667,671250
1998-08-31,11.5,11.833333,10.5,10.75,7.218904,2184900
1998-09-01,10.75,11.166667,10.583333,10.833333,7.274863,931500
1998-09-02,10.833333,10.916667,10.416667,10.583333,7.106981,238800
1998-09-03,10.541667,10.583333,9.0,10.583333,7.106981,2830200
1998-09-04,10.583333,10.791667,10.166667,10.583333,7.106981,182700
1998-09-08,11.0,11.333333,11.0,11.166667,7.498703,617100
1998-09-09,11.166667,11.166667,10.75,10.75,7.218904,258300
1998-09-10,10.666667,10.666667,9.833333,9.875,6.631318,134400
1998-09-11,9.875,10.166667,9.833333,9.958333,6.687279,492150
1998-09-14,10.333333,10.333333,9.958333,9.958333,6.687279,515850
1998-09-15,9.958333,10.0,9.166667,9.166667,6.155653,655950
1998-09-16,9.333333,9.833333,8.916667,9.666667,6.491419,1600200
1998-09-17,9.5,10.375,9.333333,10.125,6.799199,260100
1998-09-18,10.125,10.375,9.916667,10.166667,6.827178,454500
1998-09-21,9.833333,10.25,9.833333,10.208333,6.855159,898050
1998-09-22,10.375,12.166667,10.375,11.5,7.722545,436800
1998-09-23,12.166667,14.25,12.166667,13.291667,8.925698,828000
1998-09-24,13.333333,14.083333,13.0,13.0,8.729836,578100
1998-09-25,12.833333,13.583333,12.666667,13.125,8.813773,540150
1998-09-28,14.25,14.333333,13.25,13.25,8.897716,432000
1998-09-29,13.083333,13.166667,12.25,12.833333,8.617913,791100
1998-09-30,13.0,13.125,12.875,13.0,8.729836,294150
1998-10-01,12.833333,13.291667,12.75,13.25,8.897716,135300
