Date,Open,High,Low,Close,Adj Close,Volume
1992-06-01,1.8125,2.0625,1.8125,2.0625,1.567782,3012000
1992-06-02,2.0625,2.125,2.0,2.09375,1.591537,1220800
1992-06-03,2.125,2.4375,2.0625,2.4375,1.852834,1423200
1992-06-04,2.5625,2.5625,2.375,2.4375,1.852834,883200
1992-06-05,2.4375,2.4375,2.125,2.3125,1.757817,413600
1992-06-08,2.3125,2.3125,2.1875,2.3125,1.757817,307200
1992-06-09,2.3125,2.3125,1.9375,2.0,1.520273,175200
1992-06-10,2.0,2.1875,2.0,2.1875,1.662799,70400
1992-06-11,2.1875,2.1875,2.0625,2.1875,1.662799,120800
1992-06-12,2.25,2.3125,2.1875,2.3125,1.757817,151600
1992-06-15,2.3125,2.375,2.25,2.375,1.805325,238800
1992-06-16,2.375,2.375,2.21875,2.3125,1.757817,165200
1992-06-17,2.125,2.25,1.9375,2.0,1.520273,322800
1992-06-18,2.0625,2.125,1.9375,1.96875,1.49652,112000
1992-06-19,2.0625,2.125,2.0625,2.125,1.615291,26800
1992-06-22,2.125,2.125,1.9375,2.0,1.520273,94800
1992-06-23,2.125,2.125,2.0625,2.125,1.615291,63200
1992-06-24,2.125,2.125,2.0,2.0,1.520273,549600
1992-06-25,2.1875,2.1875,2.0625,2.125,1.615291,110800
1992-06-26,2.1875,2.1875,2.0625,2.1875,1.662799,20000
1992-06-29,2.1875,2.3125,2.125,2.3125,1.757817,59600
1992-06-30,2.3125,2.3125,2.21875,2.3125,1.757817,26800
1992-07-01,2.3125,2.4375,2.25,2.3125,1.757817,644800
1992-07-02,2.4375,2.4375,1.96875,2.0625,1.567782,1184400
1992-07-06,2.125,2.125,2.0,2.125,1.615291,66400
1992-07-07,2.125,2.125,1.9375,1.9375,1.472765,70000
1992-07-08,2.0,2.0,1.875,2.0,1.520273,523200
1992-07-09,2.0625,2.0625,2.0,2.0625,1.567782,15600
1992-07-10,2.0625,2.1875,2.0625,2.1875,1.662799,27200
1992-07-13,2.1875,2.1875,2.125,2.1875,1.662799,42000
1992-07-14,2.125,2.1875,2.0625,2.1875,1.662799,122000
1992-07-15,2.1875,2.375,2.125,2.1875,1.662799,91200
1992-07-16,2.375,2.375,2.1875,2.1875,1.662799,23600
1992-07-17,2.1875,2.375,2.1875,2.3125,1.757817,44000
1992-07-20,2.25,2.3125,2.1875,2.3125,1.757817,47200
