Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,1.618056,1.527778,1.527778,0.925557,66600
1980-03-18,0.0,1.534722,1.465278,1.527778,0.925557,106200
1980-03-19,0.0,1.548611,1.534722,1.534722,0.929763,10800
1980-03-20,0.0,1.541667,1.527778,1.527778,0.925557,12600
1980-03-21,0.0,1.375,1.284722,1.284722,0.778309,264600
1980-03-24,0.0,1.298611,1.194444,1.222222,0.740445,160200
1980-03-25,0.0,1.222222,1.159722,1.173611,0.710996,318600
1980-03-26,0.0,1.194444,1.131944,1.152778,0.698375,266400
1980-03-27,0.0,1.159722,1.020833,1.111111,0.673132,279000
1980-03-28,0.0,1.229167,1.138889,1.229167,0.744652,59400
1980-03-31,0.0,1.381944,1.270833,1.368056,0.828794,120600
1980-04-01,0.0,1.416667,1.347222,1.395833,0.845622,43200
1980-04-02,0.0,1.444444,1.416667,1.423611,0.862451,55800
1980-04-03,0.0,1.416667,1.361111,1.402778,0.849829,73800
1980-04-07,0.0,1.375,1.319444,1.319444,0.799344,41400
1980-04-08,0.0,1.361111,1.319444,1.361111,0.824587,27000
1980-04-09,0.0,1.402778,1.375,1.381944,0.837207,30600
1980-04-10,0.0,1.375,1.375,1.375,0.833001,7200
1980-04-11,0.0,1.381944,1.354167,1.354167,0.82038,41400
1980-04-14,0.0,1.368056,1.305556,1.326389,0.803551,66600
1980-04-15,0.0,1.340278,1.305556,1.319444,0.799344,34200
1980-04-16,0.0,1.347222,1.298611,1.298611,0.786723,59400
1980-04-17,0.0,1.291667,1.256944,1.256944,0.76148,32400
1980-04-18,0.0,1.256944,1.243056,1.243056,0.753067,5400
1980-04-21,0.0,1.222222,1.166667,1.166667,0.706789,39600
1980-04-22,0.0,1.277778,1.180556,1.277778,0.774102,108000
1980-04-23,0.0,1.284722,1.25,1.25,0.757273,52200
1980-04-24,0.0,1.3125,1.263889,1.3125,0.795137,70200
1980-04-25,0.0,1.298611,1.263889,1.277778,0.774102,63000
1980-04-28,0.0,1.326389,1.277778,1.3125,0.795137,57600
1980-04-29,0.0,1.368056,1.326389,1.347222,0.816172,48600
1980-04-30,0.0,1.375,1.340278,1.361111,0.824587,59400
1980-05-01,0.0,1.375,1.340278,1.340278,0.811965,16200
1980-05-02,0.0,1.333333,1.3125,1.326389,0.803551,16200
1980-05-05,0.0,1.3125,1.291667,1.298611,0.786723,25200
1980-05-06,0.0,1.284722,1.277778,1.284722,0.778309,23400
1980-05-07,0.0,1.291667,1.270833,1.284722,0.778309,36000
1980-05-08,0.0,1.270833,1.236111,1.236111,0.74886,18000
1980-05-09,0.0,1.236111,1.229167,1.236111,0.74886,7200
1980-05-12,0.0,1.236111,1.222222,1.222222,0.740445,23400
1980-05-13,0.0,1.243056,1.229167,1.243056,0.753067,25200
1980-05-14,0.0,1.277778,1.256944,1.256944,0.76148,93600
1980-05-15,0.0,1.243056,1.222222,1.236111,0.74886,34200
1980-05-16,0.0,1.243056,1.236111,1.243056,0.753067,28800
1980-05-19,0.0,1.222222,1.111111,1.201389,0.727824,543600
1980-05-20,0.0,1.215278,1.1875,1.215278,0.736238,50400
1980-05-21,0.0,1.243056,1.208333,1.229167,0.744652,41400
1980-05-22,0.0,1.277778,1.222222,1.277778,0.774102,99000
1980-05-23,0.0,1.291667,1.277778,1.277778,0.774102,55800
1980-05-27,0.0,1.361111,1.291667,1.361111,0.824587,120600
1980-05-28,0.0,1.458333,1.361111,1.458333,0.883486,108000
1980-05-29,0.0,1.493056,1.423611,1.430556,0.866658,120600
1980-05-30,0.0,1.430556,1.409722,1.416667,0.858244,93600
1980-06-02,0.0,1.402778,1.361111,1.381944,0.837207,81000
1980-06-03,0.0,1.381944,1.340278,1.368056,0.828794,72000
1980-06-04,0.0,1.388889,1.361111,1.388889,0.841415,34200
1980-06-05,0.0,1.423611,1.402778,1.402778,0.849829,25200
1980-06-06,0.0,1.430556,1.395833,1.416667,0.858244,61200
1980-06-09,0.0,1.430556,1.402778,1.402778,0.849829,50400
1980-06-10,0.0,1.416667,1.395833,1.395833,0.845622,117000
1980-06-11,0.0,1.409722,1.409722,1.409722,0.854036,34200
1980-06-12,0.0,1.423611,1.409722,1.409722,0.854036,28800
1980-06-13,0.0,1.416667,1.395833,1.416667,0.858244,50400
1980-06-16,0.0,1.430556,1.395833,1.430556,0.866658,34200
1980-06-17,0.0,1.423611,1.395833,1.395833,0.845622,32400
1980-06-18,0.0,1.395833,1.375,1.381944,0.837207,34200
1980-06-19,0.0,1.381944,1.361111,1.375,0.833001,28800
1980-06-20,0.0,1.375,1.354167,1.354167,0.82038,27000
1980-06-23,0.0,1.361111,1.340278,1.354167,0.82038,19800
1980-06-24,0.0,1.368056,1.340278,1.354167,0.82038,19800
1980-06-25,0.0,1.388889,1.361111,1.381944,0.837207,46800
1980-06-26,0.0,1.395833,1.347222,1.347222,0.816172,21600
1980-06-27,0.0,1.375,1.361111,1.375,0.833001,32400
1980-06-30,0.0,1.375,1.347222,1.368056,0.828794,32400
1980-07-01,0.0,1.375,1.375,1.375,0.833001,3600
1980-07-02,0.0,1.381944,1.347222,1.361111,0.824587,59400
1980-07-03,0.0,1.416667,1.375,1.402778,0.849829,28800
1980-07-07,0.0,1.423611,1.402778,1.409722,0.854036,43200
1980-07-08,0.0,1.402778,1.381944,1.395833,0.845622,46800
1980-07-09,0.0,1.416667,1.388889,1.388889,0.841415,41400
1980-07-10,0.0,1.388889,1.347222,1.361111,0.824587,61200
1980-07-11,0.0,1.375,1.347222,1.368056,0.828794,181800
1980-07-14,0.0,1.493056,1.388889,1.493056,0.904521,214200
