Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.0,8.71875,8.71875,8.71875,3.291649,53200
1975-11-18,0.0,8.96875,8.96875,8.96875,3.386036,106800
1975-11-19,0.0,8.5625,8.5625,8.5625,3.23266,170400
1975-11-20,0.0,8.4375,8.4375,8.4375,3.185467,61200
1975-11-21,0.0,8.4375,8.4375,8.4375,3.185467,64000
1975-11-24,0.0,8.40625,8.40625,8.40625,3.173671,88400
1975-11-25,0.0,8.375,8.375,8.375,3.161873,75200
1975-11-26,0.0,8.4375,8.4375,8.4375,3.185467,89200
1975-11-28,0.0,8.5,8.5,8.5,3.209065,95600
1975-12-01,0.0,8.25,8.25,8.25,3.11468,102400
1975-12-02,0.0,7.875,7.875,7.875,2.973106,78400
1975-12-03,0.0,7.5,7.5,7.5,2.831528,86400
1975-12-04,0.0,7.5,7.5,7.5,2.831528,48800
1975-12-05,0.0,7.4375,7.4375,7.4375,2.807932,62800
1975-12-08,0.0,7.4375,7.4375,7.4375,2.807932,87600
1975-12-09,0.0,7.4375,7.4375,7.4375,2.807932,158800
1975-12-10,0.0,7.46875,7.46875,7.46875,2.81973,99600
1975-12-11,0.0,7.5,7.5,7.5,2.831528,62400
1975-12-12,0.0,7.875,7.875,7.875,2.973106,116400
1975-12-15,0.0,7.84375,7.84375,7.84375,2.961307,170800
1975-12-16,0.0,7.96875,7.96875,7.96875,3.008498,110400
1975-12-17,0.0,8.03125,8.03125,8.03125,3.032095,92800
1975-12-18,0.0,8.0625,8.0625,8.0625,3.043892,81200
1975-12-19,0.0,8.0,8.0,8.0,3.020298,130800
1975-12-22,0.0,8.0,8.0,8.0,3.020298,67200
1975-12-23,0.0,8.03125,8.03125,8.03125,3.032095,59600
1975-12-24,0.0,7.8125,7.8125,7.8125,2.949508,135200
1975-12-26,0.0,7.84375,7.84375,7.84375,2.961307,46800
1975-12-29,0.0,7.75,7.75,7.75,2.925911,52800
1975-12-30,0.0,7.71875,7.71875,7.71875,2.914116,54000
1975-12-31,0.0,7.71875,7.71875,7.71875,2.914116,34800
1976-01-02,0.0,7.875,7.875,7.875,2.973106,71600
1976-01-05,0.0,7.96875,7.96875,7.96875,3.008498,104400
1976-01-06,0.0,8.3125,8.3125,8.3125,3.138276,132800
1976-01-07,0.0,8.125,8.125,8.125,3.067488,120000
1976-01-08,0.0,8.125,8.125,8.125,3.067488,85200
1976-01-09,0.0,8.125,8.125,8.125,3.067488,59600
1976-01-12,0.0,8.125,8.125,8.125,3.067488,48800
1976-01-13,0.0,8.03125,8.03125,8.03125,3.032095,112400
1976-01-14,0.0,8.125,8.125,8.125,3.067488,90000
1976-01-15,0.0,8.0,8.0,8.0,3.020298,174000
1976-01-16,0.0,8.0,8.0,8.0,3.020298,14400
1976-01-19,0.0,8.03125,8.03125,8.03125,3.032095,56000
1976-01-20,0.0,8.0625,8.0625,8.0625,3.043892,59200
1976-01-21,0.0,8.0,8.0,8.0,3.020298,62000
1976-01-22,0.0,7.9375,7.9375,7.9375,2.996701,52800
1976-01-23,0.0,7.875,7.875,7.875,2.973106,42800
1976-01-26,0.0,7.53125,7.53125,7.53125,2.843327,84400
1976-01-27,0.0,7.5,7.5,7.5,2.831528,272000
1976-01-28,0.0,7.6875,7.6875,7.6875,2.902317,212000
1976-01-29,0.0,8.3125,8.1875,8.1875,3.091084,158400
1976-01-30,0.0,8.125,8.0,8.0,3.020298,304400
1976-02-02,0.0,8.25,8.125,8.125,3.067488,73600
1976-02-03,0.0,8.28125,8.15625,8.15625,3.079287,66800
