<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,0.4375,0.4375,0.4375,0.4375,0.388281,48000
1994-02-18,1.421875,1.4375,1.3125,1.421875,1.261913,39870400
1994-02-22,1.40625,1.4375,1.359375,1.421875,1.261913,9164800
1994-02-23,1.390625,1.421875,1.359375,1.375,1.220311,5124800
1994-02-24,1.375,1.375,1.3125,1.3125,1.164843,2246400
1994-02-25,1.359375,1.375,1.3125,1.359375,1.206445,2414400
1994-02-28,1.34375,1.375,1.34375,1.34375,1.192577,1006400
1994-03-01,1.375,1.375,1.34375,1.359375,1.206445,952000
1994-03-02,1.359375,1.359375,1.3125,1.34375,1.192577,2105600
1994-03-03,1.359375,1.359375,1.328125,1.359375,1.206445,680000
1994-03-04,1.328125,1.484375,1.328125,1.484375,1.317382,1984000
1994-03-07,1.484375,1.53125,1.46875,1.515625,1.345116,1929600
1994-03-08,1.515625,1.515625,1.46875,1.5,1.331249,1313600
1994-03-09,1.46875,1.515625,1.46875,1.515625,1.345116,2572800
1994-03-10,1.46875,1.515625,1.453125,1.453125,1.289648,2112000
1994-03-11,1.453125,1.484375,1.4375,1.484375,1.317382,260800
1994-03-14,1.484375,1.484375,1.4375,1.476563,1.310449,81600
1994-03-15,1.484375,1.484375,1.390625,1.390625,1.234179,1931200
1994-03-16,1.390625,1.4375,1.390625,1.421875,1.261913,211200
1994-03-17,1.4375,1.46875,1.40625,1.46875,1.303515,528000
1994-03-18,1.46875,1.515625,1.453125,1.484375,1.317382,1096000
1994-03-21,1.484375,1.546875,1.484375,1.546875,1.372851,920000
1994-03-22,1.53125,1.578125,1.53125,1.5625,1.386718,1142400
1994-03-23,1.53125,1.578125,1.53125,1.578125,1.400586,635200
1994-03-24,1.578125,1.578125,1.5,1.546875,1.372851,2140800
1994-03-25,1.484375,1.484375,1.484375,1.484375,1.317382,11200
1994-03-28,1.484375,1.53125,1.453125,1.453125,1.289648,1056000
1994-03-29,1.4375,1.46875,1.4375,1.4375,1.275781,182400
1994-03-30,1.4375,1.46875,1.421875,1.46875,1.303515,387200
1994-03-31,1.40625,1.4375,1.359375,1.4375,1.275781,1528000
1994-04-04,1.421875,1.4375,1.375,1.375,1.220311,2270400
1994-04-05,1.421875,1.46875,1.40625,1.453125,1.289648,872000
1994-04-06,1.46875,1.46875,1.46875,1.46875,1.303515,8000
1994-04-07,1.421875,1.46875,1.421875,1.46875,1.303515,166400
1994-04-08,1.421875,1.421875,1.421875,1.421875,1.261913,3200
1994-04-11,1.4375,1.46875,1.421875,1.46875,1.303515,230400
1994-04-12,1.445313,1.445313,1.4375,1.4375,1.275781,76800
1994-04-13,1.4375,1.445313,1.421875,1.421875,1.261913,219200
1994-04-14,1.453125,1.453125,1.40625,1.453125,1.289648,145600
1994-04-15,1.421875,1.453125,1.421875,1.453125,1.289648,16000
1994-04-18,1.453125,1.5,1.421875,1.421875,1.261913,784000
1994-04-19,1.453125,1.453125,1.40625,1.40625,1.248046,89600
1994-04-20,1.4375,1.4375,1.4375,1.4375,1.275781,80000
1994-04-21,1.453125,1.453125,1.40625,1.453125,1.289648,17600
1994-04-22,1.40625,1.453125,1.375,1.421875,1.261913,182400
1994-04-25,1.421875,1.421875,1.375,1.375,1.220311,200000
1994-04-26,1.359375,1.375,1.359375,1.367188,1.213379,1544000
1994-04-28,1.359375,1.4375,1.359375,1.40625,1.248046,388800
1994-04-29,1.4375,1.515625,1.4375,1.515625,1.345116,2176000
1994-05-02,1.515625,1.515625,1.453125,1.515625,1.345116,4124800
