Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,16.5,15.9375,16.0,5.543562,69200
1973-02-22,0.0,16.0,15.8125,15.8125,5.478601,79600
1973-02-23,0.0,15.9375,15.0625,15.25,5.283707,158000
1973-02-26,0.0,15.25,15.0,15.25,5.283707,50200
1973-02-27,0.0,15.375,14.875,14.875,5.153782,17800
1973-02-28,0.0,15.375,15.0,15.125,5.240398,103800
1973-03-01,0.0,15.25,15.0,15.1875,5.262053,81000
1973-03-02,0.0,15.1875,14.875,15.1875,5.262053,16600
1973-03-05,0.0,15.4375,15.125,15.25,5.283707,10200
1973-03-06,0.0,16.125,15.375,15.875,5.500255,47000
1973-03-07,0.0,16.1875,15.625,16.1875,5.608526,43200
1973-03-08,0.0,16.3125,16.125,16.3125,5.651835,12600
1973-03-09,0.0,16.3125,16.1875,16.1875,5.608526,10800
1973-03-12,0.0,16.3125,16.0,16.3125,5.651835,8400
1973-03-13,0.0,16.6875,16.375,16.6875,5.781764,18600
1973-03-14,0.0,17.0,16.8125,17.0,5.890035,43400
1973-03-15,0.0,17.0,16.6875,16.8125,5.825074,11800
1973-03-16,0.0,16.75,16.1875,16.375,5.673489,69200
1973-03-19,0.0,16.25,15.625,15.625,5.41364,8200
1973-03-20,0.0,15.5,15.125,15.5,5.370329,76400
1973-03-21,0.0,15.625,15.25,15.25,5.283707,11000
1973-03-22,0.0,15.375,15.125,15.125,5.240398,13400
1973-03-23,0.0,15.1875,15.0,15.0625,5.218745,30400
1973-03-26,0.0,15.1875,15.0,15.1875,5.262053,26400
1973-03-27,0.0,16.375,15.25,16.125,5.586871,30200
1973-03-28,0.0,16.5,16.0,16.5,5.716799,33800
1973-03-29,0.0,16.5,16.3125,16.3125,5.651835,38800
1973-03-30,0.0,16.0625,15.75,15.8125,5.478601,24400
1973-04-02,0.0,15.5,15.4375,15.4375,5.348673,20800
1973-04-03,0.0,15.375,15.0,15.0625,5.218745,33200
1973-04-04,0.0,15.125,14.75,15.0,5.197088,16800
1973-04-05,0.0,15.0625,14.625,15.0,5.197088,27200
1973-04-06,0.0,15.5,14.75,15.0,5.197088,29600
1973-04-09,0.0,15.0625,14.875,14.875,5.153782,46200
1973-04-10,0.0,15.375,15.0,15.25,5.283707,34600
1973-04-11,0.0,15.75,15.375,15.75,5.456943,18200
1973-04-12,0.0,16.5,15.8125,16.125,5.586871,20200
1973-04-13,0.0,16.625,16.0,16.5625,5.738456,14800
1973-04-16,0.0,16.6875,16.125,16.125,5.586871,18200
