Date,Open,High,Low,Close,Adj Close,Volume
1988-06-22,0.0,4.75,4.625,4.625,2.786269,18200
1988-06-23,0.0,4.5,4.25,4.25,2.560355,51100
1988-06-24,0.0,4.375,4.375,4.375,2.635659,11800
1988-06-27,0.0,4.375,4.25,4.25,2.560355,13200
1988-06-28,0.0,4.25,4.0,4.0,2.409746,16200
1988-06-29,0.0,4.25,4.125,4.125,2.48505,8900
1988-06-30,0.0,4.5,4.375,4.375,2.635659,47300
1988-07-01,0.0,4.875,4.75,4.75,2.861573,29100
1988-07-05,0.0,4.875,4.625,4.625,2.786269,14000
1988-07-06,0.0,4.625,4.5,4.5,2.710964,20000
1988-07-07,0.0,4.625,4.5,4.5,2.710964,6900
1988-07-08,0.0,4.5,4.375,4.375,2.635659,9300
1988-07-11,0.0,4.5,4.375,4.375,2.635659,31400
1988-07-12,0.0,4.625,4.375,4.375,2.635659,3600
1988-07-13,0.0,4.625,4.5,4.5,2.710964,2800
1988-07-14,0.0,4.625,4.375,4.375,2.635659,26400
1988-07-15,0.0,4.625,4.375,4.375,2.635659,13000
1988-07-18,0.0,4.5,4.25,4.25,2.560355,10500
1988-07-19,0.0,4.375,4.125,4.125,2.48505,7500
1988-07-20,0.0,4.125,3.875,3.875,2.334441,31400
1988-07-21,0.0,4.125,4.0,4.0,2.409746,13200
1988-07-22,0.0,4.125,3.875,3.875,2.334441,21100
1988-07-25,0.0,4.125,3.875,3.875,2.334441,2000
1988-07-26,0.0,4.0,3.875,3.875,2.334441,26900
1988-07-27,0.0,4.0,3.875,3.875,2.334441,1900
1988-07-28,0.0,4.0,3.875,3.875,2.334441,10300
1988-07-29,0.0,4.0,3.875,3.875,2.334441,14200
1988-08-01,0.0,4.125,4.0,4.0,2.409746,19700
1988-08-02,0.0,4.125,3.875,3.875,2.334441,17500
1988-08-03,0.0,4.0,3.75,3.75,2.259137,33600
1988-08-04,0.0,3.875,3.625,3.625,2.183832,1300
1988-08-05,0.0,3.875,3.75,3.75,2.259137,2900
1988-08-08,0.0,3.875,3.75,3.75,2.259137,9400
1988-08-09,0.0,3.625,3.5,3.5,2.108528,26000
1988-08-10,0.0,3.375,3.25,3.25,1.957918,41100
1988-08-11,0.0,3.5,3.375,3.375,2.033223,8900
1988-08-12,0.0,3.5,3.375,3.375,2.033223,2000
1988-08-15,0.0,3.375,3.25,3.25,1.957918,12500
1988-08-16,0.0,3.375,3.125,3.125,1.882614,13700
1988-08-17,0.0,2.875,2.75,2.75,1.6567,43200
1988-08-18,0.0,2.875,2.75,2.75,1.6567,15500
1988-08-19,0.0,2.875,2.75,2.75,1.6567,13400
1988-08-22,0.0,2.75,2.625,2.625,1.581395,12400
1988-08-23,0.0,2.875,2.75,2.75,1.6567,21500
1988-08-24,0.0,2.75,2.625,2.625,1.581395,5500
1988-08-25,0.0,2.75,2.625,2.625,1.581395,800
1988-08-26,0.0,2.875,2.875,2.875,1.732005,14500
1988-08-29,0.0,2.875,2.75,2.75,1.6567,3900
1988-08-30,0.0,2.875,2.75,2.75,1.6567,1000
1988-08-31,0.0,2.875,2.75,2.75,1.6567,6200
1988-09-01,2.75,2.75,2.75,2.75,1.6567,0
1988-09-02,0.0,2.875,2.75,2.75,1.6567,400
1988-09-06,0.0,2.875,2.75,2.75,1.6567,7300
1988-09-07,0.0,2.5,2.375,2.375,1.430787,16400
1988-09-08,0.0,3.0,2.875,2.875,1.732005,102000
1988-09-09,0.0,3.25,3.25,3.25,1.957918,143900
1988-09-12,0.0,3.25,3.125,3.125,1.882614,10300
1988-09-13,0.0,3.0,2.875,2.875,1.732005,15500
1988-09-14,0.0,3.125,3.0,3.0,1.80731,18700
1988-09-15,0.0,3.0,3.0,3.0,1.80731,11100
1988-09-16,0.0,3.125,3.125,3.125,1.882614,11500
1988-09-19,0.0,3.125,3.0,3.0,1.80731,13100
1988-09-20,0.0,3.125,3.0,3.0,1.80731,7000
1988-09-21,0.0,3.125,3.0,3.0,1.80731,6700
1988-09-22,0.0,3.0,2.875,2.875,1.732005,9900
1988-09-23,0.0,3.0,2.875,2.875,1.732005,5900
1988-09-26,0.0,3.0,2.875,2.875,1.732005,2300
1988-09-27,0.0,3.0,2.75,2.75,1.6567,12400
1988-09-28,0.0,3.0,2.75,2.75,1.6567,2500
1988-09-29,0.0,2.875,2.75,2.75,1.6567,5600
1988-09-30,0.0,2.75,2.625,2.625,1.581395,17600
1988-10-03,0.0,2.75,2.5,2.5,1.506091,15500
1988-10-04,0.0,2.75,2.625,2.625,1.581395,2900
1988-10-05,0.0,2.75,2.5,2.5,1.506091,8600
1988-10-06,0.0,2.625,2.625,2.625,1.581395,19800
1988-10-07,0.0,2.625,2.5,2.5,1.506091,19100
1988-10-10,0.0,2.5,2.375,2.375,1.430787,25600
1988-10-11,0.0,2.5,2.375,2.375,1.430787,69700
1988-10-12,0.0,2.5,2.375,2.375,1.430787,7100
1988-10-13,0.0,2.375,2.25,2.25,1.355482,22500
1988-10-14,0.0,2.5,2.375,2.375,1.430787,12700
1988-10-17,0.0,2.375,2.25,2.25,1.355482,17200
1988-10-18,0.0,2.375,2.25,2.25,1.355482,7100
1988-10-19,0.0,2.25,2.25,2.25,1.355482,11100
1988-10-20,0.0,2.5,2.375,2.375,1.430787,13000
1988-10-21,0.0,2.375,2.375,2.375,1.430787,11400
1988-10-24,0.0,2.375,2.25,2.25,1.355482,18300
1988-10-25,0.0,2.375,2.25,2.25,1.355482,28700
1988-10-26,0.0,2.375,2.25,2.25,1.355482,5800
1988-10-27,0.0,2.375,2.25,2.25,1.355482,11200
1988-10-28,0.0,2.375,2.375,2.375,1.430787,26800
1988-10-31,0.0,2.75,2.625,2.625,1.581395,50000
1988-11-01,0.0,3.125,3.0,3.0,1.80731,69000
1988-11-02,0.0,3.125,3.0,3.0,1.80731,47500
1988-11-03,0.0,3.375,3.25,3.25,1.957918,39400
1988-11-04,0.0,3.375,3.25,3.25,1.957918,32000
1988-11-07,0.0,3.125,3.125,3.125,1.882614,33800
1988-11-08,0.0,3.0,3.0,3.0,1.80731,23500
1988-11-09,0.0,3.0,2.875,2.875,1.732005,36000
1988-11-10,0.0,2.875,2.75,2.75,1.6567,19200
1988-11-11,0.0,2.75,2.625,2.625,1.581395,44400
1988-11-14,0.0,2.75,2.625,2.625,1.581395,14600
1988-11-15,0.0,2.75,2.625,2.625,1.581395,31000
1988-11-16,0.0,2.875,2.75,2.75,1.6567,31400
1988-11-17,0.0,2.75,2.75,2.75,1.6567,19100
1988-11-18,0.0,2.75,2.625,2.625,1.581395,10800
1988-11-21,0.0,2.625,2.625,2.625,1.581395,13100
1988-11-22,2.625,2.625,2.625,2.625,1.581395,0
1988-11-23,0.0,2.625,2.625,2.625,1.581395,2000
1988-11-25,0.0,2.625,2.625,2.625,1.581395,500
1988-11-28,2.625,2.625,2.625,2.625,1.581395,0
1988-11-29,0.0,2.625,2.5,2.5,1.506091,5900
1988-11-30,0.0,2.625,2.625,2.625,1.581395,15200
1988-12-01,0.0,2.625,2.625,2.625,1.581395,16600
1988-12-02,0.0,2.625,2.5,2.5,1.506091,3600
1988-12-05,2.5,2.5,2.5,2.5,1.506091,0
1988-12-06,2.5,2.5,2.5,2.5,1.506091,0
1988-12-07,0.0,2.625,2.5,2.5,1.506091,3600
1988-12-08,0.0,2.625,2.5,2.5,1.506091,3400
1988-12-09,0.0,2.625,2.375,2.375,1.430787,9300
1988-12-12,0.0,2.5,2.375,2.375,1.430787,600
1988-12-13,0.0,2.5,2.375,2.375,1.430787,3300
1988-12-14,0.0,2.375,2.25,2.25,1.355482,13500
1988-12-15,0.0,2.375,2.25,2.25,1.355482,9700
1988-12-16,0.0,2.375,2.375,2.375,1.430787,14400
1988-12-19,0.0,2.375,2.25,2.25,1.355482,7600
1988-12-20,0.0,2.375,2.25,2.25,1.355482,9800
1988-12-21,0.0,2.375,2.25,2.25,1.355482,9100
1988-12-22,0.0,2.375,2.25,2.25,1.355482,9000
1988-12-23,0.0,2.5,2.375,2.375,1.430787,8800
1988-12-27,0.0,2.5,2.375,2.375,1.430787,7600
1988-12-28,0.0,2.5,2.5,2.5,1.506091,12100
1988-12-29,0.0,2.625,2.5,2.5,1.506091,22000
1988-12-30,0.0,2.5,2.375,2.375,1.430787,12300
1989-01-03,0.0,2.5,2.375,2.375,1.430787,600
1989-01-04,0.0,2.5,2.375,2.375,1.430787,10700
1989-01-05,0.0,2.625,2.5,2.5,1.506091,7300
1989-01-06,0.0,2.625,2.5,2.5,1.506091,9500
1989-01-09,0.0,2.625,2.5,2.5,1.506091,5500
1989-01-10,0.0,2.875,2.75,2.75,1.6567,46500
1989-01-11,0.0,3.25,3.125,3.125,1.882614,44900
1989-01-12,0.0,3.25,3.125,3.125,1.882614,37000
1989-01-13,0.0,3.125,3.0,3.0,1.80731,24200
1989-01-16,0.0,3.0,3.0,3.0,1.80731,14000
1989-01-17,0.0,3.0,2.875,2.875,1.732005,13300
1989-01-18,0.0,3.0,2.875,2.875,1.732005,6000
1989-01-19,0.0,3.0,2.875,2.875,1.732005,7500
1989-01-20,0.0,3.125,3.0,3.0,1.80731,6700
1989-01-23,0.0,3.125,3.0,3.0,1.80731,4400
1989-01-24,0.0,3.0,3.0,3.0,1.80731,500
1989-01-25,0.0,3.0,2.875,2.875,1.732005,3400
1989-01-26,0.0,3.0,3.0,3.0,1.80731,11300
1989-01-27,0.0,3.125,3.0,3.0,1.80731,8200
1989-01-30,0.0,3.25,3.0,3.0,1.80731,42900
1989-01-31,0.0,3.125,3.0,3.0,1.80731,6500
1989-02-01,0.0,3.25,3.125,3.125,1.882614,7700
1989-02-02,0.0,3.25,3.125,3.125,1.882614,5200
1989-02-03,0.0,3.25,3.125,3.125,1.882614,10100
1989-02-06,0.0,3.25,3.125,3.125,1.882614,1200
1989-02-07,0.0,3.125,3.125,3.125,1.882614,17700
1989-02-08,0.0,3.125,3.0,3.0,1.80731,16400
1989-02-09,0.0,3.125,2.875,2.875,1.732005,12900
1989-02-10,0.0,2.875,2.75,2.75,1.6567,15000
1989-02-13,0.0,2.625,2.625,2.625,1.581395,20400
1989-02-14,0.0,2.625,2.625,2.625,1.581395,26500
1989-02-15,0.0,2.625,2.625,2.625,1.581395,600
1989-02-16,0.0,2.625,2.625,2.625,1.581395,4000
1989-02-17,0.0,2.625,2.625,2.625,1.581395,100
1989-02-21,0.0,2.625,2.625,2.625,1.581395,7200
1989-02-22,0.0,2.625,2.625,2.625,1.581395,6200
1989-02-23,0.0,2.625,2.625,2.625,1.581395,3000
1989-02-24,0.0,2.625,2.5,2.5,1.506091,2200
1989-02-27,0.0,2.5,2.375,2.375,1.430787,12700
1989-02-28,0.0,2.375,2.375,2.375,1.430787,15400
1989-03-01,0.0,2.375,2.375,2.375,1.430787,8300
1989-03-02,0.0,2.375,2.375,2.375,1.430787,5300
1989-03-03,0.0,2.625,2.5,2.5,1.506091,19100
1989-03-06,0.0,2.625,2.5,2.5,1.506091,1300
1989-03-07,0.0,2.5,2.375,2.375,1.430787,11600
1989-03-08,0.0,2.5,2.375,2.375,1.430787,11800
1989-03-09,0.0,2.5,2.375,2.375,1.430787,600
1989-03-10,0.0,2.5,2.375,2.375,1.430787,9000
1989-03-13,0.0,2.375,2.375,2.375,1.430787,6700
1989-03-14,0.0,2.375,2.25,2.25,1.355482,11100
1989-03-15,0.0,2.375,2.25,2.25,1.355482,2800
1989-03-16,0.0,2.5,2.5,2.5,1.506091,19000
1989-03-17,0.0,2.625,2.5,2.5,1.506091,8700
1989-03-20,0.0,2.5,2.375,2.375,1.430787,12400
1989-03-21,0.0,2.625,2.5,2.5,1.506091,22000
1989-03-22,0.0,2.875,2.625,2.625,1.581395,27700
1989-03-23,0.0,3.125,3.125,3.125,1.882614,47000
1989-03-27,0.0,3.125,3.125,3.125,1.882614,39100
1989-03-28,0.0,3.0,2.875,2.875,1.732005,9900
1989-03-29,0.0,3.0,2.875,2.875,1.732005,6700
1989-03-30,0.0,3.0,2.875,2.875,1.732005,16500
1989-03-31,0.0,3.0,2.875,2.875,1.732005,12000
1989-04-03,0.0,3.0,2.875,2.875,1.732005,2000
1989-04-04,0.0,3.0,2.875,2.875,1.732005,5900
1989-04-05,0.0,2.875,2.75,2.75,1.6567,4700
1989-04-06,0.0,2.875,2.75,2.75,1.6567,8000
1989-04-07,0.0,2.875,2.625,2.625,1.581395,3200
1989-04-10,2.625,2.625,2.625,2.625,1.581395,0
1989-04-11,0.0,3.0,2.75,2.75,1.6567,10800
1989-04-12,0.0,3.0,2.75,2.75,1.6567,4500
1989-04-13,0.0,3.125,3.0,3.0,1.80731,27200
1989-04-14,0.0,3.125,3.0,3.0,1.80731,22100
1989-04-17,0.0,3.0,2.875,2.875,1.732005,14000
1989-04-18,0.0,3.0,2.875,2.875,1.732005,6500
1989-04-19,0.0,3.0,2.875,2.875,1.732005,8600
1989-04-20,0.0,3.0,2.875,2.875,1.732005,11500
1989-04-21,0.0,3.0,2.875,2.875,1.732005,7700
1989-04-24,0.0,3.0,2.75,2.75,1.6567,8300
1989-04-25,0.0,2.875,2.75,2.75,1.6567,7400
1989-04-26,0.0,2.75,2.625,2.625,1.581395,11700
1989-04-27,0.0,2.75,2.625,2.625,1.581395,2400
1989-04-28,0.0,2.75,2.625,2.625,1.581395,11100
1989-05-01,0.0,2.625,2.5,2.5,1.506091,8300
1989-05-02,0.0,2.625,2.5,2.5,1.506091,1000
1989-05-03,0.0,2.5,2.5,2.5,1.506091,10000
1989-05-04,0.0,2.625,2.5,2.5,1.506091,6400
1989-05-05,0.0,2.625,2.5,2.5,1.506091,6300
1989-05-08,0.0,2.5,2.5,2.5,1.506091,400
1989-05-09,0.0,2.5,2.5,2.5,1.506091,1100
1989-05-10,0.0,2.5,2.375,2.375,1.430787,1100
1989-05-11,0.0,2.5,2.375,2.375,1.430787,1200
1989-05-12,0.0,2.5,2.375,2.375,1.430787,3900
1989-05-15,0.0,2.5,2.375,2.375,1.430787,2800
1989-05-16,0.0,2.5,2.375,2.375,1.430787,1000
1989-05-17,0.0,2.5,2.375,2.375,1.430787,9300
1989-05-18,0.0,2.375,2.375,2.375,1.430787,19100
1989-05-19,0.0,2.375,2.375,2.375,1.430787,8700
1989-05-22,0.0,2.5,2.375,2.375,1.430787,2000
1989-05-23,0.0,2.5,2.375,2.375,1.430787,1700
1989-05-24,0.0,2.5,2.5,2.5,1.506091,5200
1989-05-25,0.0,2.5,2.5,2.5,1.506091,4000
1989-05-26,0.0,2.5,2.5,2.5,1.506091,3000
1989-05-30,0.0,2.5,2.375,2.375,1.430787,8200
1989-05-31,0.0,2.5,2.375,2.375,1.430787,10200
1989-06-01,0.0,2.5,2.375,2.375,1.430787,4300
1989-06-02,0.0,2.375,2.25,2.25,1.355482,14200
1989-06-05,0.0,2.375,2.25,2.25,1.355482,1000
1989-06-06,0.0,2.375,2.25,2.25,1.355482,1500
1989-06-07,0.0,2.25,2.25,2.25,1.355482,6600
1989-06-08,0.0,2.25,2.25,2.25,1.355482,2200
1989-06-09,0.0,2.25,2.125,2.125,1.280177,6400
1989-06-12,0.0,2.25,2.125,2.125,1.280177,1700
1989-06-13,0.0,2.25,2.125,2.125,1.280177,4100
1989-06-14,0.0,2.375,2.125,2.125,1.280177,4200
1989-06-15,0.0,2.25,2.125,2.125,1.280177,13800
1989-06-16,0.0,2.25,2.125,2.125,1.280177,1000
1989-06-19,0.0,2.25,2.125,2.125,1.280177,14300
1989-06-20,0.0,2.25,2.125,2.125,1.280177,4500
1989-06-21,0.0,2.0,1.875,1.875,1.129569,26200
1989-06-22,0.0,2.0,1.875,1.875,1.129569,2400
1989-06-23,0.0,2.0,1.875,1.875,1.129569,6300
1989-06-26,0.0,2.0,1.875,1.875,1.129569,100
1989-06-27,1.875,1.875,1.875,1.875,1.129569,0
1989-06-28,1.875,1.875,1.875,1.875,1.129569,0
1989-06-29,0.0,2.0,1.875,1.875,1.129569,1700
1989-06-30,0.0,2.0,1.875,1.875,1.129569,4500
1989-07-03,0.0,2.0,1.875,1.875,1.129569,1000
1989-07-05,0.0,2.0,1.875,1.875,1.129569,7100
1989-07-06,1.875,1.875,1.875,1.875,1.129569,0
1989-07-07,0.0,2.0,1.875,1.875,1.129569,6500
1989-07-10,0.0,2.0,1.875,1.875,1.129569,3600
1989-07-11,0.0,2.0,1.875,1.875,1.129569,1100
1989-07-12,0.0,2.0,1.875,1.875,1.129569,900
1989-07-13,0.0,2.125,2.0,2.0,1.204873,6300
1989-07-14,0.0,2.125,2.0,2.0,1.204873,5000
1989-07-17,0.0,2.125,2.0,2.0,1.204873,19000
1989-07-18,0.0,2.125,2.0,2.0,1.204873,5000
1989-07-19,0.0,2.125,1.875,1.875,1.129569,14000
1989-07-20,0.0,2.0,1.875,1.875,1.129569,2200
1989-07-21,0.0,2.0,1.75,1.75,1.054264,7200
1989-07-24,0.0,2.0,1.75,1.75,1.054264,3800
1989-07-25,0.0,2.125,1.75,1.75,1.054264,1500
1989-07-26,0.0,2.125,1.875,1.875,1.129569,3800
1989-07-27,0.0,2.125,1.875,1.875,1.129569,1000
1989-07-28,0.0,2.125,1.875,1.875,1.129569,3200
1989-07-31,0.0,2.0,1.875,1.875,1.129569,5900
1989-08-01,0.0,2.0,1.875,1.875,1.129569,2500
1989-08-02,0.0,2.0,1.875,1.875,1.129569,3900
1989-08-03,0.0,2.0,1.875,1.875,1.129569,3300
1989-08-04,0.0,2.0,1.875,1.875,1.129569,2800
1989-08-07,0.0,2.0,1.875,1.875,1.129569,5000
1989-08-08,0.0,2.0,2.0,2.0,1.204873,24900
1989-08-09,0.0,2.0,1.875,1.875,1.129569,16000
1989-08-10,0.0,2.0,1.875,1.875,1.129569,3000
1989-08-11,0.0,2.0,1.875,1.875,1.129569,1500
1989-08-14,0.0,2.0,1.875,1.875,1.129569,12800
1989-08-15,0.0,1.875,1.875,1.875,1.129569,9500
1989-08-16,0.0,2.0,1.75,1.75,1.054264,6200
1989-08-17,0.0,1.875,1.75,1.75,1.054264,9000
1989-08-18,0.0,1.625,1.625,1.625,0.978959,29300
1989-08-21,0.0,1.75,1.75,1.75,1.054264,14400
1989-08-22,0.0,1.875,1.75,1.75,1.054264,45300
