<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close,Volume
1997-09-17,5.167146,5.436736,5.167146,5.234543,3.876472,29185406
1997-09-18,5.301941,5.41427,5.257009,5.41427,4.009572,6731884
1997-09-19,5.403037,5.571531,5.403037,5.436736,4.026209,3440221
1997-09-22,5.391804,5.459202,5.380572,5.391804,3.992935,5831072
1997-09-23,5.391804,5.41427,5.380572,5.391804,3.992935,2738601
1997-09-24,5.403037,5.41427,5.380572,5.391804,3.992935,2575576
1997-09-25,5.391804,5.470435,5.391804,5.470435,4.051164,1005971
1997-09-26,5.459202,5.616463,5.447969,5.60523,4.150987,1636372
1997-09-29,5.616463,5.683861,5.616463,5.683861,4.209218,1708148
1997-09-30,5.740025,5.998382,5.728792,5.818656,4.309043,4639263
1997-10-01,5.829889,5.829889,5.571531,5.571531,4.12603,3525907
1997-10-02,5.593997,5.60523,5.481668,5.549065,4.109394,1870617
1997-10-03,5.60523,5.661395,5.571531,5.627696,4.167625,2065357
1997-10-06,5.60523,5.79619,5.60523,5.751258,4.259128,7842458
1997-10-07,5.79619,5.886053,5.504134,5.593997,4.142668,21602230
1997-10-08,5.593997,5.616463,5.481668,5.515367,4.084438,16664736
1997-10-09,5.504134,5.751258,5.403037,5.740025,4.25081,12844494
1997-10-10,5.549065,5.740025,5.5266,5.672628,4.200898,10308979
1997-10-13,5.683861,5.762491,5.672628,5.762491,4.267448,10520968
1997-10-14,5.717559,5.829889,5.706326,5.728792,4.242491,17077029
1997-10-15,5.593997,5.717559,5.593997,5.706326,4.225855,9048733
1997-10-16,5.751258,5.773724,5.661395,5.706326,4.225855,9002552
1997-10-17,5.616463,5.638929,5.447969,5.60523,4.150987,6431428
1997-10-20,5.582764,5.829889,5.582764,5.79619,4.292405,7995468
1997-10-21,5.751258,6.14441,5.751258,6.032081,4.467094,9219548
1997-10-22,5.930985,5.998382,5.863587,5.930985,4.392228,5610738
1997-10-23,5.841121,5.942218,5.79619,5.930985,4.392228,7688892
1997-10-24,5.942218,5.975917,5.829889,5.930985,4.392228,5598497
1997-10-27,5.841121,5.852354,5.504134,5.593997,4.142668,6699056
1997-10-28,5.41427,5.683861,5.234543,5.560298,4.117712,4660406
1997-10-29,5.582764,5.661395,5.425503,5.447969,4.034527,3286098
1997-10-30,5.234543,5.425503,5.234543,5.301941,3.926385,4901884
1997-10-31,5.301941,5.481668,5.290708,5.447969,4.034527,5334207
1997-11-03,5.481668,5.5266,5.403037,5.481668,4.059481,5457171
1997-11-04,5.436736,5.492901,5.369339,5.41427,4.009572,5849990
1997-11-05,5.391804,5.481668,5.369339,5.425503,4.017888,6204973
1997-11-06,5.436736,5.751258,5.41427,5.683861,4.209218,6185499
1997-11-07,5.661395,5.829889,5.571531,5.751258,4.259128,6055858
