,symbol,name,sector,marketcap
0,MMM,3M Company,Industrials,106849737818
1,AOS,A.O. Smith Corp,Industrials,8801595410
2,ABT,Abbott Laboratories,Health Care,205284775654
3,ABBV,AbbVie Inc.,Health Care,190715256000
4,ABMD,Abiomed,Health Care,13401040624
5,ACN,Accenture,Information Technology,170004237870
6,ATVI,Activision Blizzard,Communication Services,70742785848
7,ADBE,Adobe Inc.,Information Technology,209470259940
8,AAP,Advance Auto Parts,Consumer Discretionary,11554501920
9,AMD,Advanced Micro Devices,Information Technology,93938964492
10,AES,AES Corp,Utilities,18366398727
11,AFL,Aflac,Financials,34987106415
12,A,Agilent Technologies,Health Care,36560712369
13,APD,Air Products & Chemicals,Materials,60103257659
14,AKAM,Akamai Technologies,Information Technology,15727879299
15,ALK,Alaska Air Group,Industrials,8247364064
16,ALB,Albemarle Corporation,Materials,17763053955
17,ARE,Alexandria Real Estate Equities,Real Estate,22100523238
18,ALXN,Alexion Pharmaceuticals,Health Care,33742270100
19,ALGN,Align Technology,Health Care,40499478746
20,ALLE,Allegion,Industrials,10520375123
21,LNT,Alliant Energy,Utilities,12591508476
22,ALL,Allstate Corp,Financials,34439722665
23,GOOGL,Alphabet Inc. (Class A),Communication Services,1376704467184
24,GOOG,Alphabet Inc. (Class C),Communication Services,1376704467184
25,MO,Altria Group Inc,Consumer Staples,89588859418
26,AMZN,Amazon.com Inc.,Consumer Discretionary,1539720432506
27,AMCR,Amcor,Materials,23867018044
28,AEE,Ameren Corp,Utilities,19303118068
29,AAL,American Airlines Group,Industrials,13912953000
30,AEP,American Electric Power,Utilities,40324243284
31,AXP,American Express,Financials,118220215100
32,AIG,American International Group,Financials,41380228890
33,AMT,American Tower Corp.,Real Estate,90840976466
34,AWK,American Water Works,Utilities,24744651705
35,AMP,Ameriprise Financial,Financials,26345088087
36,ABC,AmerisourceBergen,Health Care,22892272354
37,AME,Ametek,Industrials,28525378361
38,AMGN,Amgen Inc.,Health Care,132817081237
39,APH,Amphenol Corp,Information Technology,37201409861
40,ADI,Analog Devices Inc.,Information Technology,54267996565
41,ANSS,ANSYS Inc.,Information Technology,26900927362
42,ANTM,Anthem,Health Care,81683497881
43,AON,Aon plc,Financials,51919892925
44,APA,APA Corporation,Energy,8173130949
45,AAPL,Apple Inc.,Information Technology,2014236294356
46,AMAT,Applied Materials Inc.,Information Technology,103402041760
47,APTV,Aptiv PLC,Consumer Discretionary,40150062516
48,ADM,Archer-Daniels-Midland Co,Consumer Staples,32605793119
49,ANET,Arista Networks,Information Technology,20769173600
50,AJG,Arthur J. Gallagher & Co.,Financials,24265935000
51,AIZ,Assurant,Financials,8033469475
52,T,AT&T Inc.,Communication Services,213881600727
53,ATO,Atmos Energy,Utilities,11638300097
54,ADSK,Autodesk Inc.,Information Technology,57971539181
55,ADP,Automatic Data Processing,Information Technology,77915038934
56,AZO,AutoZone Inc,Consumer Discretionary,27861848000
57,AVB,AvalonBay Communities,Real Estate,25837608838
58,AVY,Avery Dennison Corp,Materials,14964174750
59,BKR,Baker Hughes Co,Energy,24917480000
60,BLL,Ball Corp,Materials,27945905252
61,BAC,Bank of America Corp,Financials,322622151598
62,BAX,Baxter International Inc.,Health Care,39256683496
63,BDX,Becton Dickinson,Health Care,69121294433
64,BRK-B,Berkshire Hathaway,Financials,608157613440
65,BBY,Best Buy Co. Inc.,Consumer Discretionary,28004902145
66,BIO,Bio-Rad Laboratories,Health Care,16885160494
67,BIIB,Biogen Inc.,Health Care,40004875945
68,BLK,BlackRock,Financials,111193650450
69,BA,Boeing Company,Industrials,143190235462
70,BKNG,Booking Holdings Inc,Consumer Discretionary,97051591082
71,BWA,BorgWarner,Consumer Discretionary,12201498473
72,BXP,Boston Properties,Real Estate,16594854788
73,BSX,Boston Scientific,Health Care,55751310656
74,BMY,Bristol-Myers Squibb,Health Care,136512142433
75,AVGO,Broadcom Inc.,Information Technology,178625374239
76,BR,Broadridge Financial Solutions,Information Technology,16487462185
77,BF-B,Brown-Forman Corp.,Consumer Staples,33599768703
78,CHRW,C. H. Robinson Worldwide,Industrials,12648193350
79,COG,Cabot Oil & Gas,Energy,7664864256
80,CDNS,Cadence Design Systems,Information Technology,35396220353
81,CPB,Campbell Soup,Consumer Staples,14505006923
82,COF,Capital One Financial,Financials,59484929190
83,CAH,Cardinal Health Inc.,Health Care,16495331022
84,KMX,Carmax Inc,Consumer Discretionary,21707351046
85,CCL,Carnival Corp.,Consumer Discretionary,29402361240
86,CARR,Carrier Global,Industrials,33710832458
87,CTLT,Catalent,Health Care,17541841344
88,CAT,Caterpillar Inc.,Industrials,120544900908
89,CBOE,Cboe Global Markets,Financials,11095173019
90,CBRE,CBRE Group,Real Estate,25777204750
91,CDW,CDW,Information Technology,22056632384
92,CE,Celanese,Materials,16847662721
93,CNC,Centene Corporation,Health Care,35820319117
94,CNP,CenterPoint Energy,Utilities,11759683299
95,CERN,Cerner,Health Care,21694804580
96,CF,CF Industries Holdings Inc,Materials,10556620391
97,SCHW,Charles Schwab Corporation,Financials,122408762992
98,CHTR,Charter Communications,Communication Services,121870298681
99,CVX,Chevron Corp.,Energy,214540611780
100,CMG,Chipotle Mexican Grill,Consumer Discretionary,39870761716
101,CB,Chubb Limited,Financials,78105013728
102,CHD,Church & Dwight,Consumer Staples,19888891573
103,CI,Cigna,Health Care,83816754549
104,CINF,Cincinnati Financial,Financials,17127712500
105,CTAS,Cintas Corporation,Industrials,37079792097
106,CSCO,Cisco Systems,Information Technology,203870049805
107,C,Citigroup Inc.,Financials,153939628750
108,CFG,Citizens Financial Group,Financials,18968247113
109,CTXS,Citrix Systems,Information Technology,16204195769
110,CME,CME Group Inc.,Financials,74184379700
111,CMS,CMS Energy,Utilities,16495755914
112,KO,Coca-Cola Company,Consumer Staples,221671003362
113,CTSH,Cognizant Technology Solutions,Information Technology,40337274498
114,CL,Colgate-Palmolive,Consumer Staples,64321077989
115,CMCSA,Comcast Corp.,Communication Services,262059325566
116,CMA,Comerica Inc.,Financials,9833540729
117,CAG,Conagra Brands,Consumer Staples,17984593660
118,COP,ConocoPhillips,Energy,80498351219
119,ED,Consolidated Edison,Utilities,24096033007
120,STZ,Constellation Brands,Consumer Staples,43513709814
121,CPRT,Copart Inc,Industrials,25680567957
122,GLW,Corning Inc.,Information Technology,29943290206
123,CTVA,Corteva,Materials,34970914000
124,COST,Costco Wholesale Corp.,Consumer Staples,143344638876
125,CCI,Crown Castle,Real Estate,65533515945
126,CSX,CSX Corp.,Industrials,71362840157
127,CMI,Cummins Inc.,Industrials,40425152632
128,CVS,CVS Health,Health Care,95335504498
129,DHI,D. R. Horton,Consumer Discretionary,29856295848
130,DHR,Danaher Corp.,Health Care,151649677675
131,DRI,Darden Restaurants,Consumer Discretionary,18518305042
132,DVA,DaVita Inc.,Health Care,11717834066
133,DE,Deere & Co.,Industrials,113220435962
134,DAL,Delta Air Lines Inc.,Industrials,30503426113
135,XRAY,Dentsply Sirona,Health Care,13594119180
136,DVN,Devon Energy,Energy,16086731243
137,DXCM,DexCom,Health Care,34276647175
138,FANG,Diamondback Energy,Energy,13654254651
139,DLR,Digital Realty Trust Inc,Real Estate,38049729065
140,DFS,Discover Financial Services,Financials,30549550463
141,DISCA,Discovery Inc. (Series A),Communication Services,28785244762
142,DISCK,Discovery Inc. (Series C),Communication Services,28785244762
143,DISH,Dish Network,Communication Services,18826369113
144,DG,Dollar General,Consumer Discretionary,45949938297
145,DLTR,Dollar Tree,Consumer Discretionary,25360753790
146,D,Dominion Energy,Utilities,58981503984
147,DPZ,Domino's Pizza,Consumer Discretionary,13889115435
148,DOV,Dover Corporation,Industrials,19115373482
149,DOW,Dow Inc.,Materials,47761467520
150,DTE,DTE Energy Co.,Utilities,24460092670
151,DUK,Duke Energy,Utilities,69787005263
152,DRE,Duke Realty Corp,Real Estate,14733855035
153,DD,DuPont de Nemours Inc,Materials,41266039054
154,DXC,DXC Technology,Information Technology,7383226000
155,EMN,Eastman Chemical,Materials,15883626917
156,ETN,Eaton Corporation,Industrials,55435425000
157,EBAY,eBay Inc.,Consumer Discretionary,37655865141
158,ECL,Ecolab Inc.,Materials,62020874848
159,EIX,Edison Int'l,Utilities,22081856722
160,EW,Edwards Lifesciences,Health Care,51822588716
161,EA,Electronic Arts,Communication Services,37425893715
162,EMR,Emerson Electric Company,Industrials,55034752332
163,ENPH,Enphase Energy,Information Technology,19666715814
164,ETR,Entergy Corp.,Utilities,18933331689
165,EOG,EOG Resources,Energy,43831454841
166,EFX,Equifax Inc.,Industrials,21016590371
167,EQIX,Equinix,Real Estate,57028163658
168,EQR,Equity Residential,Real Estate,26615605061
169,ESS,Essex Property Trust Inc.,Real Estate,17722051187
170,EL,Estée Lauder Companies,Consumer Staples,103477118850
171,ETSY,Etsy,Consumer Discretionary,25957269646
172,RE,Everest Re Group Ltd.,Financials,10006798288
173,EVRG,Evergy,Utilities,12924517923
174,ES,Eversource Energy,Utilities,28019940414
175,EXC,Exelon Corp.,Utilities,40869509275
176,EXPE,Expedia Group,Consumer Discretionary,24108813173
177,EXPD,Expeditors,Industrials,16506897504
178,EXR,Extra Space Storage,Real Estate,17041500277
179,XOM,Exxon Mobil Corp.,Energy,261502185077
180,FFIV,F5 Networks,Information Technology,11818496511
181,FB,Facebook Inc.,Communication Services,754347500719
182,FAST,Fastenal Co,Industrials,26505838026
183,FRT,Federal Realty Investment Trust,Real Estate,8133565186
184,FDX,FedEx Corporation,Industrials,69029793379
185,FIS,Fidelity National Information Services,Information Technology,90386694733
186,FITB,Fifth Third Bancorp,Financials,27030155839
187,FRC,First Republic Bank,Financials,29692120779
188,FE,FirstEnergy Corp,Utilities,18768077835
189,FISV,Fiserv Inc,Information Technology,82919316008
190,FLT,FleetCor Technologies Inc,Information Technology,23804423512
191,FLIR,FLIR Systems,Information Technology,7164282440
192,FLS,Flowserve Corporation,Industrials,5252728280
193,FMC,FMC Corporation,Materials,13756797702
194,F,Ford Motor Company,Consumer Discretionary,50450252533
195,FTNT,Fortinet,Information Technology,29449430909
196,FTV,Fortive Corp,Industrials,23482522486
197,FBHS,Fortune Brands Home & Security,Industrials,12464686655
198,FOXA,Fox Corporation (Class A),Communication Services,23935968599
199,FOX,Fox Corporation (Class B),Communication Services,23935968599
200,BEN,Franklin Resources,Financials,14464662904
201,FCX,Freeport-McMoRan Inc.,Materials,50259219464
202,GPS,Gap Inc.,Consumer Discretionary,11276974207
203,GRMN,Garmin Ltd.,Consumer Discretionary,24308444073
204,IT,Gartner Inc,Information Technology,16327509551
205,GD,General Dynamics,Industrials,49357810775
206,GE,General Electric,Industrials,116175231500
207,GIS,General Mills,Consumer Staples,35805751559
208,GM,General Motors,Consumer Discretionary,81887031598
209,GPC,Genuine Parts,Consumer Discretionary,16629680328
210,GILD,Gilead Sciences,Health Care,80308858438
211,GPN,Global Payments Inc.,Information Technology,61871122359
212,GL,Globe Life Inc.,Financials,10446042556
213,GS,Goldman Sachs Group,Financials,118268596888
214,GWW,Grainger (W.W.) Inc.,Industrials,20736182351
215,HAL,Halliburton Co.,Energy,21339928440
216,HBI,Hanesbrands Inc,Consumer Discretionary,6927267512
217,HIG,Hartford Financial Svc.Gp.,Financials,19559601554
218,HAS,Hasbro Inc.,Consumer Discretionary,13290150785
219,HCA,HCA Healthcare,Health Care,63010598000
220,PEAK,Healthpeak Properties,Real Estate,16575368466
221,HSIC,Henry Schein,Health Care,9389802761
222,HES,Hess Corporation,Energy,21762272797
223,HPE,Hewlett Packard Enterprise,Information Technology,19712346253
224,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,34564972673
225,HFC,HollyFrontier Corp,Energy,6654142748
226,HOLX,Hologic,Health Care,17716839670
227,HD,Home Depot,Consumer Discretionary,286634239726
228,HON,Honeywell Int'l Inc.,Industrials,148079120457
229,HRL,Hormel Foods Corp.,Consumer Staples,26056740426
230,HST,Host Hotels & Resorts,Real Estate,11666737745
231,HWM,Howmet Aerospace,Industrials,13637176355
232,HPQ,HP Inc.,Information Technology,37901648866
233,HUM,Humana Inc.,Health Care,51932675878
234,HBAN,Huntington Bancshares,Financials,16631956138
235,HII,Huntington Ingalls Industries,Industrials,7562304324
236,IEX,IDEX Corporation,Industrials,15196214016
237,IDXX,Idexx Laboratories,Health Care,41754520175
238,INFO,IHS Markit,Industrials,37255853448
239,ITW,Illinois Tool Works,Industrials,67759333407
240,ILMN,Illumina Inc,Health Care,58279756781
241,INCY,Incyte,Health Care,17224698714
242,IR,Ingersoll Rand,Industrials,20506922561
243,INTC,Intel Corp.,Information Technology,252859500000
244,ICE,Intercontinental Exchange,Financials,64922049856
245,IBM,International Business Machines,Information Technology,114263867234
246,IFF,International Flavors & Fragrances,Materials,33650138870
247,IP,International Paper,Materials,21470848480
248,IPG,Interpublic Group,Communication Services,11399984159
249,INTU,Intuit Inc.,Information Technology,104831430805
250,ISRG,Intuitive Surgical Inc.,Health Care,84734593292
251,IVZ,Invesco Ltd.,Financials,11564031482
252,IPGP,IPG Photonics Corp.,Information Technology,11036485110
253,IQV,IQVIA Holdings Inc.,Health Care,36385871633
254,IRM,Iron Mountain Incorporated,Real Estate,10642735340
255,JBHT,J. B. Hunt Transport Services,Industrials,16595685000
256,JKHY,Jack Henry & Associates,Information Technology,11371229282
257,J,Jacobs Engineering Group,Industrials,16228228500
258,SJM,JM Smucker,Consumer Staples,13267576986
259,JNJ,Johnson & Johnson,Health Care,418354405955
260,JCI,Johnson Controls International,Industrials,43381982230
261,JPM,JPMorgan Chase & Co.,Financials,473380140679
262,JNPR,Juniper Networks,Information Technology,8102566855
263,KSU,Kansas City Southern,Industrials,19465061984
264,K,Kellogg Co.,Consumer Staples,20544133342
265,KEY,KeyCorp,Financials,20500129484
266,KEYS,Keysight Technologies,Information Technology,25173578572
267,KMB,Kimberly-Clark,Consumer Staples,45441661905
268,KIM,Kimco Realty,Real Estate,8320141653
269,KMI,Kinder Morgan,Energy,36759824121
270,KLAC,KLA Corporation,Information Technology,43672560630
271,KHC,Kraft Heinz Co,Consumer Staples,48327642196
272,KR,Kroger Co.,Consumer Staples,26829869557
273,LB,L Brands Inc.,Consumer Discretionary,15226467750
274,LHX,L3Harris Technologies,Industrials,39261051469
275,LH,Laboratory Corp. of America Holding,Health Care,22703711523
276,LRCX,Lam Research,Information Technology,74126381344
277,LW,Lamb Weston Holdings Inc,Consumer Staples,11809385307
278,LVS,Las Vegas Sands,Consumer Discretionary,47373530805
279,LEG,Leggett & Platt,Consumer Discretionary,6558918799
280,LDOS,Leidos Holdings,Information Technology,13404792482
281,LEN,Lennar Corp.,Consumer Discretionary,27933236334
282,LLY,Lilly (Eli) & Co.,Health Care,196908618775
283,LNC,Lincoln National,Financials,11809268551
284,LIN,Linde plc,Materials,138886162698
285,LYV,Live Nation Entertainment,Communication Services,19225203590
286,LKQ,LKQ Corporation,Consumer Discretionary,12942322484
287,LMT,Lockheed Martin Corp.,Industrials,95470305494
288,L,Loews Corp.,Financials,13485873500
289,LOW,Lowe's Cos.,Consumer Discretionary,123144264907
290,LUMN,Lumen Technologies,Communication Services,15224250365
291,LYB,LyondellBasell,Materials,36387084209
292,MTB,M&T Bank,Financials,20145402140
293,MRO,Marathon Oil Corp.,Energy,9646370450
294,MPC,Marathon Petroleum,Energy,37891179698
295,MKTX,MarketAxess,Financials,19635884822
296,MAR,Marriott International,Consumer Discretionary,47734275761
297,MMC,Marsh & McLennan,Financials,59635743674
298,MLM,Martin Marietta Materials,Materials,21231145907
299,MAS,Masco Corp.,Industrials,14613380330
300,MA,Mastercard Inc.,Information Technology,379166402036
301,MXIM,Maxim Integrated Products,Information Technology,23292763308
302,MKC,McCormick & Co.,Consumer Staples,22935308997
303,MCD,McDonald's Corp.,Consumer Discretionary,159037961499
304,MCK,McKesson Corp.,Health Care,29178089126
305,MDT,Medtronic plc,Health Care,159962347116
306,MRK,Merck & Co.,Health Care,189166429565
307,MET,MetLife Inc.,Financials,53488457163
308,MTD,Mettler Toledo,Health Care,24695440000
309,MGM,MGM Resorts International,Consumer Discretionary,18616369331
310,MCHP,Microchip Technology,Information Technology,38052107812
311,MU,Micron Technology,Information Technology,95545694206
312,MSFT,Microsoft Corp.,Information Technology,1752961828909
313,MAA,Mid-America Apartments,Real Estate,15423109528
314,MHK,Mohawk Industries,Consumer Discretionary,12991108125
315,TAP,Molson Coors Beverage Company,Consumer Staples,10182275598
316,MDLZ,Mondelez International,Consumer Staples,79346683720
317,MNST,Monster Beverage,Consumer Staples,47215448605
318,MCO,Moody's Corp,Financials,54470423913
319,MS,Morgan Stanley,Financials,156245254173
320,MSI,Motorola Solutions Inc.,Information Technology,30046416351
321,MSCI,MSCI Inc,Financials,33840739569
322,NDAQ,Nasdaq Inc.,Financials,23821204482
323,NTAP,NetApp,Information Technology,14838583475
324,NFLX,Netflix Inc.,Communication Services,223458247084
325,NWL,Newell Brands,Consumer Discretionary,10738134388
326,NEM,Newmont Corporation,Materials,46562280400
327,NWSA,News Corp (Class A),Communication Services,14859992578
328,NWS,News Corp (Class B),Communication Services,14859992578
329,NEE,NextEra Energy,Utilities,145932290705
330,NLSN,Nielsen Holdings,Industrials,9295435996
331,NKE,Nike Inc.,Consumer Discretionary,174942790953
332,NI,NiSource Inc.,Utilities,8671852619
333,NSC,Norfolk Southern Corp.,Industrials,65318264632
334,NTRS,Northern Trust Corp.,Financials,21118913299
335,NOC,Northrop Grumman,Industrials,50015400000
336,NLOK,NortonLifeLock,Information Technology,12225740143
337,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,9327018969
338,NOV,NOV Inc.,Energy,6506416448
339,NRG,NRG Energy,Utilities,9968589530
340,NUE,Nucor Corp.,Materials,20106182887
341,NVDA,Nvidia Corporation,Information Technology,309212606811
342,NVR,NVR Inc.,Consumer Discretionary,17581965785
343,ORLY,O'Reilly Automotive,Consumer Discretionary,33271096871
344,OXY,Occidental Petroleum,Energy,27350443624
345,ODFL,Old Dominion Freight Line,Industrials,26419575553
346,OMC,Omnicom Group,Communication Services,16463621914
347,OKE,Oneok,Energy,22671909664
348,ORCL,Oracle Corp.,Information Technology,212323740166
349,OTIS,Otis Worldwide,Industrials,28730703750
350,PCAR,Paccar,Industrials,33510643559
351,PKG,Packaging Corporation of America,Materials,13354656987
352,PH,Parker-Hannifin,Industrials,39537508724
353,PAYX,Paychex Inc.,Information Technology,34151754599
354,PAYC,Paycom,Information Technology,22735792272
355,PYPL,PayPal,Information Technology,283506582897
356,PNR,Pentair plc,Industrials,9952215570
357,PBCT,People's United Financial,Financials,7859444610
358,PEP,PepsiCo Inc.,Consumer Staples,184288172746
